id_s!,theWord_s,defined_t,locations_t,locations2_t,lessonURL_t,split_s,part1_s,part2_s,courseNum_s,part3_s,lessonNum_s,part4_s,part5_s,youTubeURL_t
code,code,The language that programmers create and use to tell a computer what to do.,Course 1: Stage 2,Course 1: Stage 2,,,,,,,,,,
command,command,An instruction for the computer. Many commands put together make up algorithms and computer programs.,Course 1: Stage 2,Course 1: Stage 2,,,,,,,,,,
computational thinking,computational thinking,"Modifying a problem in such a way that it can be modeled or solved using a computer or machine.
Strategies include: decomposition, pattern matching, abstraction, algorithms.",Course 3: Stage 1,Course 3: Stage 1,,,,,,,,,,
computer science,computer science,Using the power of computers to solve problems.,Course 1: Stage 2,Course 1: Stage 2,,,,,,,,,,
conditionals,conditionals,Statements that only run under certain conditions.,"Course 2: Stages 12, 13<br/>
Course 3: Stages 7, 8","Course 2: Stages 12, 13 | 
Course 3: Stages 7, 8",,,,,,,,,,
crowdsourcing,crowdsourcing,Getting help from a large group of people to finish something faster.,Course 3: Stage 19,Course 3: Stage 19,,,,,,,,,,
cyberbullying,cyberbullying,"Doing something on the internet, usually again and again, to make another personal feel angry, sad, or scared.",,,,,,,,,,,,
data,data,"Information. Often, quantities, characters, or symbols that are the inputs and outputs of computer programs.","Course 2: Stage 14<br/>
Course 3: Stages 1","Course 2: Stage 14 | 
Course 3: Stages 1",,,,,,,,,,
debugging,debugging,Finding and fixing problems in an algorithm or program.,"Course 1: Stage 5<br/>
Course 2: Stages 9, 10, 11<br/>
Course 3: Stage 14","Course 1: Stage 5 | 
Course 2: Stages 9, 10, 11 | 
Course 3: Stage 14",,,,,,,,,,
decompose,decompose,Break a problem down into smaller pieces.,Course 3: Stage 1,Course 3: Stage 1,,,,,,,,,,
define,define (a function),Figure out the details of the problems that you are trying to solve.,Course 3: Stage 4,Course 3: Stage 4,,,,,,,,,,
digital citizen,digital citizen,"Someone who acts safely, responsibly, and respectfully online.",Course 3: Stage 20,Course 3: Stage 20,,,,,,,,,,
digital footprint,digital footprint,The information about someone on the Internet.,Course 2: Stage 18,Course 2: Stage 18,,,,,,,,,,
DNS (domain name service),DNS (domain name service),The service that translates URLs to IP addresses.,Course 3: Stage 18,Course 3: Stage 18,,,,,,,,,,
double-click,double-click,Press the mouse button very quickly two times.,,,,,,,,,,,,
drag,drag,Click your mouse button and hold as you move the mouse pointer to a new location.,,,,,,,,,,,,
drop,drop,"Release your mouse button to ""let go"" of an item that you are dragging.",,,,,,,,,,,,
DSL/cable,DSL/cable,A method of sending information using telephone or television cables.,Course 3: Stage 18,Course 3: Stage 18,,,,,,,,,,
event,event,An action that causes something to happen.,"Course 1: Stage 15<br/>
Course 2: Stage 15","Course 1: Stage 15 | 
Course 2: Stage 15",,,,,,,,,,
event-handler,event handler,"A monitor for a specific event or action on a computer. When you write code for an event handler, it will be executed every time that event or action occurs. Many event-handlers respond to human actions such as mouse clicks.","Course 1: Stage 15 <br/>
Course 2: Stage 15","Course 1: Stage 15 | 
Course 2: Stage 15",,,,,,,,,,
F.A.I.L.,F.A.I.L,First Attempt In Learning,,,,,,,,,,,,
fiber optic cable,fiber optic cable,A connection that uses light to transmit information.,Course 3: Stage 18,Course 3: Stage 18,,,,,,,,,,
for loop,for loop,"A loop with a predetermined beginning, end, and increment (step interval).","Course 4: Stages 8, 9, 10, 11, 20","Course 4: Stages 8, 9, 10, 11, 20",,,,,,,,,,
frustrated,frustrated,Feeling annoyed or angry because something is not the way you want it.,,,,,,,,,,,,
function,function,A piece of code that you can easily call over and over again.,"Course 3: Stages 4, 5, 6, 9 <br/>
Course 4: Stages 12, 13, 14, 15, 16, 21","Course 3: Stages 4, 5, 6, 9 | 
Course 4: Stages 12, 13, 14, 15, 16, 21",,,,,,,,,,
function call,function call,The piece of code that you add to a program to indicate that the program should run the code inside a function at a certain time.,Course 3: Stage 4,Course 3: Stage 4,,,,,,,,,,
function definition,function definition,The code inside a function that instructs the program on what to do when the function is called.,Course 3: Stage 4,Course 3: Stage 4,,,,,,,,,,
if-statement,if-statement,"The common programming structure that implements ""conditional statements"".",,,,,,,,,,,,
input,input,A way to give information to a computer.,,,,,,,,,,,,
Internet,Internet,A group of computers and servers that are connected to each other.,"Course 1: Stage 17 <br/>
Course 2: Stage 18 <br/>
Course 3: Stages 18, 20","Course 1: Stage 17 | 
Course 2: Stage 18 | 
Course 3: Stages 18, 20",,,,,,,,,,
IP address,IP address,A number assigned to any item that is connected to the Internet.,Course 3: Stage 18,Course 3: Stage 18,,,,,,,,,,
iteration,iteration,A repetitive action or command typically created with programming loops.,"Course 1: Stage 12<br/>
Course 2: Stage 5","Course 1: Stage 12 | 
Course 2: Stage 5",,,,,,,,,,
loop,loop,The action of doing something over and over again.,"Course 1: Stages 12, 13, 14<br/>
Course 2: Stages 5, 6, 7, 8","Course 1: Stages 12, 13, 14 | 
Course 2: Stages 5, 6, 7, 8",,,,,,,,,,
online,online,Connected to the Internet.,,,,,,,,,,,,
output,output,A way to get information out of a computer.,,,,,,,,,,,,
packets,packets,Small chunks of information that have been carefully formed from larger chunks of information.,Course 3: Stage 18,Course 3: Stage 18,,,,,,,,,,
pattern matching,pattern matching,Finding similarities between things.,"Course 3: Stage 1<br/>
Course 4: Stage 5","Course 3: Stage 1 | 
Course 4: Stage 5",,,,,,,,,,
parameter,Parameter,An extra piece of information passed to a function to customize it for a specific need.,"Course 4: Stages 13, 14, 15, 16","Course 4: Stages 13, 14, 15, 16",,,,,,,,,,
persistence,persistence,"Trying again and again, even when something is very hard.",Course 1: Stage 9,Course 1: Stage 9,,,,,,,,,,
pixel,pixel,"Short for ""picture element"", the fundamental unit of a digital image, typically a tiny square or dot that contains a single point of color of a larger image.",,,,,,,,,,,,
program,program,An algorithm that has been coded into something that can be run by a machine.,"Course 1: Stage 2 <br/>
Course 2: Stage 1, 9<br/>
Course 3: Stage 10","Course 1: Stage 2 | 
Course 2: Stage 1, 9 | 
Course 3: Stage 10",,,,,,,,,,
programming,programming,The art of creating a program.,"Course 1: Stage 2 <br/>
Course 2: Stage 1, 9<br/>
Course 3: Stage 10","Course 1: Stage 2 | 
Course 2: Stage 1, 9 | 
Course 3: Stage 10",,,,,,,,,,
repeat,repeat,To do something again.,,,,,,,,,,,,
run program,run program,Cause the computer to execute the commands you've written in your program.,Course 1: Stage 4,Course 1: Stage 4,,,,,,,,,,
search engine,search engine,"A program that searches for and identifies items in a database that correspond to keywords or characters specified by the user, used especially for finding particular sites on the World Wide Web.",,,,,,,,,,,,
servers,servers,Computers that exist only to provide things to others.,Course 3: Stage 18,Course 3: Stage 18,,,,,,,,,,
toolbox,toolbox,The tall grey bar in the middle section of Code.org's online learning system that contains all of the commands you can use to write your program.,Course 1: Stage 4,Course 1: Stage 4,,,,,,,,,,
trustworthy,trustworthy,Able to be relied on as honest or truthful.,,,,,,,,,,,,
try,try,Attempt to do something,,,,,,,,,,,,
URL (universal resource locator),URL (universal resource locator),An easy-to-remember address for calling a web page (like www.code.org).,Course 3: Stage 18,Course 3: Stage 18,,,,,,,,,,
username,username,"A name you make up so that you can see or do things on a website, sometimes called a “screen name.”",Course 1: Stage 18,Course 1: Stage 18,,,,,,,,,,
variable,variable,A placeholder for a piece of information that can change.,"Course 3: Stage 4<br/>
Course 4: Stage 4, 5, 6, 7","Course 3: Stage 4 | 
Course 4: Stage 4, 5, 6, 7",,,,,,,,,,
website,website,A collection of interlinked web pages on the World Wide Web.,,,,,,,,,,,,
while loop,while loop,A loop that continues to repeat while a condition is true.,,,,,,,,,,,,
Wi-Fi,Wi-Fi,A wireless method of sending information using radio waves.,Course 3: Stage 18,Course 3: Stage 18,,,,,,,,,,
workspace,workspace,The white area on the right side of Code.org's online learning system where you drag and drop commands to build your program.,Course 1: Stage 4,Course 1: Stage 4,,,,,,,,,,
