id_s!,family_s*,family_short_s,gradeband_s*,category_s,desc_t
11-12.L.3.a,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Vary syntax for effect, consulting references (e.g., Tufte’s Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading."
11-12.L.4,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11–12 reading and content, choosing flexibly from a range of strategies."
11-12.L.4.a,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
11-12.L.4.b,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable)."
11-12.L.4.c,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage."
11-12.L.4.d,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
11-12.L.5,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
11-12.L.5.a,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text."
11-12.L.5.b,Common Core English Language Arts Standards,CC ELA,9-12,Language,Analyze nuances in the meaning of words with similar denotations.
11-12.L.6,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression."
2.L.1,Common Core English Language Arts Standards,CC ELA,K-2,Language,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
2.L.1.a,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Use collective nouns (e.g., group)."
2.L.1.b,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish)."
2.L.1.c,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Use reflexive pronouns (e.g., myself, ourselves)."
2.L.1.d,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told)."
2.L.1.e,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Use adjectives and adverbs, and choose between them depending on what is to be modified."
2.L.1.f,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy)."
2.L.2,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
2.L.2.a,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Capitalize holidays, product names, and geographic names."
2.L.2.b,Common Core English Language Arts Standards,CC ELA,K-2,Language,Use commas in greetings and closings of letters.
2.L.2.c,Common Core English Language Arts Standards,CC ELA,K-2,Language,Use an apostrophe to form contractions and frequently occurring possessives.
2.L.2.d,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Generalize learned spelling patterns when writing words (e.g., cage → badge; boy → boil)."
2.L.2.e,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings."
2.L.3,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
2.L.3.a,Common Core English Language Arts Standards,CC ELA,K-2,Language,Compare formal and informal uses of English.
2.L.4,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies."
2.L.4.a,Common Core English Language Arts Standards,CC ELA,K-2,Language,Use sentence-level context as a clue to the meaning of a word or phrase.
2.L.4.b,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell)."
2.L.4.c,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional)."
2.L.4.d,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark)."
2.L.4.e,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases."
2.L.5,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings."
2.L.5.a,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Identify real-life connections between words and their use (e.g., describe foods that are spicy or juicy)."
2.L.5.b,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Distinguish shades of meaning among closely related verbs (e.g., toss, throw, hurl) and closely related adjectives (e.g., thin, slender, skinny, scrawny)."
2.L.6,Common Core English Language Arts Standards,CC ELA,K-2,Language,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g., When other kids are happy that makes me happy)."
3.L.1,Common Core English Language Arts Standards,CC ELA,3-5,Language,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
3.L.1.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences."
3.L.1.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,Form and use regular and irregular plural nouns.
3.L.1.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use abstract nouns (e.g., childhood)."
3.L.1.d,Common Core English Language Arts Standards,CC ELA,3-5,Language,Form and use regular and irregular verbs.
3.L.1.e,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses."
3.L.1.f,Common Core English Language Arts Standards,CC ELA,3-5,Language,Ensure subject-verb and pronoun-antecedent agreement.*
3.L.1.g,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified."
3.L.1.h,Common Core English Language Arts Standards,CC ELA,3-5,Language,Use coordinating and subordinating conjunctions.
3.L.1.i,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Produce simple, compound, and complex sentences."
3.L.2,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
3.L.2.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,Capitalize appropriate words in titles.
3.L.2.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,Use commas in addresses.
3.L.2.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,Use commas and quotation marks in dialogue.
3.L.2.d,Common Core English Language Arts Standards,CC ELA,3-5,Language,Form and use possessives.
3.L.2.e,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness)."
3.L.2.f,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words."
3.L.2.g,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings."
3.L.3,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
3.L.3.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,Choose words and phrases for effect.*
3.L.3.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,Recognize and observe differences between the conventions of spoken and written standard English.
3.L.4,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies."
3.L.4.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,Use sentence-level context as a clue to the meaning of a word or phrase.
3.L.4.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat)."
3.L.4.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion)."
3.L.4.d,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases."
3.L.5,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings."
3.L.5.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., take steps)."
3.L.5.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful)."
3.L.5.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered)."
3.L.6,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them)."
4.L.1,Common Core English Language Arts Standards,CC ELA,3-5,Language,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
4.L.1.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why)."
4.L.1.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses."
4.L.1.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use modal auxiliaries (e.g., can, may, must) to convey various conditions."
4.L.1.d,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag)."
4.L.1.e,Common Core English Language Arts Standards,CC ELA,3-5,Language,Form and use prepositional phrases.
4.L.1.f,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.*"
4.L.1.g,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Correctly use frequently confused words (e.g., to, too, two; there, their).*"
4.L.2,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
4.L.2.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,Use correct capitalization.
4.L.2.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,Use commas and quotation marks to mark direct speech and quotations from a text.
4.L.2.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,Use a comma before a coordinating conjunction in a compound sentence.
4.L.2.d,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Spell grade-appropriate words correctly, consulting references as needed."
4.L.3,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
4.L.3.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,Choose words and phrases to convey ideas precisely.*
4.L.3.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,Choose punctuation for effect.*
4.L.3.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion)."
4.L.4,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies."
4.L.4.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase."
4.L.4.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph)."
4.L.4.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
4.L.5,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
4.L.5.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context."
4.L.5.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Recognize and explain the meaning of common idioms, adages, and proverbs."
4.L.5.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms).
4.L.6,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered) and that are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation)."
5.L.1,Common Core English Language Arts Standards,CC ELA,3-5,Language,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
5.L.2,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
5.L.3,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
5.L.3.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Expand, combine, and reduce sentences for meaning, reader/listener interest, and style."
5.L.3.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems."
5.L.4,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, choosing flexibly from a range of strategies."
5.L.4.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase."
5.L.4.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis)."
5.L.4.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
5.L.5,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
5.L.5.a,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Interpret figurative language, including similes and metaphors, in context."
5.L.5.b,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Recognize and explain the meaning of common idioms, adages, and proverbs."
5.L.5.c,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words."
5.L.6,Common Core English Language Arts Standards,CC ELA,3-5,Language,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition)."
6.L.1,Common Core English Language Arts Standards,CC ELA,6-8,Language,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
6.L.2,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
6.L.3,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
6.L.4,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 6 reading and content, choosing flexibly from a range of strategies."
6.L.5,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
6.L.6,Common Core English Language Arts Standards,CC ELA,6-8,Language,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
7.L.1,Common Core English Language Arts Standards,CC ELA,6-8,Language,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
7.L.1.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,Explain the function of phrases and clauses in general and their function in specific sentences.
7.L.1.b,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Choose among simple, compound, complex, and compound-complex sentences to signal differing relationships among ideas."
7.L.1.c,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Place phrases and clauses within a sentence, recognizing and correcting misplaced and dangling modifiers.*"
7.L.2,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
7.L.2.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use a comma to separate coordinate adjectives (e.g., It was a fascinating, enjoyable movie but not He wore an old[,] green shirt)."
7.L.2.b,Common Core English Language Arts Standards,CC ELA,6-8,Language,Spell correctly.
7.L.3,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
7.L.3.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Choose language that expresses ideas precisely and concisely, recognizing and eliminating wordiness and redundancy.*"
7.L.4,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 7 reading and content, choosing flexibly from a range of strategies."
7.L.4.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
7.L.4.b,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., belligerent, bellicose, rebel)."
7.L.4.c,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
7.L.4.d,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
7.L.5,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
7.L.5.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Interpret figures of speech (e.g., literary, biblical, and mythological allusions) in context."
7.L.5.b,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use the relationship between particular words (e.g., synonym/antonym, analogy) to better understand each of the words."
7.L.5.c,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., refined, respectful, polite, diplomatic, condescending)."
7.L.6,Common Core English Language Arts Standards,CC ELA,6-8,Language,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
8.L.1,Common Core English Language Arts Standards,CC ELA,6-8,Language,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
8.L.1.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Explain the function of verbals (gerunds, participles, infinitives) in general and their function in particular sentences."
8.L.1.b,Common Core English Language Arts Standards,CC ELA,6-8,Language,Form and use verbs in the active and passive voice.
8.L.1.c,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Form and use verbs in the indicative, imperative, interrogative, conditional, and subjunctive mood."
8.L.1.d,Common Core English Language Arts Standards,CC ELA,6-8,Language,Recognize and correct inappropriate shifts in verb voice and mood.*
8.L.2,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
8.L.2.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use punctuation (comma, ellipsis, dash) to indicate a pause or break."
8.L.2.b,Common Core English Language Arts Standards,CC ELA,6-8,Language,Use an ellipsis to indicate an omission.
8.L.2.c,Common Core English Language Arts Standards,CC ELA,6-8,Language,Spell correctly.
8.L.3,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
8.L.3.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use verbs in the active and passive voice and in the conditional and subjunctive mood to achieve particular effects (e.g., emphasizing the actor or the action; expressing uncertainty or describing a state contrary to fact)."
8.L.4,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Determine or clarify the meaning of unknown and multiple-meaning words or phrases based on grade 8 reading and content, choosing flexibly from a range of strategies."
8.L.4.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
8.L.4.b,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., precede, recede, secede)."
8.L.4.c,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
8.L.4.d,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
8.L.5,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
8.L.5.a,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Interpret figures of speech (e.g. verbal irony, puns) in context."
8.L.5.b,Common Core English Language Arts Standards,CC ELA,6-8,Language,Use the relationship between particular words to better understand each of the words.
8.L.5.c,Common Core English Language Arts Standards,CC ELA,6-8,Language,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., bullheaded, willful, firm, persistent, resolute)."
8.L.6,Common Core English Language Arts Standards,CC ELA,6-8,Language,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
9-10.L.1,Common Core English Language Arts Standards,CC ELA,9-12,Language,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
9-10.L.1.a,Common Core English Language Arts Standards,CC ELA,9-12,Language,Use parallel structure.*
9-10.L.1.b,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Use various types of phrases (noun, verb, adjectival, adverbial, participial, prepositional, absolute) and clauses (independent, dependent; noun, relative, adverbial) to convey specific meanings and add variety and interest to writing or presentations."
9-10.L.2,Common Core English Language Arts Standards,CC ELA,9-12,Language,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
