name_s,url_s
Computing Needs All Voices,https://bootstrapworld.org/materials/latest/en-us/lessons/computing-needs-all-voices/index.shtml
Hour of Data,https://teacher.desmos.com/activitybuilder/custom/61aeb1da79cd49727623544f
Animal House,https://bootuppd.org/lesson-plan/scratchjr/animal-house/watch-this-first/
Under the Sea,https://bootuppd.org/lesson-plan/scratchjr/under-the-sea/watch-this-first/
Starry Night,https://bootuppd.org/lesson-plan/scratchjr/starry-night/watch-this-first/
Dance Fever,https://bootuppd.org/lesson-plan/scratchjr/dance-fever/watch-this-first/
GridLight: Hello World,https://www.botschool.io/hoc
Art & Music: Color (Vidcode),https://go.brainpop.com/vidcode/color
English: Biography (Scratch),https://go.brainpop.com/scratch/biography
Art & Music: Color (Scratch),https://go.brainpop.com/scratch/color
Health: DNA (Scratch),https://go.brainpop.com/scratch/DNA
Science: Food Chains (Vidcode),https://go.brainpop.com/vidcode/foodchains
English: Biography (Vidcode),https://go.brainpop.com/vidcode/biographies
Health: DNA (Vidcode),https://go.brainpop.com/vidcode/DNA
Math: Multiplication (Scratch),https://go.brainpop.com/scratch/multiplication
Math: Multiplication (Vidcode),https://go.brainpop.com/vidcode/multiplication
Social Studies: Martin Luther King Jr. (Scratch),https://go.brainpop.com/scratch/MLK
Social Studies: Martin Luther King Jr. (Vidcode),https://go.brainpop.com/vidcode/MLK
Digital Citizenship: Online Safety (Scratch),https://go.brainpop.com/scratch/onlinesafety
Digital Citizenship: Online Safety (Vidcode),https://go.brainpop.com/vidcode/onlinesafety
Science: Food Chains (Scratch),https://go.brainpop.com/scratch/foodchains
Engineering & Tech: Computer Programming (Scratch),https://go.brainpop.com/scratch/computerprogramming
Engineering & Tech: Computer Programming (Vidcode),https://go.brainpop.com/vidcode/computerprogramming
Haspy and Lockit: Code Buddies,https://www.breakoutedu.com/hourofcode
Creative Coding,https://brilliant.org/s/hour-of-code/creative-coding/#creative_coding
Thinking in Code,https://brilliant.org/s/hour-of-code/thinking-in-code/#thinking_in_code
"Rock, Paper, Scissors with Python",https://app.bsd.education/project/rock-paper-scissors-with-python
My Favorites Website,https://app.bsd.education/project/my-favorites-website--hour-of-code?utm_source=ActiveCampaign&utm_medium=email&utm_term=footer&utm_content=Where&utm_campaign=Parent
Support My Cause,https://app.bsd.education/project/support-my-cause--bsd-start
Jokes and Riddles,https://app.bsd.education/project/jokes-and-riddles--bsd-start
Life Below Water,https://app.bsd.education/project/life-below-water--bsd-start
World of JavaScript,https://craft.buzzcoder.com/?lesson=hoc-js
World of Python 2,https://craft.buzzcoder.com/?lesson=hoc2
World of JavaScript 2,https://craft.buzzcoder.com/?lesson=hoc2-js
Zulama MakeQuest Video Game Activity,https://code.carnegielearning.com/
Zillah Beats,https://www.cs2n.org/u/mp/badge_pages/2647
Iris Rover Challenge with VICE Virtual Robot,https://www.cs2n.org/u/mp/badge_pages/2597
Machine Vision in Robotics (Virtual),https://www.cs2n.org/u/track_progress?id=775
Virtual SPIKE Prime Coding - Iris Rover Challenge,https://www.cs2n.org/u/mp/badge_pages/2054
Sensabot Challenge,https://www.cs2n.org/u/mp/badge_pages/1293
Algorithmic Doodle Art,https://teachinglondoncomputing.org/algorithmic-doodle-art/
Create-a-Face,https://teachinglondoncomputing.files.wordpress.com/2014/02/activity-create-a-face.pdf
Australian Magician's Dream Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-australian-magicians-dream-activity/
Brain-in-a-bag Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-brain-in-a-bag-activity/
Compression Code Puzzles,https://teachinglondoncomputing.org/compression-code-puzzles/
Emotion Machine: Create-a-Face Card,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-emotion-machine-activity/
HexaHexaFlexagon Automata Activity,https://teachinglondoncomputing.org/computational-thinking-hexahexaflexagon-automata/
Invisible Palming Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-invisible-palming-activity/
JFLAP: Creating Finite State Machines,https://teachinglondoncomputing.org/jflap-creating-finite-state-machines/
Kriss-Kross Puzzles,https://teachinglondoncomputing.org/kriss-kross-puzzles/
Knight's Tour Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-knights-tour-activity/
Locked-In,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-locked-in-activity/
Magical Book Magic,https://teachinglondoncomputing.org/resources/computational-thinking-magical-book-magic/
Microwave Racing Video Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/microwave-racing-video/
The Red Black Mind Meld Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-red-black-mind-meld-activity/
Pixel Puzzles,https://teachinglondoncomputing.org/pixel-puzzles/
Punch Card Searching Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-punch-card-searching-activity/
The Teleporting Robot Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-teleporting-robot-activity/
Tour Guide Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-tour-guide-activity/
Galaxy Game Jam,http://catrob.at/HourOfCode
Coded Embroidery,https://catrob.at/CodedEmbroidery
Coding Galaxy - Adventure Planet,https://codinggalaxy.com/hour-of-code
Coding Galaxy: City X,https://codinggalaxy.com/cityx/hour-of-code
Chibitronics: Illuminated Story,https://chibitronics.com/illuminated-story-lesson/
Silicon Synapses: Evolution of AI,https://learn.codeavengers.com/impacts-of-computing/900
"Old MacDonald Hacked a farm, AI, AI Drone",https://learn.codeavengers.com/impacts-of-computing/400#1.1.2
Build a Game with JavaScript,https://www.codeavengers.com/javascript/105
New Kids on the Blockchain,https://learn.codeavengers.com/impacts-of-computing/700
Keyboard Quest: CS100 Software & Hardware,https://www.codeavengers.com/computing-systems/100#1.1.1
AVATAR: Big Data & Digital Footprints,https://learn.codeavengers.com/impacts-of-computing/600
Operation Cloud,https://www.codeavengers.com/ns600
Face the Future,https://docs.google.com/document/d/1s-j9x6ZQEJN9o9MVow3QTahvvcJoZwNidICFZmCSpIE/edit?usp=sharing
Gesture Genius,https://docs.google.com/document/d/1fojq9bpXV-UCh0T7V7Pch_cLV-9e1AFbOfr4X8K0NYc/edit
Matariki: Māori New Year,https://www.codeavengers.com/computational-thinking/200
Super Slimer: Code Your Adventure,https://codecampworld.com/hourofcode
Firewall,https://www.codecampworld.com/hourofcode2019
Broadcasting spells: Scratch coding beyond the basics,https://projects.raspberrypi.org/en/projects/broadcasting-spells?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-broadcasting-spells
Hello world: Say hello to Python coding,https://projects.raspberrypi.org/en/projects/hello-world?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-hello-world
Binary Hero,https://projects.raspberrypi.org/en/projects/binary-hero?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-binary-hero
Code it! - Images and Animations,https://app.code-it-studio.de/course/step/12/118
The Big Duck Race,https://app.code-it-studio.de/
Code Like a Girl: A Storyteller,https://trinket.io/hourofpython/courses/storyteller#/welcome/1-start-here
Code your own sports game,https://code.org/athletes
Play Lab,https://code.org/playlab
Infinity Play Lab,https://studio.code.org/s/infinity/reset
Introduction to Machine Learning,https://studio.code.org/s/how-ai-works-2023/lessons/1?viewAs=Instructor
Intro to App Lab,http://studio.code.org/s/applab-intro/reset
Simple Encryption,https://studio.code.org/s/hoc-encryption/reset
Algorithmic Bias,https://studio.code.org/s/how-ai-works-2023/lessons/6?viewAs=Instructor
The Big Event,https://studio.code.org/s/course1/lessons/15/levels/1
Chatbots and Large Language Models,https://studio.code.org/s/how-ai-works-2023/lessons/4?viewAs=Instructor
Our AI Code of Ethics,https://studio.code.org/s/how-ai-works-2023/lessons/7?viewAs=Instructor
Computer Vision,https://studio.code.org/s/how-ai-works-2023/lessons/2?viewAs=Instructor
Generative Images,https://studio.code.org/s/how-ai-works-2023/lessons/5?viewAs=Instructor
Getting Loopy,https://studio.code.org/s/course1/lessons/12/levels/1
Graph Paper Programming,https://studio.code.org/s/course2/lessons/1/levels/1
Happy Maps,https://studio.code.org/s/course1/lessons/1/levels/1
"Move it, Move it!",https://studio.code.org/s/course1/lessons/2/levels/1
Neural Networks,https://studio.code.org/s/how-ai-works-2023/lessons/3?viewAs=Instructor
Persistence: Building a Foundation,https://studio.code.org/s/course1/lessons/9/levels/1
Societal Impact of Generative AI,https://studio.code.org/s/ai-ethics-2023/lessons/2?viewAs=Instructor
Text Compression,https://studio.code.org/s/text-compression/reset
Code your own sports game,https://studio.code.org/s/sports/reset
Code your own sports game,https://studio.code.org/s/sports/reset
Minecraft Hour of Code,http://studio.code.org/s/mc-events/reset
Make a basketball game,https://studio.code.org/s/basketball/reset
Star Wars: Building a Galaxy with Code,https://studio.code.org/s/starwarsblocks/reset
Ice Age Play Lab,http://studio.code.org/s/iceage/reset
Star Wars: Building a Galaxy with Code,https://studio.code.org/s/starwars/reset
Placeholder for new code.org/hoc,http://studio.code.org/hoc/reset
Gumball Play Lab,http://studio.code.org/s/gumball/reset
Play Lab,http://studio.code.org/s/playlab/reset
Dance Party,https://code.org/dance
Write your first computer program,http://studio.code.org/s/2/reset
Minecraft Hour of Code,http://studio.code.org/s/mc-events/reset
Minecraft Hour of Code,http://studio.code.org/s/hero/reset
Minecraft Hour of Code,http://studio.code.org/s/aquatic/reset
Make a basketball game,https://studio.code.org/s/basketball/reset
Dance After-Party,http://studio.code.org/s/dance-extras/reset
Dance After-Party,http://studio.code.org/s/dance-extras/reset
Disney Star Wars,http://studio.code.org/s/starwars/reset
Disney Star Wars,http://studio.code.org/s/starwars/reset
Minecraft Hour of Code,http://studio.code.org/s/mc/reset
Disney Star Wars,http://studio.code.org/s/starwarsblocks/reset
Disney Star Wars,http://studio.code.org/s/starwarsblocks/reset
Minecraft Hour of Code,http://studio.code.org/s/mc/reset
Hello World,https://code.org/helloworld
Poem Art,https://studio.code.org/s/poetry-hoc3/lessons/1/levels/1
Dance Party: AI Edition,https://studio.code.org/s/dance-ai-2023/lessons/1/levels/1
Falling Objects: Game Design on Scratch,https://www.code-art.com/hour-of-code-game-design/
Code Your Self-Portrait,https://code-art.com/hour-of-code 
Learn Programming With JavaScript​ In A Jiffy​,http://code-capture.com
CodeCombat: Build an Arcade Game!,https://codecombat.com/play/game-dev-hoc-2?hour_of_code=true
CodeCombat AI HackStack,https://codecombat.com/ai/
"CodeCombat: Code, Play, Create",https://codecombat.com/play/hoc-2018
CodeCombat: Teacher-Led Activities,https://codecombat.com/teachers/resources/hoc?hour_of_code=true
CodeCombat,http://codecombat.com/?hour_of_code=true
Draw with code,https://codeguppy.com/hourofcode.html
Introduction to text based coding,https://codeguppy.com/code.html?t=_intro_to_coding
Coding in Sports,https://codehs.com/hoc_sports
Program in Python with Tracy the Turtle,https://www.codehs.com/hoc_turtle
Coding in Music,https://codehs.com/hoc_music
Make a Real App with JavaScript,https://www.codehs.com/hoc_apps
Create Virtual Worlds with CodeHS,https://www.codehs.com/hoc_VR
Supporting Artists with Code,https://www.codehs.com/hoc_coding_for_artists
Learn to Code with Karel the Dog,https://www.codehs.com/hoc_karel
Coding Mathematical Models,https://codehs.com/hoc_modeling
Training AI Using Data K-1,https://codehs.com/hoc/TrainingAIUsingData-K1
Drawing and Scratch,http://codehs.com/HourOfCodeScratchDrawing
Digital Art in Pixels with CodeHS,https://www.codehs.com/hoc_pixels
Triangle Computations with CodeHS,https://codehs.com/hoc_triangles
CodeHS Pixel Art,https://codehs.com/hourofcode/unplugged/pixel
Training AI Using Data 2-5,https://codehs.com//hoc/TrainingAIUsingData2-5
Generating Art with Code,https://codehs.com/hoc_art
Cryptocurrency: Explore the Bitcoin Ledger,https://codehs.com/hoc_bitcoin
Cryptocurrency: Explore Blockchain Technology,https://codehs.com/hoc_blockchain
Programming an Adaptation: Camouflage,http://codehs.com/HourOfCodeCamouflage
Caesar Cipher Wheel,https://drive.google.com/file/d/15fij1HordMyCJDkZDGYgelXFyYKGC9Sn/view
Coding Collision Simulations,https://codehs.com/hoc_collisions
Coding with Data Visualizations,https://codehs.com/hoc/data_visualization
Exploring Genotypes with Code,https://codehs.com/hoc_punnettsquares
Coding in Java with CodeHS,https://www.codehs.com/hoc_java
JavaScript Graphics with CodeHS,https://codehs.com/hoc_js_graphics
Coding for a Litter-Free Community,https://codehs.com/hoc_litterfree
Code in Python with CodeHS,https://www.codehs.com/hoc_python
Creating Apps with React Native,https://www.codehs.com/hoc_react
Web Design with CodeHS,https://www.codehs.com/hoc_web_design
CodeJIKA: Snake Arcade Game, https://me.codejika.org/rocket/C1/P4/T1
CodeJIKA: My Biz Website,https://me.codejika.org/rocket/C1/P3/T1
CodeJIKA: 5 Minute Website,https://codejika.com/learn/5-minute-website
Beginning JavaScript,https://codemoji.com/lessons/js/intermediate/1.php
Scratch: Create Your Own Snake Game,https://docs.google.com/document/d/1AAkb4fB0gH6t3qGbTCXdhzkPNArbNwo9/edit?usp=sharing&ouid=112076886274395136293&rtpof=true&sd=true
Python Lab,https://itunes.apple.com/us/app/python-lab/id1147471002?mt=8
Bamboo JS,https://www.codemoji.com/hourofcode/js/1.php
Learn Basic Java,https://www.codemoji.com/lessons/java/expert/1.php
Unplugged: Code A Maze,https://docs.google.com/document/d/1N0RKDniwEOmX-Pf19G27_naOYNnGWELPsZ6iv_f0vsk/edit
Make Pizza with JavaScript,https://food.codemoji.com/
Codemoji,https://www.codemoji.com/hourofcode/html/1.php
Codemoji,https://www.codemoji.com/hourofcode/html/1.php
CodeMonkey,http://playcodemonkey.com/referrers/launch?referrer=corg
AI is a Hoot: Pose Detection,https://app.codemonkey.com/courses/ai-mini-course#1
Dodo Does Math,https://www.codemonkey.com/hour-of-code/dodo-does-math
Space Adventure: Write Code and Catch Bananas!,https://www.codemonkey.com/hour-of-code/space-adventure/
Game Builder,https://www.codemonkey.com/hour-of-code/game-builder
Banana Tales: Python Coding Game,https://www.codemonkey.com/hour-of-code/banana-tales/
Moon Lander,https://www.codemonkey.com/hour-of-code/moon-lander 
Trivia Chatbot,https://www.codemonkey.com/hour-of-code/trivia-chatbot/
Grid Garden,http://cssgridgarden.com/
Flexbox Froggy,http://flexboxfroggy.com/
Target practice: Introduction to Python graphics,https://projects.raspberrypi.org/en/projects/target-practice?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-target-practice
Anime expressions: Create and style a webpage for an anime drawing tutorial,https://projects.raspberrypi.org/en/projects/anime-expressions?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-anime-expressions
Beginner Scratch Sushi Cards,https://projects.raspberrypi.org/en/projects/cd-beginner-scratch-sushi?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-deep-sea
Build a Grow a Plant! Game in Scratch,https://www.codespeaklabs.com/blog/build-a-grow-a-plant-game-in-scratch
Create a Climate Change Trivia Game on Scratch,https://www.codespeaklabs.com/blog/create-a-climate-change-trivia-game-on-scratch
Code a Grandparent Card in Scratch,https://www.codespeaklabs.com/blog/code-a-grandparent-card-in-scratch
Coding Twinkle Little Star in ScratchJr,https://www.codespeaklabs.com/blog/coding-twinkle-story-time-with-scratchjr
Program a Strong Password Generator in Python,https://www.codespeaklabs.com/blog/program-a-strong-password-generator-in-python
How to Code A Trivia Game on Scratch Using AI,https://www.codespeaklabs.com/blog/how-to-make-a-trivia-game-using-ai-chatgpt-on-scratch
Let's Play with the ScratchJr Kitten! Activity Pack,https://www.codespeaklabs.com/blog/coding-story-time-with-the-scratchjr-kitten
Build a Road Game in Scratch,https://www.codespeaklabs.com/blog/build-a-road-game-in-scratch
Code a Time Capsule in Scratch,https://www.codespeaklabs.com/blog/code-a-time-capsule-in-scratch
The Little Artist In Your Computer Activity Pack,https://www.codespeaklabs.com/blog/unplugged-coding-activity-little-artist-inside-your-computer
Code a Pokemon Evolution Game,https://www.codespeaklabs.com/blog/code-a-pokemon-evolution-game-in-scratch
Code a Pixel Art Editor in Bitsbox,https://www.codespeaklabs.com/blog/create-a-pixel-art-editor-in-bitsbox
Code a Healthy Meal App,https://www.codespeaklabs.com/blog/code-a-healthy-meal-app
Build an AI Chatbot in Python,https://www.codespeaklabs.com/blog/build-an-ai-chatbot-in-python
Code a Meditation Breathing App,https://www.codespeaklabs.com/blog/code-a-meditation-breathing-app
Code a Chatbot with the Female CS Pioneers,https://www.codespeaklabs.com/blog/code-a-chatbot
Create a Website to Spread Awareness About Climate Change,https://www.codespeaklabs.com/blog/create-a-website-to-spread-awareness-about-climate-change
Build a Composting Game in Scratch,https://www.codespeaklabs.com/blog/build-a-composting-game-in-scratch
Code a Happy Place Meditation App,https://www.codespeaklabs.com/blog/code-a-happy-place-meditation-app
Team Hardware vs. Team Software,https://www.codespeaklabs.com/blog/coding-story-time-hardware-vs-software
Codesters: Soccer Shot,https://www.codesters.com/curriculum/hour-of-code-2020/Soccer+Shot/
Transformation Puzzles,https://www.codesters.com/curriculum/hour-of-code-2018/Transformation+Puzzles/1/
Codesters: We Can Stop COVID PSA,https://www.codesters.com/curriculum/hour-of-code-2020/We+Can+Stop+COVID+PSA/
The Coordinate Plane,https://www.codesters.com/curriculum/hour-of-code-2018/The+Coordinate+Plane/1/
Codesters: Social Distancing Sprites,https://www.codesters.com/curriculum/hour-of-code-2020/Social+Distancing+Sprites/
Codesters: Unity Mural,https://www.codesters.com/curriculum/hour-of-code-2020/Unity+Mural/
My First Platformer Game,https://me.codetribe.com/rocket/C2/P1/T1
My First Landing Page,https://me.codetribe.com/rocket/C1/P1/T1
My Space Explorer,https://me.codetribe.com/rocket/C2/P2/T1
Code Tribe: 10 Minute Program,https://me.codetribe.com/rocket/C1/P0/T1
C.A.T.S. go for Robot Olympics,https://codewards.org/hoc-cats
Rescue the underwater city!,https://codewards.org/hour-of-code
CodeYalla: 5 Minute Website,https://me.codeyalla.org/rocket/C1/P0/T0
Programming Hero,https://play.google.com/store/apps/details?id=com.learnprogramming.codecamp
The Crypto Memory Game,https://coinbase.github.io/memorygame/story.html
Secret Codes Activity,https://code.org/files/csteacher/secretcodes.pdf
Computer History Activity,https://code.org/files/csteacher/computerhistory.pdf
Grace Hopper Debugging Activity,https://code.org/files/csteacher/gracehopperdebugging.pdf
Unplugged Coding from Crayola Education: Draw A Code, https://drive.google.com/file/d/1Zw6ahk5-E-EymOD9hBz0reXrjjtE6vgi/view?usp=sharing
Unplugged Coding from Crayola Education: Follow My Code,https://drive.google.com/file/d/1C0cMfYeJCx32r5VSK09ZkQ3v8YfW-VuL/view?usp=sharing
Unplugged Coding from Crayola Education: Visual Symbols Convey Meaning,https://drive.google.com/file/d/1qz1RALIXozyyrDfcUEqJ6aWOHTxDl_A9/view?usp=sharing
Learn How Binary Works with Computers using Minecraft,https://docs.google.com/presentation/d/1bgKR8LHwCFHCdabFG5tRgwxfJx6OA0rvj7KquY7nWBg/edit?usp=sharing
Build Your Own Carbon Calculator,https://sites.google.com/createandlearn.us/hour-of-code/home
Welcome to Data Superpower,https://sites.google.com/createandlearn.us/hour-of-code/home
Fashionistas of Data Science - Class 1,https://sites.google.com/createandlearn.us/hour-of-code/home
Fashionistas of Data Science - Class 2,https://sites.google.com/createandlearn.us/hour-of-code/home
Build Fun Apps/Games Using ChatGPT AI,https://app.creaticode.com/tutorials
CodeQuilt,https://codequilt.com/
We Can Create a Story Together!,https://drive.google.com/file/d/10w_of0NIfCWxavLrTT6iJYJtVfgIpCD9/view?usp=sharing
"Twinkle, Twinkle Little Star Class Collaboration",https://drive.google.com/file/d/1QWHRNDf5zv0rTeMeoTA39RSoLdgDsD3q/view?usp=sharing
ScratchJr: Can I Make a Spooky Forest?,https://code.org/files/scratchjr_forest.pdf
ScratchJr: Can I Make My Characters Greet Each Other?,https://code.org/files/scratchjr_greet.pdf
ScratchJr: Can I Make the Sun Set?,https://code.org/files/scratchjr_sunset.pdf
Scratch - Book to Code,https://resources.digitalmoment.org/book-to-code/
Scratch - Planet Wind,https://resources.digitalmoment.org/planet-wind/
Data Literacy in the AI Era Workshop,https://algorithmliteracy.org/
Scratch - Solar Power Hour,https://resources.digitalmoment.org/solar-power-hour/
Recoloring the Universe,http://chandra.si.edu/code
Build your own chatbot in Python,https://www.educative.io/courses/build-your-own-chatbot-in-python
Robots and Java: An introduction to Java,https://www.educative.io/collection/13890001/5677350838599680
Bake a Cake With HTML!,https://app.educode.org/hour-of-code/activity-2
Code your own racing game!,https://app.educode.org/hour-of-code/activity-6
Defend the Kingdom!,https://app.educode.org/hour-of-code/activity-5
Learn the Basics!,https://app.educode.org/hour-of-code/activity-1
The Frosted Forest,https://app.educode.org/hour-of-code/activity-8
Temple of Horus,https://app.educode.org/hour-of-code/activity-10
Chiroptera's Lair,https://app.educode.org/hour-of-code/activity-9
Design Your Own Maze!,https://app.educode.org/hour-of-code/activity-4
Uncover the Agency's Secrets!,https://app.educode.org/hour-of-code/activity-3
Space Solo,https://app.educode.org/hour-of-code/activity-7
Computational Thinking and Programming Challenge,http://challenge.bebraschallenge.org/index.php?action=anon_join&grp_id=818
Finch Fractals,http://www.finchrobot.com/teaching/hour-code-finch-fractals
Creating a Game with Hummingbird,http://www.hummingbirdkit.com/teaching/hour-code-creating-game-hummingbird
Through the Maze with the Finch Robot,http://www.finchrobot.com/teaching/hour-code-through-maze-finch
Spirals with the Finch,http://www.finchrobot.com/teaching/hour-code-spirals-finch
Haunted Code Chronicles,https://firialabs.com/pages/haunted-code-chronicles-hour-of-code-activity
Intro to Python with CodeBot,https://firialabs.com/pages/hour-of-codebot
Learn Python with the micro:bit,https://firialabs.com/pages/hour-of-code
Python with CodeX,https://firialabs.com/pages/hour-of-codex
CodeSpace: Virtual Robotics with Python,https://firialabs.com/pages/hour-of-codespace-sim
FIRST Tech Challenge Simulator,https://ftcsim.org/ftcsim/
Coding: Algorithms Lesson Plan,https://www.flocabulary.com/lesson/Algorithms/
Coding: For Loops Lesson Plan,https://www.flocabulary.com/lesson/coding-for-loops/
Coding: Conditionals Lesson Plan,https://www.flocabulary.com/lesson/coding-conditionals/
Writing and interpreting Events,https://www.flocabulary.com/lesson/Coding-Events/
Design a Robot,https://www.flocabulary.com/lesson/Robots/
Code your own colossal squid game,http://make.gamefroot.com/activities/squid-adventure
Games Industry Activity: Code a Platformer game,https://make.gamefroot.com/tutorials/Hour-of-Code-Platform-Game
COVID-19 Simulator: Learn about social distancing through computer science.,https://make.gamefroot.com/tutorials/COVID-19-Stop-the-Spread
