code_s,name_s,url_s
blackbird_screen,Screen Saver,https://app.blackbirdcode.com/hoc.php?curriculum_id=4
blockscad_robot,BlocksCAD Robot,https://www.blockscad3d.com/hourofcoderobot
blockscad_pizza,BlocksCAD Pizza Printer,https://www.blockscad3d.com/hourofcodepizzaprinter
blockscad_snow,BlocksCAD Snowflake,https://www.blockscad3d.com/hourofcodesnowflake
blockscad_birdhouses,BlocksCAD Birdhouses,https://www.blockscad3d.com/hourofcodebirdhouses
blockscad_starwars,Star Wars and BB-8 with Geometry and Code,https://docs.google.com/document/d/1vI1y8Hz94yEk1qG_8FxHo-dmZRjWQ1ON/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
blockscad_game,Custom Game Consoles with Code,https://docs.google.com/document/d/1kj0Kvp-cnCJoo0q7r9BlgWpUIz50gNN5/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
blockscad_coin,Coin-Flipping Simulator,https://docs.google.com/document/d/10s-TGX_OZ0CkOFKQ9Jl4Weh9DvXPd5Fn/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
blockscad_clock,BlocksCAD Analog Clock,https://www.blockscad3d.com/hourofcodeclock
blockscad_icecream,BlocksCAD Ice Cream Machine,https://www.blockscad3d.com/hourofcodeicecreammachine
blockscad_scalecity,BlocksCAD Scale City,https://www.blockscad3d.com/hourofcodescalecity
blockscad_solar,Building Solar Power with Loops,https://docs.google.com/document/d/1kb111GKixWXSx1mxRYJuvTRIS85nVz99/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
blockscad_target,BlocksCAD Transformation Target Practice,https://www.blockscad3d.com/hourofcodeTTP
blockscad_virus,BlocksCAD Modeling a Virus with Code,https://www.blockscad3d.com/hourofcode
blockscad_roblox,BlocksCAD Roblox Characters,https://docs.google.com/document/d/1MYHBO4v1crvWI1qJKMflrlzKB4gvIa0k/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true
blocksmith_yeti,Don't Yeet the Yeti,https://www.blocksmithxr.com/blog/hourofcode
blupants,BluPants: Learn Coding with Real Robots,https://blupants.com/hourofcode
bs_image,Image Composition - A Wintry Puzzle!,https://bootstrapworld.org/materials/fall2022/en-us/lessons/hoc-winter-parley/
bs_computing,Computing Needs All Voices,https://bootstrapworld.org/materials/latest/en-us/lessons/computing-needs-all-voices/index.shtml
bs_data,Hour of Data,https://teacher.desmos.com/activitybuilder/custom/61aeb1da79cd49727623544f
bootup_animal,Animal House,https://bootuppd.org/lesson-plan/scratchjr/animal-house/watch-this-first/
bootup_sea,Under the Sea,https://bootuppd.org/lesson-plan/scratchjr/under-the-sea/watch-this-first/
bootup_starry,Starry Night,https://bootuppd.org/lesson-plan/scratchjr/starry-night/watch-this-first/
bootup_dance,Dance Fever,https://bootuppd.org/lesson-plan/scratchjr/dance-fever/watch-this-first/
botschool_gridlight,GridLight: Hello World,https://www.botschool.io/hoc
bp_art_vidcode,Art & Music: Color (Vidcode),https://go.brainpop.com/vidcode/color
bp_english_scratch,English: Biography (Scratch),https://go.brainpop.com/scratch/biography
bp_art_scratch,Art & Music: Color (Scratch),https://go.brainpop.com/scratch/color
bp_health_scratch,Health: DNA (Scratch),https://go.brainpop.com/scratch/DNA
bp_science_vidcode,Science: Food Chains (Vidcode),https://go.brainpop.com/vidcode/foodchains
bp_english_vidcode,English: Biography (Vidcode),https://go.brainpop.com/vidcode/biographies
bp_health_vidcode,Health: DNA (Vidcode),https://go.brainpop.com/vidcode/DNA
bp_math_scratch,Math: Multiplication (Scratch),https://go.brainpop.com/scratch/multiplication
bp_math_vidcode,Math: Multiplication (Vidcode),https://go.brainpop.com/vidcode/multiplication
bp_mlk_scratch,Social Studies: Martin Luther King Jr. (Scratch),https://go.brainpop.com/scratch/MLK
bp_mlk_vidcode,Social Studies: Martin Luther King Jr. (Vidcode),https://go.brainpop.com/vidcode/MLK
bp_safety_scratch,Digital Citizenship: Online Safety (Scratch),https://go.brainpop.com/scratch/onlinesafety
bp_safety_vidcode,Digital Citizenship: Online Safety (Vidcode),https://go.brainpop.com/vidcode/onlinesafety
bp_science_scratch,Science: Food Chains (Scratch),https://go.brainpop.com/scratch/foodchains
bp_tech_scratch,Engineering & Tech: Computer Programming (Scratch),https://go.brainpop.com/scratch/computerprogramming
bp_tech_vidcode,Engineering & Tech: Computer Programming (Vidcode),https://go.brainpop.com/vidcode/computerprogramming
breakout_lock,Haspy and Lockit: Code Buddies,https://www.breakoutedu.com/hourofcode
brilliant_create,Creative Coding,https://brilliant.org/s/hour-of-code/creative-coding/#creative_coding
brilliant_thinking,Thinking in Code,https://brilliant.org/s/hour-of-code/thinking-in-code/#thinking_in_code
bsd_rockpaper,"Rock, Paper, Scissors with Python",https://app.bsd.education/project/rock-paper-scissors-with-python
bsd_website,My Favorites Website,https://app.bsd.education/project/my-favorites-website--hour-of-code?utm_source=ActiveCampaign&utm_medium=email&utm_term=footer&utm_content=Where&utm_campaign=Parent
bsd_cause,Support My Cause,https://app.bsd.education/project/support-my-cause--bsd-start
bsd_jokes,Jokes and Riddles,https://app.bsd.education/project/jokes-and-riddles--bsd-start
bsd_ocean,Life Below Water,https://app.bsd.education/project/life-below-water--bsd-start
buzzcoder_js1,World of JavaScript,https://craft.buzzcoder.com/?lesson=hoc-js
buzzcoder_py2,World of Python 2,https://craft.buzzcoder.com/?lesson=hoc2
buzzcoder_js2,World of JavaScript 2,https://craft.buzzcoder.com/?lesson=hoc2-js
globaloria,Zulama MakeQuest Video Game Activity,https://code.carnegielearning.com/
carnegie_zillah,Zillah Beats,https://www.cs2n.org/u/mp/badge_pages/2647
carnegie_iris,Iris Rover Challenge with VICE Virtual Robot,https://www.cs2n.org/u/mp/badge_pages/2597
carnegie_machine,Machine Vision in Robotics (Virtual),https://www.cs2n.org/u/track_progress?id=775
carnegie_spike,Virtual SPIKE Prime Coding - Iris Rover Challenge,https://www.cs2n.org/u/mp/badge_pages/2054
carnegie_sensabot,Sensabot Challenge,https://www.cs2n.org/u/mp/badge_pages/1293
tlc_doodle_art,Algorithmic Doodle Art,https://teachinglondoncomputing.org/algorithmic-doodle-art/
create_face,Create-a-Face,https://teachinglondoncomputing.files.wordpress.com/2014/02/activity-create-a-face.pdf
tlc_aussie_magician,Australian Magician's Dream Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-australian-magicians-dream-activity/
tlc_brain_bag,Brain-in-a-bag Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-brain-in-a-bag-activity/
tlc_compressed_code,Compression Code Puzzles,https://teachinglondoncomputing.org/compression-code-puzzles/
tlc_emotion_machine,Emotion Machine: Create-a-Face Card,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-emotion-machine-activity/
tlc_hexflex,HexaHexaFlexagon Automata Activity,https://teachinglondoncomputing.org/computational-thinking-hexahexaflexagon-automata/
tlc_invisible_palm,Invisible Palming Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-invisible-palming-activity/
tlc_jflap,JFLAP: Creating Finite State Machines,https://teachinglondoncomputing.org/jflap-creating-finite-state-machines/
tlc_kriskross,Kriss-Kross Puzzles,https://teachinglondoncomputing.org/kriss-kross-puzzles/
tlc_knight_tour,Knight's Tour Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-knights-tour-activity/
tlc_locked_in,Locked-In,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-locked-in-activity/
tlc_magic_book,Magical Book Magic,https://teachinglondoncomputing.org/resources/computational-thinking-magical-book-magic/
tlc_microwave,Microwave Racing Video Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/microwave-racing-video/
tlc_mind_meld,The Red Black Mind Meld Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-red-black-mind-meld-activity/
tlc_pixel_puzzles,Pixel Puzzles,https://teachinglondoncomputing.org/pixel-puzzles/
tlc_punchcard_search,Punch Card Searching Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-punch-card-searching-activity/
tlc_teleporting_robot,The Teleporting Robot Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-teleporting-robot-activity/
tlc_tourguide,Tour Guide Activity,https://teachinglondoncomputing.org/resources/inspiring-unplugged-classroom-activities/the-tour-guide-activity/
galaxy_game,Galaxy Game Jam,http://catrob.at/HourOfCode
catrobat_embroidery,Coded Embroidery,https://catrob.at/CodedEmbroidery
cherrypicks_codinggalaxy,Coding Galaxy - Adventure Planet,https://codinggalaxy.com/hour-of-code
cityx,Coding Galaxy: City X,https://codinggalaxy.com/cityx/hour-of-code
chibitronics,Chibitronics: Illuminated Story,https://chibitronics.com/illuminated-story-lesson/
ca_evolution,Silicon Synapses: Evolution of AI,https://learn.codeavengers.com/impacts-of-computing/900
ca_aifarm,"Old MacDonald Hacked a farm, AI, AI Drone",https://learn.codeavengers.com/impacts-of-computing/400#1.1.2
codeavengers,Build a Game with JavaScript,https://www.codeavengers.com/javascript/105
ca_blockchain,New Kids on the Blockchain,https://learn.codeavengers.com/impacts-of-computing/700
ca_keyboard,Keyboard Quest: CS100 Software & Hardware,https://www.codeavengers.com/computing-systems/100#1.1.1
ca_avatar,AVATAR: Big Data & Digital Footprints,https://learn.codeavengers.com/impacts-of-computing/600
ca_cloud,Operation Cloud,https://www.codeavengers.com/ns600
ca_future,Face the Future,https://docs.google.com/document/d/1s-j9x6ZQEJN9o9MVow3QTahvvcJoZwNidICFZmCSpIE/edit?usp=sharing
ca_genius,Gesture Genius,https://docs.google.com/document/d/1fojq9bpXV-UCh0T7V7Pch_cLV-9e1AFbOfr4X8K0NYc/edit
ca_matariki,Matariki: Māori New Year,https://www.codeavengers.com/computational-thinking/200
ccw_slimer,Super Slimer: Code Your Adventure,https://codecampworld.com/hourofcode
codecamp_firewall,Firewall,https://www.codecampworld.com/hourofcode2019
codeclub_spells,Broadcasting spells: Scratch coding beyond the basics,https://projects.raspberrypi.org/en/projects/broadcasting-spells?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-broadcasting-spells
codeclub_hworld,Hello world: Say hello to Python coding,https://projects.raspberrypi.org/en/projects/hello-world?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-hello-world
codeclub_binary,Binary Hero,https://projects.raspberrypi.org/en/projects/binary-hero?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-binary-hero
codeit_images,Code it! - Images and Animations,https://app.code-it-studio.de/course/step/12/118
codeit_duckrace,The Big Duck Race,https://app.code-it-studio.de/
trinket_girl,Code Like a Girl: A Storyteller,https://trinket.io/hourofpython/courses/storyteller#/welcome/1-start-here
athletes,Code your own sports game,https://code.org/athletes
play-lab,Play Lab,https://code.org/playlab
infinity,Infinity Play Lab,https://studio.code.org/s/infinity/reset
introtoml-ai,Introduction to Machine Learning,https://studio.code.org/s/how-ai-works-2023/lessons/1?viewAs=Instructor
applab-intro,Intro to App Lab,http://studio.code.org/s/applab-intro/reset
hoc-encryption,Simple Encryption,https://studio.code.org/s/hoc-encryption/reset
algorithmicbias-ai,Algorithmic Bias,https://studio.code.org/s/how-ai-works-2023/lessons/6?viewAs=Instructor
big_event,The Big Event,https://studio.code.org/s/course1/lessons/15/levels/1
chatbotsllm-ai,Chatbots and Large Language Models,https://studio.code.org/s/how-ai-works-2023/lessons/4?viewAs=Instructor
codeofethics-ai,Our AI Code of Ethics,https://studio.code.org/s/how-ai-works-2023/lessons/7?viewAs=Instructor
computervision-ai,Computer Vision,https://studio.code.org/s/how-ai-works-2023/lessons/2?viewAs=Instructor
generativeimages-ai,Generative Images,https://studio.code.org/s/how-ai-works-2023/lessons/5?viewAs=Instructor
getting_loopy,Getting Loopy,https://studio.code.org/s/course1/lessons/12/levels/1
graph_paper_programming,Graph Paper Programming,https://studio.code.org/s/course2/lessons/1/levels/1
happy_maps,Happy Maps,https://studio.code.org/s/course1/lessons/1/levels/1
move_it,"Move it, Move it!",https://studio.code.org/s/course1/lessons/2/levels/1
neuralnetworks-ai,Neural Networks,https://studio.code.org/s/how-ai-works-2023/lessons/3?viewAs=Instructor
persistence,Persistence: Building a Foundation,https://studio.code.org/s/course1/lessons/9/levels/1
socimpactofgenai-ai,Societal Impact of Generative AI,https://studio.code.org/s/ai-ethics-2023/lessons/2?viewAs=Instructor
text-compression,Text Compression,https://studio.code.org/s/text-compression/reset
sports,Code your own sports game,https://studio.code.org/s/sports/reset
sports,Code your own sports game,https://studio.code.org/s/sports/reset
minecraft,Minecraft Hour of Code,http://studio.code.org/s/mc-events/reset
basketball,Make a basketball game,https://studio.code.org/s/basketball/reset
starwarsblocks,Star Wars: Building a Galaxy with Code,https://studio.code.org/s/starwarsblocks/reset
iceage,Ice Age Play Lab,http://studio.code.org/s/iceage/reset
starwars,Star Wars: Building a Galaxy with Code,https://studio.code.org/s/starwars/reset
hourofcode,Placeholder for new code.org/hoc,http://studio.code.org/hoc/reset
gumball,Gumball Play Lab,http://studio.code.org/s/gumball/reset
playlab,Play Lab,http://studio.code.org/s/playlab/reset
dance,Dance Party,https://code.org/dance
codeintl,Write your first computer program,http://studio.code.org/s/2/reset
minecraft,Minecraft Hour of Code,http://studio.code.org/s/mc-events/reset
hero,Minecraft Hour of Code,http://studio.code.org/s/hero/reset
aquatic,Minecraft Hour of Code,http://studio.code.org/s/aquatic/reset
basketball,Make a basketball game,https://studio.code.org/s/basketball/reset
dance-extras,Dance After-Party,http://studio.code.org/s/dance-extras/reset
dance-extras-2019,Dance After-Party,http://studio.code.org/s/dance-extras/reset
disney_static_starwars,Disney Star Wars,http://studio.code.org/s/starwars/reset
static_starwars,Disney Star Wars,http://studio.code.org/s/starwars/reset
static_mc,Minecraft Hour of Code,http://studio.code.org/s/mc/reset
static_starwarsblocks,Disney Star Wars,http://studio.code.org/s/starwarsblocks/reset
disney_static_starwarsblocks,Disney Star Wars,http://studio.code.org/s/starwarsblocks/reset
russia_mc,Minecraft Hour of Code,http://studio.code.org/s/mc/reset
hello-world-food-2021,Hello World,https://code.org/helloworld
hello-world-emoji-2021,Hello World,https://code.org/helloworld
hello-world-retro-2021,Hello World,https://code.org/helloworld
hello-world-animals-2021,Hello World,https://code.org/helloworld
hello-world-soccer-2022,Hello World,https://code.org/helloworld
hello-world-space-2022,Hello World,https://code.org/helloworld
poem-art-2021,Poem Art,https://studio.code.org/s/poetry-hoc3/lessons/1/levels/1
dance-ai-2023,Dance Party: AI Edition,https://studio.code.org/s/dance-ai-2023/lessons/1/levels/1
codeart_objects,Falling Objects: Game Design on Scratch,https://www.code-art.com/hour-of-code-game-design/
codeart_portrait,Code Your Self-Portrait,https://code-art.com/hour-of-code 
codecapture,Learn Programming With JavaScript​ In A Jiffy​,http://code-capture.com
codecombat_build_arcade,CodeCombat: Build an Arcade Game!,https://codecombat.com/play/game-dev-hoc-2?hour_of_code=true
codecombat_hack,CodeCombat AI HackStack,https://codecombat.com/ai/
codecombat_play,"CodeCombat: Code, Play, Create",https://codecombat.com/play/hoc-2018
code_combat_teacher,CodeCombat: Teacher-Led Activities,https://codecombat.com/teachers/resources/hoc?hour_of_code=true
codecombat,CodeCombat,http://codecombat.com/?hour_of_code=true
codeguppy_draw,Draw with code,https://codeguppy.com/hourofcode.html
codeguppy_text,Introduction to text based coding,https://codeguppy.com/code.html?t=_intro_to_coding
codehs_sports,Coding in Sports,https://codehs.com/hoc_sports
codehs_turtle,Program in Python with Tracy the Turtle,https://www.codehs.com/hoc_turtle
codehs_music,Coding in Music,https://codehs.com/hoc_music
codehs_real_app,Make a Real App with JavaScript,https://www.codehs.com/hoc_apps
codehs_vr,Create Virtual Worlds with CodeHS,https://www.codehs.com/hoc_VR
codehs_design,Supporting Artists with Code,https://www.codehs.com/hoc_coding_for_artists
codehs,Learn to Code with Karel the Dog,https://www.codehs.com/hoc_karel
codehs_math,Coding Mathematical Models,https://codehs.com/hoc_modeling
codehs_kinder,Training AI Using Data K-1,https://codehs.com/hoc/TrainingAIUsingData-K1
codehs_draw,Drawing and Scratch,http://codehs.com/HourOfCodeScratchDrawing
codehs_pixels_digital,Digital Art in Pixels with CodeHS,https://www.codehs.com/hoc_pixels
codehs_triangles,Triangle Computations with CodeHS,https://codehs.com/hoc_triangles
codehs_pixel,CodeHS Pixel Art,https://codehs.com/hourofcode/unplugged/pixel
codehs_aielem,Training AI Using Data 2-5,https://codehs.com//hoc/TrainingAIUsingData2-5
codehs_art,Generating Art with Code,https://codehs.com/hoc_art
codehs_bitcoin,Cryptocurrency: Explore the Bitcoin Ledger,https://codehs.com/hoc_bitcoin
codehs_blockchain,Cryptocurrency: Explore Blockchain Technology,https://codehs.com/hoc_blockchain
codehs_camouflage,Programming an Adaptation: Camouflage,http://codehs.com/HourOfCodeCamouflage
codehs_cipher,Caesar Cipher Wheel,https://drive.google.com/file/d/15fij1HordMyCJDkZDGYgelXFyYKGC9Sn/view
codehs_collision,Coding Collision Simulations,https://codehs.com/hoc_collisions
codehs_data,Coding with Data Visualizations,https://codehs.com/hoc/data_visualization
codehs_genotypes,Exploring Genotypes with Code,https://codehs.com/hoc_punnettsquares
codehs_java,Coding in Java with CodeHS,https://www.codehs.com/hoc_java
codehs_jsgraphics,JavaScript Graphics with CodeHS,https://codehs.com/hoc_js_graphics
codehs_litter,Coding for a Litter-Free Community,https://codehs.com/hoc_litterfree
codehs_python,Code in Python with CodeHS,https://www.codehs.com/hoc_python
codehs_react,Creating Apps with React Native,https://www.codehs.com/hoc_react
codehs_web_design,Web Design with CodeHS,https://www.codehs.com/hoc_web_design
codejika_snake,CodeJIKA: Snake Arcade Game, https://me.codejika.org/rocket/C1/P4/T1
codejika_biz,CodeJIKA: My Biz Website,https://me.codejika.org/rocket/C1/P3/T1
codejika,CodeJIKA: 5 Minute Website,https://codejika.com/learn/5-minute-website
codemoji_js,Beginning JavaScript,https://codemoji.com/lessons/js/intermediate/1.php
codemoji_snake,Scratch: Create Your Own Snake Game,https://docs.google.com/document/d/1AAkb4fB0gH6t3qGbTCXdhzkPNArbNwo9/edit?usp=sharing&ouid=112076886274395136293&rtpof=true&sd=true
codemoji_python,Python Lab,https://itunes.apple.com/us/app/python-lab/id1147471002?mt=8
codemoji_bamboo,Bamboo JS,https://www.codemoji.com/hourofcode/js/1.php
codemoji_java,Learn Basic Java,https://www.codemoji.com/lessons/java/expert/1.php
codemoji_maze,Unplugged: Code A Maze,https://docs.google.com/document/d/1N0RKDniwEOmX-Pf19G27_naOYNnGWELPsZ6iv_f0vsk/edit
codemoji_pizza,Make Pizza with JavaScript,https://food.codemoji.com/
codemoji,Codemoji,https://www.codemoji.com/hourofcode/html/1.php
codemonkey,CodeMonkey,http://playcodemonkey.com/referrers/launch?referrer=corg
codemonkey_hoot,AI is a Hoot: Pose Detection,https://app.codemonkey.com/courses/ai-mini-course#1
codemonkey_dodo,Dodo Does Math,https://www.codemonkey.com/hour-of-code/dodo-does-math
codemonkey_space,Space Adventure: Write Code and Catch Bananas!,https://www.codemonkey.com/hour-of-code/space-adventure/
codemonkey_builder,Game Builder,https://www.codemonkey.com/hour-of-code/game-builder
codemonkey_bananatales,Banana Tales: Python Coding Game,https://www.codemonkey.com/hour-of-code/banana-tales/
codemonkey_moonlander,Moon Lander,https://www.codemonkey.com/hour-of-code/moon-lander 
codemonkey_chatbot,Trivia Chatbot,https://www.codemonkey.com/hour-of-code/trivia-chatbot/
codepip_grid,Grid Garden,http://cssgridgarden.com/
flexbox_froggy,Flexbox Froggy,http://flexboxfroggy.com/
coderdojo_target,Target practice: Introduction to Python graphics,https://projects.raspberrypi.org/en/projects/target-practice?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-target-practice
coderdojo_anime,Anime expressions: Create and style a webpage for an anime drawing tutorial,https://projects.raspberrypi.org/en/projects/anime-expressions?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-anime-expressions
coderdojo_sushi,Beginner Scratch Sushi Cards,https://projects.raspberrypi.org/en/projects/cd-beginner-scratch-sushi?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-deep-sea
codespeak_plant,Build a Grow a Plant! Game in Scratch,https://www.codespeaklabs.com/blog/build-a-grow-a-plant-game-in-scratch
codespeak_cc_trivia,Create a Climate Change Trivia Game on Scratch,https://www.codespeaklabs.com/blog/create-a-climate-change-trivia-game-on-scratch
codespeak_grandparent,Code a Grandparent Card in Scratch,https://www.codespeaklabs.com/blog/code-a-grandparent-card-in-scratch
codespeak_twinkle,Coding Twinkle Little Star in ScratchJr,https://www.codespeaklabs.com/blog/coding-twinkle-story-time-with-scratchjr
codespeak_password,Program a Strong Password Generator in Python,https://www.codespeaklabs.com/blog/program-a-strong-password-generator-in-python
codespeak_trivia,How to Code A Trivia Game on Scratch Using AI,https://www.codespeaklabs.com/blog/how-to-make-a-trivia-game-using-ai-chatgpt-on-scratch
codespeak_scratchjr,Let's Play with the ScratchJr Kitten! Activity Pack,https://www.codespeaklabs.com/blog/coding-story-time-with-the-scratchjr-kitten
codespeak_road,Build a Road Game in Scratch,https://www.codespeaklabs.com/blog/build-a-road-game-in-scratch
codespeak_time,Code a Time Capsule in Scratch,https://www.codespeaklabs.com/blog/code-a-time-capsule-in-scratch
codespeak_artist,The Little Artist In Your Computer Activity Pack,https://www.codespeaklabs.com/blog/unplugged-coding-activity-little-artist-inside-your-computer
codespeak_pokemon,Code a Pokemon Evolution Game,https://www.codespeaklabs.com/blog/code-a-pokemon-evolution-game-in-scratch
codespeak_pixel,Code a Pixel Art Editor in Bitsbox,https://www.codespeaklabs.com/blog/create-a-pixel-art-editor-in-bitsbox
codespeak_meal,Code a Healthy Meal App,https://www.codespeaklabs.com/blog/code-a-healthy-meal-app
codespeak_aichat,Build an AI Chatbot in Python,https://www.codespeaklabs.com/blog/build-an-ai-chatbot-in-python
codespeak_breathe,Code a Meditation Breathing App,https://www.codespeaklabs.com/blog/code-a-meditation-breathing-app
codespeak_chatbot,Code a Chatbot with the Female CS Pioneers,https://www.codespeaklabs.com/blog/code-a-chatbot
codespeak_climate,Create a Website to Spread Awareness About Climate Change,https://www.codespeaklabs.com/blog/create-a-website-to-spread-awareness-about-climate-change
codespeak_comp,Build a Composting Game in Scratch,https://www.codespeaklabs.com/blog/build-a-composting-game-in-scratch
codespeak_happy,Code a Happy Place Meditation App,https://www.codespeaklabs.com/blog/code-a-happy-place-meditation-app
codespeak_hardvsoft,Team Hardware vs. Team Software,https://www.codespeaklabs.com/blog/coding-story-time-hardware-vs-software
codesters_soccer,Codesters: Soccer Shot,https://www.codesters.com/curriculum/hour-of-code-2020/Soccer+Shot/
codesters_transformation,Transformation Puzzles,https://www.codesters.com/curriculum/hour-of-code-2018/Transformation+Puzzles/1/
codesters_covid,Codesters: We Can Stop COVID PSA,https://www.codesters.com/curriculum/hour-of-code-2020/We+Can+Stop+COVID+PSA/
codesters_coordinate,The Coordinate Plane,https://www.codesters.com/curriculum/hour-of-code-2018/The+Coordinate+Plane/1/
codesters_distance,Codesters: Social Distancing Sprites,https://www.codesters.com/curriculum/hour-of-code-2020/Social+Distancing+Sprites/
codesters_unity,Codesters: Unity Mural,https://www.codesters.com/curriculum/hour-of-code-2020/Unity+Mural/
codetribe_platform,My First Platformer Game,https://me.codetribe.com/rocket/C2/P1/T1
codetribe_landing,My First Landing Page,https://me.codetribe.com/rocket/C1/P1/T1
codetribe_space,My Space Explorer,https://me.codetribe.com/rocket/C2/P2/T1
codetribe,Code Tribe: 10 Minute Program,https://me.codetribe.com/rocket/C1/P0/T1
codewards_olympics,C.A.T.S. go for Robot Olympics,https://codewards.org/hoc-cats
codewards,Rescue the underwater city!,https://codewards.org/hour-of-code
codeyalla_website,CodeYalla: 5 Minute Website,https://me.codeyalla.org/rocket/C1/P0/T0
