displayweight_i,displayweight_pre_i,displayweight_25_i,displayweight_middle_i,displayweight_high_i,code_s,name_s,orgname_s,url_s,longdescription_t,image_s,tags_s,teachers_notes_s,languages_supported_s,short_code_s,tags_grade_s,string_detail_grades_s,tags_teacher_experience_s,tags_student_experience_s,tags_activity_type_s,tags_subject_s,tags_platform_s,string_platforms_s,string_detail_platforms_s,tags_length_s,tags_programming_language_s,string_detail_programming_languages_s,tags_accessibility_s,string_standards_t,popularityrank_i,popularityrank_pre_i,popularityrank_25_i,popularityrank_middle_i,popularityrank_high_i
1991,1,1,1910,1900,rp_charting,Charting champions: The power of Python lists,Raspberry Pi Foundation,https://projects.raspberrypi.org/en/projects/charting-champions?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-charting-champions,Discover the power of lists in the Python programming language by storing Olympic medal data then use the pygal library to create an interactive chart. Use data analysis skills to uncover patterns and anomalies.,/images/tutorials/hoc2022/rp_charting.png,2022-tutorial,https://rpf.io/charting-champions-edu,"en,en-GB",rpcharting,"all,9+",Grades 9+,comfortable,comfortable,online-tutorial,math,"computers,android,ios","All modern browsers, Android tablet, iPad ",,"1hour,1hour-follow",typing,Python,none,,303,999,999,999,30
1990,1,1640,1840,1625,dance-2019,Dance Party,Code.org,https://code.org/dance,"Code a Dance Party to share with your friends. Featuring Beyoncé, Lizzo, Harry Styles, Lil Nas X, Selena Gomez, music from Disney's 'Encanto', and more!",/images/tutorials/hoc2022/dance-party-2022.png,2019-tutorial,https://curriculum.code.org/hoc/plugged/8,"ar,zh-TW,cs,da,nl,en,en-GB,fi,fr,de,el,hi,hu,id,it,ja,ko,ms,pl,pt-PT,pt-BR,ro,ru,es,es-MX,sv,fil-PH,th,tr,uk,ur-PK,vi",dance2019,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,"computers,no-computers,no-internet,android,ios","All modern browsers, Android tablet, iPad, Unplugged",,"1hour,1hour-follow",blocks,Blocks,captions,,4,999,6,13,10
1989,1,1989,1989,1989,generation-ai,Generation AI,Minecraft Education,https://aka.ms/HourofCode2023,"Venture through time to create your AI-powered inventions in the new Minecraft Hour of Code: Generation AI. Use problem solving, creativity, and computational thinking with the principles of Responsible AI. With coding in blocks or Python, Hour of Code allows anyone to learn the basics of coding and how to build a better AI for all.",/images/tutorials/hoc2023/generation_ai.png,2023-tutorial,https://aka.ms/HOCGenerationAI,"bg,zh-CN,zh-TW,cs,da,nl,en,en-GB,fi,fr,de,el,hu,id,it,ja,ko,no,pl,pt-BR,pt-PT,ru,es,es-MX,sv,tr,uk",generationai,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,"cs-only,ai","android,ios","Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,"blocks,typing","Blocks, Python",none,"CSTA 1A-AP-08, CSTA 1A-AP-10, CSTA 1A-AP-14, CSTA 1A-IC-16, CSTA 1B-AP-10, CSTA 1B-AP-08, CSTA 1B-AP-15, CSTA 1B-IC-20, CSTA 2-AP-10, CSTA 2-AP-12, CSTA 2-AP-13
CSTA 2-IC-21, CSTA 1B-IC-19, CSTA 1A-CS-03",6,999,4,7,4
1988,1,1,1369,1369,codemonkey_moonlander,Moon Lander,CodeMonkey Studios,https://www.codemonkey.com/hour-of-code/moon-lander ,"Learn Physics as you Code! Moon Lander is a Game Builder course with 17 exercises that guides you on how to build your own physics-based game. In the game, you will use code and 6-9th grade Physics concepts in order to help a spaceship land safely on the moon.",/images/tutorials/hoc2018/codemonkey_moonlander.png,2018-tutorial,https://www.codemonkey.com/hour-of-code/moon-lander/teacher-notes/,en,moonlander,"all,6-8,9+",Grades 6+,comfortable,comfortable,online-tutorial,science,computers,All modern browsers,,1hour,typing,CoffeeScript,none,,296,999,999,999,999
1987,1987,1987,1,1,msft_sparksflyjr,Sparks Flying Junior,Microsoft,https://aka.ms/sparky,You live in a cave in prehistoric times - code a game to help you light a fire quickly!,/images/tutorials/hoc2023/msft_sparksflyjr.png,2023-tutorial,,"en,en-GB",msftsparksflyjr,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,online-tutorial,history,computers,All modern browsers,do-not-show,1hour,blocks,Blocks,"tts,highcontrast,screenreader,captions,keyboard",CSTA,57,12,38,999,999
1986,1,1646,1646,1,rp_ccw,Code Club World: Make cool stuff with free coding games and activities,Raspberry Pi Foundation,https://codeclubworld.org/?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-ccw,"Create your own character, design a T-shirt, and create some music. Earn badges for each completed project.",/images/tutorials/hoc2022/rp_ccw.png,2022-tutorial,https://rpf.io/ccw-edu,"en,en-GB",rpccw,"all,2-5",Grades 2-5,beginner,beginner,online-tutorial,"math,art","computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,"1hour,1hour-follow",blocks,Blocks,none,,36,999,35,999,999
1985,1,1,1900,1680,rp_webcards,Flip treat webcards: Create interactive hover cards that flip,Raspberry Pi Foundation,https://projects.raspberrypi.org/en/projects/flip-treat-webcards?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-flip-treat-webcards,Create a set of webcards that flip when you hover over them. Use CSS styling and animations then customise with fancy fonts and colour gradients.,/images/tutorials/hoc2022/rp_webcards.png,2022-tutorial,https://rpf.io/flip-cards-edu,"en,en-GB",rpwebcards,"all,6-8",Grades 6-8,comfortable,comfortable,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,"1hour,1hour-follow",typing,"HTML, CSS",none,,252,999,999,999,999
1984,1,1,1984,1984,codesters_fire,Codesters: Fireworks!,Learning.com,https://www.codesters.com/curriculum/hour-of-code-2022/fireworks/1/,"Learn Python basics and events while creating your own firework generator. Click the screen to shoot off a firework! Customize the firework size, speed, colors, and more! ",/images/tutorials/hoc2023/codesters_fire.png,2023-tutorial,https://guide.codesters.com/fireworks,en,codestersfire,"all,6-8,9+        ",Grades 6+,comfortable,comfortable,online-tutorial,math,computers,All modern browsers,do-not-show,1hour,typing,Python,"tts,screenreader","CSTA 2-AP-11: Create clearly named variables that represent different data types and perform operations on their values.
CSTA 2-AP-12: Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals.
CSTA 2-AP-13: Decompose problems and subproblems into parts to facilitate the design, implementation, and review of programs.
CSTA 2-AP-14: Create procedures with parameters to organize code and make it easier to reuse.",283,999,999,88,999
1982,1,1,1982,1982,blockscad_roblox,BlocksCAD Roblox Characters,blockscad3d.com,https://docs.google.com/document/d/1MYHBO4v1crvWI1qJKMflrlzKB4gvIa0k/edit?usp=sharing&ouid=105468947376233864179&rtpof=true&sd=true,One of the winners of the Roblox avatar contest - and now quite a popular character - was Gang O' Fries. This avatar is made of relatively simple geometric shapes: cylinders and cubes. You can make and customize your own in BlocksCAD!,/images/tutorials/hoc2023/blockscad_roblox.png,2023-tutorial,https://docs.google.com/document/d/1ot3G77bwy1PhTzYYXb6J1juNPI7YaxR9J_Fv0JW1IbU/edit?usp=sharing,en,blockscadroblox,"all,6-8,9+        ",Grades 6+,comfortable,comfortable,online-tutorial,math,"android,computers,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",do-not-show,1hour,blocks,Blocks,none,CSTA control standards and CC 6th - HS geometry standards,75,999,999,19,999
1981,1,1630,1986,1,coderz_farm,Code Farm: Plant a Garden,CoderZ,https://play.gocoderz.com/lp/hoc-farm/,"Program a robot to plant a garden, and learn how robots help farmers in the real world.",/images/tutorials/hoc2022/coderz_farm.png,2022-tutorial,https://sites.google.com/view/codefarmhour,"en,he,pt-BR,es-MX",coderzfarm,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,blocks,Blocks,"screenreader,tts,keyboard,captions,highcontrast","CSTA 1B-AP-10, CSTA 1B-AP-11, CSTA 1B-AP-15",31,999,27,12,999
1980,1,1432,1432,1,codemonkey_jump,Blocks Jumper: Game Creation,CodeMonkey Studios,https://app.codemonkey.com/courses/blocks-hour-of-code#1,Create games and projects with block coding! In this short course students will learn to create a simple jumper game using basic event and function blocks.,/images/tutorials/hoc2021/codemonkey_jump.png,2021-tutorial,https://www.codemonkey.com/hour-of-code/blocks-jumper/teacher-notes/,"en,en-GB",codemonkeyjump,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,art,computers,All modern browsers,,1hour,blocks,Blocks,none,,20,999,79,999,999
1979,1,1,1,1672,naf_brand,Code your Brand,NAF,https://ash.naf.org/public/learning/project/hour-of-code-code-your-brand,"In Code your Brand, you will be creating a virtual contact file to create a personalized QR code with your contact details. After you complete this activity, you will be equipped with a modern business card that you can share while you're networking with people who can help or guide you in your career or college journey.",/images/tutorials/hoc2022/naf_brand.png,2022-tutorial,,en,nafbrand,"all,9+",Grades 9+,comfortable,comfortable,online-tutorial,"math,la,art","computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,typing,Python,screenreader,"CSTA standards:
3A-AP-13	9-10	
Create prototypes that use algorithms to solve computational problems by leveraging prior student knowledge and personal interests.
3A-AP-21	9-10	
Evaluate and refine computational artifacts to make them more usable and accessible.
3B-AP-19	11-12	
Develop programs for multiple computing platforms.
3B-AP-22	11-12	
Modify an existing program to add additional functionality and discuss intended and unintended implications (e.g., breaking other functionality).
3B-AP-23	11-12	
Evaluate key qualities of a program through a process such as a code review.",999,999,999,999,22
1978,1,1,1978,1978,nasa_marsreturn,NASA: Mars Sample Return Coding Challenge,NASA,https://www.jpl.nasa.gov/edu/teach/activity/mars-sample-return-coding-challenge/,"In this collaborative project, student teams each take on a component of the Mars Sample Return mission in order to construct and code a model of a device capable of sending Martian rocks to Earth. Groups can use multiple coding languages simultaneously to allow all levels of coders to participate.",/images/tutorials/hoc2023/nasa_marsreturn.png,2023-tutorial,,en,nasamarsreturn,"all,6-8,9+        ",Grades 6+,comfortable,comfortable,lesson-plan,science,"computers,robotics",All modern browsers,Arduino,few-hours,"typing,blocks","Blocks, Python",none,"NGSS 
MS-ETS1-1
HS-ETS1-2
HS-ETS1-4",999,999,999,999,999
1977,1,1977,1977,1,cospace_pirate,Pirate Plunder,CoSpaces Edu,https://www.cospaces.io/hour-of-code,"Help our pirate captain to reach his treasure by dragging and dropping visual blocks to write code. Climb, fight, collect, and walk your way through challenges of increasing complexity, while learning to create efficient code with loops and write intelligent behaviour with conditions. This student-guided activity is targeted to kids aged 7+ and first-time-coders.",/images/tutorials/hoc2023/cospace_pirate.png,2023-tutorial,,en,cospacepirate,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,"android,computers,ios","All modern browsers, Android tablet, iPad",do-not-show,1hour,blocks,Blocks,none,do-not-show,26,999,12,14,999
1976,1,1650,1705,1,poem_art,Poem Art,Code.org,https://code.org/poetry,Illustrate the mood of a poem with code.,/images/tutorials/hoc2021/poem_art.png,2021-tutorial,https://studio.code.org/s/poem-art-2021/lessons/1,"bg,co,da,nl,en,en-GB,et,fr,ka,de,hu,is,id,ga,ja,ko,ne,no,nn,ps,pt-BR,pt-PT,ro,sr,es,es-MX,tr,vi",poemart,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,"art,la","android,computers,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone, Game console app, Screen reader",,"1hour,1hour-follow",blocks,Blocks,"tts,captions","ELA CCSS
CCSS.ELA-LITERACY.CCRA.R.4 Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.
CCSS.ELA-LITERACY.RL.3.4 Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language.
CCSS.ELA-LITERACY.RL.5.4 Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes.
CCSS.ELA-LITERACY.CCRA.R.7 Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.
CCSS.ELA-LITERACY.RL.4.7 Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text.
CCSS.ELA-LITERACY.RL.5.7 Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text (e.g., graphic novel, multimedia presentation of fiction, folktale, myth, poem).
CSTA 
1B-AP-10 3-5 Create programs that include sequences, events, loops, and conditionals.
1B-AP-12 3-5 Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.
1B-AP-15 3-5 Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.
",39,999,40,40,999
1975,1,1630,1630,1,codeclub_spells,Broadcasting spells: Scratch coding beyond the basics,Code Club,https://projects.raspberrypi.org/en/projects/broadcasting-spells?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-broadcasting-spells,"Use Scratch blocks to code a wand that casts spells to turn sprites into toads, grow, and shrink them. Edit and reverse sound to make spell sound effects. Broadcast spell messages so that multiple sprites transform when the message is received. ",/images/tutorials/hoc2022/codeclub_spells.png,2022-tutorial,https://rpf.io/broadcasting-spells-edu,"ar,nl,en,en-GB,fr,el,hi,mr,te",codeclubspells,"all,2-5",Grades 2-5,comfortable,comfortable,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,"1hour,1hour-follow",blocks,Blocks,none,,172,999,155,999,999
1974,1,1974,1974,1974,codejika_resume,CodeJIKA: My Web Resume,CodeJIKA.org,https://me.codejika.org/rocket/C1/P2/T1,"Build an amazing online resume to present your skills and talents through an attractive and engaging online CV website built with HTML, CSS and emojis.",/images/tutorials/hoc2023/codejika_resume.png,2023-tutorial,https://docs.google.com/document/d/1vMdSj_Ul8SjPfys_Ir809LcMLoG6idYlW_NlZ80I160/edit,en,codejikaresume,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,do-not-show,1hour,typing,"HTML, CSS",highcontrast,CSTA 2-AP-11,78,999,58,74,29
1973,1,1973,1973,1,tynker_weather,Weather Control,Tynker,https://www.tynker.com/hour-of-code/weather-control,Create a fun interactive project that controls the weather. Program hand gestures to control different weather conditions using Tynker's AI Pose Tracking library. ,/images/tutorials/hoc2023/tynker_weather.png,2023-tutorial,https://www.tynker.com/hour-of-code/weather-control-guide.pdf,en,tynkerweather,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,"cs-only,ai",computers,All modern browsers,do-not-show,1hour,blocks,Blocks,none,"CCSS-ELA: RF.3.4.A, RF.4.4.A, RF.5.4.A, 6-8.RST.3, 6-8.RST.4, 6-8.RST.7
CCSS-Math: MP.1
CSTA: 1B-AP-11, 1B-AP-12, 1B-AP-15, 2-AP-13, 2-AP-17
CS CA: 3-5.AP.13, 3-5.AP.17, 6-8.AP.13, 6-8.AP.15
ISTE: 1.1.c, 1.1.d, 1.4.d, 1.5.c, 1.5.d, 1.6.b",59,999,42,25,999
1972,1,1,1,1972,tynker_fruit,Fruit Fighter,Tynker,https://www.tynker.com/hour-of-code/fruit-fighter,Create a fun Fruit Ninja-style game that recognizes hand movements using p5.js. ,/images/tutorials/hoc2023/tynker_fruit.png,2023-tutorial,https://www.tynker.com/hour-of-code/fruit-fighter-guide.pdf,en,tynkerfruit,"all,9+        ",Grades 9+,comfortable,comfortable,online-tutorial,"cs-only,ai",computers,All modern browsers,do-not-show,1hour,typing,"JavaScript, p5.js",none,"CCSS-ELA: RI.6.4, RI.6.7, SL.6.1, RI.7.4, SL.7.1, SL.8.1, RI.8.4, RI.9-10.5
CCSS-Math: MP.1
CSTA: : 2-AP-11, 2-AP-13, 2-AP-16, 3A-AP-17, 3B-AP-11
CS CA: 6-8.AP.13, 6-8.AP.16, 6-8.AP.17, 9-12.AP.12, 9-12.AP.16
ISTE: : 1.1.c, 1.1.d, 1.4.d, 1.5.c, 1.5.d, 1.6",179,999,999,999,999
1971,1,1500,1450,1,hopscotch_subway,Build Subway Surfers with a Friend,Hopscotch,https://www.youtube.com/watch?v=WjS7iXI1Jhs,"Learn how to pair program with a friend or classmate, and create your own subway surfer with Hopscotch characters!",/images/tutorials/hoc2021/hopscotch_subway.png,2021-tutorial,https://drive.google.com/file/d/1WESl895R-eyEVXu0yeqG5iZfULJt5fLY/view?usp=sharing,"zh-CN,en,es,es-MX",hopsub,"all,2-5,6-8",Grades 2-8,comfortable,comfortable,online-tutorial,"math,science",ios,"iPad, iPhone",,1hour,typing,Hopscotch,none,"CCSS.MATH.PRACTICE.MP3 Construct viable arguments and critique the reasoning of others
NGSS Practice 7 Engaging in argument from evidence
NGSS Practice 8 Obtaining, evaluating, and communicating information",173,999,130,999,999
1970,1,1,1,1546,rp_solar,Solar system simulator: Python models and dictionaries,Raspberry Pi Foundation,https://projects.raspberrypi.org/en/projects/solar-system-simulator?utm_source=hourofcode&utm_medium=listing&utm_campaign=hoc-solar-system-simulator,"Create an animated, interactive, solar system model using the Python programming language and the p5 graphics library. Use dictionaries to store planet facts that load when an orbiting planet is clicked.",/images/tutorials/hoc2022/rp_solar.png,2022-tutorial,https://rpf.io/solar-system-edu,"en,en-GB",rpsolar,"all,9+",Grades 9+,comfortable,comfortable,online-tutorial,"science,math","computers,android,ios","All modern browsers, Android tablet, iPad ",,"1hour,1hour-follow",typing,Python,none,,999,999,999,999,34
