id_s!,mainConcept_s*,name_t,age_s,lessonURL_t,lessonPlan_t,lessonVid_t,teacherVid_t,sampleTeachingVid_t,objectives_t,overview_t,additional_t,split_s,part1_s,part2_s,courseNum_s,part3_s,lessonNum_s,part4_s,part5_s,courseLesson_s,answers_t,thumbnail_t
,Impacts of Computing,Designing For Accessibility,9+,https://curriculum.code.org/csf-19/coursee/10/,https://curriculum.code.org/csf-19/coursee/10/,,,,,"In this lesson, students will learn about accessibility and the value of empathy through brainstorming and designing accessible solutions for hypothetical apps. ",,,,,,,,,,,,
relayProgramming,Sequencing,Relay Programming,8+,https://curriculum.code.org/csf-19/coursed/3/,https://curriculum.code.org/csf-19/coursed/3/,https://youtu.be/l5MKkXbzOsk,https://www.youtube.com/watch?v=fvpFCI8yoeA,," - Practice communicating ideas through code and symbols.
 - Use teamwork to complete a task.
 - Verify the work done by teammates to ensure a successful outcome.","This activity will begin with a short review of ""Graph Paper Programming,"" then will quickly move to a race against the clock, as students break into teams and work together to write a program one instruction at a time.",,https:,curriculum.code.org,csf-19,coursed,3,,,,,"<a href=""https://www.code.org/curriculum/course2/9/Key-Assessment9-RelayProgramming.pdf"" target=""_new"">Assessment Answer Key</a> ",
happyMaps,Sequencing,Happy Maps,4+,https://curriculum.code.org/csf-19/coursea/3/,https://curriculum.code.org/csf-19/coursea/3/,https://youtu.be/hrnhiKAQ1_k,https://www.youtube.com/watch?v=En6Bshuqljg,," - Translate an algorithm into a program.
 - Decode and run a program created by someone else.",This activity will help students gain experience reading and writing in shorthand code.,"<a href=""http://www.bbc.co.uk/guides/z3whpv4"" target=""_new"">What is an algorithm?</a><a href=""http://www.tynker.com/blog/articles/ideas-and-tips/how-to-explain-algorithms-to-kids"" target=""_new"">How to explain algorithms to kids</a>",#REF!,,,course1,,1,,,,"<a href=""https://code.org/curriculum/course1/1/Key-Activity1-HappyMaps.pdf"" target=""_new"">Activity Answer Key</a><br/> 
<a href=""https://code.org/curriculum/course1/1/Key-Assessment1-HappyMaps.pdf"" target=""_new"">Assessment Answer Key</a> ",
happyMapsX,Sequencing,Happy Maps (Extended),4+,https://curriculum.code.org/csf/coursea/5,https://curriculum.code.org/csf/coursea/5,https://youtu.be/hrnhiKAQ1_k,https://www.youtube.com/watch?v=En6Bshuqljg,," - Translate an algorithm into a program.
 - Decode and run a program created by someone else.","This extended unplugged lesson brings together teams with a simple task: get the ""flurb"" to the fruit. Students will practice writing precise instructions as they work to translate instructions into the symbols provided. If problems arise in the code, students should also work together to recognize bugs and build solutions.","<a href=""http://www.bbc.co.uk/guides/z3whpv4"" target=""_new"">What is an algorithm?</a>
<a href=""http://www.tynker.com/blog/articles/ideas-and-tips/how-to-explain-algorithms-to-kids"" target=""_new"">How to explain algorithms to kids</a>",#REF!,,,coursea,,5,,,,"<a href=""https://code.org/curriculum/course1/1/Key-Activity1-HappyMaps.pdf"" target=""_new"">Activity Answer Key</a>",
moveIt,Sequencing,"Move It, Move It",6+,https://curriculum.code.org/csf-19/courseb/2/,https://curriculum.code.org/csf-19/courseb/2/,https://youtu.be/VGi2bnRFqzM,https://www.youtube.com/watch?v=aV4rqNUG-Jw,," - Recognize situations where they can create programs to complete tasks.
 - Predict moves necessary to get teammate from start to finish.
 - Convert movements into symbolic instructions.
 - Relate algorithms as programs to teammates.",This lesson will work to prepare students mentally for the coding exercises that they will encounter over the length of this course.,"<a href=""https://csedweek.org/unplugged/thinkersmith"" target=""_new"">My Robotic Friends</a>
<a href=""https://www.kodable.com/hour-of-code/lessons/kindergarten-hour-of-code"" target=""_new"">Fuzz Family Frenzy</a>",https:,curriculum.code.org,csf-19,courseb,2,,,,,"<a href=""https://code.org/curriculum/course1/2/Key-Assessment2-MoveIt.pdf"" target=""_new"">Assessment Answer Key</a> ",
MRFJR,Sequencing,My Robotic Friends Jr.,6+,https://curriculum.code.org/csf-19/coursec/3/,https://curriculum.code.org/csf-19/coursec/3/,https://youtu.be/xaW3PAzHxCU,https://www.youtube.com/watch?v=xaW3PAzHxCU,," - Gain understanding of the need for precision in coding.
 - Learn how to recognize a bug and how to debug the malfunctioning code.","This teaches students the connection between algorithms and programming, as well as the valuable skill of debugging.","<a href=""https://drive.google.com/file/d/0B-uvt08wYSQqOC0xN3BwLUdIdnc/edit"">Teacher Prep Guide</a>",,,,courseb,,6,,,,,
gpp,Sequencing,Graph Paper Programming,8+,https://curriculum.code.org/csf-19/coursed/1/,https://curriculum.code.org/csf-19/coursed/1/,https://youtu.be/Y_paSrH2ffw,https://www.youtube.com/watch?v=Yy1zbkfRtIg,https://www.youtube.com/watch?v=vBUtejDNvrs," - Understand the difficulty of translating real problems into programs.
 - Explain how ideas may feel clear and yet still be misinterpreted by a computer.
 - Practice communicating ideas through codes and symbols.","In this lesson, students will program their friend to draw pictures.",,https:,curriculum.code.org,csf-19,coursed,1,,,,,"<a href=""https://www.code.org/curriculum/course2/1/Key-Activity1-GraphPaperProgramming.pdf"" target=""_new"">Activity Answer Key</a><br/> 
<a href=""https://www.code.org/curriculum/course2/1/Key-Assessment1-GraphPaperProgramming.pdf"" target=""_new"">Assessment Answer Key</a> ",
getLoopy,Loops,Getting Loopy,5+,https://curriculum.code.org/csf-19/courseb/6/,https://curriculum.code.org/csf-19/courseb/6/,https://youtu.be/JoKTqHCni0M,https://www.youtube.com/watch?v=Vo2woYRRogA,," - Repeat actions initiated by the instructor.
 - Translate a picture program into a live-action dance.
 - Convert a series of multiple actions into a single loop. ",Students will dance their way to a better understanding of how to use repeat loops.,,https:,curriculum.code.org,csf-19,courseb,6,,,,,"<a href=""https://www.code.org/curriculum/course1/12/Key-Assessment12-GettingLoopy.pdf"" target=""_new"">Assessment Answer Key</a> ",
happyLoops,Loops,Happy Loops,4+,https://curriculum.code.org/csf-19/coursea/7/,https://curriculum.code.org/csf-19/coursea/7/,,,," - Identify repetitive code and convert a series of multiple actions into a single loop.
 - Decode loops into a series of multiple actions.",Students will be driven to want an easier way to solve problems using loops.,,,,,coursea-2019,,8,,,,,
MLRF,Loops,My Loopy Robotic Friends,6+,https://curriculum.code.org/csf-18/coursee/6/,https://curriculum.code.org/csf-18/coursee/6/,,,," - Identify repetitive code and convert a series of multiple actions into a single loop.
 - Decode loops into a series of multiple actions.","Here, students learn the simplicity and utility of loops by “programming” their friends using the language from ""My Robotic Friends."" Once loops are introduced, students will find that they can build bigger structures faster.",,,,,courseb,,9,,,,,
MLRFJR,Loops,My Loopy Robotic Friends Jr.,6+,https://curriculum.code.org/csf-19/coursec/9/,https://curriculum.code.org/csf-19/coursec/9/,,,," - Identify repetitive code and convert a series of multiple actions into a single loop.
 - Decode loops into a series of multiple actions.",Using the language from ‘My Robotic Friends’. Students find that they can build big structures faster using loops.,,,,,coursec-2019,,9,,,,,
forLoopFun,Loops,For Loop Fun,9+,https://curriculum.code.org/csf-19/coursef/11/,https://curriculum.code.org/csf-19/coursef/11/,https://youtu.be/mX857v5B4gE,https://www.youtube.com/watch?v=Ls_fAIRH26E,https://www.youtube.com/watch?v=HO4uhoahtjM," - Determine starting value, stopping value, and stepping value for a `for` loop.
 - Illustrate the counter values hit each time through a for loop during runtime.",`For` loops have extra structures built in to create powerful & dynamic code.,,https:,curriculum.code.org,csf-19,coursef,11,,,,,"<a href=""https://www.code.org/curriculum/course4/8/Key-Activity8-ForLoopFun.pdf"" target=""_new"">Activity Answer Key</a> <br/>
<a href=""https://code.org/curriculum/course4/8/Key-ForLoopAssessment.pdf"" target=""_new"">Assessment Answer Key</a>",
bigEvent,Events,The Big Event,5+,https://curriculum.code.org/csf-19/coursec/14/,https://curriculum.code.org/csf-19/coursec/14/,https://youtu.be/u0WV9shCoak,https://www.youtube.com/watch?v=8PN8aPWZ2sY,," - Recognize actions of the teacher as signals to initiate commands.
 - Practice differentiating pre-defined actions and event-driven ones.",Students will learn that events are a great way to make their program interactive.,,https:,curriculum.code.org,csf-19,coursec,14,,,,,"<a href=""https://www.code.org/curriculum/course1/15/Key-Assessment15-TheBigEvent.pdf"" target=""_new"">Assessment Answer Key</a> ",
bigEventJr,Events,"The Big Event, Jr.",5+,https://curriculum.code.org/csf-19/coursea/11/,https://curriculum.code.org/csf-19/coursea/11/,https://youtu.be/u0WV9shCoak,https://www.youtube.com/watch?v=8PN8aPWZ2sY,," - Recognize actions of the teacher as signals to initiate commands.
 - Practice differentiating pre-defined actions and event-driven ones.",This shows that events are a great way to add interactivity to a sequential algorithm. ,,https:,curriculum.code.org,csf-19,coursea,11,,,,,"<a href=""https://www.code.org/curriculum/course1/15/Key-Assessment15-TheBigEvent.pdf"" target=""_new"">Assessment Answer Key</a> ",
binaryBracelets,Binary,Binary Bracelets,8+,https://curriculum.code.org/csf-19/coursec/8/,https://curriculum.code.org/csf-19/coursec/8/,https://youtu.be/3S2YfoO4_CM,https://www.youtube.com/watch?v=8HANsec7TiQ,https://www.youtube.com/watch?v=fDLkBqZpxWQ," - Encode letters into binary.
 - Decode binary back to letters.
 - Relate the idea of storing letters on paper to the idea of storing information in a computer.",This lesson helps demonstrate how it is possible to take something from real life and translate it into a series of ons and offs.,,https:,curriculum.code.org,csf-19,coursec,8,,,,,"<a href=""https://www.code.org/curriculum/course2/14/Key-Assessment14-BinaryBracelets.pdf"" target=""_new"">Assessment Answer Key</a> ",
binaryImages,Binary,Binary Images,10+,https://curriculum.code.org/csf-19/coursed/15/,https://curriculum.code.org/csf-19/coursed/15/,https://youtu.be/dzHlZV53VfY,https://www.youtube.com/watch?v=mMjfSiDeQu4,," - Identify methods for encoding images into binary.
 - Relate images to a peer using binary encoding.
 - Reproduce an image, based on binary code.",Learn how computers store pictures using simple ideas like on and off.,,https:,curriculum.code.org,csf-19,coursed,15,,,,,"<a href=""https://www.code.org/curriculum/course4/17/Key-Assessment17-BinaryImages.pdf"" target=""_new"">Assessment Answer Key</a> ",
condCards,Conditionals,Conditionals with Cards,9+,https://curriculum.code.org/csf-19/coursed/10/,https://curriculum.code.org/csf-19/coursed/10/,https://youtu.be/UymN4lTL50s,https://www.youtube.com/watch?v=IcEL5ibSvTs,https://www.youtube.com/watch?v=2m2Rn9VxHfU," - Define circumstances when certain parts of a program should run and when they shouldn't.
 - Determine whether a conditional is met based on criteria.
 - Traverse a program and predict the outcome, given a set of input.",It's time to play a game in which you earn points only under certain conditions.,,https:,curriculum.code.org,csf-19,coursed,10,,,,,"<a href=""https://www.code.org/curriculum/course2/12/Key-Assessment12-Conditionals.pdf"" target=""_new"">Assessment Answer Key</a> ",
internet,Internet,The Internet,8+,https://curriculum.code.org/csf-19/coursef/14/,https://curriculum.code.org/csf-19/coursef/14/,https://youtu.be/mFOUbqYv1Sc,https://www.youtube.com/watch?v=Z6CEAOFZRRk,," - Learn about the complexity of sending messages over the internet.
 - Translate URLs into IP Addresses.","In this lesson, students will pretend to flow through the Internet, all the while learning about connections, URLs, IP addresses, and the DNS.",,https:,curriculum.code.org,csf-19,coursef,14,,,,,"<a href=""https://www.code.org/curriculum/course3/18/Key-Assessment18-Internet.pdf"" target=""_new"">Assessment Answer Key</a> ",
songwriting,Functions,Songwriting,8+,https://curriculum.code.org/csf-19/coursee/14/,https://curriculum.code.org/csf-19/coursee/14/,https://youtu.be/5iDCKkI6y2Y,https://www.youtube.com/watch?v=TaH7myEVHz0,https://www.youtube.com/watch?v=QuIMLel1mmw," - Locate repeating phrases inside song lyrics.
 - Identify sections of a song to pull into a function.
 - Describe how functions can make programs easier to write.",This lesson will help students intuitively understand why combining chunks of code into functions can be such a helpful practice.,,https:,curriculum.code.org,csf-19,coursee,14,,,,,"<a href=""https://www.code.org/curriculum/course3/9/Key-Assessment9-Songwriting.pdf"" target=""_new"">Assessment Answer Key</a> ",
funSun,Functions,Functional Suncatchers,8+,https://code.org/curriculum/course3/4/Teacher,https://code.org/curriculum/course3/4/Teacher,https://youtu.be/d1MdyeXy0v0,https://www.youtube.com/watch?v=VmIcnmPjNgw,https://www.youtube.com/watch?v=Rb5DNYhLb7I," - Learn to find patterns in processes.
 - Think about an artistic task in a different way.
 - Interpret symbols as they relate to physical manipulatives.","In this lesson, students will make a suncatcher out of string, beads, and a special charm. The students will follow a series of repetitive steps, then be asked to identify certain sets of “skills” that are duplicated several times. Once those skills are defined, they will be called from a main program and the whole beautiful process of creation will be recorded on a single sheet of paper. The final program will be geared toward the entire class, whatever their type of string, beads, and charms. To effectively allow for this, students will need to “abstract out” the details of their specific materials and create vague terms for an individual’s supplies. This use of generic placeholders is a wonderful introduction to variables.",,https:,code.org,curriculum,course3,4,Teacher,,,,"<a href=""https://www.code.org/curriculum/course3/4/Key-Activity4-FunctionalSuncatchers.pdf"" target=""_new"">Activity Answer Key</a><br/> 
<a href=""https://www.code.org/curriculum/course3/4/Key-Assessment4-FunctionalSkills.pdf"" target=""_new"">Assessment Answer Key</a> ",
songParam,Functions,Songwriting with Parameters,8+,https://curriculum.code.org/csf-1718/coursef/21/,https://curriculum.code.org/csf-1718/coursef/21/,https://youtu.be/28ujn3adHBA,https://www.youtube.com/watch?v=z4EIW0VvRek,https://www.youtube.com/watch?v=QuIMLel1mmw," - Modify functions to accept parameters.
 - Describe how functions and parameters can make programs easier to write.","One of the most magnificent structures in the computer science world is the function. Functions (sometimes called procedures) are mini programs that you can use over and over inside of your bigger program. This lesson will help students intuitively understand why combining chunks of code into functions is such a helpful practice, and how they can use those structures even when chunks of code are slightly different.",,https:,curriculum.code.org,csf-1718,coursef,21,,,,,"<a href=""https://www.code.org/curriculum/course4/13/Key-Activity13-Songwriting.pdf"" target=""_new"">Activity Answer Key</a><br/> 
<a href=""https://www.code.org/curriculum/course4/13/Key-Assessment13-Songwriting.pdf"" target=""_new"">Assessment Answer Key</a> ",
envelope,Variables,Envelope Variables,10+,https://curriculum.code.org/csf-19/coursef/6/,https://curriculum.code.org/csf-19/coursef/6/,https://youtu.be/DI7DprN4FtE,https://www.youtube.com/watch?v=NFdtkajAtQs,," - Identify variables and determine their values.
 - Define and call variables in the context of real-life activities.
 - Create situations which require the use of variables.",This lesson explains what variables are and how to use them.,,https:,curriculum.code.org,csf-19,coursef,6,,,,,"<a href=""https://www.code.org/curriculum/course4/4/Key-Activity4-Variables.pdf"" target=""_new"">Activity Answer Key</a><br/> 
<a href=""https://www.code.org/curriculum/course4/4/Key-Assessment4-Variables.pdf"" target=""_new"">Assessment Answer Key</a> ",
diceRace,Algorithms,Dice Race,9+,https://curriculum.code.org/csf-1718/coursee/10/,https://curriculum.code.org/csf-1718/coursee/10/,https://youtu.be/wQpgBCKivAs,,https://youtu.be/WlDmNxkNxKQ," - Decompose large activities into a series of smaller events.
 - Arrange sequential events into their logical order.","In this lesson, students will relate the concept of algorithms back to real-life activities by playing the Dice Race game. The goal here is to start building the skills to translate real-world situations to online scenarios and vice versa.",,https:,curriculum.code.org,csf-1718,coursee,10,,,,,"<a href=""https://www.code.org/curriculum/course3/10/Key-Activity10-DiceRace.pdf"" target=""_new"">Activity Answer Key</a><br/> 
<a href=""https://www.code.org/curriculum/course3/10/Key-Assessment10-DiceRace.pdf"" target=""_new"">Assessment Answer Key</a> ",
MRF,Algorithms,My Robotic Friends,6+,https://curriculum.code.org/csf-18/coursee/1,https://curriculum.code.org/csf-18/coursee/1,https://youtu.be/xaW3PAzHxCU,https://www.youtube.com/watch?v=xaW3PAzHxCU,," - Gain understanding of the need for precision in coding.
 - Learn how to recognize a bug and how to debug the malfunctioning code.","Using a predefined symbol key, your students will figure out how to guide one another to accomplish specific tasks without using any verbal commands. This segment teaches students the connection between symbols and actions, the difference between an algorithm and a program, and the valuable skill of debugging.","<a href=""https://drive.google.com/file/d/0B-uvt08wYSQqOC0xN3BwLUdIdnc/edit"">Teacher Prep Guide</a>",,,,courseb,,6,,,,,
paperPlanes,Algorithms,Real-Life Algorithms: Paper Planes,8+,https://curriculum.code.org/csf-18/coursec/4/,https://curriculum.code.org/csf-18/coursec/4/,https://youtu.be/AWqo8Gxtrjs,https://www.youtube.com/watch?v=EEwe28TF1VE,https://www.youtube.com/watch?v=kIAj43fK2mg," - Decompose large activities into a series of smaller events.
 - Arrange sequential events into their logical order.","In this lesson, students will relate the concept of algorithms back to everyday activities. After discussing algorithms, students will make paper airplanes using an algorithm. The goal here is to start building the skills to translate real world situations to online scenarios and vice versa.",,https:,curriculum.code.org,csf-18,coursec,4,,,,,"<a href=""https://www.code.org/curriculum/course2/2/Key-Activity2-RealLifeAlgorithms.pdf"" target=""_new"">Activity Answer Key</a><br/> ",
plantSeed,Algorithms,Real Life Algorithms: Plant a Seed,6+,https://curriculum.code.org/csf-18/coursea/3/,https://curriculum.code.org/csf-18/coursea/3/,https://youtu.be/FHsuEh1kJ18,https://www.youtube.com/watch?v=icVRxFr39AU,," - Decompose large activities into a series of smaller events.
 - Arrange sequential events into their logical order.","In this lesson, students will relate the concept of algorithms back to everyday, real-life activities by planting an actual seed. The goal here is to start building the skills to translate real-world situations to online scenarios and vice versa.",,https:,curriculum.code.org,csf-18,coursea,3,,,,,"<a href=""https://www.code.org/curriculum/course1/6/Key-Activity6-RealLifeAlgorithms.pdf"" target=""_new"">Activity Answer Key</a><br/> 
<a href=""https://code.org/curriculum/course1/6/Key-Assessment6-RealLifeAlg.pdf"" target=""_new"">Assessment Answer Key</a> ",
tangram,Algorithms,Tangrams,10+,https://curriculum.code.org/csf-1718/coursef/10/,https://curriculum.code.org/csf-1718/coursef/10/,https://youtu.be/xZlKyTwQZv8,https://www.youtube.com/watch?v=9K4JAdvwdVM,," - Tackle the challenge of translating an image into actionable instructions.
 - Convey instructions to teammates in order to reproduce an image.
 - Analyze the work of teammates to determine whether an outcome was successful.","This lesson shows us something important about algorithms. As long as you keep an algorithm simple, there are lots of ways to use it. However, if you want to make sure everyone produces the same outcome, then your algorithm needs more detail. Students will learn the difference between a detailed and general algorithm while playing with tangrams.",,https:,curriculum.code.org,csf-1718,coursef,10,,,,,"<a href=""https://www.code.org/curriculum/course4/1/Key-Assessment1-Tangrams.pdf"" target=""_new"">Assessment Answer Key</a> ",
compThinking,Computational Thinking,Computational Thinking,10+,https://code.org/curriculum/course3/1/Teacher,https://code.org/curriculum/course3/1/Teacher,https://youtu.be/TlAaklrolA0,https://www.youtube.com/watch?v=7sHTZsGMQuQ,https://www.youtube.com/watch?v=b4a7Ty1TpKU," - Analyze information to draw conclusions.
 - Match identical portions of similar phrases to match patterns.
 - Identify differences in similar phrases and abstract them out.","For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.",,https:,code.org,curriculum,course3,1,Teacher,,,,"<a href=""https://www.code.org/curriculum/course3/1/Key-Activity1-ComputationalThinking.pdf"" target=""_new"">Activity Answer Key</a> ",
monsters,Computational Thinking,Computational Thinking with Monsters,10+,https://studio.code.org/unplugged/unplug2.pdf,https://studio.code.org/unplugged/unplug2.pdf,https://youtu.be/injJWiSA0pw,,," - Analyze information to draw conclusions.
 - Match identical portions of similar phrases to match patterns.
 - Identify differences in similar phrases and abstract them out.","With nothing but paper and markers, students will learn the four steps of computational thinking. After a brief introduction, students should be split into groups where they will have to create directions for other students to draw a specific monster (from a catalog of pre-selected monsters). The entire task must be decomposed, then teams will analyze all monsters in the catalog for patterns, abstract similar details from the monsters, then use that information to create an algorithm (directions) for another team to draw a certain monster. Teams will then switch algorithms with another group and draw the monster based on what that algorithm indicates. Is the drawing what the original team intended?",,https:,studio.code.org,unplugged,unplug2.pdf,,,,,,,
unspotted,Debugging,Unspotted Bugs,5+,https://curriculum.code.org/csf-18/coursea/1/,https://curriculum.code.org/csf-18/coursea/1/,https://youtu.be/S8qub6aPysM,,,"- Express that they have noticed when something goes differently than what is expected.
- Identify what the expected result was before an error occurs.
- Determine and describe the difference between what was expected and what actually happened in the event of an error.","This lesson will guide students through the steps of debugging. Students will learn the mantra: ""What happened? What was supposed to happen? What does that tell you?""

",,https:,curriculum.code.org,csf-18,coursea,1,,,,,,
buildFoundation,Persistence,Building a Foundation,4+,https://curriculum.code.org/csf-18/coursec/1/,https://curriculum.code.org/csf-18/coursec/1/,https://youtu.be/eZqKqI8AvnA,https://www.youtube.com/watch?v=J7y0o6VxMXQ,https://www.youtube.com/watch?v=90cSld-If04," - Outline steps to complete a structural engineering challenge.
 - Predict and discuss potential issues in structure creation.
 - Build a structure based on team plan.
 - Revise both the plan and the structure until they satisfy challenge.","New and unsolved problems are often pretty hard. If we want to have any chance of making something creative, useful, and clever, then we need to be willing to attack hard problems even if it means failing a few times before we succeed. In this lesson, students will be building a structure with common materials. The structure will be tested on its ability to hold a textbook for more than ten seconds. Most students will not get this right the first time, but it's important they push through and keep trying.","<a href=""https://www.youtube.com/watch?v=2zrtHt3bBmQ&list=PLIChyVOpASG3UTHeoU-z6GuwyAFIFfpFj"" target=""_new"">Class Dojo: Growth Mindset videos</a><a href=""https://www.khanacademy.org/educator/reference-for-coaches/how-to/a/growth-mindset-lesson-plan"" target=""_new"">Khan Academy: Growth Mindset</a>",https:,curriculum.code.org,csf-18,coursec,1,,,,,,
stevie,Persistence,Stevie and the Big Project,5+,https://curriculum.code.org/csf-18/coursea/2/,https://curriculum.code.org/csf-18/coursea/2/,https://youtu.be/cybBscJ3G8c,,,"- Recognize and point out symptoms of frustration.
- Describe at least one reason why they will choose to be persistent in the face of frustration, rather than giving up.
","When students run into a barrier while answering a question or working on a project, it’s so easy for them to get frustrated and give up. This lesson will introduce students to the idea that frustration can be an important part of learning. Here, frustration is presented as a step in the creative process, rather than a sign of failure.

This lession can be done over one or two class sessions. If you have more time, feel free to draw out the building and revising phase of the Marble Run activity.",,https:,curriculum.code.org,csf-18,coursea,2,,,,,,
