code_s!,city_s*,state_code_s*,latitude_f,longitude_f
10001,NEW YORK,NY,40.71,-73.99
10002,NEW YORK,NY,40.71,-73.99
10003,NEW YORK,NY,40.71,-73.99
10004,NEW YORK,NY,40.71,-73.99
10005,NEW YORK,NY,40.71,-73.99
10006,NEW YORK,NY,40.71,-73.99
10007,NEW YORK,NY,40.71,-73.99
10008,NEW YORK,NY,40.71,-73.99
10009,NEW YORK,NY,40.71,-73.99
10010,NEW YORK,NY,40.71,-73.99
10011,NEW YORK,NY,40.71,-73.99
10012,NEW YORK,NY,40.71,-73.99
10013,NEW YORK,NY,40.71,-73.99
10014,NEW YORK,NY,40.71,-73.99
10016,NEW YORK,NY,40.71,-73.99
10017,NEW YORK,NY,40.71,-73.99
10018,NEW YORK,NY,40.71,-73.99
10019,NEW YORK,NY,40.71,-73.99
10020,NEW YORK,NY,40.71,-73.99
10021,NEW YORK,NY,40.77,-73.95
10022,NEW YORK,NY,40.71,-73.99
10023,NEW YORK,NY,40.71,-73.99
10024,NEW YORK,NY,40.71,-73.99
10025,NEW YORK,NY,40.71,-73.99
10026,NEW YORK,NY,40.71,-73.99
10027,NEW YORK,NY,40.71,-73.99
10028,NEW YORK,NY,40.71,-73.99
10029,NEW YORK,NY,40.71,-73.99
10030,NEW YORK,NY,40.71,-73.99
10031,NEW YORK,NY,40.71,-73.99
10032,NEW YORK,NY,40.71,-73.99
10033,NEW YORK,NY,40.71,-73.99
10034,NEW YORK,NY,40.71,-73.99
00613,ARECIBO,PR,18.45,-66.73
00614,ARECIBO,PR,18.45,-66.73
00714,ARROYO,PR,17.97,-66.06
00616,BAJADERO,PR,18.40,-66.66
00617,BARCELONETA,PR,18.45,-66.53
00794,BARRANQUITAS,PR,18.18,-66.30
00622,BOQUERON,PR,17.99,-67.15
00623,CABO ROJO,PR,18.08,-67.14
00627,CAMUY,PR,18.48,-66.84
00729,CANOVANAS,PR,18.37,-65.90
00979,CAROLINA,PR,18.40,-65.98
00981,CAROLINA,PR,18.40,-65.98
00982,CAROLINA,PR,18.40,-65.98
00983,CAROLINA,PR,18.40,-65.98
00984,CAROLINA,PR,18.40,-65.98
00985,CAROLINA,PR,18.40,-65.98
00986,CAROLINA,PR,18.40,-65.98
00987,CAROLINA,PR,18.40,-65.98
00988,CAROLINA,PR,18.40,-65.98
00736,CAYEY,PR,18.11,-66.16
00739,CIDRA,PR,18.17,-66.15
00769,COAMO,PR,18.08,-66.36
00782,COMERIO,PR,18.22,-66.22
00783,COROZAL,PR,18.34,-66.31
09848,APO,AE,,
10200,NEW YORK,NY,40.77,73.95
09323,APO,AE,-44.25,33.53
00659,HATILLO,PR,18.48,-66.82
00660,HORMIGUEROS,PR,18.14,-67.12
00791,HUMACAO,PR,18.15,-65.81
00792,HUMACAO,PR,18.15,-65.81
00662,ISABELA,PR,18.50,-67.02
00664,JAYUYA,PR,18.22,-66.59
00795,JUANA DIAZ,PR,18.05,-66.50
00777,JUNCOS,PR,18.22,-65.91
00728,PONCE,PR,17.98,-66.60
00725,CAGUAS,PR,18.23,-66.03
00726,CAGUAS,PR,18.23,-66.03
00727,CAGUAS,PR,18.23,-66.03
00737,CAYEY,PR,18.11,-66.16
00735,CEIBA,PR,18.26,-65.64
00742,ROOSEVELT ROADS,PR,18.27,-65.65
00638,CIALES,PR,18.33,-66.47
00780,COTO LAUREL,PR,18.09,-66.57
00775,CULEBRA,PR,18.31,-65.30
00646,DORADO,PR,18.47,-66.27
00647,ENSENADA,PR,17.96,-66.94
00738,FAJARDO,PR,18.33,-65.65
00650,FLORIDA,PR,18.36,-66.56
00652,GARROCHALES,PR,18.45,-66.60
00653,GUANICA,PR,17.97,-66.93
00784,GUAYAMA,PR,17.97,-66.11
00785,GUAYAMA,PR,17.97,-66.11
00656,GUAYANILLA,PR,18.02,-66.79
00965,GUAYNABO,PR,18.38,-66.11
00966,GUAYNABO,PR,18.38,-66.11
00968,GUAYNABO,PR,18.38,-66.11
00969,GUAYNABO,PR,18.38,-66.11
00970,GUAYNABO,PR,18.38,-66.11
00971,GUAYNABO,PR,18.38,-66.11
00778,GURABO,PR,18.25,-65.97
00667,LAJAS,PR,18.04,-67.06
00786,LA PLATA,PR,18.16,-66.23
00669,LARES,PR,18.29,-66.88
00670,LAS MARIAS,PR,18.27,-67.06
00771,LAS PIEDRAS,PR,18.18,-65.86
00931,SAN JUAN,PR,18.40,-66.06
00933,SAN JUAN,PR,18.40,-66.06
00934,FORT BUCHANAN,PR,18.41,-66.11
00935,SAN JUAN,PR,18.40,-66.06
00936,SAN JUAN,PR,18.40,-66.06
00772,LOIZA,PR,18.43,-65.88
00773,LUQUILLO,PR,18.37,-65.71
00674,MANATI,PR,18.43,-66.48
00606,MARICAO,PR,18.18,-66.98
00707,MAUNABO,PR,18.00,-65.90
00636,ROSARIO,PR,18.15,-67.06
00680,MAYAGUEZ,PR,18.20,-67.14
00681,MAYAGUEZ,PR,18.20,-67.14
00682,MAYAGUEZ,PR,18.20,-67.14
00715,MERCEDITA,PR,18.00,-66.56
00676,MOCA,PR,18.39,-67.11
00687,MOROVIS,PR,18.32,-66.40
00718,NAGUABO,PR,18.21,-65.73
00719,NARANJITO,PR,18.30,-66.24
00720,OROCOVIS,PR,18.22,-66.39
00723,PATILLAS,PR,18.00,-66.01
00624,PENUELAS,PR,18.06,-66.72
00716,PONCE,PR,17.98,-66.60
00717,PONCE,PR,17.98,-66.60
00730,PONCE,PR,17.98,-66.60
00731,PONCE,PR,17.98,-66.60
00732,PONCE,PR,17.98,-66.60
00733,PONCE,PR,17.98,-66.60
00734,PONCE,PR,17.98,-66.60
00740,PUERTO REAL,PR,18.33,-65.63
00741,PUNTA SANTIAGO,PR,18.15,-65.76
00678,QUEBRADILLAS,PR,18.47,-66.93
00677,RINCON,PR,18.34,-67.25
00744,RIO BLANCO,PR,18.22,-65.79
00721,PALMER,PR,18.37,-65.77
00745,RIO GRANDE,PR,18.38,-65.83
00637,SABANA GRANDE,PR,18.08,-66.96
00688,SABANA HOYOS,PR,18.38,-66.62
00952,SABANA SECA,PR,18.42,-66.19
00751,SALINAS,PR,17.97,-66.29
00690,SAN ANTONIO,PR,18.49,-67.09
00683,SAN GERMAN,PR,18.08,-67.04
00901,SAN JUAN,PR,18.40,-66.06
00902,SAN JUAN,PR,18.40,-66.06
00906,SAN JUAN,PR,18.40,-66.06
00907,SAN JUAN,PR,18.40,-66.06
00908,SAN JUAN,PR,18.40,-66.06
00909,SAN JUAN,PR,18.44,-66.06
00910,SAN JUAN,PR,18.40,-66.06
00911,SAN JUAN,PR,18.40,-66.06
00912,SAN JUAN,PR,18.40,-66.06
00913,SAN JUAN,PR,18.40,-66.06
00914,SAN JUAN,PR,18.40,-66.06
00915,SAN JUAN,PR,18.40,-66.06
00916,SAN JUAN,PR,18.40,-66.06
00917,SAN JUAN,PR,18.40,-66.06
00918,SAN JUAN,PR,18.40,-66.06
00919,SAN JUAN,PR,18.40,-66.06
00920,SAN JUAN,PR,18.40,-66.06
00921,SAN JUAN,PR,18.40,-66.06
00922,SAN JUAN,PR,18.40,-66.06
00923,SAN JUAN,PR,18.40,-66.06
00924,SAN JUAN,PR,18.40,-66.06
00925,SAN JUAN,PR,18.40,-66.06
00926,SAN JUAN,PR,18.40,-66.06
00927,SAN JUAN,PR,18.40,-66.06
00928,SAN JUAN,PR,18.40,-66.06
00929,SAN JUAN,PR,18.40,-66.06
00930,SAN JUAN,PR,18.40,-66.06
00937,SAN JUAN,PR,18.40,-66.06
00939,SAN JUAN,PR,18.40,-66.06
00940,SAN JUAN,PR,18.40,-66.06
00955,SAN JUAN,PR,18.40,-66.06
00956,BAYAMON,PR,18.28,-66.13
00957,BAYAMON,PR,18.28,-66.13
00958,BAYAMON,PR,18.28,-66.13
00959,BAYAMON,PR,18.28,-66.13
00801,ST THOMAS,VI,18.35,-64.93
00802,ST THOMAS,VI,18.35,-64.93
00803,ST THOMAS,VI,18.35,-64.93
00804,ST THOMAS,VI,18.35,-64.93
00805,ST THOMAS,VI,18.34,-64.93
00820,CHRISTIANSTED,VI,17.74,-64.70
00821,CHRISTIANSTED,VI,17.74,-64.70
00822,CHRISTIANSTED,VI,17.74,-64.70
00823,CHRISTIANSTED,VI,17.74,-64.70
00824,CHRISTIANSTED,VI,17.74,-64.70
00830,ST JOHN,VI,18.33,-64.79
00831,ST JOHN,VI,18.33,-64.79
00840,FREDERIKSTED,VI,17.71,-64.88
00841,FREDERIKSTED,VI,17.71,-64.88
00850,KINGSHILL,VI,17.76,-64.82
00851,KINGSHILL,VI,17.73,-64.80
02478,BELMONT,MA,42.39,-71.18
02479,WAVERLEY,MA,42.39,-71.17
02445,BROOKLINE,MA,42.32,-71.14
02446,BROOKLINE,MA,42.32,-71.14
02447,BROOKLINE VILLAGE,MA,42.33,-71.13
02420,LEXINGTON,MA,42.44,-71.23
02421,LEXINGTON,MA,42.44,-71.23
02492,NEEDHAM,MA,42.28,-71.24
02494,NEEDHAM HEIGHTS,MA,42.28,-71.24
02456,NEW TOWN,MA,42.33,-71.20
02458,NEWTON,MA,42.33,-71.20
02459,NEWTON CENTER,MA,42.31,-71.19
02460,NEWTONVILLE,MA,42.35,-71.20
02461,NEWTON HIGHLANDS,MA,42.31,-71.20
02462,NEWTON LOWER FALLS,MA,42.33,-71.25
02464,NEWTON UPPER FALLS,MA,42.31,-71.22
02465,WEST NEWTON,MA,42.35,-71.22
02466,AUBURNDALE,MA,42.34,-71.24
00960,BAYAMON,PR,18.28,-66.13
00961,BAYAMON,PR,18.41,-66.15
00962,CATANO,PR,18.43,-66.11
00963,CATANO,PR,18.43,-66.11
00975,SAN JUAN,PR,18.40,-66.06
00976,TRUJILLO ALTO,PR,18.36,-66.01
00977,TRUJILLO ALTO,PR,18.36,-66.01
00978,SAINT JUST,PR,18.37,-66.01
00754,SAN LORENZO,PR,18.19,-65.96
00685,SAN SEBASTIAN,PR,18.33,-66.99
00757,SANTA ISABEL,PR,17.97,-66.40
00953,TOA ALTA,PR,18.39,-66.25
00954,TOA ALTA,PR,18.39,-66.25
00949,TOA BAJA,PR,18.44,-66.25
00950,TOA BAJA,PR,18.44,-66.25
00951,TOA BAJA,PR,18.44,-66.25
00641,UTUADO,PR,18.27,-66.70
00692,VEGA ALTA,PR,18.41,-66.32
00693,VEGA BAJA,PR,18.44,-66.39
00694,VEGA BAJA,PR,18.44,-66.39
00765,VIEQUES,PR,18.42,-65.83
00766,VILLALBA,PR,18.13,-66.48
00767,YABUCOA,PR,18.04,-65.87
00698,YAUCO,PR,18.03,-66.86
02467,CHESTNUT HILL,MA,42.31,-71.16
02468,WABAN,MA,42.32,-71.23
02495,NONANTUM,MA,42.33,-71.20
02451,WALTHAM,MA,42.38,-71.24
02452,WALTHAM,MA,42.38,-71.24
02453,WALTHAM,MA,42.38,-71.24
02454,WALTHAM,MA,42.38,-71.24
02455,NORTH WALTHAM,MA,42.39,-71.22
02471,WATERTOWN,MA,42.36,-71.17
02472,WATERTOWN,MA,42.36,-71.17
02477,WATERTOWN,MA,42.36,-71.17
02457,BABSON PARK,MA,42.29,-71.26
02481,WELLESLEY HILLS,MA,42.31,-71.27
02482,WELLESLEY,MA,42.30,-71.28
02493,WESTON,MA,42.36,-71.26
02184,BRAINTREE,MA,42.20,-71.00
02185,BRAINTREE,MA,42.20,-71.00
02186,MILTON,MA,42.24,-71.08
02187,MILTON VILLAGE,MA,42.26,-71.08
02169,QUINCY,MA,42.26,-71.00
02170,QUINCY,MA,42.26,-71.00
02171,QUINCY,MA,42.26,-71.00
02269,QUINCY,MA,42.26,-71.00
02188,WEYMOUTH,MA,42.20,-70.94
02189,EAST WEYMOUTH,MA,42.20,-70.94
02190,SOUTH WEYMOUTH,MA,42.20,-70.94
02191,NORTH WEYMOUTH,MA,42.20,-70.94
01718,VILLAGE OF NAGOG WOODS,MA,42.51,-71.41
01719,BOXBOROUGH,MA,42.50,-71.50
01720,ACTON,MA,42.48,-71.46
02474,ARLINGTON,MA,42.41,-71.16
02475,ARLINGTON HEIGHTS,MA,42.41,-71.18
02476,ARLINGTON,MA,42.41,-71.16
02150,CHELSEA,MA,42.39,-71.03
02149,EVERETT,MA,42.40,-71.05
02152,WINTHROP,MA,42.37,-70.98
02151,REVERE,MA,42.41,-70.99
02148,MALDEN,MA,42.43,-71.05
02176,MELROSE,MA,42.45,-71.05
02153,MEDFORD,MA,42.42,-71.10
02155,MEDFORD,MA,42.42,-71.10
02156,WEST MEDFORD,MA,42.42,-71.13
02143,SOMERVILLE,MA,42.39,-71.10
02144,SOMERVILLE,MA,42.39,-71.10
02145,SOMERVILLE,MA,42.39,-71.10
02180,STONEHAM,MA,42.47,-71.09
01913,AMESBURY,MA,42.85,-70.92
01810,ANDOVER,MA,42.65,-71.14
01812,ANDOVER,MA,42.65,-71.14
01899,ANDOVER,MA,42.65,-71.14
05501,ANDOVER,MA,42.65,-71.14
01586,WEST MILLBURY,MA,42.19,-71.76
02054,MILLIS,MA,42.16,-71.35
01529,MILLVILLE,MA,42.03,-71.58
02350,MONPONSETT,MA,42.02,-70.84
02553,MONUMENT BEACH,MA,41.71,-70.60
02554,NANTUCKET,MA,41.27,-70.10
02564,SIASCONSET,MA,41.27,-70.00
02584,NANTUCKET,MA,41.27,-70.10
01760,NATICK,MA,42.28,-71.35
01531,NEW BRAINTREE,MA,42.31,-72.13
01950,NEWBURYPORT,MA,42.81,-70.88
01951,NEWBURY,MA,42.80,-71.00
01952,SALISBURY,MA,42.83,-70.84
02056,NORFOLK,MA,42.11,-71.31
02351,ABINGTON,MA,42.11,-70.95
01862,NORTH BILLERICA,MA,42.57,-71.29
01532,NORTHBOROUGH,MA,42.31,-71.64
01534,NORTHBRIDGE,MA,42.15,-71.65
01535,NORTH BROOKFIELD,MA,42.27,-72.08
02355,NORTH CARVER,MA,41.91,-70.79
02650,NORTH CHATHAM,MA,41.70,-69.95
01863,NORTH CHELMSFORD,MA,42.63,-71.39
02651,NORTH EASTHAM,MA,41.84,-69.97
02356,NORTH EASTON,MA,42.05,-71.10
02357,NORTH EASTON,MA,42.05,-71.10
02556,NORTH FALMOUTH,MA,41.64,-70.63
02565,SILVER BEACH,MA,41.63,-70.64
01536,NORTH GRAFTON,MA,42.23,-71.69
02059,NORTH MARSHFIELD,MA,42.10,-70.71
01537,NORTH OXFORD,MA,42.16,-71.88
02358,NORTH PEMBROKE,MA,42.09,-70.78
01864,NORTH READING,MA,42.56,-71.06
01889,NORTH READING,MA,42.56,-71.06
05544,ANDOVER,MA,42.65,-71.14
01430,ASHBURNHAM,MA,42.63,-71.90
01431,ASHBY,MA,42.68,-71.81
01721,ASHLAND,MA,42.25,-71.46
01501,AUBURN,MA,42.20,-71.83
02322,AVON,MA,42.11,-71.03
01432,AYER,MA,42.56,-71.58
01434,DEVENS,MA,42.53,-71.61
01436,BALDWINVILLE,MA,42.60,-72.07
02630,BARNSTABLE,MA,41.70,-70.30
01730,BEDFORD,MA,42.48,-71.26
01731,HANSCOM AFB,MA,42.46,-71.28
02019,BELLINGHAM,MA,42.09,-71.47
01503,BERLIN,MA,42.38,-71.63
01915,BEVERLY,MA,42.55,-70.84
01821,BILLERICA,MA,42.55,-71.26
01822,BILLERICA,MA,42.55,-71.26
01504,BLACKSTONE,MA,42.01,-71.50
01740,BOLTON,MA,42.43,-71.60
02108,BOSTON,MA,42.35,-71.06
02109,BOSTON,MA,42.35,-71.06
02110,BOSTON,MA,42.35,-71.06
02111,BOSTON,MA,42.35,-71.06
02112,BOSTON,MA,42.35,-71.06
02113,BOSTON,MA,42.35,-71.06
02114,BOSTON,MA,42.35,-71.06
02115,BOSTON,MA,42.35,-71.06
02116,BOSTON,MA,42.35,-71.06
02117,BOSTON,MA,42.35,-71.06
02118,BOSTON,MA,42.35,-71.06
02119,ROXBURY,MA,42.35,-71.06
02120,ROXBURY CROSSING,MA,42.35,-71.06
02121,DORCHESTER,MA,42.35,-71.06
02122,DORCHESTER,MA,42.35,-71.06
02123,BOSTON,MA,42.35,-71.06
02124,DORCHESTER CENTER,MA,42.35,-71.06
02125,DORCHESTER,MA,42.35,-71.06
02126,MATTAPAN,MA,42.26,-71.10
02127,BOSTON,MA,42.35,-71.06
02128,BOSTON,MA,42.35,-71.06
02129,CHARLESTOWN,MA,42.38,-71.06
02130,JAMAICA PLAIN,MA,42.30,-71.11
02131,ROSLINDALE,MA,42.28,-71.13
02132,WEST ROXBURY,MA,42.28,-71.16
02133,BOSTON,MA,42.35,-71.06
02134,ALLSTON,MA,42.35,-71.13
02135,BRIGHTON,MA,42.35,-71.15
02136,HYDE PARK,MA,42.26,-71.11
02137,READVILLE,MA,42.25,-71.12
02163,BOSTON,MA,42.35,-71.06
02196,BOSTON,MA,42.35,-71.06
02199,BOSTON,MA,42.35,-71.06
02201,BOSTON,MA,42.35,-71.06
02203,BOSTON,MA,42.35,-71.06
02204,BOSTON,MA,42.35,-71.06
02205,BOSTON,MA,42.35,-71.06
02206,BOSTON,MA,42.35,-71.06
02210,BOSTON,MA,42.35,-71.06
02211,BOSTON,MA,42.35,-71.06
02212,BOSTON,MA,42.35,-71.06
02215,BOSTON,MA,42.35,-71.06
02217,BOSTON,MA,42.35,-71.06
02222,BOSTON,MA,42.35,-71.06
02228,EAST BOSTON,MA,42.35,-71.06
02241,BOSTON,MA,42.35,-71.06
02266,BOSTON,MA,42.35,-71.06
02283,BOSTON,MA,42.35,-71.06
02284,BOSTON,MA,42.35,-71.06
02293,BOSTON,MA,42.35,-71.06
02295,BOSTON,MA,42.35,-71.06
02297,BOSTON,MA,42.35,-71.06
02298,BOSTON,MA,42.34,-71.05
01921,BOXFORD,MA,42.67,-70.98
01505,BOYLSTON,MA,42.35,-71.73
02020,BRANT ROCK,MA,42.08,-70.64
02631,BREWSTER,MA,41.76,-70.08
02324,BRIDGEWATER,MA,41.98,-70.97
02325,BRIDGEWATER,MA,41.98,-70.97
02301,BROCKTON,MA,42.08,-71.02
02302,BROCKTON,MA,42.08,-71.02
02303,BROCKTON,MA,42.08,-71.02
02304,BROCKTON,MA,42.08,-71.02
02305,BROCKTON,MA,42.08,-71.02
01506,BROOKFIELD,MA,42.21,-72.10
02327,BRYANTVILLE,MA,42.06,-70.80
01803,BURLINGTON,MA,42.50,-71.20
01805,BURLINGTON,MA,42.50,-71.20
02532,BUZZARDS BAY,MA,41.75,-70.61
02542,BUZZARDS BAY,MA,41.75,-70.61
01922,BYFIELD,MA,42.75,-70.93
02138,CAMBRIDGE,MA,42.37,-71.11
02139,CAMBRIDGE,MA,42.37,-71.11
02140,CAMBRIDGE,MA,42.37,-71.11
02141,CAMBRIDGE,MA,42.37,-71.11
02142,CAMBRIDGE,MA,42.37,-71.11
02238,CAMBRIDGE,MA,42.37,-71.11
02021,CANTON,MA,42.15,-71.13
01741,CARLISLE,MA,42.53,-71.35
02330,CARVER,MA,41.88,-70.76
02534,CATAUMET,MA,41.66,-70.61
02632,CENTERVILLE,MA,41.66,-70.34
02634,CENTERVILLE,MA,41.66,-70.34
01507,CHARLTON,MA,42.13,-71.96
01509,CHARLTON DEPOT,MA,42.13,-71.96
01508,CHARLTON CITY,MA,42.13,-71.96
02633,CHATHAM,MA,41.67,-69.96
01824,CHELMSFORD,MA,42.59,-71.36
02535,CHILMARK,MA,41.34,-70.74
02552,MENEMSHA,MA,41.34,-70.73
01510,CLINTON,MA,42.41,-71.68
02025,COHASSET,MA,42.23,-70.80
01742,CONCORD,MA,42.45,-71.35
02635,COTUIT,MA,41.62,-70.44
02652,NORTH TRURO,MA,42.04,-70.09
01538,NORTH UXBRIDGE,MA,42.05,-71.64
02061,NORWELL,MA,42.16,-70.78
02062,NORWOOD,MA,42.18,-71.19
01865,NUTTING LAKE,MA,42.54,-71.25
02557,OAK BLUFFS,MA,41.45,-70.56
02558,ONSET,MA,41.74,-70.66
02653,ORLEANS,MA,41.79,-70.00
02655,OSTERVILLE,MA,41.62,-70.38
01540,OXFORD,MA,42.11,-71.87
01960,PEABODY,MA,42.53,-70.97
01961,PEABODY,MA,42.53,-70.97
02359,PEMBROKE,MA,42.06,-70.80
01463,PEPPERELL,MA,42.66,-71.58
01866,PINEHURST,MA,42.53,-71.23
02360,PLYMOUTH,MA,41.95,-70.66
02361,PLYMOUTH,MA,41.95,-70.66
02362,PLYMOUTH,MA,41.95,-70.66
02367,PLYMPTON,MA,41.95,-70.81
02559,POCASSET,MA,41.69,-70.63
01965,PRIDES CROSSING,MA,42.56,-70.86
01541,PRINCETON,MA,42.45,-71.86
02657,PROVINCETOWN,MA,42.06,-70.20
02368,RANDOLPH,MA,42.17,-71.05
01867,READING,MA,42.53,-71.10
01542,ROCHDALE,MA,42.20,-71.90
02370,ROCKLAND,MA,42.13,-70.91
01966,ROCKPORT,MA,42.64,-70.61
01969,ROWLEY,MA,42.71,-70.87
01543,RUTLAND,MA,42.36,-71.95
02561,SAGAMORE,MA,41.78,-70.53
02562,SAGAMORE BEACH,MA,41.79,-70.53
01970,SALEM,MA,42.51,-70.90
01971,SALEM,MA,42.51,-70.89
02563,SANDWICH,MA,41.75,-70.49
02040,GREENBUSH,MA,42.19,-70.76
02055,MINOT,MA,42.19,-70.76
02060,NORTH SCITUATE,MA,42.21,-70.76
02066,SCITUATE,MA,42.18,-70.73
02067,SHARON,MA,42.11,-71.18
02070,SHELDONVILLE,MA,42.05,-71.35
01770,SHERBORN,MA,42.23,-71.36
01464,SHIRLEY,MA,42.54,-71.65
01545,SHREWSBURY,MA,42.30,-71.71
01546,SHREWSBURY,MA,42.30,-71.71
01745,FAYVILLE,MA,42.29,-71.50
01772,SOUTHBOROUGH,MA,42.30,-71.51
01550,SOUTHBRIDGE,MA,42.08,-72.03
02366,SOUTH CARVER,MA,41.83,-70.72
02659,SOUTH CHATHAM,MA,41.68,-70.02
02660,SOUTH DENNIS,MA,41.70,-70.15
02375,SOUTH EASTON,MA,42.03,-71.10
01560,SOUTH GRAFTON,MA,42.17,-71.68
01982,SOUTH HAMILTON,MA,42.62,-70.86
02661,SOUTH HARWICH,MA,41.67,-70.04
01561,SOUTH LANCASTER,MA,42.43,-71.69
02662,SOUTH ORLEANS,MA,41.75,-69.99
02071,SOUTH WALPOLE,MA,42.09,-71.27
02663,SOUTH WELLFLEET,MA,41.89,-69.98
02664,SOUTH YARMOUTH,MA,41.67,-70.20
02673,WEST YARMOUTH,MA,41.65,-70.24
01562,SPENCER,MA,42.24,-71.99
01564,STERLING,MA,42.43,-71.75
01467,STILL RIVER,MA,42.49,-71.61
02072,STOUGHTON,MA,42.11,-71.10
01775,STOW,MA,42.43,-71.50
01518,FISKDALE,MA,42.12,-72.11
01566,STURBRIDGE,MA,42.09,-72.06
01776,SUDBURY,MA,42.36,-71.40
01590,SUTTON,MA,42.15,-71.76
01468,TEMPLETON,MA,42.55,-72.06
01876,TEWKSBURY,MA,42.61,-71.23
01983,TOPSFIELD,MA,42.63,-70.95
01469,TOWNSEND,MA,42.66,-71.70
01474,WEST TOWNSEND,MA,42.66,-71.74
02666,TRURO,MA,42.00,-70.06
01879,TYNGSBORO,MA,42.68,-71.41
01569,UXBRIDGE,MA,42.08,-71.60
02568,VINEYARD HAVEN,MA,41.45,-70.60
02573,WEST CHOP,MA,41.45,-70.60
01880,WAKEFIELD,MA,42.50,-71.06
02081,WALPOLE,MA,42.13,-71.24
02571,WAREHAM,MA,41.76,-70.71
01778,WAYLAND,MA,42.36,-71.36
01570,WEBSTER,MA,42.04,-71.87
01571,DUDLEY,MA,42.05,-71.93
02667,WELLFLEET,MA,41.93,-70.03
02637,CUMMAQUID,MA,41.70,-70.24
01923,DANVERS,MA,42.57,-70.95
02026,DEDHAM,MA,42.24,-71.17
02027,DEDHAM,MA,42.24,-71.17
02638,DENNIS,MA,41.73,-70.20
02639,DENNIS PORT,MA,41.66,-70.13
02030,DOVER,MA,42.24,-71.27
01826,DRACUT,MA,42.66,-71.30
01827,DUNSTABLE,MA,42.66,-71.48
02331,DUXBURY,MA,42.04,-70.67
02332,DUXBURY,MA,42.04,-70.67
02333,EAST BRIDGEWATER,MA,42.03,-70.95
01515,EAST BROOKFIELD,MA,42.22,-72.04
02641,EAST DENNIS,MA,41.74,-70.15
01516,DOUGLAS,MA,42.05,-71.73
02536,EAST FALMOUTH,MA,41.56,-70.55
02642,EASTHAM,MA,41.83,-69.96
02334,EASTON,MA,42.03,-71.10
02643,EAST ORLEANS,MA,41.74,-69.98
01517,EAST PRINCETON,MA,42.46,-71.89
02537,EAST SANDWICH,MA,41.73,-70.43
01438,EAST TEMPLETON,MA,42.53,-72.05
02032,EAST WALPOLE,MA,42.15,-71.21
02538,EAST WAREHAM,MA,41.77,-70.64
02539,EDGARTOWN,MA,41.38,-70.53
02337,ELMWOOD,MA,42.01,-70.96
01929,ESSEX,MA,42.63,-70.77
02540,FALMOUTH,MA,41.56,-70.62
02541,FALMOUTH,MA,41.54,-70.60
02543,WOODS HOLE,MA,41.52,-70.66
01521,HOLLAND,MA,42.05,-72.15
01420,FITCHBURG,MA,42.58,-71.81
02644,FORESTDALE,MA,41.68,-70.50
02035,FOXBORO,MA,42.06,-71.24
01701,FRAMINGHAM,MA,42.30,-71.43
01702,FRAMINGHAM,MA,42.30,-71.43
01703,FRAMINGHAM,MA,42.30,-71.43
01704,FRAMINGHAM,MA,42.30,-71.43
01705,FRAMINGHAM,MA,42.30,-71.43
02038,FRANKLIN,MA,42.08,-71.38
01440,GARDNER,MA,42.58,-71.98
01930,GLOUCESTER,MA,42.62,-70.66
01931,GLOUCESTER,MA,42.62,-70.66
01519,GRAFTON,MA,42.20,-71.68
02041,GREEN HARBOR,MA,42.10,-70.71
