Name,Min Life Span,Max Life Span,Min Weight,Max Weight,Temperament,Origin,Intelligence,Shedding Level,Hypoallergenic,Image URL
Colorpoint Shorthair,12,16,4,10,"Affectionate, Intelligent, Playful, Social",United States,5,3,0,https://cdn2.thecatapi.com/images/1nOZPY4uI.jpg
Cornish Rex,11,14,5,9,"Affectionate, Intelligent, Active, Curious, Playful",United Kingdom,5,1,1,https://cdn2.thecatapi.com/images/DmP9GCClC.jpg
Cymric,8,14,8,13,"Gentle, Loyal, Intelligent, Playful",Canada,5,5,0,https://cdn2.thecatapi.com/images/OLP-tyC2i.jpg
Cyprus,12,15,8,16,"Affectionate, Social",Cyprus,3,3,0,https://cdn2.thecatapi.com/images/tJbzb7FKo.jpg
Devon Rex,10,15,5,10,"Highly interactive, Mischievous, Loyal, Social, Playful",United Kingdom,5,1,1,https://cdn2.thecatapi.com/images/uUGt0UBzF.jpg
Donskoy,12,15,10,12,"Playful, affectionate, loyal, social",Russia,3,1,0,https://cdn2.thecatapi.com/images/Z9zxhFVdw.jpg
Dragon Li,12,15,9,12,"Intelligent, Friendly, Gentle, Loving, Loyal",China,3,3,0,https://cdn2.thecatapi.com/images/xYLoht4o_.jpg
Egyptian Mau,18,20,6,14,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",Egypt,4,3,0,https://cdn2.thecatapi.com/images/Y2MO5GWHO.jpg
European Burmese,10,15,7,14,"Sweet, Affectionate, Loyal",Burma,5,3,0,https://cdn2.thecatapi.com/images/GI062lGTf.png
Exotic Shorthair,12,15,7,14,"Affectionate, Sweet, Loyal, Quiet, Peaceful",United States,3,2,0,https://cdn2.thecatapi.com/images/s_SbQ3Xju.jpg
Havana Brown,10,15,6,10,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",United Kingdom,5,3,0,https://cdn2.thecatapi.com/images/gLfmOKHCA.jpg
Himalayan,9,15,7,14,"Dependent, Gentle, Intelligent, Quiet, Social",United States,3,4,0,https://cdn2.thecatapi.com/images/lZOJKmkxY.jpg
Japanese Bobtail,14,16,5,10,"Active, Agile, Clever, Easy Going, Intelligent, Lively, Loyal, Playful, Social",Japan,5,3,0,https://cdn2.thecatapi.com/images/86jwAC0vv.jpg
Javanese,10,12,5,10,"Active, Devoted, Intelligent, Playful",United States,5,2,1,https://cdn2.thecatapi.com/images/tZYP8bcem.jpg
Khao Manee,10,12,8,12,"Calm, Relaxed, Talkative, Playful, Warm",Thailand,4,3,0,https://cdn2.thecatapi.com/images/iyFN2mF8l.jpg
Korat,10,15,7,11,"Active, Loyal, highly intelligent, Expressive, Trainable",Thailand,5,3,0,https://cdn2.thecatapi.com/images/CWGNkdpA7.jpg
Kurilian,15,20,8,15,"Independent, highly intelligent, clever, inquisitive, sociable, playful, trainable",Russia,5,2,0,https://cdn2.thecatapi.com/images/NZpO4pU56M.jpg
LaPerm,10,15,6,10,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",Thailand,5,3,1,https://cdn2.thecatapi.com/images/VYfvpfuU7.jpg
Maine Coon,12,15,12,18,"Adaptable, Intelligent, Loving, Gentle, Independent",United States,5,3,0,https://cdn2.thecatapi.com/images/6JCuKEGDQ.jpg
Malayan,12,18,6,13,"Affectionate, Interactive, Playful, Social",United Kingdom,3,1,0,https://cdn2.thecatapi.com/images/vPOdKNqUm.jpg
Manx,12,14,7,13,"Easy Going, Intelligent, Loyal, Playful, Social",Isle of Man,5,5,0,https://cdn2.thecatapi.com/images/fhYh2PDcC.jpg
Munchkin,10,15,5,9,"Agile, Easy Going, Intelligent, Playful",United States,5,3,0,https://cdn2.thecatapi.com/images/W3fUcHI8z.jpg
Nebelung,11,16,7,11,"Gentle, Quiet, Shy, Playful",United States,5,3,0,https://cdn2.thecatapi.com/images/xObEK7X1-.jpg
Norwegian Forest Cat,12,16,8,16,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious",Norway,4,3,0,https://cdn2.thecatapi.com/images/BtoHr0-4b.jpg
Ocicat,12,14,7,15,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",United States,5,3,1,https://cdn2.thecatapi.com/images/NZ_C9Edot.jpg
Oriental,12,14,5,10,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",United States,5,3,1,https://cdn2.thecatapi.com/images/0Z9FWHLuK.jpg
Persian,14,15,9,14,"Affectionate, loyal, Sedate, Quiet",Iran (Persia),3,4,0,https://cdn2.thecatapi.com/images/d_RzH-Zft.jpg
Pixie-bob,13,16,8,17,"Affectionate, Social, Intelligent, Loyal",United States,5,3,0,https://cdn2.thecatapi.com/images/UFao82MoD.jpg
Ragamuffin,12,16,8,20,"Affectionate, Friendly, Gentle, Calm",United States,5,3,0,https://cdn2.thecatapi.com/images/trgTS8szc.jpg
Ragdoll,12,17,12,20,"Affectionate, Friendly, Gentle, Quiet, Easygoing",United States,3,3,0,https://cdn2.thecatapi.com/images/nqS9tUT3i.jpg
Russian Blue,10,16,5,11,"Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet",Russia,3,3,1,https://cdn2.thecatapi.com/images/iPMgEn50-.jpg
Savannah,17,20,8,25,"Curious, Social, Intelligent, Loyal, Outgoing, Adventurous, Affectionate",United States,5,3,0,https://cdn2.thecatapi.com/images/yKXeUMNZ8.jpg
Scottish Fold,11,14,5,11,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",United Kingdom,3,3,0,https://cdn2.thecatapi.com/images/6P42aYVha.jpg
Selkirk Rex,14,15,6,16,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",United States,3,1,1,https://cdn2.thecatapi.com/images/enV_ZqSpp.jpg
Siamese,12,15,8,15,"Active, Agile, Clever, Sociable, Loving, Energetic",Thailand,5,2,1,https://cdn2.thecatapi.com/images/kjKxmn3Ob.jpg
Siberian,12,15,8,16,"Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate",Russia,5,3,1,https://cdn2.thecatapi.com/images/bvG8QGrnU.jpg
Singapura,12,15,5,8,"Affectionate, Curious, Easy Going, Intelligent, Interactive, Lively, Loyal",Singapore,5,3,0,https://cdn2.thecatapi.com/images/_PH33O5FA.jpg
Snowshoe,14,19,7,12,"Affectionate, Social, Intelligent, Sweet-tempered",United States,5,3,0,https://cdn2.thecatapi.com/images/9cbCzlbJt.jpg
Somali,12,16,6,12,"Mischievous, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal",Somalia,5,4,0,https://cdn2.thecatapi.com/images/f0UR7b5nA.jpg
Sphynx,12,14,6,12,"Loyal, Inquisitive, Friendly, Quiet, Gentle",Canada,5,1,1,https://cdn2.thecatapi.com/images/J-vpF8e1N.jpg
Tonkinese,14,16,6,12,"Curious, Intelligent, Social, Lively, Outgoing, Playful, Affectionate",Canada,5,3,0,https://cdn2.thecatapi.com/images/o0eqzDky9.jpg
Toyger,12,15,7,15,"Playful, Social, Intelligent",United States,5,3,0,https://cdn2.thecatapi.com/images/Ba-qRZ_8n.jpg
Turkish Angora,15,18,5,10,"Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social",Turkey,5,2,0,https://cdn2.thecatapi.com/images/Yx3nQTUHu.jpg
Turkish Van,12,17,7,20,"Agile, Intelligent, Loyal, Playful, Energetic",Turkey,5,3,0,https://cdn2.thecatapi.com/images/AhN6mXcc3.jpg
York Chocolate,13,15,12,18,"Playful, Social, Intelligent, Curious, Friendly",United States,5,3,0,https://cdn2.thecatapi.com/images/y9e6zClik.jpg
