displayweight,displayweight_pre,displayweight_k5,displayweight_25,displayweight_middle,displayweight_high,popularityrank,code,name,orgname,url,shortdescription,longdescription,platformtext,gradelevel,image,tags,teachers_notes,language,languages_supported,short_code,tags_grade,string_detail_grades,tags_teacher_experience,tags_student_experience,tags_activity_type,tags_subject,tags_platform,string_platforms,string_detail_platforms,tags_length,tags_programming_language,string_detail_programming_languages,string_standards,
1329,1,1329,1329,1329,1,66,allcancode,Run Marco!,AllCanCode,https://www.allcancode.com/web/hourofcode  ,An immersive game to guide Marco with a visual programming language.,"Students play an adventure game based on an original story. They guide Marco - the main character - through each level by giving him step-by-step instructions in the form of the visual programming language used by the Hour of Code. They get introduced to sequencing commands, iteration and conditions without even noticing it.","Modern web browsers, iOS.",Ages 5-10,/images/allcancode.png,"Beginner,International",,Multiple,"en,el,et,de,es,it,pt,lt,tr,ro,fr,nl,ca,sl,no,is,hr,da,cz",marco,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,math,"computers,android,ios","All modern browsers, Android tablet, iPad",,1hour-follow,blocks,Blocks,,
1329,1,1,1,1329,1329,143,code_avengers_postcard,Build a Digital Postcard with HTML and CSS,Code Avengers,https://www.codeavengers.com/html-css/101,Use code to build a great looking holiday or birthday card.,"Starting to learn HTML and CSS is easy and fun with this digital postcard. Learn about adding headings, paragraphs, images and links to create a holiday card or birthday celebration to share with friends and family.",Web based,Grades 6+,/images/tutorials/resubmission/code_avengers_postcard.png,2015-tutorial,,"English, Dutch, Spanish, Russian","en,es,ru,nl",capost,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,"Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari",,1hour,typing,"HTML, CSS",,
1325,1,1,1,1325,1325,129,codesters_flappybike,Flappy Bike,Codesters,https://www.codesters.com/curriculum/HoC/Flappy+Bike/1/,Create a game with player controls. Keep the bike in the air while dodging the obstacles!,"In this activity, students use our drag-to-text toolkit to start coding in Python right away! Students are guided through a series of learning activities that teach them to build a complete game! After they finish, they are challenged to use what they learned about syntax, dot notation, events, variables, parameters and game mechanics to create a new game. ",Web based,Grades 6+,/images/tutorials/new/codesters_flappybike.png,2016-tutorial,https://drive.google.com/open?id=0B_sizX0qHSjVc1NpazRsdzNNbEU,"English, Spanish","en,es",codestersflappybike,"all,6-8,9+",Grades 6+,"comfortable,experienced","comfortable,experienced",online-tutorial,cs-only,computers,All modern browsers,,1hour,typing,Python,"CCSS.ELA-LITERACY.L.3.6
Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).
CCSS.ELA-LITERACY.L.4.6
Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered) and that are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation).
CCSS.ELA-LITERACY.L.5.6
Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition).
CCSS.ELA-LITERACY.RST.6-8.4
Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 6-8 texts and topics.
CCSS.ELA-LITERACY.RST.6-8.7
Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table).
CCSS.ELA-LITERACY.RST.9-10.4
Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 9-10 texts and topics.
CCSS.ELA-LITERACY.RST.9-10.7
Translate quantitative or technical information expressed in words in a text into visual form (e.g., a table or chart) and translate information expressed visually or mathematically (e.g., in an equation) into words.
Next Generation Science Standards
Practice 5: Using mathematics and computational thinking",
1321,1,1321,1321,1321,1,108,robomind,Program a virtual robot with RoboMind,RoboMind Academy,https://www.robomindacademy.com/go/course/robomind/HourOfCode/Getting%20started/0,Write code for a virtual robot.,"Students learn the basics of programming by controlling their own virtual robot. The online course is fully self-contained with short presentations, movies, quizzes and automatic guidance/hints to help with the programming exercises. ","Modern web browsers, mobile web.",Ages 8-13,/images/robomind.jpg,OtherLang,http://www.robomindacademy.com/go/navigator/coursedetails?course=HourOfCode,"English, Dutch","en,nl",robomind,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari, Android tablet, iPad",,1hour-follow,blocks,Blocks,"CSTA K-12 Computer Science - Level 2 (Grades 6-9, 10-14 years)
Common Core State Standards for Mathematics
STEM Cluster Topics
Advanced Placement Computer Science (AP Comp Sci)
Partnership for 21st Century Essential Skills",
1314,1,1,1,1314,1314,86,bloxmob_mobile_app,Build YOUR mobile APP,BloxMob,https://www.bloxmob.com/builder/#/hoc,Learn design & systems thinking to create mobile apps for you & your friends.,"Learn the sequencing and systems thinking to create apps you and your friends can use. Design using chat Blox, quizzes, flashcards, calendars, maps, pictures and more into stories or interactive apps that work on any iOS or Android phone. Anyone and everyone can create a mobile app. Your content, your customization, your icon for YOUR APP on YOUR phone and your friends.",2016-tutorial,Grades 6+,/images/tutorials/new/bloxmob_mobile_app.jpg,Modern web browsers,https://code.org/files/bloxmob_mobile_app_teachernotes.pdf,English only,en,bloxmobapp,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,blocks,Blocks,,
1299,1,1,1,1299,1,23,kano_pong,Kano Computing - Make Pong,Kano,http://pong.kano.me/,Change the game. Break the rules. Win with code.,Learn to code by building this classic arcade game in an hour!,Self-guided online tutorial,Grades 6-8,/images/tutorials/resubmission/kano_pong.png,2015-tutorial,,English only,en,kanopong,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,typing,JavaScript,,
1297,1,1297,1297,1297,1,999,tynker_rights,Bill of Rights STEM Kit,Tynker,https://www.tynker.com/ide/?p=5772c077af9231e30d8b456f,Program a quiz about the Bill of Rights!,"Create your own Bill of Rights project: change the background, add more questions, keep score, add animations.",Web based,Grades 2-8,/images/tutorials/new/tynker_rights.jpg,"2016-tutorial,do-not-show",https://www.tynker.com/hour-of-code/tynker-stem-teacher-guide.pdf,English only,en,tynkerright,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,history,"computers,android,ios,no-internet","All modern browsers, Android tablets, iPads, Android phones, iPhones",,1hour,blocks,Blocks,,
1292,1292,1292,1292,1,1,40,foos_gamemaker,codeSpark Academy with The Foos - Game Maker,codeSpark,http://thefoos.com/hour-of-code/,Design and code your own video game with codeSpark Academy with The Foos.,"Code your own video game with codeSpark Academy with The Foos’ new Game Kits. This activity guides students brand new to game design using a ""paint-by-numbers"" approach. Students will follow the on screen prompts to design and program a fun video game that they can share with their family and friends.",2016-tutorial,Pre-reader - Grade 5,/images/tutorials/new/codeSpark_foos_gamemaker.jpg,2016-tutorial,http://bit.ly/HoCGameMaker,"English, Arabic, German, Spanish, French, Japanese, Korean, Dutch, Portuguese, Brazilian Portuguese, Romanian, Turkish, Traditional Chinese, Simplified Chinese, Greek, Italian, Polish","en,ar,de,es,fr,ja,ko,nl,pt-PT,pt-BR,ro,tr,zh-CN,zh-TW,el,it,pl",foosgame,"all,pre,2-5",Pre-reader - Grade 5,beginner,"beginner,comfortable",online-tutorial,art,"android,ios,no-internet","Android tablet, iPad, Android phone, iPhone",,1hour,blocks,Blocks,"CSTA:
CSTA 1A-A-5-2
CSTA 1A-A-4-4
CSTA 1A-A-3-5
CSTA 1A-A-3-6
CSTA 1A-A-3-7
CSTA 1A-C-7-9
CSTA 1A-N-2-16
CSTA 1B-A-5-4
CSTA 1B-A-3-7
Common Core Math:
CCSS.Math.Practice.MP1
CCSS.Math.Practice.MP2
CCSS.Math.Practice.MP4
CCSS.Math.Practice.MP6
CCSS.Math.Practice.MP7
CCSS.Math.Practice.MP8
CCSS.Math.Content.K.MD.B.3
National Core Arts Standards:
MA:Cr1.1.K
MA:Cr2.1.K
MA:Cr3.1.1.a
MA:Cr3.1.1.b
MA:Pr5.1.1.a
MA:Pr5.1.1.b
ISTE:
EmpoweredLearner-a1
EmpoweredLearner-4d
EmpoweredLearner-c1
ComputationalThinker-5a
ComputationalThinker-5c
ComputationalThinker-5d
CreativeCommunicator-6b
CreativeCommunicator-6d
GlobalCollaborator-7a",
1292,1,1,1,1,1292,82,flatverse,Flatverse,Microsoft Touch Develop,https://www.touchdevelop.com/hourofcode2,Help Bot conquer the Flatverse! ,Learn the essentials to programming a game where it's eat or be eaten!,Self-guided online tutorial,Grades 9+,/images/tutorials/resubmission/flatverse.png,2015-tutorial,,English only,en,flatverse,"all,9+",Grades 9+,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","All modern browsers, iPhone, Android phone",,1hour,other,Touch Develop,,
1292,1,1,1,1292,1292,43,wolfram_melodies,Random Melodies,Wolfram Labs,https://lab.open.wolframcloud.com/app/objects/wpl/RandomMelodies.nb,Create music through code! Can you play your favorite melody using Wolfram Language?,"In this activity, students create random melodies using various musical scales and instruments. Create music through code!",2016-tutorial,Grades 6+,/images/tutorials/new/wolfram_melodies.jpeg,2016-tutorial,,English only,en,wolframm,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,art,computers,All modern browsers,,1hour-follow,typing,Wolfram Language,,
1292,1,1,1,1292,1292,101,wolfram_soundpi,Sound of PI,Wolfram Labs,https://lab.open.wolframcloud.com/app/objects/wpl/SoundOfPi.nb,Have you ever wondered what the famous number PI would sound like on a musical instrument? ,"In this activity, there are a series of steps with code ready to run. Students start with a piece of code that works, and then modify it to do different things. Students can play melodies based on the digits of PI and explore what PI sounds like using many musical instruments.",2016-tutorial,Grades 6+,/images/tutorials/new/wolfram_soundpi.jpeg,2016-tutorial,,English only,en,wolframspi,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,math,computers,All modern browsers,,1hour-follow,typing,Wolfram Language,,
1292,1,1,1,1,1292,999,touchdevelop,TouchDevelop,Microsoft Research,https://www.touchdevelop.com/hourofcode2,"Solve puzzles, create games, and learn coding all on your phone. ","The touch-friendly editor will guide you in creating pixel art, solving the bear puzzle, or making your own jumping bird game. ","Modern web browsers, smartphones, all devices.",High school,/images/touchdevelop.png,do-not-show,https://www.touchdevelop.com/docs/hourofcodeeducatornotes,English only,en,touchdevelop,"all,do-not-show",do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show
1279,1,1,1,1279,1279,50,tynker_commander,Code Commander,Tynker,https://www.tynker.com/hour-of-code/code-commander,Build and train your army for battle!,"Prepare your army for battle! Code the attack logic of each member of your army to exploit your enemy’s weaknesses and emerge from battles victorious. As you learn, you unlock new characters that you can program. Build up your army, then battle with friends. Whose code is best?",Web based,Grades 6+,/images/tutorials/new/tynker_commander.jpg,2015-tutorial,https://www.tynker.com/courses/code-commander/tynker-code-commander-teacher-guide.pdf,English only,en,tynkercc,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,"Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari",,1hour,blocks,Blocks,"CCSS ELA: RI.3.3, W.3.6, RI.4.5, RI.4.3, RI.5.10, RST.6-8.4, RST.6-8.7, RST.9-10.5, RST.11-12.3
CCSS Math: MP.3.2, MP.3.8, MD.4.5, NF.4.7
CSTA: L1:6.CT.1, L1:6.CPP.5, L1:6.CPP.6, L2:9.CT.1, L2:9.CT.3, L2:9.CT.5, L2:9.CT.12, L2:9.CPP.3, L2:9.CPP.5",
1277,1,1277,1277,1,1,92,codemoji_bamboo,Bamboo JS,Codemoji,https://www.codemoji.com/hourofcode/js/1.php,The Bamboo JS activity was created by Codemoji to teach students basic Javascript concepts.,Bamboo JS is an activity design by Codemoji to teach students basic Javascript concepts.  Bamboo the panda and his awesome toast friends will walk students though basic commands and structure.  The Bamboo JS activity is design for students who want a little more animation and more art and design in their coding. The Bamboo activity is great for students of all ages. ,Web based,Pre-reader - Grade 5,/images/tutorials/new/bamboojs.png,2016-tutorial,,English only,en,bamboo,"all,pre,2-5",Pre-reader - Grade 5,beginner,beginner,online-tutorial,art,computers,Chrome,,1hour,typing,JavaScript,"CCSS

CCSS.ELA-LITERACY.CCRA.W.9
Draw evidence from literary or informational texts to support analysis, reflection, and research.

CCSS.ELA-LITERACY.RI.6.7
Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue.

 

CSTA

CT.L2-02 Describe the process of parallelization as it relates to problem solving. 

CT.L2-06 Describe and analyze a sequence of instructions being followed (e.g., describe a character’s behavior in a video game as driven by rules and algorithms). 

CPP.L2-08 Demonstrate dispositions amenable to open-ended problem solving and programming (e.g., comfort with complexity, persistence, brainstorming, adaptability, patience, propensity to tinker, creativity, accepting challenge). ",
1275,1,1,1,1275,1275,154,robots_java,Robots and Java: An introduction to Java,Educative,https://www.educative.io/collection/13890001/5677350838599680,Build a small world on your screen for simulated robots and creatures.,"Learn the basics of Java programming in an hour, while building a small world on your screen for simulated robots and customized creatures. No prior programming experience is required. Topics covered include objects, methods, parameters, and simple graphics.",Web based,Grades 6+,/images/tutorials/new/robots_java.jpg,2016-tutorial,,English only,en,robojav,"all,6-8,9+",Grades 6+,comfortable,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour-follow,typing,Java,"Common Core Standards for Mathematical Practice
CCSS.MATH.PRACTICE.MP1 Make sense of problems and persevere in solving them. CCSS.MATH.PRACTICE.MP2 Reason abstractly and quantitatively. CCSS.MATH.PRACTICE.MP3 Construct viable arguments and critique the reasoning of others. 
CCSS.MATH.PRACTICE.MP4 Model with mathematics.
CCSS.MATH.PRACTICE.MP5 Use appropriate tools strategically.
CCSS.MATH.PRACTICE.MP6 Attend to precision.
CCSS.MATH.PRACTICE.MP7 Look for and make use of structure. CCSS.MATH.PRACTICE.MP8 Look for and express regularity in repeated reasoning.


Next Generation Science Standards for Engineering Practices
Practice 1 Defining problems
Practice 2 Developing and using models
Practice 3 Planning and carrying out investigations
Practice 4 Analyzing and interpreting data
Practice 5 Using mathematics and computational thinking
Practice 6 Constructing explanations and designing solutions
Practice 7 Engaging in argument from evidence
Practice 8 Obtaining, evaluating, and communicating information

 

CSTA
CT.L2-01 - Use the basic steps in algorithmic problem-solving to design solutions (e.g., problem statement and exploration, examination of sample instances, design, implementing a solution, testing, evaluation).
CT.L2-03 - Define an algorithm as a sequence of instructions that can be processed by a computer.
CT.L2-04 - Evaluate ways that different algorithms may be used to solve the same problem.
CT.L2-07 - Represent data in a variety of ways including text, sounds, pictures, and numbers.
CT.L2-12 - Use abstraction to decompose a problem into sub problems.
CT.L3A-01 - Use predefined functions and parameters, classes and methods to divide a complex problem into simpler parts.
CT.L3A-11 -Describe how computation shares features with art and music by translating human intention into an artifact.
CL.L2-01 - Apply productivity/ multimedia tools and peripherals to group collaboration and support learning throughout the curriculum.
CL.L2-02 -  Collaboratively design, develop, publish, and present products (e.g., videos, podcasts, websites) using technology resources that demonstrate and communicate curriculum concepts.
CL.L2-03 - Collaborate with peers, experts, and others using collaborative practices such as pair programming, working in project teams, and participating in group active learning activities.
CL.L2-04 - Exhibit dispositions necessary for collaboration: providing useful feedback, integrating feedback, understanding and accepting multiple perspectives, socialization.
CL.L3A-01 - Work in a team to design and develop a software artifact.
CL.L3A-02 - Use collaborative tools to communicate with project team members (e.g., discussion threads, wikis, blogs, version control, etc.).
CL.L3A-03 - Describe how computing enhances traditional forms and enables new forms of experience, expression, communication, and collaboration.
CL.L3B-01 - Use project collaboration tools, version control systems, and Integrated Development Environments (IDEs) while working on a collaborative software project.
CL.L3B-03 - Evaluate programs written by others for readability and usability.
CPP.L2-07 - Identify interdisciplinary careers that are enhanced by computer science.
CD.L3A-04 - Compare various forms of input and output.",
1264,1,1,1,1264,1,156,knodemy_snake,JavaScript Snake,Knodemy,http://hourofcode.knodemy.com/javascript/,Learn to create a Snake game in JavaScript! ,Learn to create a Snake game in JavaScript! ,Self-guided online tutorial,Grades 6-8,/images/tutorials/resubmission/knodemy_snake.png,2015-tutorial,,English only,en,knodsnake,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,typing,JavaScript,,
1259,1,1,1,1259,1259,118,wolfram_age,Age in Days,Wolfram Labs,https://lab.open.wolframcloud.com/app/objects/wpl/AgeInDays.nb,Want to find out how old you are in seconds?,"In this activity, you will create a web-form that calculates your age in days, hours, nanoseconds, any unit of time that you specify!",2016-tutorial,Grades 6+,/images/tutorials/new/wolfram_age.jpeg,2016-tutorial,,English only,en,wolframa,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour-follow,typing,Wolfram Language,,
1256,1,1,1,1256,1256,57,soc_character,Character Building,School of Code,http://schoolofcode.io/,"Code your very own pixel character with HTML, CSS, and JavaScript.","Code your very own pixel character! Use HTML to build your character, CSS to style it, and JavaScript to animate your cute pixel person. Code by yourself, or invite a friend and code together with our team coding game.",Web based,Grades 6+,/images/tutorials/new/soc_character.jpg,2016-tutorial,http://schoolofcode.io/guide,English only,en,soccharater,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,art,computers,All modern browsers,,1hour,typing,JavaScript,"ISTE : Critical Thinking, Problem Solving and Decision making

CSTA: L2 Computational Thinking and Computer Practice and Programming

NGSS: MS Engineering Design and HS Engineering Design",
1240,1,1,1,1240,1240,76,silent_teacher,Silent Teacher,Toxicode,http://silentteacher.toxicode.fr/hourofcode,Discover the basic concepts of programming without any word or explanation,"Discover the basic concepts of programming without any word or explanation.
Our silent teacher will ask you several series of questions that will lead you to guess some rules and learn from your own mistakes.
Because there is no text in the game, it is accessible to any player whatever his language.","Web based, Android tablet, iPad",Grades 6+,/images/tutorials/new/silent_teacher.jpg,2016-tutorial,http://silentteacher.toxicode.fr/about,Multiple,"sq,eu,bg,ca,hr,cs,da,nl,en,et,fi,fr,gl,de,el,hu,is,id,it,lv,li,no,nn,pl,pt-BR,pt-PT,ro,ru,es,sv",silent,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,typing,JavaScript,"Common Core Standards for Mathematical Practice
CCSS.MATH.PRACTICE.MP1 Make sense of problems and persevere in solving them. 
CCSS.MATH.PRACTICE.MP2 Reason abstractly and quantitatively. CCSS.MATH.PRACTICE.MP3 Construct viable arguments and critique the reasoning of others. 


Next Generation Science Standards for Engineering Practices
Practice 1 Defining problems
Practice 2 Developing and using models
Practice 3 Planning and carrying out investigations
Practice 4 Analyzing and interpreting data
Practice 5 Using mathematics and computational thinking
Practice 6 Constructing explanations and designing solutions
Practice 7 Engaging in argument from evidence
Practice 8 Obtaining, evaluating, and communicating information

 

CSTA
CT.L2-01 - Use the basic steps in algorithmic problem-solving to design solutions (e.g., problem statement and exploration, examination of sample instances, design, implementing a solution, testing, evaluation).
CT.L2-07 - Represent data in a variety of ways including text, sounds, pictures, and numbers.
CT.L2-12 - Use abstraction to decompose a problem into sub problems.
CT.L3A-01 - Use predefined functions and parameters, classes and methods to divide a complex problem into simpler parts.
CT.L3A-11 -Describe how computation shares features with art and music by translating human intention into an artifact.
CL.L2-01 - Apply productivity/ multimedia tools and peripherals to group collaboration and support learning throughout the curriculum.
CL.L2-02 -  Collaboratively design, develop, publish, and present products (e.g., videos, podcasts, websites) using technology resources that demonstrate and communicate curriculum concepts.
CL.L2-03 - Collaborate with peers, experts, and others using collaborative practices such as pair programming, working in project teams, and participating in group active learning activities.
CL.L2-04 - Exhibit dispositions necessary for collaboration: providing useful feedback, integrating feedback, understanding and accepting multiple perspectives, socialization.
CL.L3A-01 - Work in a team to design and develop a software artifact.
CL.L3A-02 - Use collaborative tools to communicate with project team members (e.g., discussion threads, wikis, blogs, version control, etc.).
CL.L3A-03 - Describe how computing enhances traditional forms and enables new forms of experience, expression, communication, and collaboration.
CL.L3B-01 - Use project collaboration tools, version control systems, and Integrated Development Environments (IDEs) while working on a collaborative software project.
CL.L3B-03 - Evaluate programs written by others for readability and usability.
CPP.L2-07 - Identify interdisciplinary careers that are enhanced by computer science.
CD.L3A-04 - Compare various forms of input and output.",
1235,1,1235,1235,1235,1235,79,robotmesh,Program VEX IQ Robots with Blockly,Robot Mesh,http://www.robotmesh.com/hoc2016,"Program either a virtual online robot, or a real VEX IQ robot.","Students write Google Blockly code to control popular VEX IQ robots. They can choose to write code for either a virtual robot, or a real VEX IQ robot that they built themselves, and both options are available in the same web-based development interface. Students learn about basic robot movement, and how to use a sensor and an output device. It is easy and fun.",Web based,Grades 2+,/images/tutorials/new/robotmesh.png,2016-tutorial,http://www.robotmesh.com/hoc2016,English only,en,robomesh,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,computers,"Internet Explorer 11, Chrome, Firefox",,1hour,blocks,"Blocks, Python","CCSS.MATH.CONTENT.8.G.A.1
Verify experimentally the properties of rotations, reflections, and translations:
CCSS.MATH.CONTENT.8.G.A.1.A
Lines are taken to lines, and line segments to line segments of the same length.
CCSS.MATH.CONTENT.8.G.A.1.B
Angles are taken to angles of the same measure.
CCSS.MATH.CONTENT.8.G.A.1.C
Parallel lines are taken to parallel lines.
CCSS.MATH.CONTENT.8.G.A.2
Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.
CCSS.MATH.CONTENT.8.G.A.3
Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.
CCSS.MATH.CONTENT.8.G.A.4
Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",
1230,1,1230,1230,1230,1230,131,amaze_thing,A-Maze-thing,www.getready.io,http://www.getready.io/hourofcode-maze,Build and customize an exciting maze game with with crazy physics obstacles and a grand prize!,"In this project, a CHARACTER starts at HOME BASE and follows a PATH while avoiding OBSTACLES to get a PRIZE. To win, the character brings the prize back to home base. The character isn’t allowed to touch the OBSTACLES. If it does, it’s ""zapped"" and starts over from HOME BASE.  For extra credit, the player has a limited amount of time to complete the game.","Android tablet, iPad, Android phone",Grades 2+,/images/tutorials/new/amaze_thing.png,2016-tutorial,,English only,en,amaze,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,"art,math,science","computers,android,ios","All modern browsers, Android tablet, iPad, Android phone",,1hour,"blocks,other","Blocks, Ready, Unity","CCSS.ELA-LITERACY.CCRA.W.9
Draw evidence from literary or informational texts to support analysis, reflection, and research.

CCSS.ELA-LITERACY.RI.6.7
Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue.",
1226,1,1226,1226,1226,1226,123,codesters_dream,Dream Sequence,Codesters,https://drive.google.com/open?id=1zakKM3299MsgPwJMzyvy4bi3kyL0oIcbv7bHhiabXXc,Write a story using transition words while learning computer science in this Common Core aligned ELA project.,"In this Common Core ELA aligned lesson, student use programming to tell a story that prompts users for appropriate transition words. Students will learn about basic syntax, strings, variables, and user input. They will use the platform and a sprite to tell a story and lead the user through a variety of scene changes. ",Web based,Grades 2+,/images/tutorials/new/codesters_dream.png,2016-tutorial,https://drive.google.com/file/d/0B-eikSAMO8spckZ4RTE3ekRnZDg/view,"English, Spanish","en,es",codestersds,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,la,computers,All modern browsers,,1hour,blocks,Blocks,,
1216,1,1,1,1216,1,180,knodemy_textadventure,Text Adventure: Python,Knodemy,http://hourofcode.knodemy.com/python/,Learn to make a text adventure game in Python!,Learn to make a text adventure game in Python!,Self-guided online tutorial,Grades 6-8,/images/tutorials/resubmission/knodemy_textadventure.png,2015-tutorial,,English only,en,knodtext,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,typing,Python,,
1202,1,1,1,1202,1202,147,flexbox_froggy,Flexbox Froggy,do-not-show,http://flexboxfroggy.com/,A game for learning CSS flexbox,"Learn some web development with this educational game where you help Froggy and friends make it to their lily pads. By the end of the game, you'll learn how to write code using new CSS properties called flexbox. No prior coding experience required!",Web based,Grades 6+,/images/tutorials/new/flexbox_froggy.png,2016-tutorial,,Multiple,"zh-CN,zh-TW,cs,en,fr,de,el,hu,it,ja,ko,lt,fa-IR,pl,pt-BR,ru,es,sv,tr,vi",flexfrog,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,typing,CSS,"CCSS.ELA-LITERACY.SL.3.3
Ask and answer questions about information from a speaker, offering appropriate elaboration and detail.
CCSS.ELA-LITERACY.W.4.2.D
Use precise language and domain-specific vocabulary to inform about or explain the topic.
CCSS.ELA-LITERACY.W.5.2.D
Use precise language and domain-specific vocabulary to inform about or explain the topic.
CCSS.ELA-LITERACY.RST.6-8.4
Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 6-8 texts and topics.
CCSS.ELA-LITERACY.RST.6-8.7
Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table).
CCSS.ELA-LITERACY.W.6.2.D
Use precise language and domain-specific vocabulary to inform about or explain the topic.
Next Generation Science Standards
Practice 5: Using mathematics and computational thinking",
1355,1355,1355,1355,1355,1355,999,codemoji,Codemoji,Codemoji,https://www.codemoji.com/hourofcode/html/1.php,Codemoji teachers students basic website design and coding concepts using Emoji's as the key to keep students engaged and learning real coding concepts. ,The Codemoji activity is a web based activity for students 1st-6th grade to learn basic coding concepts using Emoji's.  After students do the activity they have learned about basic HTML tags and concepts. This helps them do the coding project where the student builds a basic website in just a few steps.  After the students do the Codemoji activity the students walk away with real coding skills.,Web based,Grades 2-8,/images/tutorials/new/codemoji.png,"2016-tutorial,do-not-show",,English only,en,codemoji,"all,do-not-show",do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,do-not-show,
1194,1,1194,1194,1194,1,71,coding_pirates,Coding Pirates,Coding Pirates,https://www.codingpiratesgame.com,"Navigate the crystal waters of the southern hemisphere, code your treasure maps and discover the riches that lie on the golden shores. A fun way to learn the basic concepts of coding.","Captain Hack is a pirate looking for treasure. He also writes treasure maps, and writing those like writing code. He (the player) uses ""pirate code"" for this. It is a symbol-based programming language, used for instructions and even AI behaviors. movements, loops, GO-TO's, true/false-statements are all core parts of the game. The players are guided through a tutorial and presented for the posibilities, step by step. There are no correct solution for the tutorial levels, so the user can chose whatever solution they like. ","Web based, Android tablet, iPad, Android phone, iPhone",Grades 2-8,/images/tutorials/resubmission/coding_pirates.png,2015-tutorial,,"English, Danish, German","en,da,de",pirates,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari, Android tablet, iPad, Android phone, iPhone",,few-hours,blocks,"Blocks, Pirate code",,
