School Code,School Name,City,State,
42268,Lisa Academy North,North Little Rock,AR,
42285,Smackover High School,Smackover,AR,
42315,Springdale Senior High School,Springdale,AR,
42337,Star City High School,Star City,AR,
42365,Stuttgart High School,Stuttgart,AR,
42390,Wilbur D Mills University Studies High School,Little Rock,AR,
42403,Arkansas High School,Texarkana,AR,
42500,Van Buren High School,Van Buren,AR,
50003,Agoura High School,Agoura Hills,CA,
50005,Alameda High School,Alameda,CA,
50015,Encinal High School,Alameda,CA,
50035,Albany High School,Albany,CA,
50084,Loara High School,Anaheim,CA,
50090,Anaheim High School,Anaheim,CA,
50093,Esperanza High School,Anaheim,CA,
50103,Fairmont Preparatory Academy,Anaheim,CA,
50118,Apple Valley High School,Apple Valley,CA,
50165,Atascadero High School,Atascadero,CA,
50170,Menlo Atherton High School,Atherton,CA,
50172,Atwater High School,Atwater,CA,
50181,Buhach Colony High School,Atwater,CA,
50217,Stockdale High School,Bakersfield,CA,
50245,Bell High School,Bell,CA,
50280,Benicia High School,Benicia,CA,
50290,Berkeley High School,Berkeley,CA,
50375,Liberty High School,Brentwood,CA,
50388,Scout from University of California,,CA,
50402,Providence High School,Burbank,CA,
50425,Calexico High School,Calexico,CA,
50462,AGBU Manoogian-Demirdjian School,Canoga Park,CA,
50475,Carmel High School,Carmel,CA,
50491,California Academy of Mathematics and Science,Carson,CA,
50526,Gretchen Whitney High School,Cerritos,CA,
50527,Cerritos High School,Cerritos,CA,
50528,Chatsworth High School,Chatsworth,CA,
50563,Ruben S Ayala High School,Chino Hills,CA,
50572,Bonita Vista High School,Chula Vista,CA,
50573,Castle Park High School,Chula Vista,CA,
50580,Chula Vista Senior High School,Chula Vista,CA,
50602,Otay High School,Chula Vista,CA,
50659,College Park High School,Pleasant Hill,CA,
50666,Northgate High School,Walnut Creek,CA,
50676,Centennial High School,Corona,CA,
50683,Costa Mesa High School,Costa Mesa,CA,
50686,Back Bay High School,Costa Mesa,CA,
50692,Santiago High School,Corona,CA,
50704,South Hills High School,West Covina,CA,
50714,Cypress High School,Cypress,CA,
50725,San Ramon Valley High School,Danville,CA,
50727,Monte Vista High School,Danville,CA,
50755,Dixon High School,Dixon,CA,
50771,Warren High School,Downey,CA,
50776,Oxford Academy,Cypress,CA,
50810,Central Union High School,El Centro,CA,
50818,Oak Ridge High School,El Dorado Hills,CA,
50845,El Segundo High School,El Segundo,CA,
50876,Calvin Christian High School,Escondido,CA,
50893,Canyon Crest Academy,San Diego,CA,
50897,Summit High School,Fontana,CA,
50903,Quarry Lane School,Dublin,CA,
50911,Fairfield High School,Fairfield,CA,
50919,Angelo Rodriguez High School,Fairfield,CA,
50944,A B Miller High School,Fontana,CA,
50969,James Logan High School,Union City,CA,
50980,Edison High School,Fresno,CA,
50995,Theodore Roosevelt High School,Fresno,CA,
51000,Washington Union High School,Fresno,CA,
51007,Rosary Academy,Fullerton,CA,
51008,Sunny Hills High School,Fullerton,CA,
51009,Troy High School,Fullerton,CA,
51015,Galt High School,Galt,CA,
51030,Garden Grove High School,Garden Grove,CA,
51050,Glendale High School,Glendale,CA,
51088,Granada Hills Charter High School,Granada Hills,CA,
51092,Bear River High School,Grass Valley,CA,
51106,Granite Bay High School,Granite Bay,CA,
51156,Moreau Catholic High School,Hayward,CA,
51165,Hemet High School,Hemet,CA,
51206,Hercules High School,Hercules,CA,
51213,The Nueva School,San Mateo,CA,
51220,Huntington Beach High School,Huntington Beach,CA,
51239,Montgomery High School,San Diego,CA,
51242,Mar Vista High School,Imperial Beach,CA,
51244,Mater Dei Catholic High School,Chula Vista,CA,
51267,Arnold O Beckman High School,Irvine,CA,
51274,Woodbridge High School,Irvine,CA,
51290,Kelseyville High School,Kelseyville,CA,
51311,Saint Francis High School,La Canada,CA,
51315,Acalanes High School,Lafayette,CA,
51335,La Jolla High School,La Jolla,CA,
51340,Rim of the World High School,Lake Arrowhead,CA,
51347,Lakewood High School,Lakewood,CA,
51348,Mayfair High School,Lakewood,CA,
51355,Antelope Valley High School,Lancaster,CA,
51357,Nogales High School,La Puente,CA,
51362,Bishop Amat Memorial High School,La Puente,CA,
51369,Laguna Hills High School,Laguna Hills,CA,
51370,Bonita High School,La Verne,CA,
51430,Livingston High School,Livingston,CA,
51455,Lompoc High School,Lompoc,CA,
51476,Robert A Millikan High School,Long Beach,CA,
51498,Lennox Mathematics Science and Technology Academy,Lennox,CA,
51499,New Vista School,Laguna Hills,CA,
51525,Alexander Hamilton High School,Los Angeles,CA,
51550,Benjamin Franklin High School,Los Angeles,CA,
51554,Bishop Mora Salesian High School,Los Angeles,CA,
51555,Brentwood School,Los Angeles,CA,
51625,Immaculate Heart High School,Los Angeles,CA,
51635,James A Garfield High School,Los Angeles,CA,
51650,John Marshall High School,Los Angeles,CA,
51660,Los Angeles Leadership Academy High School,Los Angeles,CA,
51662,UCLA Community School,Los Angeles,CA,
51672,King Drew Magnet High School Medicine and Science,Los Angeles,CA,
51685,Loyola High School,Los Angeles,CA,
51730,Notre Dame Academy High School,Los Angeles,CA,
51752,Pilgrim School,Los Angeles,CA,
51758,Rose and Alex Pilibos Armenian School,Los Angeles,CA,
51862,Edward R Roybal Learning Center,Los Angeles,CA,
51892,Mammoth High School,Mammoth Lakes,CA,
51895,Mira Costa High School,Manhattan Beach,CA,
51899,East Union High School,Manteca,CA,
51900,Manteca High School,Manteca,CA,
51907,Paloma Valley High School,Menifee,CA,
51915,Alhambra High School,Martinez,CA,
51968,Capistrano Valley High School,Mission Viejo,CA,
52000,Thomas Downey High School,Modesto,CA,
52042,Oakwood School,Morgan Hill,CA,
52048,Seaside High School,Seaside,CA,
52056,Rancho Verde High School,Moreno Valley,CA,
52057,Valley View High School,Moreno Valley,CA,
52061,Morro Bay High School,Morro Bay,CA,
52085,Napa High School,Napa,CA,
52105,Sweetwater High School,National City,CA,
52114,Newark Memorial High School,Newark,CA,
52117,Newbury Park High School,Newbury Park,CA,
52120,William S Hart High School,Newhall,CA,
52133,Campbell Hall,North Hollywood,CA,
52145,North Hollywood High School,North Hollywood,CA,
52159,Harvard-Westlake School,Studio City,CA,
52167,Norwalk High School,Norwalk,CA,
52172,San Marin High School,Novato,CA,
52185,Bishop O'Dowd High School,Oakland,CA,
52209,School For Independent Learners,Los Altos,CA,
52225,Oakland High School,Oakland,CA,
52238,Skyline High School,Oakland,CA,
52240,Oakland Technical High School,Oakland,CA,
52256,Laurel Springs School,Ojai,CA,
52267,Canyon High School,Anaheim,CA,
52276,El Modena High School,Orange,CA,
52279,Villa Park High School,Villa Park,CA,
52280,Orange High School,Orange,CA,
52282,Miramonte High School,Orinda,CA,
52290,Orosi High School,Orosi,CA,
52319,Palm Desert High School,Palm Desert,CA,
52327,Palisades Charter High School,Pacific Palisades,CA,
52437,Serrano High School,Phelan,CA,
52440,Perris High School,Perris,CA,
52462,Piedmont High School,Piedmont,CA,
52464,Pinole Valley High School,Pinole,CA,
52467,Mattole Triple Junction High School,Petrolia,CA,
52480,Valencia High School,Placentia,CA,
52500,Point Arena High School,Point Arena,CA,
52501,Garey High School,Pomona,CA,
52503,Ganesha High School,Pomona,CA,
52505,Pomona High School,Pomona,CA,
52516,Diamond Ranch High School,Pomona,CA,
52518,City of Knowledge,Pomona,CA,
52598,Woodcreek High School,Roseville,CA,
52609,Rocklin High School,Rocklin,CA,
52618,Cleveland High School,Reseda,CA,
52655,El Rancho High School,Pico Rivera,CA,
52658,Arlington High School,Riverside,CA,
52683,Palos Verdes Peninsula High School,Rolling Hills Estates,CA,
52694,Glen A Wilson High School,Hacienda Heights,CA,
52698,Saint Francis High School,Sacramento,CA,
52705,C K McClatchy High School,Sacramento,CA,
52714,Jesuit High School,Carmichael,CA,
52741,Santa Fe Christian School,Solana Beach,CA,
52748,Notre Dame High School,Salinas,CA,
52759,West Shores High School,Salton City,CA,
52814,San Clemente High School,San Clemente,CA,
52820,Academy of Our Lady of Peace,San Diego,CA,
52836,Christian High School,El Cajon,CA,
52850,Herbert Hoover High School,San Diego,CA,
52860,Mission Bay High School,San Diego,CA,
52867,Patrick Henry High School,San Diego,CA,
52881,Morse High School,San Diego,CA,
52887,University City High School,San Diego,CA,
52892,Southwest High School,San Diego,CA,
52896,Cathedral Catholic High School,San Diego,CA,
52902,James Monroe High School,North Hills,CA,
52905,San Fernando High School,San Fernando,CA,
52910,Abraham Lincoln High School,San Francisco,CA,
52916,Balboa High School,San Francisco,CA,
52945,Galileo Academy of Science and Technology,San Francisco,CA,
52950,George Washington High School,San Francisco,CA,
52970,Lowell High School,San Francisco,CA,
52980,Mission High School,San Francisco,CA,
52984,Jewish Community High School of the Bay,San Francisco,CA,
52986,Westview High School,San Diego,CA,
52994,Phillip and Sala Burton Academic High School,San Francisco,CA,
52999,Raoul Wallenberg Traditional High School,San Francisco,CA,
53014,Magnolia Science Academy - 1 Reseda,Reseda,CA,
53036,High Bluff Academy,San Diego,CA,
53038,San Francisco Christian School,San Francisco,CA,
53070,San Jacinto High School,San Jacinto,CA,
53094,Mount Pleasant High School,San Jose,CA,
53095,Notre Dame High School,San Jose,CA,
53100,Silver Creek High School,San Jose,CA,
53106,Santa Teresa High School,San Jose,CA,
53112,Saint Margaret's Episcopal School,San Juan Capistrano,CA,
53145,San Luis Obispo High School,San Luis Obispo,CA,
53169,Evergreen Valley High School,San Jose,CA,
53195,San Pedro High School,San Pedro,CA,
53197,JSerra Catholic High School,San Juan Capistrano,CA,
53209,San Diego High School of Business Leaders,San Diego,CA,
53222,San Rafael High School,San Rafael,CA,
53229,California High School,San Ramon,CA,
53231,Terra Linda High School,San Rafael,CA,
53234,Foothill High School,Santa Ana,CA,
53243,Valley High School,Santa Ana,CA,
53249,Century High School,Santa Ana,CA,
53276,Adrian C Wilcox High School,Santa Clara,CA,
53280,Santa Clara High School,Santa Clara,CA,
53293,Harbor High School,Santa Cruz,CA,
53310,Saint Monica Catholic High School,Santa Monica,CA,
53336,Saugus High School,Saugus,CA,
53341,Canyon High School,Canyon Country,CA,
53360,Shafter High School,Shafter,CA,
53370,Notre Dame High School,Sherman Oaks,CA,
53379,Royal High School,Simi Valley,CA,
53380,Simi Valley High School,Simi Valley,CA,
53383,Grace Brethren High School,Simi Valley,CA,
53404,South El Monte High School,South El Monte,CA,
53459,Moreno Valley High School,Moreno Valley,CA,
53466,Monta Vista High School,Cupertino,CA,
53467,Francis Polytechnic Senior High School,Sun Valley,CA,
53468,Village Christian High School,Sun Valley,CA,
53499,Temecula Valley High School,Temecula,CA,
53503,Westlake High School,Westlake Village,CA,
53522,South High School,Torrance,CA,
53523,Torrance High School,Torrance,CA,
53533,Vanden High School,Fairfield,CA,
53537,North Tahoe High School,Tahoe City,CA,
53539,Chaparral High School,Temecula,CA,
53550,Tulare Union High School,Tulare,CA,
53557,Soledad High School,Soledad,CA,
53608,Valencia High School,Valencia,CA,
53613,Steele Canyon High School,Spring Valley,CA,
53626,Sonoma Academy,Santa Rosa,CA,
53628,San Ysidro High School,San Diego,CA,
53633,Ulysses S Grant High School,Van Nuys,CA,
53643,Temecula Preparatory School,Winchester,CA,
53655,Ventura High School,Ventura,CA,
53668,Rancho Buena Vista High School,Vista,CA,
53683,Berean Christian High School,Walnut Creek,CA,
53737,La Quinta High School,Westminster,CA,
53747,Harbor Teacher Preparatory Academy,Wilmington,CA,
53756,La Serna High School,Whittier,CA,
53765,Whittier High School,Whittier,CA,
53801,El Camino Real Charter High School,Woodland Hills,CA,
53808,Woodside High School,Woodside,CA,
53833,Mare Island Technology Academy,Vallejo,CA,
53855,Wilmer Amina Carter High School,Rialto,CA,
53861,Pioneer High School,Woodland,CA,
53864,West Ranch High School,Valencia,CA,
53871,Golden Valley High School,Santa Clarita,CA,
53880,Great Oak High School,Temecula,CA,
53900,Kearny School of Science Connections and Technology,San Diego,CA,
53912,University Preparatory School,Redding,CA,
53978,Citrus Hill High School,PERRIS,CA,
53980,South East High School,South Gate,CA,
53983,Alliance Gertz-Ressler High School,Los Angeles,CA,
53998,Maywood Academy High School,Maywood,CA,
54030,Robert Fulton College Preparatory School,Van Nuys,CA,
54043,James C Enochs High School,Modesto,CA,
54072,Olympian High School,Chula Vista,CA,
54078,Eleanor Roosevelt High School,Eastvale,CA,
54088,Alliance Judy Ivie Burton Technology Academy High School,Los Angeles,CA,
54141,Heritage High School,Romoland,CA,
54150,Godinez Fundamental High School,Santa Ana,CA,
54151,Lighthouse Community Charter High School,Oakland,CA,
54159,Patriot High School,Riverside,CA,
54166,Vista del Lago High School,Folsom,CA,
54173,California Military Institute,Perris,CA,
54194,Classical Academy High School,Escondido,CA,
54225,West Adams Preparatory High School,Los Angeles,CA,
54246,AGBU Vatche and Tamar Manoukian High School,Pasadena,CA,
54250,Antelope High School,Antelope,CA,
54291,Academic Performance Excellence Academy,Hollywood,CA,
54303,Oakland Charter High School,Oakland,CA,
54353,Gompers Preparatory Academy,San Diego,CA,
54364,Christopher High School,Gilroy,CA,
54381,Felicitas and Gonzalo Mendez High School,Los Angeles,CA,
54387,Los Angeles Academy of Arts and Enterprise,Los Angeles,CA,
54407,Riverside Virtual School,Riverside,CA,
54412,Coliseum College Prep Academy,Oakland,CA,
54444,Social Justice Leadership Academy at East Torres High School,Los Angeles,CA,
54475,Magnolia Science Academy - 2 Valley,Van Nuys,CA,
54495,"Architecture, Construction and Engineering Charter High School",Camarillo,CA,
54510,Magnolia Science Academy 3,Carson,CA,
54523,Fremont Academy Of Engineering and Design,Pomona,CA,
54527,Alliance Tennenbaum Family Technology High School,Los Angeles,CA,
54544,Diego Rivera Learning Complex - Communications & Technology School,Los Angeles,CA,
54601,Cesar E Chavez Learning Academy:  Teacher Prep Academy,San Fernando,CA,
54611,Castlemont High School,Oakland,CA,
54617,Academies Education & Empowerment At Carson High School,Carson,CA,
54624,STEM Academy Of Hollywood,Hollywood,CA,
54629,Ofarrell Community Charter School,San Diego,CA,
54630,Crawford High School,San Diego,CA,
54667,Huntington Park Institute Of Applied Medicine,Huntington Park,CA,
54677,Hillcrest High School,Riverside,CA,
54687,Ambassador High School,Torrance,CA,
54704,Leadership Public Schools Oakland R&D Campus,Oakland,CA,
54732,Legend College Preparatory,Cupertino,CA,
54767,Math And Science College Preparatory,Los Angeles,CA,
54768,Madison Park Business & Arts Academy,Oakland,CA,
54776,BASIS Independent Silicon Valley,San Jose,CA,
54814,Design Tech High School,Burlingame,CA,
54820,American University Preparatory School,Los Angeles,CA,
54842,Tahoe Expedition Academy,Kings Beach,CA,
54853,STEM3 Academy,Valley Glen,CA,
54865,Compton Early College High School,Compton,CA,
54869,Alpha Cindy Avitia High School,San Jose,CA,
54878,WESM Environmental and Natural Science Magnet,Los Angeles,CA,
54879,Westchester Enriched Sciences Magnets-Health and Sports Medicine,Los Angeles,CA,
54880,Westchester Enriched Sciences Magnets-Aviation & Aerospace,Los Angeles,CA,
54891,University Prep Value High School,Los Angeles,CA,
60057,Arvada West High School,Arvada,CO,
60076,Overland High School,Aurora,CO,
60077,Rangeview High School,Aurora,CO,
60080,Basalt High School,Basalt,CO,
60082,Regis Jesuit High School: Girls Division,Aurora,CO,
60089,Lotus School for Excellence,Aurora,CO,
60115,Boulder High School,Boulder,CO,
60118,Fairview High School,Boulder,CO,
60130,Monarch High School,Louisville,CO,
60135,Summit County High School,Frisco,CO,
60144,Horizon High School,Brighton,CO,
60161,Jefferson Academy High School,Broomfield,CO,
60163,Legacy High School,Broomfield,CO,
60193,Castle View High School,Castle Rock,CO,
60259,Mesa Ridge High School,Colorado Springs,CO,
60268,Cheyenne Mountain High School,Colorado Springs,CO,
60285,Harrison High School,Colorado Springs,CO,
60293,Sierra High School,Colorado Springs,CO,
60295,Saint Mary's High School,Colorado Springs,CO,
60311,Conifer High School,Conifer,CO,
60315,Moffat County High School,Craig,CO,
60367,Abraham Lincoln High School,Denver,CO,
60372,High Tech Early College,Denver,CO,
60393,Colorado Academy,Denver,CO,
60413,George Washington High School,Denver,CO,
60428,North High School,Denver,CO,
60435,Regis Jesuit High School: Boys Division,Aurora,CO,
60436,Denver Jewish Day School,Denver,CO,
60457,Thomas Jefferson High School,Denver,CO,
60475,Durango High School,Durango,CO,
60499,Vail Christian High School,Edwards,CO,
60514,West Early College,Denver,CO,
60517,Denver School of Innovation and Sustainable Design,Denver,CO,
60530,Kent Denver School,Englewood,CO,
60545,Erie High School,Erie,CO,
60553,West Leadership Academy,Denver,CO,
60587,Poudre High School,Ft Collins,CO,
60598,Ridgeview Classical Schools,Fort Collins,CO,
60690,Central High School,Grand Junction,CO,
60741,STEM School and Academy,Highlands Ranch,CO,
60747,Mountain Vista High School,Highlands Ranch,CO,
60748,Rock Canyon High School,Littleton,CO,
60796,Prairie View High School,Henderson,CO,
60865,Centaurus High School,LAFAYETTE,CO,
60883,Green Mountain High School,Lakewood,CO,
60923,Dakota Ridge High School,Littleton,CO,
60931,Collegiate Academy of Colorado,Littleton,CO,
60935,Longmont High School,Longmont,CO,
60938,Skyline High School,Longmont,CO,
60953,Silver Creek High School,Longmont,CO,
60962,Mead High School,Longmont,CO,
61035,Montrose High School,Montrose,CO,
61350,Telluride High School,Telluride,CO,
61422,Ridge View Academy,Watkins,CO,
61435,Custer County High School,Westcliffe,CO,
61437,Mountain Range High School,Westminster,CO,
70020,Berlin High School,Berlin,CT,
70038,Bolton High School,Bolton,CT,
70100,Cheshire High School,Cheshire,CT,
70120,Danbury High School,Danbury,CT,
70177,East Lyme High School,East Lyme,CT,
70219,Brunswick School,Greenwich,CT,
70220,Convent of the Sacred Heart,Greenwich,CT,
70235,Greenwich Academy,Greenwich,CT,
70240,Greenwich High School,Greenwich,CT,
70252,Marine Science Magnet High School,Groton,CT,
70274,Hartford Magnet Trinity College Academy,Hartford,CT,
70276,Greater Hartford Academy Mathematics And Science,Windsor,CT,
70282,Engineering & Science School,Hamden,CT,
70324,Haddam-Killingworth High School,Higganum,CT,
70325,Griswold High School,Jewett City,CT,
70326,University High School of Science and Engineering,Hartford,CT,
70330,Kent School,Kent,CT,
70382,Francis T Maloney High School,Meriden,CT,
70415,"Academy of Our Lady of Mercy, Lauralton Hall",Milford,CT,
70423,Jonathan Law High School,Milford,CT,
70424,Joseph A Foran High School,Milford,CT,
70435,Robert E Fitch Senior High School,Groton,CT,
70465,New Canaan High School,New Canaan,CT,
70471,Academy of Aerospace and Engineering,Windsor,CT,
70490,Hopkins School,New Haven,CT,
70520,Wilbur Cross High School,New Haven,CT,
70522,Emmanuel Christian Academy,Newington,CT,
70525,Newington High School,Newington,CT,
70550,Newtown High School,Sandy Hook,CT,
70570,North Haven High School,North Haven,CT,
70599,Montville High School,Oakdale,CT,
70607,Stonington High School,Pawcatuck,CT,
70610,Plainville High School,Plainville,CT,
70620,Portland High School,Portland,CT,
70638,Joel Barlow High School,Redding,CT,
70643,Ellington High School,Ellington,CT,
70655,Salisbury School,Salisbury,CT,
70675,Simsbury High School,Simsbury,CT,
70690,Southington High School,Southington,CT,
70700,South Windsor High School,South Windsor,CT,
70720,King School,Stamford,CT,
70728,Links Academy,Stamford,CT,
70729,The Spire School,Stamford,CT,
70750,Stamford High School,Stamford,CT,
70751,Westhill High School,Stamford,CT,
70800,Trumbull High School,Trumbull,CT,
70882,Watertown High School,Watertown,CT,
70887,Conard High School,West Hartford,CT,
70900,Hall High School,West Hartford,CT,
70920,Staples High School,Westport,CT,
70925,Wethersfield High School,Wethersfield,CT,
70945,Loomis Chaffee School,Windsor,CT,
70950,Windsor High School,Windsor,CT,
80002,Caravel Academy,Bear,DE,
80006,First State Military Academy,Clayton,DE,
80092,Middletown High School,Middletown,DE,
80094,Appoquinimink High School,Middletown,DE,
80102,MOT Charter School,Middletown,DE,
80126,Newark Charter Junior/Senior High School,Newark,DE,
80127,Delaware Design Lab High School,Newark,DE,
80210,Ursuline Academy,Wilmington,DE,
80213,Wilmington Christian School,Hockessin,DE,
80228,Henry C Conrad Schools of Science,Wilmington,DE,
90005,Anacostia High School,Washington,DC,
90021,Columbia Heights Education Center,Washington,DC,
90044,McKinley Technology High School,Washington,DC,
90060,Eastern Senior High School,Washington,DC,
90075,Francis L Cardozo High School,Washington,DC,
90086,Howard D Woodson Senior High School,Washington,DC,
90127,Model Secondary School for the Deaf,Washington,DC,
90184,KIPP DC: College Preparatory,Washington,DC,
90230,Woodrow Wilson High School,Washington,DC,
100035,Apopka High School,Apopka,FL,
100046,Score Academy Boca Raton,Boca Raton,FL,
100055,Auburndale Senior High School,Auburndale,FL,
100119,Boynton Beach Community High School,Boynton Beach,FL,
100122,Olympic Heights Community High School,Boca Raton,FL,
100132,Saint Andrew's School,Boca Raton,FL,
100136,Spanish River Community High School,Boca Raton,FL,
100148,Saint Stephens Episcopal School,Bradenton,FL,
100155,Branford High School,Branford,FL,
100168,Katz Yeshiva High School,Boca Raton,FL,
100194,West Boca Raton Community High School,Boca Raton,FL,
100248,Calvary Christian High School,CLEARWATER,FL,
100249,North Broward Preparatory School,Coconut Creek,FL,
100254,Palm Harbor University High School,Palm Harbor,FL,
100270,South Lake High School,Groveland,FL,
100286,Cooper City High School,Cooper City,FL,
100289,Coral Gables Senior High School,Coral Gables,FL,
100299,Coral Springs High School,Coral Springs,FL,
100324,Atlantic Technical High School,Margate,FL,
100328,Monarch High School,Coconut Creek,FL,
100332,Coral Glades High School,Coral Springs,FL,
100344,William T McFatter Technical High School,Davie,FL,
100347,NSU University School,Davie,FL,
100355,Mainland High School,Daytona Beach,FL,
100380,Deerfield Beach High School,Deerfield Beach,FL,
100413,Divine Savior Academy,Doral,FL,
100420,Atlantic Community High School,Delray Beach,FL,
