school_name,school_code
Francis Marion School,11725
South Lamar School,11770
McGill-Toolen Catholic High School,11820
Murphy High School,11830
Saint Pauls Episcopal School,11833
UMS Wright Preparatory School,11835
Lillie B Williamson High School,11838
W P Davidson High School,11839
Montevallo High School,11858
Montgomery Academy,11897
Lanier Senior High School,11910
Mortimer Jordan High School,11925
Muscle Shoals High School,11927
Hale County High School,11940
Munford High School,11960
New Hope High School,11975
Buckhorn High School,11980
Tuscaloosa County High School,12005
Reeltown High School,12020
Oneonta High School,12040
Beauregard High School,12050
Opelika High School,12055
Oxford High School,12085
White Plains High School,12090
Carroll High School,12093
Pelham High School,12111
Pell City High School,12115
Central High School,12135
Pisgah High School,12185
Prattville High School,12220
Plainview School,12252
Locust Fork High School,12295
Robertsdale High School,12325
Lauderdale County High School,12340
Russellville High School,12352
Northside High School,12365
Satsuma High School,12383
Scottsboro High School,12395
Skyline High School,12396
Russell County High School,12400
Selma High School,12430
Mary G Montgomery High School,12450
Sheffield High School,12455
Southern Choctaw High School,12480
Thompson High School,12485
Smiths Station High School,12500
Albert P Brewer High School,12510
Spanish Fort High School,12518
Baker High School,12525
North Jackson High School,12535
Sulligent School,12540
Sweet Water High School,12550
Bb Comer Memorial High School,12560
Sylacauga High School,12570
Tanner High School,12605
Tarrant High School,12610
Theodore High School,12615
Sparkman High School,12648
East Lawrence High School,12659
West Morgan High School,12660
Charles Henderson High School,12670
Hewitt-Trussville High School,12675
American Christian Academy,12679
Hillcrest High School,12685
Northridge High School,12686
Tuscaloosa Academy,12688
Central High School,12690
Holy Spirit Catholic High School,12691
Deshler High School,12695
Booker T Washington High School,12710
Bullock County High School,12730
Lamar County High School,12760
Vestavia Hills High School,12768
Vinemont High School,12782
Wadley High School,12785
Corner High School,12795
West Blocton High School,12820
Wetumpka High School,12835
Winfield High School,12840
Woodville High School,12850
Sumter Central High School,12855
Pike Road High School,12858
West Anchorage High School,20000
East Anchorage High School,20002
Dimond High School,20003
Service High School,20004
Cordova Junior-Senior High School,20015
Craig High School,20020
Homer High School,20045
Wasilla High School,20155
Colony High School,20286
Mat-Su Middle College School,20840
Agua Fria High School,30007
La Joya Community High School,30008
Youngker High School,30026
Verrado High School,30029
Mohave High School,30032
Basha High School,30037
Cactus Shadows High School,30043
Chandler High School,30045
Mingus Union High School,30050
Horizon Honors High School,30054
Hamilton High School,30062
BASIS Chandler,30072
American Leadership Academy Gilbert North 7-12,30136
Deer Valley High School,30144
Independence High School,30146
Higley High School,30163
Estrella Foothills High School,30172
Sandra Day Oconnor High School,30173
Marana High School,30200
Liberty High School,30208
Red Mountain High School,30221
Mountain View High School,30224
River Valley High School,30228
Centennial High School,30256
Bourgade Catholic High School,30264
Greenway High School,30266
Carl Hayden High School,30277
Cortez High School,30279
Moon Valley High School,30283
Paradise Valley High School,30287
Xavier College Preparatory School,30295
Thunderbird High School,30312
Washington High School,30320
Sahuarita High School,30357
Skyline High School,30368
Desert Ridge High School,30424
Sunnyslope High School,30425
Canyon del Oro High School,30473
Desert Christian High School,30483
Flowing Wells High School,30485
Pusch Ridge Christian Academy,30492
Palo Verde High Magnet School,30493
Mountain View High School,30497
Pueblo Magnet High School,30500
Sabino High School,30503
Sahuaro High School,30504
Skyview High School,30507
Santa Rita High School,30513
Ironwood Ridge High School,30517
Tucson High Magnet School,30530
Sonoran Science Academy,30563
Williams Field High School,30619
Sonoran Science Academy - Phoenix,30642
BASIS Peoria,30652
Pvonline,30654
Shadow Ridge High School,30662
Perry High School,30668
Canyon View High School,30683
Campo Verde High School,30696
Arizona College Prep-Erie Campus,30711
American Leadership Academy Queen Creek 7-12,30721
Walden Grove High School,30731
University High School,30746
BASIS Mesa,30750
Heritage Academy Gateway,30764
Heritage Academy Laveen,30768
Country Gardens Charter School,30769
Madison Highland Prep,30770
American Leadership Academy Ironwood 7-12,30771
Eastmark High School,30786
BASIS Ahwatukee,30800
Casteel High School,30820
Valley Vista High School,33769
Sonoran Science Academy - Davis Monthan,34570
Bentonville West High School,40004
Arkadelphia High School,40035
Beebe High School,40145
Benton High School,40170
Bentonville High School,40175
Blevins High School,40225
Bryant High School,40310
Cabot High School,40320
Carlisle High School,40380
Cedarville High School,40410
Charleston High School,40420
Conway High School,40490
Dardanelle High School,40575
Dumas High School,40660
Fayetteville High School,40770
Northside High School,40835
Southside High School,40837
Greenland High School,40945
Greenwood High School,40955
West Side High School,41065
Hope High School,41125
Lakeside High School,41160
The Academies at Jonesboro High School,41270
Westside High School,41274
Lincoln High School,41405
Central High School,41422
Little Rock Christian Academy,41453
Little Rock Southwest Magnet High School,41485
Lisa Academy West High School,41486
Maumelle Charter High School,41528
Marion Senior High School,41560
McGehee High School,41620
Nettleton High School,41815
Maumelle High School,41861
Arkansas Virtual Academy High School,41868
Sylvan Hills High School,41872
Greene County Technical High School,41950
White Hall High School,42045
Rogers New Technology High School,42171
Russellville High School,42195
Sheridan High School,42265
Lisa Academy North Middle High School,42268
Siloam Springs High School,42280
Smackover High School,42285
Springdale Senior High School,42315
Stuttgart High School,42365
Mills University Studies High School,42390
Arkansas High School,42403
Waldron High School,42565
Agoura High School,50003
Alameda High School,50005
Oak Park High School,50006
Encinal High School,50015
Albany High School,50035
Ramona Convent Secondary School,50060
Arleta High School,50068
Magnolia High School,50083
Loara High School,50084
Servite High School,50088
Anaheim High School,50090
Western High School,50092
Esperanza High School,50093
Fairmont Pvt-Preparatory Academy,50103
Hamilton High School,50108
Arcadia High School,50130
Atascadero High School,50165
Menlo Atherton High School,50170
Atwater High School,50172
Buhach Colony High School,50181
Azusa High School,50188
Gladstone High School,50190
Bakersfield High School,50205
Bakersfield Christian High School,50208
Centennial High School,50209
Sierra Vista High School,50228
Bell High School,50245
Saint John Bosco High School,50260
Bell Gardens Senior High School,50265
Portola High School,50266
Notre Dame High School,50275
Benicia High School,50280
Berkeley High School,50290
Alliance Marine-Innovation & Technology 6-12 Complex,50301
Elite Open School - Rowland Heights,50304
Desert Hot Springs High School,50334
Brawley Union High School,50365
Freedom High School,50372
Liberty High School,50375
Buena Park High School,50378
Acacia Wood School,50381
Providence High School,50402
Calabasas High School,50421
Viewpoint School,50423
Adolfo Camarillo High School,50438
AGBU Manoogian-Demirdjian School,50462
Torrey Pines High School,50466
Faith Baptist Schools,50467
Army and Navy Academy,50470
Carmel High School,50475
North Monterey County High School,50489
California Academy of Mathematics and Science,50491
Caruthers High School,50495
Ceres High School,50525
Whitney Middle High School,50526
Cerritos High School,50527
Chatsworth High School,50528
Sherman E Burroughs High School,50550
Maywood Center for Enriched Studies,50551
Chino High School,50555
Don Antonio Lugo High School,50566
Chowchilla Union High School,50570
Bonita Vista High School,50572
Castle Park High School,50573
Eastlake High School,50579
Chula Vista Senior High School,50580
Mesa Verde High School,50587
Clovis High School,50615
Floyd B Buchanan High School,50618
Clovis East High School,50622
Carondelet High School,50656
Clayton Valley Charter High School,50658
College Park High School,50659
Mount Diablo High School,50660
De La Salle High School,50662
Coronado High School,50680
South Hills High School,50704
Culver City High School,50715
Richard Gahr High School,50722
San Ramon Valley High School,50725
Monte Vista High School,50727
Dixon High School,50755
Warren High School,50771
Oxford Academy,50776
Dublin High School,50784
El Cajon Valley High School,50805
Central Union High School,50810
El Cerrito High School,50815
Oak Ridge High School,50818
Franklin High School,50824
Arroyo High School,50830
El Monte High School,50835
Elsinore High School,50855
La Costa Canyon High School,50858
Emery Secondary School,50860
San Dieguito Academy,50865
Orange Glen High School,50873
Calvin Christian High School,50876
Escondido High School,50880
San Marcos High School,50883
San Pasqual High School,50884
Esparto High School,50885
Etiwanda High School,50888
Canyon Crest Academy,50893
Saint Bernard's Academy,50898
Lifeline Education Charter School,50899
Quarry Lane School,50903
Bella Vista High School,50912
Angelo Rodriguez High School,50919
San Lorenzo Valley High School,50927
Ferndale High School,50930
Fillmore High School,50935
Los Amigos High School,50963
Fountain Valley High School,50964
American High School,50974
Fremont Christian High School,50978
Edison High School,50980
Clovis West High School,50982
Theodore Roosevelt High School,50995
Duncan Polytechnical High School,50997
Washington Union High School,51000
Rosary Academy,51007
Sunny Hills High School,51008
Troy High School,51009
Fullerton Union High School,51010
Galt High School,51015
Gardena High School,51020
Garden Grove High School,51030
Santiago High School,51033
Pacifica High School,51034
Sunnyside High School,51045
Ribet Academy,51058
Herbert Hoover High School,51060
Gonzales High School,51085
Granada Hills Charter High School,51088
Bear River High School,51092
Nevada Union High School,51095
Granite Bay High School,51106
Half Moon Bay High School,51120
Hawthorne Math and Science Academy,51122
Hayward High School,51150
Mount Eden High School,51153
Moreau Catholic High School,51156
Hemet High School,51165
Hesperia High School,51168
San Benito High School,51180
Hercules High School,51206
Edison High School,51218
Huntington Beach High School,51220
Marina High School,51221
Huntington Park High School,51230
Montgomery High School,51239
Imperial High School,51240
Mar Vista High School,51242
Mater Dei Catholic High School,51244
Inglewood High School,51260
City Honors High School,51261
Arnold O Beckman High School,51267
San Joaquin High School,51273
Woodbridge High School,51274
Northwood High School,51283
Crean Lutheran High School,51298
Bentley School,51300
Kingsburg Joint Union High School,51310
La Canada High School,51312
Acalanes High School,51315
Laguna Beach High School,51320
La Habra High School,51325
La Jolla High School,51335
Rim of the World High School,51340
El Capitan High School,51346
Mayfair Middle-High School,51348
Champion School,51354
Paraclete High School,51356
Bishop Amat Memorial High School,51362
Laguna Hills High School,51369
Bonita High School,51370
Leuzinger High School,51375
Temescal Canyon High School,51402
Lincoln High School,51405
Linden High School,51410
Lindsay High School,51415
Littlerock High School,51418
Granada High School,51423
Livingston High School,51430
Torah High Schools of San Diego,51433
Lompoc High School,51455
Robert Millikan High School,51476
Long Beach Polytechnic High School,51480
Woodrow Wilson High School,51505
The King's Academy,51514
Abraham Lincoln High School,51520
Alexander Hamilton High School,51525
Bais Yaakov School For Girls,51533
Benjamin Franklin High School,51550
Bishop Mora Salesian High School,51554
Brentwood School,51555
Cathedral High School,51560
Crenshaw High School,51569
Fairfax High School,51590
Saint Jeanne De Lestonnac Catholic High School,51616
Immaculate Heart High School And Middle School,51625
Esperanza College Prep,51633
James A Garfield High School,51635
Bright Horizon Academy - Allied Gardens Campus,51636
Los Angeles Leadership Academy High School,51660
Alliance Renee & Meyer Luskin College-Ready Academy High School,51663
Loyola High School,51685
Manual Arts Senior High School,51700
German International School of Silicon Valley,51711
Notre Dame Academy High School,51730
Rose and Alex Pilibos Armenian School,51758
Aspire Lionel Wilson College Preparatory,51761
The Science Academy Stem Magnet,51786
Susan Miller Dorsey High School,51795
Orthopaedic Hospital Magnet High School,51811
Thomas Jefferson High School,51815
University High School Charter,51825
Venice High School,51828
Los Banos High School,51845
Edward R Roybal Learning Center,51862
Madera South High School,51874
Liberty High School,51881
Mira Costa High School,51895
Manteca High School,51900
Paloma Valley High School,51907
Mariposa County High School,51910
Sacred Heart Preparatory School,51955
Trabuco Hills High School,51958
Merced High School,51963
Capistrano Valley High School,51968
El Toro High School,51974
Piedmont Hills High School,51976
Mission Viejo High School,51981
Grace M Davis High School,51983
University High School,51984
Schurr High School,52037
Oakwood School,52042
Seaside High School,52048
Moorpark High School,52055
Valley View High School,52057
Campolindo High School,52058
Canyon Springs High School,52059
Live Oak High School,52060
Murrieta Valley High School,52073
Saint Francis High School,52077
Kolbe Academy,52084
Napa High School,52085
Sweetwater High School,52105
Newark Memorial High School,52114
Newbury Park High School,52117
William S Hart High School,52120
Corona Del Mar High School,52128
Newport Harbor High School,52130
Center High School,52141
North Hollywood High School,52145
Norwalk High School,52167
Novato High School,52170
San Marin High School,52172
Oakdale High School,52175
Bishop O'Dowd High School,52185
School For Independent Learners,52209
California School of the Arts - San Gabriel Valley,52210
Life Academy High School,52212
Vista Del Lago High School,52216
Oakland High School,52225
Glacier High School Charter,52231
Oakland Technical High School,52240
El Camino High School,52248
Laurel Springs School,52256
Ojai Valley School,52262
Canyon High School,52267
Lutheran High School Orange County,52269
Chaffey High School,52275
Villa Park High School,52279
Miramonte High School,52282
Casa Roble Fundamental High School,52284
Orosi High School,52290
Oxnard High School,52305
Palmdale High School,52315
Palm Springs High School,52320
Palisades Charter High School,52327
Henry M Gunn High School,52347
Palo Alto Senior High School,52350
Paramount High School,52365
Pacifica High School,52379
Flintridge Sacred Heart Academy,52380
Colony High School,52384
Marshall Fundamental Secondary School,52388
La Salle High School,52392
Mayfield Senior School,52395
Pasadena High School,52401
Westridge School,52420
Patterson High School,52430
Serrano High School,52437
Perris High School,52440
Saint Vincent De Paul High School,52455
Piedmont High School,52462
El Dorado High School,52478
Valencia High School,52480
Unity High School,52484
El Dorado High School,52485
Knight High School,52491
Amador Valley High School,52495
Garey High School,52501
Damien High School,52502
Ganesha High School,52503
Monache High School,52513
Diamond Ranch High School,52516
City of Knowledge,52518
Poway High School,52533
Rancho Bernardo High School,52536
Highland High School,52541
Quartz Hill High School,52543
Quincy Junior Senior High School,52545
Rancho Cucamonga High School,52546
Martin Luther King High School,52567
Redlands East Valley High School,52572
Redlands High School,52590
Redondo Union High School,52600
Rocklin High School,52609
Cleveland High School,52618
Eisenhower High School,52622
Rialto High School,52629
Salesian College Preparatory,52637
El Rancho High School,52655
Riverdale High School,52660
Ramona High School,52670
Woodcrest Christian School,52677
Rancho Cotate High School,52678
Chadwick School,52680
Palos Verdes Peninsula High School,52683
Roseville High School,52690
Glen A Wilson High School,52694
John A Rowland High School,52696
Christian Brothers High School,52697
Saint Francis High School,52698
Jesuit High School,52714
Florin High School,52722
Mira Loma High School,52723
Rio Americano High School,52730
Sacramento Country Day School,52733
Santa Fe Christian School,52741
Salinas High School,52755
West Shores High School,52759
Aquinas High School,52772
Sheldon High School,52792
San Clemente High School,52814
Academy of Our Lady of Peace,52820
Christian High School,52836
Clairemont High School,52837
Herbert Hoover High School,52850
Mission Bay High School,52860
Patrick Henry High School,52867
Morse High School,52881
University City High School,52887
Southwest High School,52892
San Dimas High School,52894
Cathedral Catholic High School,52896
Bishop Alemany High School,52898
Abraham Lincoln High School,52910
Balboa High School,52916
Choices Charter School,52933
Galileo Academy of Science and Technology,52945
San Diego Jewish Academy,52946
George Washington High School,52950
Lowell High School,52970
Mission High School,52980
Jewish Community High School of the Bay,52984
Westview High School,52986
Los Osos High School,52987
Phillip and Sala Burton Academic High School,52994
Raoul Wallenberg Traditional High School,52999
Vista Murrieta High School,53004
Sacred Heart Cathedral Preparatory,53005
Saint Ignatius College Preparatory School,53010
High Bluff Academy,53036
Don Bosco Technical Institute,53053
San Gabriel High School,53055
San Gabriel Mission High School,53061
Gabrielino High School,53062
Sanger High School,53065
San Jacinto High School,53070
Andrew P Hill High School,53077
Archbishop Mitty High School,53078
Del Mar High School,53083
Gunderson High School,53088
James Lick High School,53090
Leland High School,53091
Notre Dame High School,53095
Silver Creek High School,53100
Willow Glen High School,53105
Santa Teresa High School,53106
William C Overfelt High School,53107
Saint Margaret's Episcopal School,53112
San Leandro High School,53120
Mission College Preparatory Catholic High School,53140
San Luis Obispo High School,53145
Hillsdale High School,53165
Evergreen Valley High School,53169
San Mateo High School,53175
San Domenico School,53205
San Rafael High School,53222
California High School,53229
Foothill High School,53234
Mater Dei High School,53240
Valley High School,53243
Calvary Chapel High School,53251
Laguna Blanca School,53255
San Marcos High School,53272
Adrian C Wilcox High School,53276
Santa Clara High School,53280
Santa Fe High School,53300
Saint Monica Catholic High School,53310
Santa Monica High School,53320
Windward School,53323
Piner High School,53329
Saugus High School,53336
Valley Christian High School,53338
Canyon High School,53341
Santana High School,53342
Shafter High School,53360
Notre Dame High School,53370
Santa Susana High School,53372
Ponderosa High School,53373
Royal High School,53379
Simi Valley High School,53380
West Hills High School,53381
Grace Brethren High School,53383
South Gate Senior High School,53400
South El Monte High School,53404
Monte Vista High School,53416
Edison Senior High School,53420
Lincoln High School,53430
Lynbrook High School,53463
Monta Vista High School,53466
Francis Polytechnic Senior High School,53467
Village Christian High School,53468
Developing Virtue Secondary School,53483
Templeton High School,53500
Westlake High School,53503
Tomales High School,53510
Carson High School,53515
North High School,53520
West High School,53521
South High School,53522
Torrance High School,53523
Tranquillity High School,53530
Vanden High School,53533
Chaparral High School,53539
Verdugo Hills High School,53545
Tulare Union High School,53550
Soledad High School,53557
Turlock High School,53565
California Lutheran High School,53566
Western Christian Schools,53585
Will C Wood High School,53597
Valencia High School,53608
Steele Canyon High School,53613
Birmingham Community High School,53615
San Ysidro High School,53628
Van Nuys High School,53635
John Pitman High School,53644
Ventura High School,53655
Walnut High School,53676
Berean Christian High School,53683
Jesse M Bethel High School,53690
Valley Center High School,53695
Monte Vista Christian High School,53705
Saint Francis High School Salesian College Prep,53716
La Quinta High School,53737
Westminster High School,53739
River City High School,53740
Dr Richard A Vladovic Harbor Teacher Preparation Academy,53747
Wheatland Union High School,53750
California High School,53755
La Serna High School,53756
Whittier High School,53765
Woodlake High School,53795
William Howard Taft High School,53806
Yucaipa High School,53820
MIT Academy,53833
Cal Coast Academy,53836
Aspire Benjamin Holt College Preparatory Academy,53843
Technology High School,53849
Pioneer High School,53861
Golden Valley High School,53871
Great Oak High School,53880
Vineyard Alternative High School,53886
Kearny School Of Biomedical Science And Technology,53900
San Diego SciTech High School,53903
Ann Sobrato High School,53906
University Preparatory School,53912
Polaris High School,53931
Whitney High School,53937
Citrus Hill High School,53978
Alliance Gertz-Ressler High School,53983
School of Arts and Enterprise,53993
Lakeside High School,53995
Wisdom Mission School,54014
New Designs Charter School,54025
International Studies Learning Center,54028
Robert Fulton College Preparatory School,54030
James Enochs High School,54043
Champs,54046
Maranatha Christian Schools,54056
Eastside High School,54060
Olympian High School,54072
Panorama High School,54081
Alliance Judy Ivie Burton Technology Academy High School,54088
NP3 Charter High School,54095
Lincoln High School,54120
Heritage High School,54141
Scout from University of California,54149
Los Angeles High School of the Arts,54162
Vista del Lago High School,54166
California Military Institute,54173
American Indian Public High School,54176
Cosumnes Oaks High School,54204
Tahquitz High School,54214
KIPP King Collegiate High School,54231
Antelope High School,54250
Impact Academy of Arts and Technology,54255
School of Engineering and Sciences,54286
Orcutt Academy High School,54287
Oakland Charter High School,54303
Literacy First Charter School,54304
Castaic High School,54310
Yorba Linda High School,54321
Shadow Hills High School,54345
Mission Vista High School,54347
Del Norte High School,54351
Murrieta Mesa High School,54357
Alliance Leichtman-Levine Environmental Science High School,54360
Christopher High School,54364
KIPP San Jose Collegiate,54377
Felicitas and Gonzalo Mendez High School,54381
Los Angeles Academy of Arts and Enterprise,54387
American Canyon High School,54406
Riverside Virtual School,54407
Coliseum College Prep Academy,54412
ASPIRE: Vanguard College Preparatory Academy,54446
East Los Angeles Performing Arts Academy at Torres High School,54452
Magnolia Science Academy 2,54475
Magnolia Science Academy 5,54483
"Architecture, Construction and Engineering Charter High School",54495
San Francisco High School Of The Arts,54497
Magnolia Science Academy 3,54510
Aspire Alexander Twilight Secondary Academy,54516
Fremont Academy Of Engineering and Design,54523
Synergy Quantum Academy,54531
PUC Triumph Charter Academy and High School,54532
Academies Education & Empowerment At Carson High School,54617
STEM Academy Of Hollywood,54624
Ofarrell Community Charter School,54629
Crawford High School,54630
Critical Design And Gaming School at A Hawkins High School,54632
Academies of the Antelope Valley,54659
USC Hybrid High College Prep,54673
Hillcrest High School,54677
Ambassador High School,54687
Lps Oakland R&D Campus,54704
Cobalt Institute Of Math And Science,54719
E3 Civic High,54723
Orion International Academy,54724
Legend College Preparatory,54732
Western Center Academy,54764
Math And Science College Preparatory,54767
Alliance Margaret M Bloomfield High School,54772
BASIS Independent Silicon Valley,54776
Riverside STEM Academy,54784
Bonsall High School,54793
Da Vinci Communications High School,54794
Mountain House High School,54813
KIPP: San Francisco College Preparatory,54816
Pacifica Christan Hs-Orange County,54827
Phillip J Patino School of Entrepreneurship,54849
Compton Early College High School,54865
University Prep Value High School,54891
KIPP Navigate College Prep,54927
STEM3 Academy West - Culver City Campus,54958
East Bay Innovation Academy,54970
Sinica Education,54972
Lakeview Leadership Academy,54979
Dsst-Cole High School,60013
Northfield High School,60014
Ralston Valley High School,60051
Arvada Senior High School,60055
Arvada West High School,60057
Pomona High School,60058
Eaglecrest High School,60066
Gateway High School,60071
Overland High School,60076
Rangeview High School,60077
Basalt High School,60080
Grandview High School,60081
Regis Jesuit High School: Girls Division,60082
Bayfield High School,60085
Cherokee Trail High School,60086
Bennett Senior High School,60090
Fairview High School,60118
Summit High School,60135
Brighton High School,60145
Legacy High School,60163
Calhan High School,60173
Canon City Senior High School,60200
Douglas County High School,60225
Cedaredge High School,60230
Vanguard School at Cheyenne Mountain Charter Academy,60249
Cheyenne Mountain High School,60268
Colorado Springs School,60271
Coronado High School,60273
Sierra High School,60293
Saint Mary's High School,60295
Widefield High School,60299
Montezuma-Cortez High School,60305
Conifer High School,60311
Sand Creek High School,60314
Moffat County High School,60315
Dcis-Montbello Middle High School,60362
Abraham Lincoln High School,60367
Northeast Early College,60372
George Washington High School,60413
Holy Family High School,60415
Thornton High School,60425
North High School,60428
Regis Jesuit High School: Boys Division,60435
South High School,60455
Thomas Jefferson High School,60457
Durango High School,60475
Mlk Junior Early College Middle High School,60484
KIPP Denver Collegiate High School,60492
Dsst-Green Valley Ranch High School,60506
Cherry Creek High School,60515
KIPP Northeast Denver Leadership Academy,60519
DSST-Conservatory Green High School,60524
Englewood High School,60525
Kent Denver School,60530
Saint Mary's Academy High School,60535
Erie High School,60545
Estes Park High School,60550
West Leadership Academy,60553
Evergreen Senior High School,60560
Poudre High School,60587
Fort Collins High School,60590
Ridgeview Classical School,60598
DSST Montview High School,60604
Fountain-Fort Carson High School,60615
PSD Global Academy,60622
Fruita Monument High School,60630
Glenwood Springs High School,60665
Golden Senior High School,60670
Central High School,60690
Grand Junction High School,60695
Northridge High School,60711
Greeley West High School,60712
SkyView Academy,60739
Highlands Ranch High School,60742
Thunderridge High School,60746
Prairie View High School,60796
Centaurus High School,60865
Green Mountain High School,60883
Columbine High School,60927
Heritage High School,60929
Niwot High School,60937
Mountain View High School,60951
Thompson Valley High School,60952
Riverdale Ridge High School,60960
Mead High School,60962
Manitou Springs High School,60970
Battle Mountain High School,61010
Sargent High School,61030
Lewis Palmer High School,61040
Paonia Senior High School,61145
Ponderosa High School,61151
Pueblo West High School,61203
Rifle High School,61230
Steamboat Springs High School,61310
Strasburg High School,61330
Telluride Middle High School,61350
Stargate Charter School,61365
North Park School,61405
Mountain Range High School,61437
Wheat Ridge Senior High School,61450
Woodland Park High School,61475
Avon High School,70008
Woodland Regional High School,70014
Berlin High School,70020
Bethel High School,70025
Branford High School,70040
Kolbe-Cathedral High School,70053
Central High School,70055
Bi-Cultural Hebrew Academy,70071
Information Technology & Software Engineering High School,70073
Bristol Eastern High School,70076
Parish Hill Junior Senior High School,70093
Cheshire High School,70100
The Morgan School,70105
Cromwell High School,70118
Killingly High School,70135
Darien High School,70145
Coginchaug Regional High School,70160
East Granby High School,70163
Fairfield Warde High School,70186
Fairfield Ludlowe High School,70187
Housatonic Valley Regional High School,70205
Glastonbury High School,70215
Granby Memorial High School,70217
Brunswick School,70219
Convent of the Sacred Heart,70220
Greenwich Academy,70235
Greenwich High School,70240
Marine Science Magnet High School,70252
Grasso Se Technical High School,70254
Sacred Heart Academy,70263
Hrtfd Magnet Trinity College Academy,70274
Engineering and Science University Magnet Middle and High School,70282
Sport and Medical Sciences Academy,70291
Achievement First Hartford High School,70297
Pathways Academy of Technology & Design,70304
Bulkeley High School,70315
Rham High School,70323
Haddam-Killingworth High School,70324
Griswold High School,70325
Kent School,70330
Wamogo Regional High School,70360
Great Path Academy Middle College High School,70372
Howell Cheney Technical High School,70375
Manchester High School,70380
Middletown High School,70400
Xavier High School,70412
"Academy of Our Lady of Mercy, Lauralton Hall",70415
Jonathan Law High School,70423
Joseph A Foran High School,70424
Platt Technical High School,70426
Saint Bernard School,70428
Robert E Fitch Senior High School,70435
New Canaan High School,70465
Academy of Aerospace and Engineering,70471
Hopkins School,70490
James Hillhouse High School,70495
Achievement First: Amistad High School,70512
Wilbur Cross High School,70520
Newington High School,70525
Newtown High School,70550
North Haven High School,70570
Norwalk High School,70580
Montville High School,70599
Portland High School,70620
Joel Barlow High School,70638
Ellington High School,70643
Rockville High School,70645
Rocky Hill High School,70648
Salisbury School,70655
Shelton High School,70665
Simsbury High School,70675
Pomperaug Regional High School,70685
Southington High School,70690
Brien McMahon High School,70698
South Windsor High School,70700
Academy of Information Technology and Engineering (AITE),70707
King School,70720
Stamford High School,70750
Westhill High School,70751
Masuk High School,70753
Stratford High School,70755
Bunnell High School,70756
Thomaston High School,70775
Marianapolis Preparatory School,70780
Trumbull High School,70800
Farmington High School,70805
Lewis S Mills High School,70807
Sacred Heart High School,70845
Watertown High School,70882
Conard High School,70887
Hall High School,70900
Staples High School,70920
Wethersfield High School,70925
Oxford High School,70929
Windham Technical High School,70935
The Academy of Science and Innovation,70949
Windsor High School,70950
The Gilbert School,70960
Amity Regional High School,70965
Nonnewaug High School,70970
Woodbridge High School,80000
Caravel Academy,80002
Caesar Rodney High School,80005
First State Military Academy,80006
Odyssey Charter School,80009
Indian River High School,80045
Sussex Academy,80053
Cape Henlopen High School,80080
Middletown High School,80092
Appoquinimink High School,80094
Milford Senior High School,80100
MOT Charter School,80102
Newark High School,80115
William Penn High School,80125
Newark Charter School,80126
Smyrna High School,80150
Brandywine High School,80158
Saint Elizabeth High School,80190
Conrad Schools Of Science,80228
District of Columbia International School,90012
Columbia Heights Education Center,90021
Washington Leadership Academy,90056
Friendship Public Charter School: Collegiate Academy,90061
Francis L Cardozo High School,90075
