index,Date,Season,Year,Month,Holiday,Day of Week,Workday,Weather Description,Average Temperature (Celsius),"Average ""Feels Like"" Temperature",Humidity (0 - 1),Wind Speed,Number of Casual Users,Number of Registered Users,Total Users
59,2/28/11,winter,2011,2,No,1,Yes,Clouds or mist,11.27,10.40,0.88,0.29,81,1365,1446
60,3/1/11,winter,2011,3,No,2,Yes,Few clouds,4.69,1.16,0.54,0.22,137,1714,1851
61,3/2/11,winter,2011,3,No,3,Yes,Few clouds,7.98,5.12,0.45,0.31,231,1903,2134
62,3/3/11,winter,2011,3,No,4,Yes,Few clouds,1.40,-2.80,0.32,0.23,123,1562,1685
63,3/4/11,winter,2011,3,No,5,Yes,Clouds or mist,4.22,1.16,0.61,0.20,214,1730,1944
64,3/5/11,winter,2011,3,No,6,No,Clouds or mist,9.86,9.08,0.79,0.25,640,1437,2077
65,3/6/11,winter,2011,3,No,0,No,Clouds or mist,9.86,8.42,0.95,0.34,114,491,605
66,3/7/11,winter,2011,3,No,1,Yes,Few clouds,4.22,-0.16,0.55,0.34,244,1628,1872
67,3/8/11,winter,2011,3,No,2,Yes,Few clouds,5.63,3.80,0.42,0.12,316,1817,2133
68,3/9/11,winter,2011,3,No,3,Yes,Clouds or mist,6.10,3.14,0.78,0.22,191,1700,1891
69,3/10/11,winter,2011,3,No,4,Yes,Light snow or rain,10.33,9.74,0.00,0.26,46,577,623
70,3/11/11,winter,2011,3,No,5,Yes,Clouds or mist,7.04,4.46,0.65,0.23,247,1730,1977
71,3/12/11,winter,2011,3,No,6,No,Few clouds,7.51,5.78,0.59,0.22,724,1408,2132
72,3/13/11,winter,2011,3,No,0,No,Few clouds,9.86,9.08,0.53,0.27,982,1435,2417
73,3/14/11,winter,2011,3,No,1,Yes,Few clouds,7.51,5.78,0.50,0.14,359,1687,2046
74,3/15/11,winter,2011,3,No,2,Yes,Clouds or mist,7.04,5.12,0.66,0.18,289,1767,2056
75,3/16/11,winter,2011,3,No,3,Yes,Clouds or mist,9.39,8.42,0.78,0.20,321,1871,2192
76,3/17/11,winter,2011,3,No,4,Yes,Few clouds,11.74,11.06,0.60,0.21,424,2320,2744
77,3/18/11,winter,2011,3,No,5,Yes,Few clouds,17.38,18.98,0.53,0.23,884,2355,3239
78,3/19/11,winter,2011,3,No,6,No,Few clouds,14.09,15.02,0.38,0.37,1424,1693,3117
79,3/20/11,winter,2011,3,No,0,No,Few clouds,7.51,5.78,0.47,0.21,1047,1424,2471
80,3/21/11,spring,2011,3,No,1,Yes,Clouds or mist,12.21,11.06,0.74,0.29,401,1676,2077
81,3/22/11,spring,2011,3,No,2,Yes,Few clouds,12.68,13.04,0.62,0.23,460,2243,2703
82,3/23/11,spring,2011,3,No,3,Yes,Clouds or mist,8.45,6.44,0.84,0.23,203,1918,2121
83,3/24/11,spring,2011,3,No,4,Yes,Clouds or mist,5.63,1.82,0.81,0.24,166,1699,1865
84,3/25/11,spring,2011,3,No,5,Yes,Few clouds,4.22,1.16,0.50,0.23,300,1910,2210
85,3/26/11,spring,2011,3,No,6,No,Few clouds,4.69,1.16,0.39,0.21,981,1515,2496
86,3/27/11,spring,2011,3,No,0,No,Clouds or mist,3.75,0.50,0.49,0.18,472,1221,1693
87,3/28/11,spring,2011,3,No,1,Yes,Few clouds,4.22,1.16,0.30,0.21,222,1806,2028
88,3/29/11,spring,2011,3,No,2,Yes,Few clouds,6.10,3.14,0.31,0.23,317,2108,2425
89,3/30/11,spring,2011,3,No,3,Yes,Clouds or mist,6.10,3.80,0.65,0.17,168,1368,1536
90,3/31/11,spring,2011,3,No,4,Yes,Light snow or rain,4.69,1.16,0.92,0.22,179,1506,1685
91,4/1/11,spring,2011,4,No,5,Yes,Clouds or mist,6.10,2.48,0.69,0.26,307,1920,2227
92,4/2/11,spring,2011,4,No,6,No,Clouds or mist,7.04,5.12,0.65,0.20,898,1354,2252
93,4/3/11,spring,2011,4,No,0,No,Few clouds,9.86,9.08,0.48,0.18,1651,1598,3249
94,4/4/11,spring,2011,4,No,1,Yes,Few clouds,18.79,19.64,0.43,0.39,734,2381,3115
95,4/5/11,spring,2011,4,No,2,Yes,Clouds or mist,11.27,10.40,0.64,0.39,167,1628,1795
96,4/6/11,spring,2011,4,No,3,Yes,Few clouds,10.33,9.74,0.47,0.26,413,2395,2808
97,4/7/11,spring,2011,4,No,4,Yes,Few clouds,12.68,12.38,0.60,0.16,571,2570,3141
98,4/8/11,spring,2011,4,No,5,Yes,Clouds or mist,7.98,5.12,0.84,0.23,172,1299,1471
99,4/9/11,spring,2011,4,No,6,No,Clouds or mist,7.98,6.44,0.88,0.13,879,1576,2455
100,4/10/11,spring,2011,4,No,0,No,Clouds or mist,12.21,12.38,0.86,0.15,1188,1707,2895
101,4/11/11,spring,2011,4,No,1,Yes,Clouds or mist,20.20,21.62,0.72,0.32,855,2493,3348
102,4/12/11,spring,2011,4,No,2,Yes,Clouds or mist,15.50,16.34,0.74,0.27,257,1777,2034
103,4/13/11,spring,2011,4,No,3,Yes,Clouds or mist,11.27,11.72,0.82,0.25,209,1953,2162
104,4/14/11,spring,2011,4,No,4,Yes,Few clouds,14.09,14.36,0.54,0.11,529,2738,3267
105,4/15/11,spring,2011,4,Yes,5,No,Few clouds,13.15,13.04,0.67,0.23,642,2484,3126
106,4/16/11,spring,2011,4,No,6,No,Light snow or rain,12.21,12.38,0.89,0.34,121,674,795
107,4/17/11,spring,2011,4,No,0,No,Few clouds,13.62,13.70,0.48,0.30,1558,2186,3744
108,4/18/11,spring,2011,4,No,1,Yes,Few clouds,15.97,17.00,0.54,0.16,669,2760,3429
109,4/19/11,spring,2011,4,No,2,Yes,Clouds or mist,15.97,16.34,0.67,0.16,409,2795,3204
110,4/20/11,spring,2011,4,No,3,Yes,Few clouds,20.20,20.96,0.61,0.24,613,3331,3944
111,4/21/11,spring,2011,4,No,4,Yes,Few clouds,13.62,13.70,0.41,0.33,745,3444,4189
112,4/22/11,spring,2011,4,No,5,Yes,Clouds or mist,7.98,5.12,0.73,0.22,177,1506,1683
113,4/23/11,spring,2011,4,No,6,No,Clouds or mist,13.62,13.70,0.89,0.23,1462,2574,4036
114,4/24/11,spring,2011,4,No,0,No,Clouds or mist,19.26,20.30,0.81,0.19,1710,2481,4191
115,4/25/11,spring,2011,4,No,1,Yes,Few clouds,20.67,21.62,0.78,0.19,773,3300,4073
116,4/26/11,spring,2011,4,No,2,Yes,Few clouds,21.61,22.94,0.73,0.33,678,3722,4400
117,4/27/11,spring,2011,4,No,3,Yes,Clouds or mist,21.14,22.28,0.84,0.31,547,3325,3872
118,4/28/11,spring,2011,4,No,4,Yes,Clouds or mist,21.14,22.28,0.70,0.32,569,3489,4058
119,4/29/11,spring,2011,4,No,5,Yes,Few clouds,15.97,17.00,0.46,0.24,878,3717,4595
120,4/30/11,spring,2011,4,No,6,No,Few clouds,14.09,14.36,0.50,0.24,1965,3347,5312
121,5/1/11,spring,2011,5,No,0,No,Clouds or mist,13.15,13.70,0.76,0.11,1138,2213,3351
122,5/2/11,spring,2011,5,No,1,Yes,Clouds or mist,17.85,18.98,0.73,0.18,847,3554,4401
123,5/3/11,spring,2011,5,No,2,Yes,Clouds or mist,21.14,22.28,0.70,0.34,603,3848,4451
124,5/4/11,spring,2011,5,No,3,Yes,Clouds or mist,11.27,10.40,0.74,0.33,255,2378,2633
125,5/5/11,spring,2011,5,No,4,Yes,Few clouds,13.62,13.04,0.44,0.30,614,3819,4433
126,5/6/11,spring,2011,5,No,5,Yes,Few clouds,14.56,15.02,0.59,0.23,894,3714,4608
127,5/7/11,spring,2011,5,No,6,No,Few clouds,16.44,17.66,0.54,0.16,1612,3102,4714
128,5/8/11,spring,2011,5,No,0,No,Few clouds,16.91,18.32,0.63,0.07,1401,2932,4333
129,5/9/11,spring,2011,5,No,1,Yes,Few clouds,16.91,18.98,0.59,0.18,664,3698,4362
130,5/10/11,spring,2011,5,No,2,Yes,Few clouds,16.91,18.32,0.49,0.12,694,4109,4803
131,5/11/11,spring,2011,5,No,3,Yes,Few clouds,17.38,18.98,0.63,0.12,550,3632,4182
132,5/12/11,spring,2011,5,No,4,Yes,Few clouds,17.38,18.32,0.75,0.19,695,4169,4864
133,5/13/11,spring,2011,5,No,5,Yes,Clouds or mist,15.97,16.34,0.86,0.18,692,3413,4105
134,5/14/11,spring,2011,5,No,6,No,Clouds or mist,16.44,17.00,0.92,0.13,902,2507,3409
135,5/15/11,spring,2011,5,No,0,No,Clouds or mist,18.32,19.64,0.87,0.15,1582,2971,4553
136,5/16/11,spring,2011,5,No,1,Yes,Few clouds,19.26,20.30,0.79,0.13,773,3185,3958
137,5/17/11,spring,2011,5,No,2,Yes,Clouds or mist,18.32,19.64,0.84,0.28,678,3445,4123
138,5/18/11,spring,2011,5,No,3,Yes,Clouds or mist,17.85,18.98,0.87,0.20,536,3319,3855
139,5/19/11,spring,2011,5,No,4,Yes,Clouds or mist,16.91,17.66,0.83,0.11,735,3840,4575
140,5/20/11,spring,2011,5,No,5,Yes,Few clouds,17.38,18.98,0.72,0.13,909,4008,4917
141,5/21/11,spring,2011,5,No,6,No,Few clouds,20.20,21.62,0.63,0.12,2258,3547,5805
142,5/22/11,spring,2011,5,No,0,No,Few clouds,20.20,21.62,0.75,0.15,1576,3084,4660
143,5/23/11,spring,2011,5,No,1,Yes,Clouds or mist,21.61,22.94,0.81,0.23,836,3438,4274
144,5/24/11,spring,2011,5,No,2,Yes,Clouds or mist,23.02,23.60,0.74,0.21,659,3833,4492
145,5/25/11,spring,2011,5,No,3,Yes,Few clouds,23.02,24.92,0.70,0.15,740,4238,4978
146,5/26/11,spring,2011,5,No,4,Yes,Few clouds,25.37,26.90,0.68,0.20,758,3919,4677
147,5/27/11,spring,2011,5,No,5,Yes,Few clouds,23.96,26.24,0.65,0.24,871,3808,4679
148,5/28/11,spring,2011,5,No,6,No,Few clouds,23.02,24.26,0.73,0.23,2001,2757,4758
149,5/29/11,spring,2011,5,No,0,No,Few clouds,23.49,24.92,0.82,0.21,2355,2433,4788
150,5/30/11,spring,2011,5,Yes,1,No,Few clouds,26.31,28.22,0.69,0.13,1549,2549,4098
151,5/31/11,spring,2011,5,No,2,Yes,Few clouds,28.66,32.18,0.64,0.11,673,3309,3982
152,6/1/11,spring,2011,6,No,3,Yes,Clouds or mist,27.72,31.52,0.68,0.21,513,3461,3974
153,6/2/11,spring,2011,6,No,4,Yes,Few clouds,25.84,26.24,0.31,0.29,736,4232,4968
154,6/3/11,spring,2011,6,No,5,Yes,Few clouds,21.14,22.94,0.35,0.25,898,4414,5312
155,6/4/11,spring,2011,6,No,6,No,Few clouds,22.08,22.94,0.46,0.12,1869,3473,5342
156,6/5/11,spring,2011,6,No,0,No,Clouds or mist,22.55,24.92,0.65,0.14,1685,3221,4906
157,6/6/11,spring,2011,6,No,1,Yes,Few clouds,23.96,24.92,0.60,0.12,673,3875,4548
158,6/7/11,spring,2011,6,No,2,Yes,Few clouds,25.37,27.56,0.60,0.19,763,4070,4833
159,6/8/11,spring,2011,6,No,3,Yes,Few clouds,28.66,32.18,0.62,0.14,676,3725,4401
160,6/9/11,spring,2011,6,No,4,Yes,Clouds or mist,30.07,34.16,0.57,0.15,563,3352,3915
161,6/10/11,spring,2011,6,No,5,Yes,Few clouds,27.72,30.20,0.61,0.14,815,3771,4586
162,6/11/11,spring,2011,6,No,6,No,Few clouds,26.31,28.88,0.65,0.15,1729,3237,4966
163,6/12/11,spring,2011,6,No,0,No,Few clouds,24.43,26.24,0.75,0.16,1467,2993,4460
164,6/13/11,spring,2011,6,No,1,Yes,Few clouds,22.08,23.60,0.49,0.31,863,4157,5020
165,6/14/11,spring,2011,6,No,2,Yes,Few clouds,20.20,22.94,0.51,0.27,727,4164,4891
166,6/15/11,spring,2011,6,No,3,Yes,Few clouds,21.61,22.94,0.47,0.17,769,4411,5180
167,6/16/11,spring,2011,6,No,4,Yes,Clouds or mist,21.61,23.60,0.69,0.21,545,3222,3767
168,6/17/11,spring,2011,6,No,5,Yes,Few clouds,22.55,23.60,0.74,0.14,863,3981,4844
169,6/18/11,spring,2011,6,No,6,No,Few clouds,24.90,26.24,0.67,0.12,1807,3312,5119
170,6/19/11,spring,2011,6,No,0,No,Clouds or mist,24.90,26.90,0.67,0.10,1639,3105,4744
171,6/20/11,spring,2011,6,No,1,Yes,Clouds or mist,22.08,23.60,0.75,0.16,699,3311,4010
172,6/21/11,summer,2011,6,No,2,Yes,Clouds or mist,23.96,26.24,0.77,0.17,774,4061,4835
173,6/22/11,summer,2011,6,No,3,Yes,Few clouds,26.31,29.54,0.71,0.17,661,3846,4507
174,6/23/11,summer,2011,6,No,4,Yes,Clouds or mist,26.31,29.54,0.70,0.24,746,4044,4790
175,6/24/11,summer,2011,6,No,5,Yes,Few clouds,25.84,27.56,0.57,0.22,969,4022,4991
176,6/25/11,summer,2011,6,No,6,No,Few clouds,24.90,26.24,0.48,0.21,1782,3420,5202
177,6/26/11,summer,2011,6,No,0,No,Few clouds,23.96,26.24,0.51,0.09,1920,3385,5305
178,6/27/11,summer,2011,6,No,1,Yes,Clouds or mist,23.96,26.24,0.66,0.11,854,3854,4708
179,6/28/11,summer,2011,6,No,2,Yes,Few clouds,26.78,29.54,0.63,0.14,732,3916,4648
180,6/29/11,summer,2011,6,No,3,Yes,Few clouds,26.31,26.90,0.50,0.26,848,4377,5225
181,6/30/11,summer,2011,6,No,4,Yes,Few clouds,24.90,26.24,0.43,0.19,1027,4488,5515
182,7/1/11,summer,2011,7,No,5,Yes,Few clouds,25.84,26.90,0.40,0.10,1246,4116,5362
183,7/2/11,summer,2011,7,No,6,No,Few clouds,26.78,28.22,0.44,0.12,2204,2915,5119
184,7/3/11,summer,2011,7,No,0,No,Clouds or mist,25.84,28.22,0.68,0.23,2282,2367,4649
185,7/4/11,summer,2011,7,Yes,1,No,Clouds or mist,26.31,28.22,0.64,0.08,3065,2978,6043
186,7/5/11,summer,2011,7,No,2,Yes,Few clouds,27.25,30.20,0.59,0.13,1031,3634,4665
187,7/6/11,summer,2011,7,No,3,Yes,Few clouds,25.84,29.54,0.74,0.15,784,3845,4629
188,7/7/11,summer,2011,7,No,4,Yes,Few clouds,27.25,29.54,0.65,0.16,754,3838,4592
189,7/8/11,summer,2011,7,No,5,Yes,Clouds or mist,25.37,28.22,0.76,0.23,692,3348,4040
190,7/9/11,summer,2011,7,No,6,No,Few clouds,26.31,27.56,0.61,0.17,1988,3348,5336
191,7/10/11,summer,2011,7,No,0,No,Few clouds,27.25,29.54,0.58,0.18,1743,3138,4881
192,7/11/11,summer,2011,7,No,1,Yes,Few clouds,27.72,32.18,0.64,0.28,723,3363,4086
193,7/12/11,summer,2011,7,No,2,Yes,Few clouds,29.13,32.84,0.56,0.20,662,3596,4258
194,7/13/11,summer,2011,7,No,3,Yes,Few clouds,27.25,29.54,0.63,0.15,748,3594,4342
195,7/14/11,summer,2011,7,No,4,Yes,Few clouds,23.96,26.24,0.48,0.24,888,4196,5084
196,7/15/11,summer,2011,7,No,5,Yes,Few clouds,23.02,24.92,0.59,0.18,1318,4220,5538
197,7/16/11,summer,2011,7,No,6,No,Few clouds,24.43,26.24,0.59,0.21,2418,3505,5923
198,7/17/11,summer,2011,7,No,0,No,Few clouds,25.84,28.22,0.60,0.25,2006,3296,5302
199,7/18/11,summer,2011,7,No,1,Yes,Few clouds,27.25,30.20,0.65,0.22,841,3617,4458
200,7/19/11,summer,2011,7,No,2,Yes,Few clouds,28.66,33.50,0.65,0.13,752,3789,4541
201,7/20/11,summer,2011,7,No,3,Yes,Few clouds,28.19,33.50,0.71,0.11,644,3688,4332
202,7/21/11,summer,2011,7,No,4,Yes,Clouds or mist,30.54,38.78,0.69,0.22,632,3152,3784
203,7/22/11,summer,2011,7,No,5,Yes,Few clouds,31.95,39.44,0.58,0.13,562,2825,3387
204,7/23/11,summer,2011,7,No,6,No,Few clouds,31.95,36.80,0.50,0.13,987,2298,3285
205,7/24/11,summer,2011,7,No,0,No,Few clouds,31.01,36.14,0.55,0.17,1050,2556,3606
206,7/25/11,summer,2011,7,No,1,Yes,Few clouds,26.78,31.52,0.76,0.09,568,3272,3840
207,7/26/11,summer,2011,7,No,2,Yes,Few clouds,28.19,30.20,0.54,0.20,750,3840,4590
208,7/27/11,summer,2011,7,No,3,Yes,Few clouds,28.66,29.54,0.40,0.18,755,3901,4656
209,7/28/11,summer,2011,7,No,4,Yes,Few clouds,28.66,32.84,0.58,0.18,606,3784,4390
210,7/29/11,summer,2011,7,No,5,Yes,Few clouds,31.48,36.14,0.54,0.17,670,3176,3846
211,7/30/11,summer,2011,7,No,6,No,Few clouds,29.60,32.18,0.47,0.17,1559,2916,4475
212,7/31/11,summer,2011,7,No,0,No,Few clouds,30.07,32.18,0.48,0.16,1524,2778,4302
213,8/1/11,summer,2011,8,No,1,Yes,Few clouds,28.19,30.20,0.55,0.16,729,3537,4266
214,8/2/11,summer,2011,8,No,2,Yes,Few clouds,28.66,30.86,0.49,0.21,801,4044,4845
215,8/3/11,summer,2011,8,No,3,Yes,Clouds or mist,26.31,28.88,0.66,0.14,467,3107,3574
216,8/4/11,summer,2011,8,No,4,Yes,Clouds or mist,25.37,27.56,0.76,0.20,799,3777,4576
217,8/5/11,summer,2011,8,No,5,Yes,Few clouds,25.37,27.56,0.63,0.18,1023,3843,4866
218,8/6/11,summer,2011,8,No,6,No,Clouds or mist,25.84,28.88,0.76,0.23,1521,2773,4294
219,8/7/11,summer,2011,8,No,0,No,Few clouds,26.78,31.52,0.75,0.20,1298,2487,3785
220,8/8/11,summer,2011,8,No,1,Yes,Few clouds,28.19,30.20,0.59,0.19,846,3480,4326
221,8/9/11,summer,2011,8,No,2,Yes,Few clouds,28.66,31.52,0.57,0.15,907,3695,4602
222,8/10/11,summer,2011,8,No,3,Yes,Few clouds,28.19,28.88,0.42,0.20,884,3896,4780
223,8/11/11,summer,2011,8,No,4,Yes,Few clouds,25.84,26.90,0.42,0.16,812,3980,4792
224,8/12/11,summer,2011,8,No,5,Yes,Few clouds,25.37,26.90,0.42,0.13,1051,3854,4905
225,8/13/11,summer,2011,8,No,6,No,Clouds or mist,24.43,26.90,0.73,0.21,1504,2646,4150
226,8/14/11,summer,2011,8,No,0,No,Clouds or mist,23.96,24.92,0.82,0.22,1338,2482,3820
227,8/15/11,summer,2011,8,No,1,Yes,Few clouds,23.49,24.92,0.71,0.21,775,3563,4338
228,8/16/11,summer,2011,8,No,2,Yes,Few clouds,24.90,26.90,0.58,0.24,721,4004,4725
229,8/17/11,summer,2011,8,No,3,Yes,Few clouds,25.84,28.22,0.58,0.14,668,4026,4694
230,8/18/11,summer,2011,8,No,4,Yes,Few clouds,25.37,27.56,0.65,0.23,639,3166,3805
231,8/19/11,summer,2011,8,No,5,Yes,Clouds or mist,24.43,25.58,0.72,0.14,797,3356,4153
232,8/20/11,summer,2011,8,No,6,No,Few clouds,24.90,26.90,0.67,0.10,1914,3277,5191
233,8/21/11,summer,2011,8,No,0,No,Few clouds,25.37,28.88,0.77,0.25,1249,2624,3873
234,8/22/11,summer,2011,8,No,1,Yes,Few clouds,24.43,26.24,0.47,0.28,833,3925,4758
235,8/23/11,summer,2011,8,No,2,Yes,Few clouds,22.08,24.26,0.46,0.15,1281,4614,5895
236,8/24/11,summer,2011,8,No,3,Yes,Few clouds,23.49,25.58,0.61,0.25,949,4181,5130
237,8/25/11,summer,2011,8,No,4,Yes,Clouds or mist,23.96,26.90,0.77,0.21,435,3107,3542
238,8/26/11,summer,2011,8,No,5,Yes,Few clouds,24.90,27.56,0.76,0.08,768,3893,4661
239,8/27/11,summer,2011,8,No,6,No,Clouds or mist,23.96,26.24,0.85,0.38,226,889,1115
240,8/28/11,summer,2011,8,No,0,No,Few clouds,25.37,26.90,0.56,0.30,1415,2919,4334
241,8/29/11,summer,2011,8,No,1,Yes,Few clouds,22.08,24.26,0.55,0.16,729,3905,4634
242,8/30/11,summer,2011,8,No,2,Yes,Few clouds,22.08,22.94,0.55,0.13,775,4429,5204
243,8/31/11,summer,2011,8,No,3,Yes,Few clouds,23.02,24.26,0.60,0.08,688,4370,5058
244,9/1/11,summer,2011,9,No,4,Yes,Few clouds,23.02,24.26,0.64,0.14,783,4332,5115
245,9/2/11,summer,2011,9,No,5,Yes,Clouds or mist,22.08,23.60,0.73,0.14,875,3852,4727
246,9/3/11,summer,2011,9,No,6,No,Few clouds,23.49,25.58,0.72,0.19,1935,2549,4484
247,9/4/11,summer,2011,9,No,0,No,Few clouds,25.37,28.22,0.74,0.21,2521,2419,4940
248,9/5/11,summer,2011,9,Yes,1,No,Clouds or mist,23.49,25.58,0.79,0.21,1236,2115,3351
249,9/6/11,summer,2011,9,No,2,Yes,Light snow or rain,17.38,18.32,0.89,0.34,204,2506,2710
250,9/7/11,summer,2011,9,No,3,Yes,Light snow or rain,20.20,19.64,0.92,0.10,118,1878,1996
251,9/8/11,summer,2011,9,No,4,Yes,Light snow or rain,21.61,20.96,0.94,0.19,153,1689,1842
252,9/9/11,summer,2011,9,No,5,Yes,Clouds or mist,22.55,22.28,0.90,0.12,417,3127,3544
253,9/10/11,summer,2011,9,No,6,No,Few clouds,23.02,24.26,0.75,0.15,1750,3595,5345
