Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
F,0.61,0.49,0.16,1.06,0.37,0.24,0.36,10
F,0.57,0.45,0.14,0.99,0.39,0.15,0.31,12
M,0.52,0.41,0.13,0.72,0.32,0.13,0.21,10
F,0.58,0.46,0.19,0.99,0.39,0.24,0.34,13
M,0.65,0.49,0.22,1.51,0.55,0.26,0.64,16
F,0.58,0.46,0.17,0.91,0.37,0.21,0.29,13
F,0.58,0.46,0.17,1.12,0.30,0.18,0.44,13
M,0.61,0.47,0.17,1.06,0.42,0.25,0.34,13
F,0.61,0.49,0.16,1.22,0.53,0.26,0.28,13
M,0.61,0.49,0.18,1.24,0.54,0.30,0.35,12
F,0.73,0.56,0.21,2.14,0.65,0.40,1.01,18
F,0.65,0.55,0.23,1.75,0.56,0.29,0.82,16
M,0.73,0.57,0.19,2.55,1.07,0.48,0.73,14
F,0.73,0.58,0.18,2.12,0.77,0.45,0.85,20
F,0.68,0.57,0.21,1.84,0.63,0.41,0.65,20
M,0.71,0.56,0.22,1.98,0.82,0.31,0.76,14
F,0.68,0.52,0.18,1.62,0.51,0.41,0.62,12
M,0.70,0.55,0.22,1.96,0.71,0.54,0.59,14
F,0.53,0.40,0.15,0.78,0.31,0.17,0.26,7
M,0.53,0.44,0.16,1.07,0.49,0.23,0.29,8
F,0.52,0.41,0.12,0.78,0.32,0.18,0.22,8
I,0.24,0.16,0.04,0.05,0.02,0.02,0.02,5
I,0.36,0.26,0.09,0.18,0.06,0.04,0.08,7
I,0.32,0.21,0.06,0.13,0.06,0.04,0.04,5
I,0.32,0.25,0.09,0.14,0.05,0.05,0.05,8
I,0.23,0.16,0.05,0.05,0.03,0.02,0.02,4
M,0.58,0.48,0.15,0.97,0.39,0.22,0.35,11
M,0.57,0.48,0.18,0.94,0.40,0.20,0.30,14
M,0.64,0.51,0.18,1.37,0.52,0.27,0.57,21
F,0.56,0.45,0.16,1.02,0.43,0.27,0.30,10
F,0.62,0.48,0.18,1.02,0.44,0.21,0.33,10
F,0.65,0.51,0.20,1.57,0.62,0.37,0.46,12
M,0.62,0.49,0.19,1.22,0.55,0.30,0.36,13
F,0.63,0.48,0.15,1.05,0.39,0.34,0.29,12
F,0.63,0.50,0.19,1.38,0.54,0.33,0.38,10
F,0.63,0.48,0.16,1.20,0.53,0.34,0.32,11
F,0.59,0.46,0.17,0.93,0.37,0.27,0.29,9
M,0.62,0.48,0.18,1.16,0.48,0.22,0.33,13
M,0.61,0.49,0.17,1.02,0.42,0.24,0.36,12
M,0.58,0.45,0.15,0.93,0.28,0.18,0.36,14
I,0.36,0.28,0.09,0.22,0.09,0.06,0.15,8
F,0.51,0.40,0.14,0.81,0.46,0.20,0.20,10
M,0.50,0.41,0.16,0.77,0.35,0.15,0.25,12
F,0.51,0.41,0.15,0.64,0.29,0.15,0.21,11
M,0.64,0.50,0.19,1.30,0.44,0.26,0.47,16
M,0.56,0.45,0.16,0.92,0.43,0.18,0.26,15
M,0.59,0.46,0.19,0.92,0.36,0.21,0.29,10
F,0.45,0.35,0.12,0.42,0.17,0.10,0.14,9
M,0.50,0.40,0.17,0.83,0.25,0.21,0.29,13
F,0.50,0.40,0.15,0.63,0.23,0.15,0.23,12
F,0.53,0.44,0.17,0.82,0.30,0.16,0.28,13
M,0.42,0.34,0.12,0.37,0.17,0.07,0.12,8
F,0.44,0.34,0.14,0.48,0.19,0.11,0.16,9
I,0.40,0.30,0.11,0.32,0.11,0.07,0.12,9
I,0.44,0.34,0.11,0.38,0.15,0.09,0.12,8
F,0.53,0.42,0.17,0.83,0.28,0.17,0.31,13
I,0.37,0.28,0.10,0.27,0.12,0.05,0.08,7
F,0.49,0.37,0.15,0.63,0.20,0.16,0.22,10
M,0.34,0.25,0.09,0.18,0.08,0.04,0.06,7
F,0.42,0.33,0.11,0.38,0.16,0.08,0.12,12
M,0.50,0.41,0.14,0.62,0.24,0.14,0.21,9
F,0.49,0.40,0.16,0.66,0.25,0.13,0.24,14
M,0.55,0.41,0.14,0.80,0.24,0.16,0.26,10
M,0.45,0.35,0.13,0.46,0.17,0.11,0.14,8
I,0.41,0.30,0.12,0.32,0.13,0.07,0.11,7
M,0.47,0.36,0.14,0.50,0.17,0.12,0.17,10
F,0.42,0.31,0.13,0.32,0.13,0.08,0.11,8
F,0.45,0.33,0.13,0.46,0.18,0.11,0.14,9
F,0.47,0.35,0.15,0.52,0.19,0.12,0.18,11
F,0.49,0.38,0.15,0.58,0.22,0.14,0.19,9
F,0.45,0.36,0.15,0.49,0.18,0.13,0.16,11
I,0.43,0.38,0.11,0.33,0.13,0.08,0.10,10
F,0.50,0.37,0.14,0.45,0.17,0.11,0.16,9
F,0.39,0.29,0.13,0.31,0.12,0.08,0.09,7
I,0.37,0.27,0.09,0.21,0.08,0.05,0.07,7
F,0.58,0.47,0.17,1.10,0.40,0.21,0.35,11
F,0.53,0.42,0.16,0.78,0.29,0.16,0.25,15
M,0.56,0.45,0.14,0.84,0.34,0.16,0.28,13
M,0.57,0.44,0.18,0.90,0.31,0.19,0.33,14
M,0.63,0.51,0.22,1.45,0.50,0.29,0.44,22
I,0.28,0.22,0.08,0.12,0.05,0.03,0.04,7
I,0.44,0.35,0.14,0.44,0.18,0.08,0.13,12
I,0.30,0.23,0.08,0.12,0.05,0.03,0.04,9
I,0.08,0.06,0.01,0.00,0.00,0.00,0.00,1
I,0.13,0.10,0.03,0.01,0.00,0.00,0.00,3
I,0.11,0.09,0.03,0.01,0.00,0.00,0.00,3
I,0.16,0.12,0.04,0.02,0.01,0.00,0.01,5
M,0.57,0.43,0.16,0.94,0.35,0.22,0.28,17
I,0.27,0.20,0.07,0.10,0.03,0.02,0.04,5
I,0.23,0.18,0.07,0.06,0.03,0.01,0.02,5
I,0.30,0.23,0.08,0.13,0.04,0.03,0.04,8
I,0.33,0.26,0.09,0.17,0.06,0.04,0.06,8
I,0.35,0.26,0.09,0.17,0.07,0.03,0.06,10
I,0.32,0.25,0.08,0.16,0.06,0.03,0.05,13
I,0.36,0.28,0.09,0.20,0.07,0.04,0.07,9
I,0.31,0.25,0.08,0.16,0.07,0.04,0.05,7
I,0.35,0.27,0.11,0.21,0.08,0.05,0.07,7
I,0.33,0.25,0.11,0.17,0.07,0.04,0.06,7
M,0.59,0.47,0.18,1.12,0.42,0.28,0.36,13
F,0.60,0.46,0.16,1.06,0.51,0.22,0.30,12
F,0.58,0.46,0.19,1.09,0.45,0.22,0.35,15
M,0.60,0.50,0.17,1.24,0.49,0.28,0.34,15
M,0.56,0.45,0.18,1.01,0.38,0.21,0.37,15
M,0.56,0.45,0.19,1.07,0.38,0.18,0.41,19
M,0.55,0.46,0.16,0.90,0.34,0.17,0.35,10
F,0.64,0.51,0.17,1.42,0.61,0.30,0.37,15
F,0.59,0.48,0.16,1.10,0.48,0.26,0.30,13
F,0.54,0.48,0.16,0.93,0.39,0.19,0.26,11
F,0.57,0.44,0.13,0.87,0.37,0.17,0.27,12
M,0.53,0.42,0.17,0.89,0.32,0.24,0.25,11
I,0.25,0.20,0.06,0.10,0.04,0.02,0.03,4
M,0.27,0.20,0.08,0.12,0.05,0.03,0.04,6
F,0.46,0.38,0.13,0.64,0.30,0.15,0.16,11
M,0.52,0.45,0.15,0.90,0.36,0.19,0.24,14
M,0.35,0.28,0.11,0.29,0.12,0.06,0.09,8
M,0.47,0.39,0.15,0.64,0.22,0.09,0.26,9
F,0.45,0.36,0.13,0.50,0.20,0.10,0.17,13
F,0.64,0.53,0.22,1.78,0.45,0.29,0.55,22
M,0.59,0.50,0.20,1.19,0.41,0.27,0.37,16
M,0.62,0.49,0.21,1.22,0.39,0.25,0.39,14
M,0.63,0.51,0.23,1.53,0.56,0.33,0.45,15
M,0.63,0.52,0.16,1.26,0.41,0.20,0.41,13
M,0.66,0.54,0.22,1.84,0.74,0.33,0.59,22
F,0.66,0.53,0.19,1.35,0.49,0.25,0.49,12
M,0.61,0.50,0.24,1.64,0.53,0.33,0.69,18
M,0.64,0.53,0.21,1.48,0.55,0.31,0.43,20
F,0.52,0.43,0.14,0.71,0.27,0.16,0.25,11
F,0.54,0.42,0.19,0.84,0.31,0.16,0.30,15
I,0.36,0.29,0.11,0.24,0.09,0.06,0.08,7
F,0.46,0.36,0.12,0.45,0.18,0.10,0.15,9
M,0.49,0.40,0.14,0.63,0.23,0.13,0.23,14
M,0.52,0.38,0.18,0.96,0.33,0.16,0.31,14
F,0.54,0.42,0.17,0.88,0.30,0.20,0.29,10
M,0.53,0.44,0.16,0.70,0.29,0.16,0.21,10
F,0.50,0.40,0.16,0.64,0.24,0.13,0.21,17
M,0.44,0.36,0.13,0.48,0.13,0.08,0.19,9
F,0.54,0.44,0.16,0.81,0.32,0.18,0.24,10
M,0.54,0.44,0.18,1.00,0.38,0.23,0.33,17
F,0.57,0.51,0.21,1.28,0.50,0.28,0.36,12
M,0.61,0.48,0.17,1.12,0.43,0.22,0.32,15
F,0.57,0.46,0.18,1.01,0.34,0.21,0.35,19
M,0.60,0.50,0.20,1.06,0.38,0.19,0.38,26
I,0.30,0.22,0.09,0.13,0.05,0.03,0.04,6
I,0.28,0.21,0.08,0.11,0.05,0.03,0.04,6
I,0.28,0.21,0.09,0.11,0.04,0.03,0.03,4
M,0.49,0.40,0.14,0.55,0.22,0.13,0.15,11
M,0.37,0.28,0.11,0.23,0.09,0.06,0.08,9
F,0.41,0.31,0.10,0.35,0.15,0.09,0.10,9
F,0.54,0.44,0.18,0.89,0.32,0.17,0.34,13
M,0.37,0.28,0.10,0.25,0.11,0.06,0.07,8
M,0.36,0.27,0.10,0.22,0.09,0.05,0.07,6
F,0.47,0.36,0.13,0.47,0.18,0.11,0.15,10
I,0.20,0.15,0.06,0.04,0.01,0.01,0.01,4
I,0.17,0.12,0.03,0.02,0.01,0.01,0.01,3
M,0.65,0.52,0.24,1.54,0.47,0.37,0.54,13
M,0.55,0.41,0.13,0.76,0.25,0.16,0.20,14
M,0.57,0.44,0.15,0.91,0.39,0.24,0.28,10
F,0.63,0.49,0.19,1.24,0.46,0.31,0.39,21
M,0.56,0.44,0.14,0.97,0.44,0.20,0.27,14
M,0.60,0.46,0.20,1.33,0.46,0.32,0.35,19
F,0.62,0.47,0.20,1.23,0.38,0.27,0.44,23
M,0.63,0.49,0.18,1.30,0.43,0.29,0.46,23
I,0.45,0.36,0.11,0.46,0.19,0.07,0.14,8
F,0.64,0.54,0.19,1.24,0.58,0.25,0.39,14
M,0.45,0.35,0.10,0.37,0.15,0.10,0.12,10
F,0.58,0.46,0.16,0.84,0.32,0.14,0.32,18
I,0.33,0.26,0.10,0.17,0.07,0.03,0.06,6
I,0.27,0.21,0.06,0.10,0.04,0.02,0.03,5
I,0.19,0.15,0.04,0.04,0.02,0.01,0.02,4
M,0.39,0.31,0.10,0.28,0.11,0.08,0.10,11
I,0.27,0.21,0.07,0.11,0.04,0.04,0.04,5
M,0.34,0.27,0.11,0.22,0.09,0.06,0.08,7
I,0.36,0.28,0.09,0.25,0.10,0.05,0.08,7
I,0.32,0.26,0.10,0.18,0.07,0.04,0.07,7
M,0.51,0.40,0.13,0.64,0.27,0.17,0.21,12
M,0.36,0.30,0.11,0.24,0.09,0.05,0.10,8
I,0.36,0.28,0.09,0.23,0.09,0.04,0.09,8
M,0.50,0.38,0.16,0.60,0.21,0.16,0.20,12
F,0.40,0.33,0.12,0.32,0.13,0.06,0.10,8
I,0.30,0.22,0.08,0.12,0.05,0.04,0.04,5
I,0.24,0.18,0.04,0.07,0.03,0.02,0.02,5
F,0.74,0.60,0.20,1.97,0.60,0.41,0.71,16
M,0.62,0.47,0.19,1.34,0.57,0.32,0.36,11
M,0.60,0.48,0.19,1.09,0.40,0.27,0.33,14
M,0.59,0.45,0.19,1.28,0.47,0.28,0.43,16
M,0.62,0.48,0.19,1.33,0.60,0.33,0.33,13
F,0.57,0.45,0.20,1.00,0.41,0.25,0.29,15
M,0.58,0.46,0.15,1.17,0.58,0.23,0.30,14
F,0.62,0.51,0.21,1.35,0.48,0.26,0.48,14
M,0.62,0.47,0.19,1.27,0.58,0.31,0.32,12
F,0.51,0.38,0.18,0.57,0.23,0.15,0.17,12
F,0.46,0.43,0.16,0.75,0.30,0.15,0.24,8
M,0.49,0.39,0.14,0.71,0.28,0.22,0.18,13
F,0.53,0.42,0.16,0.76,0.27,0.17,0.28,9
I,0.34,0.26,0.08,0.20,0.08,0.06,0.06,6
I,0.38,0.31,0.12,0.27,0.09,0.07,0.09,8
M,0.61,0.48,0.15,1.20,0.56,0.25,0.28,14
F,0.61,0.50,0.19,1.15,0.54,0.29,0.25,8
F,0.59,0.45,0.17,0.87,0.33,0.16,0.27,22
M,0.57,0.46,0.14,0.95,0.45,0.21,0.25,12
M,0.58,0.46,0.17,0.93,0.41,0.26,0.22,9
M,0.64,0.52,0.17,1.28,0.51,0.29,0.34,16
M,0.70,0.58,0.21,2.13,0.74,0.49,0.58,20
M,0.68,0.53,0.19,1.59,0.69,0.34,0.40,13
F,0.65,0.53,0.19,1.81,0.70,0.39,0.40,18
M,0.75,0.59,0.22,2.50,0.93,0.47,0.70,17
F,0.69,0.55,0.18,1.77,0.75,0.39,0.49,16
M,0.61,0.49,0.18,1.23,0.48,0.29,0.35,18
F,0.59,0.47,0.15,1.00,0.39,0.25,0.34,12
F,0.65,0.53,0.18,1.42,0.61,0.30,0.45,20
F,0.60,0.48,0.15,1.03,0.41,0.27,0.30,16
F,0.62,0.50,0.18,1.19,0.50,0.30,0.35,12
M,0.63,0.52,0.16,1.02,0.42,0.24,0.36,19
M,0.58,0.47,0.15,0.89,0.44,0.17,0.27,11
F,0.58,0.46,0.12,1.07,0.48,0.27,0.27,10
M,0.63,0.49,0.18,1.13,0.46,0.28,0.32,12
F,0.69,0.56,0.22,1.72,0.68,0.30,0.47,17
F,0.65,0.55,0.17,1.57,0.66,0.35,0.42,16
F,0.66,0.57,0.20,1.76,0.69,0.33,0.50,16
F,0.68,0.58,0.20,1.79,0.59,0.45,0.60,19
F,0.70,0.58,0.17,1.31,0.51,0.31,0.42,14
M,0.69,0.52,0.15,1.34,0.46,0.29,0.40,13
F,0.68,0.55,0.20,1.73,0.68,0.37,0.61,20
M,0.63,0.49,0.19,1.18,0.49,0.34,0.29,11
F,0.59,0.45,0.16,1.08,0.50,0.29,0.25,10
M,0.57,0.47,0.18,1.00,0.39,0.18,0.37,15
F,0.61,0.50,0.19,1.11,0.37,0.31,0.33,12
M,0.61,0.47,0.18,1.14,0.38,0.28,0.39,15
M,0.54,0.42,0.15,0.79,0.33,0.19,0.25,10
M,0.49,0.40,0.14,0.66,0.31,0.14,0.20,10
M,0.47,0.38,0.12,0.56,0.23,0.12,0.20,12
M,0.55,0.43,0.14,0.84,0.37,0.21,0.24,10
F,0.46,0.37,0.11,0.49,0.22,0.12,0.14,9
M,0.54,0.42,0.16,0.74,0.35,0.15,0.22,12
M,0.46,0.38,0.14,0.48,0.21,0.12,0.15,10
M,0.49,0.42,0.13,0.61,0.24,0.14,0.22,14
I,0.47,0.38,0.12,0.47,0.22,0.12,0.14,9
I,0.42,0.33,0.10,0.32,0.15,0.06,0.11,10
M,0.48,0.38,0.13,0.59,0.28,0.12,0.18,10
F,0.47,0.38,0.13,0.56,0.25,0.14,0.18,10
I,0.37,0.30,0.10,0.25,0.11,0.05,0.08,9
I,0.35,0.28,0.10,0.20,0.08,0.05,0.07,6
I,0.39,0.31,0.10,0.30,0.12,0.06,0.12,11
F,0.50,0.40,0.14,0.72,0.32,0.18,0.24,10
M,0.47,0.38,0.15,0.59,0.24,0.14,0.19,8
M,0.54,0.44,0.15,0.68,0.26,0.14,0.26,12
M,0.59,0.46,0.15,0.99,0.44,0.21,0.31,11
F,0.49,0.37,0.12,0.59,0.27,0.13,0.18,9
M,0.52,0.46,0.14,0.72,0.30,0.16,0.24,9
F,0.44,0.33,0.11,0.43,0.18,0.10,0.16,7
F,0.52,0.42,0.14,0.69,0.31,0.15,0.20,10
I,0.44,0.35,0.12,0.37,0.17,0.08,0.11,7
F,0.53,0.44,0.15,0.84,0.37,0.20,0.24,12
M,0.45,0.36,0.12,0.48,0.21,0.10,0.15,8
M,0.59,0.49,0.12,0.91,0.39,0.18,0.29,16
M,0.56,0.45,0.15,0.92,0.40,0.25,0.29,11
M,0.57,0.44,0.10,0.83,0.34,0.22,0.24,8
M,0.59,0.50,0.17,1.10,0.46,0.24,0.34,15
M,0.59,0.48,0.12,0.95,0.41,0.21,0.28,14
F,0.58,0.46,0.12,0.99,0.46,0.24,0.28,11
M,0.55,0.44,0.12,0.86,0.35,0.17,0.24,12
F,0.61,0.50,0.17,1.24,0.53,0.25,0.39,14
F,0.62,0.47,0.14,1.03,0.36,0.22,0.36,15
F,0.63,0.50,0.17,1.31,0.56,0.27,0.40,20
M,0.63,0.52,0.17,1.35,0.49,0.35,0.45,20
F,0.63,0.50,0.16,1.01,0.37,0.20,0.36,16
M,0.55,0.41,0.14,0.63,0.22,0.16,0.24,13
F,0.67,0.54,0.17,1.50,0.52,0.36,0.51,14
I,0.49,0.38,0.12,0.53,0.22,0.14,0.16,11
F,0.49,0.39,0.14,0.58,0.25,0.12,0.20,13
I,0.29,0.23,0.07,0.10,0.04,0.02,0.04,8
I,0.26,0.20,0.07,0.09,0.04,0.02,0.03,6
M,0.58,0.45,0.18,1.07,0.43,0.20,0.32,13
F,0.61,0.49,0.17,1.09,0.39,0.24,0.33,18
M,0.60,0.50,0.16,1.02,0.40,0.17,0.33,19
F,0.56,0.46,0.13,0.94,0.34,0.13,0.38,21
F,0.58,0.45,0.17,1.05,0.38,0.17,0.39,18
F,0.57,0.45,0.18,0.96,0.38,0.17,0.30,18
M,0.60,0.47,0.16,1.04,0.44,0.20,0.33,20
M,0.57,0.46,0.17,0.91,0.34,0.16,0.32,18
M,0.55,0.42,0.14,0.75,0.25,0.13,0.26,22
