Buying Price,Maintenance Cost,Number Of Doors,Number of Passengers,Boot Size,Safety Rating,Car Acceptability
Very High,Very High,4,4,Big,High,Unacceptable
Very High,Very High,4,More,Small,Low,Unacceptable
Very High,Very High,4,More,Small,Medium,Unacceptable
Very High,Very High,4,More,Small,High,Unacceptable
Very High,Very High,4,More,Medium,Low,Unacceptable
Very High,Very High,4,More,Medium,Medium,Unacceptable
Very High,Very High,4,More,Medium,High,Unacceptable
Very High,Very High,4,More,Big,Low,Unacceptable
Very High,Very High,4,More,Big,Medium,Unacceptable
Very High,Very High,4,More,Big,High,Unacceptable
Very High,Very High,5more,2,Small,Low,Unacceptable
Very High,Very High,5more,2,Small,Medium,Unacceptable
Very High,Very High,5more,2,Small,High,Unacceptable
Very High,Very High,5more,2,Medium,Low,Unacceptable
Very High,Very High,5more,2,Medium,Medium,Unacceptable
Very High,Very High,5more,2,Medium,High,Unacceptable
Very High,Very High,5more,2,Big,Low,Unacceptable
Very High,Very High,5more,2,Big,Medium,Unacceptable
Very High,Very High,5more,2,Big,High,Unacceptable
Very High,Very High,5more,4,Small,Low,Unacceptable
Very High,Very High,5more,4,Small,Medium,Unacceptable
Very High,Very High,5more,4,Small,High,Unacceptable
Very High,Very High,5more,4,Medium,Low,Unacceptable
Very High,Very High,5more,4,Medium,Medium,Unacceptable
Very High,Very High,5more,4,Medium,High,Unacceptable
Very High,Very High,5more,4,Big,Low,Unacceptable
Very High,Very High,5more,4,Big,Medium,Unacceptable
Very High,Very High,5more,4,Big,High,Unacceptable
Very High,Very High,5more,More,Small,Low,Unacceptable
Very High,Very High,5more,More,Small,Medium,Unacceptable
Very High,Very High,5more,More,Small,High,Unacceptable
Very High,Very High,5more,More,Medium,Low,Unacceptable
Very High,Very High,5more,More,Medium,Medium,Unacceptable
Very High,Very High,5more,More,Medium,High,Unacceptable
Very High,Very High,5more,More,Big,Low,Unacceptable
Very High,Very High,5more,More,Big,Medium,Unacceptable
Very High,Very High,5more,More,Big,High,Unacceptable
Very High,High,2,2,Small,Low,Unacceptable
Very High,High,2,2,Small,Medium,Unacceptable
Very High,High,2,2,Small,High,Unacceptable
Very High,High,2,2,Medium,Low,Unacceptable
Very High,High,2,2,Medium,Medium,Unacceptable
Very High,High,2,2,Medium,High,Unacceptable
Very High,High,2,2,Big,Low,Unacceptable
Very High,High,2,2,Big,Medium,Unacceptable
Very High,High,2,2,Big,High,Unacceptable
Very High,High,2,4,Small,Low,Unacceptable
Very High,High,2,4,Small,Medium,Unacceptable
Very High,High,2,4,Small,High,Unacceptable
Very High,High,2,4,Medium,Low,Unacceptable
Very High,High,2,4,Medium,Medium,Unacceptable
Very High,High,2,4,Medium,High,Unacceptable
Very High,High,2,4,Big,Low,Unacceptable
Very High,High,2,4,Big,Medium,Unacceptable
Very High,High,2,4,Big,High,Unacceptable
Very High,High,2,More,Small,Low,Unacceptable
Very High,High,2,More,Small,Medium,Unacceptable
Very High,High,2,More,Small,High,Unacceptable
Very High,High,2,More,Medium,Low,Unacceptable
Very High,High,2,More,Medium,Medium,Unacceptable
Very High,High,2,More,Medium,High,Unacceptable
Very High,High,2,More,Big,Low,Unacceptable
Very High,High,2,More,Big,Medium,Unacceptable
Very High,High,2,More,Big,High,Unacceptable
Very High,High,3,2,Small,Low,Unacceptable
Very High,High,3,2,Small,Medium,Unacceptable
Very High,High,3,2,Small,High,Unacceptable
Very High,High,3,2,Medium,Low,Unacceptable
Very High,High,3,2,Medium,Medium,Unacceptable
Very High,High,3,2,Medium,High,Unacceptable
Very High,High,3,2,Big,Low,Unacceptable
Very High,High,3,2,Big,Medium,Unacceptable
Very High,High,3,2,Big,High,Unacceptable
Very High,High,3,4,Small,Low,Unacceptable
Very High,High,3,4,Small,Medium,Unacceptable
Very High,High,3,4,Small,High,Unacceptable
Very High,High,3,4,Medium,Low,Unacceptable
Very High,High,3,4,Medium,Medium,Unacceptable
Very High,High,3,4,Medium,High,Unacceptable
Very High,High,3,4,Big,Low,Unacceptable
Very High,High,3,4,Big,Medium,Unacceptable
Very High,High,3,4,Big,High,Unacceptable
Very High,High,3,More,Small,Low,Unacceptable
Very High,High,3,More,Small,Medium,Unacceptable
Very High,High,3,More,Small,High,Unacceptable
Very High,High,3,More,Medium,Low,Unacceptable
Very High,High,3,More,Medium,Medium,Unacceptable
Very High,High,3,More,Medium,High,Unacceptable
Very High,High,3,More,Big,Low,Unacceptable
Very High,High,3,More,Big,Medium,Unacceptable
Very High,High,3,More,Big,High,Unacceptable
Very High,High,4,2,Small,Low,Unacceptable
Very High,High,4,2,Small,Medium,Unacceptable
Very High,High,4,2,Small,High,Unacceptable
Very High,High,4,2,Medium,Low,Unacceptable
Very High,High,4,2,Medium,Medium,Unacceptable
Very High,High,4,2,Medium,High,Unacceptable
Very High,High,4,2,Big,Low,Unacceptable
Very High,High,4,2,Big,Medium,Unacceptable
Very High,High,4,2,Big,High,Unacceptable
Very High,High,4,4,Small,Low,Unacceptable
Very High,High,4,4,Small,Medium,Unacceptable
Very High,High,4,4,Small,High,Unacceptable
Very High,High,4,4,Medium,Low,Unacceptable
Very High,High,4,4,Medium,Medium,Unacceptable
Very High,High,4,4,Medium,High,Unacceptable
Very High,High,4,4,Big,Low,Unacceptable
Very High,High,4,4,Big,Medium,Unacceptable
Very High,High,4,4,Big,High,Unacceptable
Very High,High,4,More,Small,Low,Unacceptable
Very High,High,4,More,Small,Medium,Unacceptable
Very High,High,4,More,Small,High,Unacceptable
Very High,High,4,More,Medium,Low,Unacceptable
Very High,High,4,More,Medium,Medium,Unacceptable
Very High,High,4,More,Medium,High,Unacceptable
Very High,High,4,More,Big,Low,Unacceptable
Very High,High,4,More,Big,Medium,Unacceptable
Very High,High,4,More,Big,High,Unacceptable
Very High,High,5more,2,Small,Low,Unacceptable
Very High,High,5more,2,Small,Medium,Unacceptable
Very High,High,5more,2,Small,High,Unacceptable
Very High,High,5more,2,Medium,Low,Unacceptable
Very High,High,5more,2,Medium,Medium,Unacceptable
Very High,High,5more,2,Medium,High,Unacceptable
Very High,High,5more,2,Big,Low,Unacceptable
Very High,High,5more,2,Big,Medium,Unacceptable
Very High,High,5more,2,Big,High,Unacceptable
Very High,High,5more,4,Small,Low,Unacceptable
Very High,High,5more,4,Small,Medium,Unacceptable
Very High,High,5more,4,Small,High,Unacceptable
Very High,High,5more,4,Medium,Low,Unacceptable
Very High,High,5more,4,Medium,Medium,Unacceptable
Very High,High,5more,4,Medium,High,Unacceptable
Very High,High,5more,4,Big,Low,Unacceptable
Very High,High,5more,4,Big,Medium,Unacceptable
Very High,High,5more,4,Big,High,Unacceptable
Very High,High,5more,More,Small,Low,Unacceptable
Very High,High,5more,More,Small,Medium,Unacceptable
Very High,High,5more,More,Small,High,Unacceptable
Very High,High,5more,More,Medium,Low,Unacceptable
Very High,High,5more,More,Medium,Medium,Unacceptable
Very High,High,5more,More,Medium,High,Unacceptable
Very High,High,5more,More,Big,Low,Unacceptable
Very High,High,5more,More,Big,Medium,Unacceptable
Very High,High,5more,More,Big,High,Unacceptable
Very High,Medium,2,2,Small,Low,Unacceptable
Very High,Medium,2,2,Small,Medium,Unacceptable
Very High,Medium,2,2,Small,High,Unacceptable
Very High,Medium,2,2,Medium,Low,Unacceptable
Very High,Medium,2,2,Medium,Medium,Unacceptable
Very High,Medium,2,2,Medium,High,Unacceptable
Very High,Medium,2,2,Big,Low,Unacceptable
Very High,Medium,2,2,Big,Medium,Unacceptable
Very High,Medium,2,2,Big,High,Unacceptable
Very High,Medium,2,4,Small,Low,Unacceptable
Very High,Medium,2,4,Small,Medium,Unacceptable
Very High,Medium,2,4,Small,High,Acceptable
Very High,Medium,2,4,Medium,Low,Unacceptable
Very High,Medium,2,4,Medium,Medium,Unacceptable
Very High,Medium,2,4,Medium,High,Acceptable
Very High,Medium,2,4,Big,Low,Unacceptable
Very High,Medium,2,4,Big,Medium,Acceptable
Very High,Medium,2,4,Big,High,Acceptable
Very High,Medium,2,More,Small,Low,Unacceptable
Very High,Medium,2,More,Small,Medium,Unacceptable
Very High,Medium,2,More,Small,High,Unacceptable
Very High,Medium,2,More,Medium,Low,Unacceptable
Very High,Medium,2,More,Medium,Medium,Unacceptable
Very High,Medium,2,More,Medium,High,Acceptable
Very High,Medium,2,More,Big,Low,Unacceptable
Very High,Medium,2,More,Big,Medium,Acceptable
Very High,Medium,2,More,Big,High,Acceptable
Very High,Medium,3,2,Small,Low,Unacceptable
Very High,Medium,3,2,Small,Medium,Unacceptable
Very High,Medium,3,2,Small,High,Unacceptable
Very High,Medium,3,2,Medium,Low,Unacceptable
Very High,Medium,3,2,Medium,Medium,Unacceptable
Very High,Medium,3,2,Medium,High,Unacceptable
Very High,Medium,3,2,Big,Low,Unacceptable
Very High,Medium,3,2,Big,Medium,Unacceptable
Very High,Medium,3,2,Big,High,Unacceptable
Very High,Medium,3,4,Small,Low,Unacceptable
Very High,Medium,3,4,Small,Medium,Unacceptable
Very High,Medium,3,4,Small,High,Acceptable
Very High,Medium,3,4,Medium,Low,Unacceptable
Very High,Medium,3,4,Medium,Medium,Unacceptable
Very High,Medium,3,4,Medium,High,Acceptable
Very High,Medium,3,4,Big,Low,Unacceptable
Very High,Medium,3,4,Big,Medium,Acceptable
Very High,Medium,3,4,Big,High,Acceptable
Very High,Medium,3,More,Small,Low,Unacceptable
Very High,Medium,3,More,Small,Medium,Unacceptable
Very High,Medium,3,More,Small,High,Acceptable
Very High,Medium,3,More,Medium,Low,Unacceptable
Very High,Medium,3,More,Medium,Medium,Acceptable
Very High,Medium,3,More,Medium,High,Acceptable
Very High,Medium,3,More,Big,Low,Unacceptable
Very High,Medium,3,More,Big,Medium,Acceptable
Very High,Medium,3,More,Big,High,Acceptable
Very High,Medium,4,2,Small,Low,Unacceptable
Very High,Medium,4,2,Small,Medium,Unacceptable
Very High,Medium,4,2,Small,High,Unacceptable
Very High,Medium,4,2,Medium,Low,Unacceptable
Very High,Medium,4,2,Medium,Medium,Unacceptable
Very High,Medium,4,2,Medium,High,Unacceptable
Very High,Medium,4,2,Big,Low,Unacceptable
Very High,Medium,4,2,Big,Medium,Unacceptable
Very High,Medium,4,2,Big,High,Unacceptable
Very High,Medium,4,4,Small,Low,Unacceptable
Very High,Medium,4,4,Small,Medium,Unacceptable
Very High,Medium,4,4,Small,High,Acceptable
Very High,Medium,4,4,Medium,Low,Unacceptable
Very High,Medium,4,4,Medium,Medium,Acceptable
Very High,Medium,4,4,Medium,High,Acceptable
Very High,Medium,4,4,Big,Low,Unacceptable
Very High,Medium,4,4,Big,Medium,Acceptable
Very High,Medium,4,4,Big,High,Acceptable
Very High,Medium,4,More,Small,Low,Unacceptable
Very High,Medium,4,More,Small,Medium,Unacceptable
Very High,Medium,4,More,Small,High,Acceptable
Very High,Medium,4,More,Medium,Low,Unacceptable
Very High,Medium,4,More,Medium,Medium,Acceptable
Very High,Medium,4,More,Medium,High,Acceptable
Very High,Medium,4,More,Big,Low,Unacceptable
Very High,Medium,4,More,Big,Medium,Acceptable
Very High,Medium,4,More,Big,High,Acceptable
Very High,Medium,5more,2,Small,Low,Unacceptable
Very High,Medium,5more,2,Small,Medium,Unacceptable
Very High,Medium,5more,2,Small,High,Unacceptable
Very High,Medium,5more,2,Medium,Low,Unacceptable
Very High,Medium,5more,2,Medium,Medium,Unacceptable
Very High,Medium,5more,2,Medium,High,Unacceptable
Very High,Medium,5more,2,Big,Low,Unacceptable
Very High,Medium,5more,2,Big,Medium,Unacceptable
Very High,Medium,5more,2,Big,High,Unacceptable
Very High,Medium,5more,4,Small,Low,Unacceptable
Very High,Medium,5more,4,Small,Medium,Unacceptable
Very High,Medium,5more,4,Small,High,Acceptable
Very High,Medium,5more,4,Medium,Low,Unacceptable
Very High,Medium,5more,4,Medium,Medium,Acceptable
Very High,Medium,5more,4,Medium,High,Acceptable
Very High,Medium,5more,4,Big,Low,Unacceptable
Very High,Medium,5more,4,Big,Medium,Acceptable
Very High,Medium,5more,4,Big,High,Acceptable
Very High,Medium,5more,More,Small,Low,Unacceptable
Very High,Medium,5more,More,Small,Medium,Unacceptable
Very High,Medium,5more,More,Small,High,Acceptable
Very High,Medium,5more,More,Medium,Low,Unacceptable
Very High,Medium,5more,More,Medium,Medium,Acceptable
Very High,Medium,5more,More,Medium,High,Acceptable
Very High,Medium,5more,More,Big,Low,Unacceptable
Very High,Medium,5more,More,Big,Medium,Acceptable
Very High,Medium,5more,More,Big,High,Acceptable
Very High,Low,2,2,Small,Low,Unacceptable
Very High,Low,2,2,Small,Medium,Unacceptable
Very High,Low,2,2,Small,High,Unacceptable
Very High,Low,2,2,Medium,Low,Unacceptable
Very High,Low,2,2,Medium,Medium,Unacceptable
Very High,Low,2,2,Medium,High,Unacceptable
Very High,Low,2,2,Big,Low,Unacceptable
Very High,Low,2,2,Big,Medium,Unacceptable
Very High,Low,2,2,Big,High,Unacceptable
Very High,Low,2,4,Small,Low,Unacceptable
Very High,Low,2,4,Small,Medium,Unacceptable
Very High,Low,2,4,Small,High,Acceptable
Very High,Low,2,4,Medium,Low,Unacceptable
Very High,Low,2,4,Medium,Medium,Unacceptable
Very High,Low,2,4,Medium,High,Acceptable
Very High,Low,2,4,Big,Low,Unacceptable
Very High,Low,2,4,Big,Medium,Acceptable
Very High,Low,2,4,Big,High,Acceptable
Very High,Low,2,More,Small,Low,Unacceptable
Very High,Low,2,More,Small,Medium,Unacceptable
Very High,Low,2,More,Small,High,Unacceptable
Very High,Low,2,More,Medium,Low,Unacceptable
Very High,Low,2,More,Medium,Medium,Unacceptable
Very High,Low,2,More,Medium,High,Acceptable
Very High,Low,2,More,Big,Low,Unacceptable
Very High,Low,2,More,Big,Medium,Acceptable
Very High,Low,2,More,Big,High,Acceptable
Very High,Low,3,2,Small,Low,Unacceptable
Very High,Low,3,2,Small,Medium,Unacceptable
Very High,Low,3,2,Small,High,Unacceptable
Very High,Low,3,2,Medium,Low,Unacceptable
Very High,Low,3,2,Medium,Medium,Unacceptable
Very High,Low,3,2,Medium,High,Unacceptable
Very High,Low,3,2,Big,Low,Unacceptable
Very High,Low,3,2,Big,Medium,Unacceptable
Very High,Low,3,2,Big,High,Unacceptable
Very High,Low,3,4,Small,Low,Unacceptable
Very High,Low,3,4,Small,Medium,Unacceptable
Very High,Low,3,4,Small,High,Acceptable
Very High,Low,3,4,Medium,Low,Unacceptable
Very High,Low,3,4,Medium,Medium,Unacceptable
Very High,Low,3,4,Medium,High,Acceptable
Very High,Low,3,4,Big,Low,Unacceptable
Very High,Low,3,4,Big,Medium,Acceptable
Very High,Low,3,4,Big,High,Acceptable
Very High,Low,3,More,Small,Low,Unacceptable
Very High,Low,3,More,Small,Medium,Unacceptable
Very High,Low,3,More,Small,High,Acceptable
Very High,Low,3,More,Medium,Low,Unacceptable
Very High,Low,3,More,Medium,Medium,Acceptable
Very High,Low,3,More,Medium,High,Acceptable
Very High,Low,3,More,Big,Low,Unacceptable
Very High,Low,3,More,Big,Medium,Acceptable
Very High,Low,3,More,Big,High,Acceptable
Very High,Low,4,2,Small,Low,Unacceptable
Very High,Low,4,2,Small,Medium,Unacceptable
Very High,Low,4,2,Small,High,Unacceptable
Very High,Low,4,2,Medium,Low,Unacceptable
Very High,Low,4,2,Medium,Medium,Unacceptable
Very High,Low,4,2,Medium,High,Unacceptable
Very High,Low,4,2,Big,Low,Unacceptable
Very High,Low,4,2,Big,Medium,Unacceptable
Very High,Low,4,2,Big,High,Unacceptable
Very High,Low,4,4,Small,Low,Unacceptable
Very High,Low,4,4,Small,Medium,Unacceptable
Very High,Low,4,4,Small,High,Acceptable
Very High,Low,4,4,Medium,Low,Unacceptable
Very High,Low,4,4,Medium,Medium,Acceptable
Very High,Low,4,4,Medium,High,Acceptable
Very High,Low,4,4,Big,Low,Unacceptable
Very High,Low,4,4,Big,Medium,Acceptable
Very High,Low,4,4,Big,High,Acceptable
Very High,Low,4,More,Small,Low,Unacceptable
Very High,Low,4,More,Small,Medium,Unacceptable
Very High,Low,4,More,Small,High,Acceptable
Very High,Low,4,More,Medium,Low,Unacceptable
Very High,Low,4,More,Medium,Medium,Acceptable
Very High,Low,4,More,Medium,High,Acceptable
Very High,Low,4,More,Big,Low,Unacceptable
Very High,Low,4,More,Big,Medium,Acceptable
Very High,Low,4,More,Big,High,Acceptable
Very High,Low,5more,2,Small,Low,Unacceptable
Very High,Low,5more,2,Small,Medium,Unacceptable
Very High,Low,5more,2,Small,High,Unacceptable
Very High,Low,5more,2,Medium,Low,Unacceptable
Very High,Low,5more,2,Medium,Medium,Unacceptable
Very High,Low,5more,2,Medium,High,Unacceptable
Very High,Low,5more,2,Big,Low,Unacceptable
Very High,Low,5more,2,Big,Medium,Unacceptable
Very High,Low,5more,2,Big,High,Unacceptable
Very High,Low,5more,4,Small,Low,Unacceptable
Very High,Low,5more,4,Small,Medium,Unacceptable
Very High,Low,5more,4,Small,High,Acceptable
Very High,Low,5more,4,Medium,Low,Unacceptable
Very High,Low,5more,4,Medium,Medium,Acceptable
Very High,Low,5more,4,Medium,High,Acceptable
Very High,Low,5more,4,Big,Low,Unacceptable
Very High,Low,5more,4,Big,Medium,Acceptable
Very High,Low,5more,4,Big,High,Acceptable
Very High,Low,5more,More,Small,Low,Unacceptable
Very High,Low,5more,More,Small,Medium,Unacceptable
Very High,Low,5more,More,Small,High,Acceptable
Very High,Low,5more,More,Medium,Low,Unacceptable
Very High,Low,5more,More,Medium,Medium,Acceptable
Very High,Low,5more,More,Medium,High,Acceptable
Very High,Low,5more,More,Big,Low,Unacceptable
Very High,Low,5more,More,Big,Medium,Acceptable
Very High,Low,5more,More,Big,High,Acceptable
High,Very High,2,2,Small,Low,Unacceptable
High,Very High,2,2,Small,Medium,Unacceptable
High,Very High,2,2,Small,High,Unacceptable
High,Very High,2,2,Medium,Low,Unacceptable
High,Very High,2,2,Medium,Medium,Unacceptable
High,Very High,2,2,Medium,High,Unacceptable
High,Very High,2,2,Big,Low,Unacceptable
High,Very High,2,2,Big,Medium,Unacceptable
High,Very High,2,2,Big,High,Unacceptable
High,Very High,2,4,Small,Low,Unacceptable
High,Very High,2,4,Small,Medium,Unacceptable
High,Very High,2,4,Small,High,Unacceptable
High,Very High,2,4,Medium,Low,Unacceptable
High,Very High,2,4,Medium,Medium,Unacceptable
High,Very High,2,4,Medium,High,Unacceptable
High,Very High,2,4,Big,Low,Unacceptable
High,Very High,2,4,Big,Medium,Unacceptable
High,Very High,2,4,Big,High,Unacceptable
High,Very High,2,More,Small,Low,Unacceptable
High,Very High,2,More,Small,Medium,Unacceptable
High,Very High,2,More,Small,High,Unacceptable
High,Very High,2,More,Medium,Low,Unacceptable
High,Very High,2,More,Medium,Medium,Unacceptable
High,Very High,2,More,Medium,High,Unacceptable
High,Very High,2,More,Big,Low,Unacceptable
High,Very High,2,More,Big,Medium,Unacceptable
High,Very High,2,More,Big,High,Unacceptable
High,Very High,3,2,Small,Low,Unacceptable
High,Very High,3,2,Small,Medium,Unacceptable
High,Very High,3,2,Small,High,Unacceptable
High,Very High,3,2,Medium,Low,Unacceptable
High,Very High,3,2,Medium,Medium,Unacceptable
High,Very High,3,2,Medium,High,Unacceptable
High,Very High,3,2,Big,Low,Unacceptable
High,Very High,3,2,Big,Medium,Unacceptable
High,Very High,3,2,Big,High,Unacceptable
High,Very High,3,4,Small,Low,Unacceptable
High,Very High,3,4,Small,Medium,Unacceptable
High,Very High,3,4,Small,High,Unacceptable
High,Very High,3,4,Medium,Low,Unacceptable
High,Very High,3,4,Medium,Medium,Unacceptable
High,Very High,3,4,Medium,High,Unacceptable
High,Very High,3,4,Big,Low,Unacceptable
High,Very High,3,4,Big,Medium,Unacceptable
High,Very High,3,4,Big,High,Unacceptable
High,Very High,3,More,Small,Low,Unacceptable
High,Very High,3,More,Small,Medium,Unacceptable
High,Very High,3,More,Small,High,Unacceptable
High,Very High,3,More,Medium,Low,Unacceptable
High,Very High,3,More,Medium,Medium,Unacceptable
High,Very High,3,More,Medium,High,Unacceptable
High,Very High,3,More,Big,Low,Unacceptable
High,Very High,3,More,Big,Medium,Unacceptable
High,Very High,3,More,Big,High,Unacceptable
High,Very High,4,2,Small,Low,Unacceptable
High,Very High,4,2,Small,Medium,Unacceptable
High,Very High,4,2,Small,High,Unacceptable
High,Very High,4,2,Medium,Low,Unacceptable
High,Very High,4,2,Medium,Medium,Unacceptable
High,Very High,4,2,Medium,High,Unacceptable
High,Very High,4,2,Big,Low,Unacceptable
High,Very High,4,2,Big,Medium,Unacceptable
High,Very High,4,2,Big,High,Unacceptable
High,Very High,4,4,Small,Low,Unacceptable
High,Very High,4,4,Small,Medium,Unacceptable
High,Very High,4,4,Small,High,Unacceptable
High,Very High,4,4,Medium,Low,Unacceptable
High,Very High,4,4,Medium,Medium,Unacceptable
High,Very High,4,4,Medium,High,Unacceptable
High,Very High,4,4,Big,Low,Unacceptable
High,Very High,4,4,Big,Medium,Unacceptable
High,Very High,4,4,Big,High,Unacceptable
High,Very High,4,More,Small,Low,Unacceptable
High,Very High,4,More,Small,Medium,Unacceptable
High,Very High,4,More,Small,High,Unacceptable
High,Very High,4,More,Medium,Low,Unacceptable
High,Very High,4,More,Medium,Medium,Unacceptable
High,Very High,4,More,Medium,High,Unacceptable
High,Very High,4,More,Big,Low,Unacceptable
High,Very High,4,More,Big,Medium,Unacceptable
High,Very High,4,More,Big,High,Unacceptable
High,Very High,5more,2,Small,Low,Unacceptable
High,Very High,5more,2,Small,Medium,Unacceptable
High,Very High,5more,2,Small,High,Unacceptable
High,Very High,5more,2,Medium,Low,Unacceptable
High,Very High,5more,2,Medium,Medium,Unacceptable
High,Very High,5more,2,Medium,High,Unacceptable
High,Very High,5more,2,Big,Low,Unacceptable
High,Very High,5more,2,Big,Medium,Unacceptable
High,Very High,5more,2,Big,High,Unacceptable
High,Very High,5more,4,Small,Low,Unacceptable
High,Very High,5more,4,Small,Medium,Unacceptable
High,Very High,5more,4,Small,High,Unacceptable
High,Very High,5more,4,Medium,Low,Unacceptable
High,Very High,5more,4,Medium,Medium,Unacceptable
High,Very High,5more,4,Medium,High,Unacceptable
High,Very High,5more,4,Big,Low,Unacceptable
High,Very High,5more,4,Big,Medium,Unacceptable
High,Very High,5more,4,Big,High,Unacceptable
High,Very High,5more,More,Small,Low,Unacceptable
High,Very High,5more,More,Small,Medium,Unacceptable
High,Very High,5more,More,Small,High,Unacceptable
High,Very High,5more,More,Medium,Low,Unacceptable
High,Very High,5more,More,Medium,Medium,Unacceptable
High,Very High,5more,More,Medium,High,Unacceptable
High,Very High,5more,More,Big,Low,Unacceptable
High,Very High,5more,More,Big,Medium,Unacceptable
High,Very High,5more,More,Big,High,Unacceptable
High,High,2,2,Small,Low,Unacceptable
High,High,2,2,Small,Medium,Unacceptable
High,High,2,2,Small,High,Unacceptable
High,High,2,2,Medium,Low,Unacceptable
High,High,2,2,Medium,Medium,Unacceptable
High,High,2,2,Medium,High,Unacceptable
High,High,2,2,Big,Low,Unacceptable
High,High,2,2,Big,Medium,Unacceptable
High,High,2,2,Big,High,Unacceptable
High,High,2,4,Small,Low,Unacceptable
High,High,2,4,Small,Medium,Unacceptable
High,High,2,4,Small,High,Acceptable
High,High,2,4,Medium,Low,Unacceptable
High,High,2,4,Medium,Medium,Unacceptable
High,High,2,4,Medium,High,Acceptable
High,High,2,4,Big,Low,Unacceptable
High,High,2,4,Big,Medium,Acceptable
High,High,2,4,Big,High,Acceptable
High,High,2,More,Small,Low,Unacceptable
High,High,2,More,Small,Medium,Unacceptable
High,High,2,More,Small,High,Unacceptable
High,High,2,More,Medium,Low,Unacceptable
High,High,2,More,Medium,Medium,Unacceptable
High,High,2,More,Medium,High,Acceptable
High,High,2,More,Big,Low,Unacceptable
High,High,2,More,Big,Medium,Acceptable
High,High,2,More,Big,High,Acceptable
High,High,3,2,Small,Low,Unacceptable
High,High,3,2,Small,Medium,Unacceptable
High,High,3,2,Small,High,Unacceptable
High,High,3,2,Medium,Low,Unacceptable
High,High,3,2,Medium,Medium,Unacceptable
High,High,3,2,Medium,High,Unacceptable
