activity,free time,personality,element,school minutes,make build,meet people,club
[science thing],79,Keep to myself,Water,40,Disagree,Agree,Hiking Club
Draw a picture or doodle,167,Hang out with others,Earth,10,Agree,Strongly Agree,Art Club
[science thing],145,Keep to myself,Earth,34,Neutral,Strongly Disagree,Band Club
[science thing],49,Hang out with others,Metal,30,Agree,Strongly Disagree,Band Club
Draw a picture or doodle,77,Keep to myself,Earth,24,Disagree,Strongly Disagree,Band Club
[science thing],45,Hang out with others,Wind,47,Disagree,Agree,Band Club
Go for a walk,22,Keep to myself,Metal,49,Agree,Neutral,Band Club
Go for a walk,138,Keep to myself,Water,51,Strongly Agree,Neutral,Band Club
[science thing],100,Keep to myself,Metal,14,Disagree,Strongly Agree,Science and Technology Club
Draw a picture or doodle,63,Keep to myself,Water,47,Agree,Neutral,Band Club
[science thing],29,Hang out with others,Fire,21,Strongly Disagree,Disagree,Band Club
[science thing],83,Hang out with others,Wind,31,Agree,Neutral,Science and Technology Club
[science thing],109,Hang out with others,Wind,17,Neutral,Strongly Agree,Band Club
Go for a walk,52,Hang out with others,Metal,46,Disagree,Disagree,Band Club
Draw a picture or doodle,171,Keep to myself,Water,15,Strongly Agree,Disagree,Band Club
Cook something from a new recipe,43,Hang out with others,Fire,57,Neutral,Agree,Band Club
Draw a picture or doodle,85,Keep to myself,Metal,17,Strongly Agree,Disagree,Hiking Club
Go for a walk,67,Keep to myself,Wind,5,Strongly Agree,Neutral,Band Club
Go for a walk,81,Keep to myself,Earth,17,Strongly Agree,Neutral,Band Club
Cook something from a new recipe,148,Hang out with others,Metal,48,Neutral,Disagree,Band Club
Cook something from a new recipe,84,Keep to myself,Water,57,Agree,Strongly Agree,Hiking Club
Cook something from a new recipe,95,Hang out with others,Earth,49,Strongly Agree,Strongly Disagree,Band Club
Draw a picture or doodle,106,Keep to myself,Metal,59,Disagree,Agree,Band Club
Play an instrument,146,Keep to myself,Water,32,Neutral,Strongly Agree,Band Club
[science thing],25,Keep to myself,Water,16,Agree,Strongly Agree,Band Club
Cook something from a new recipe,92,Keep to myself,Fire,36,Strongly Disagree,Strongly Agree,World Cultures Club
Draw a picture or doodle,134,Keep to myself,Earth,33,Agree,Agree,Band Club
Go for a walk,87,Keep to myself,Fire,43,Strongly Agree,Strongly Agree,World Cultures Club
Go for a walk,83,Keep to myself,Water,15,Disagree,Agree,Band Club
Go for a walk,175,Hang out with others,Metal,55,Disagree,Neutral,Band Club
Draw a picture or doodle,135,Hang out with others,Water,24,Agree,Strongly Agree,Band Club
Draw a picture or doodle,146,Keep to myself,Fire,19,Disagree,Strongly Disagree,Band Club
Go for a walk,173,Keep to myself,Metal,22,Disagree,Disagree,Band Club
Go for a walk,170,Keep to myself,Metal,22,Strongly Agree,Strongly Agree,Band Club
Cook something from a new recipe,144,Keep to myself,Earth,41,Strongly Disagree,Agree,Band Club
Play an instrument,70,Keep to myself,Wind,24,Strongly Agree,Strongly Agree,Band Club
Go for a walk,24,Keep to myself,Water,41,Strongly Disagree,Neutral,Band Club
Go for a walk,156,Keep to myself,Fire,56,Disagree,Disagree,Hiking Club
Go for a walk,60,Keep to myself,Fire,20,Strongly Disagree,Neutral,Band Club
Draw a picture or doodle,155,Hang out with others,Earth,45,Strongly Disagree,Disagree,Band Club
Cook something from a new recipe,31,Hang out with others,Earth,20,Neutral,Neutral,Band Club
[science thing],52,Hang out with others,Wind,46,Strongly Disagree,Strongly Agree,Hiking Club
Play an instrument,173,Hang out with others,Water,7,Strongly Agree,Disagree,Band Club
Go for a walk,71,Keep to myself,Fire,34,Agree,Disagree,Band Club
Go for a walk,67,Hang out with others,Metal,7,Strongly Disagree,Disagree,Band Club
Play an instrument,164,Keep to myself,Water,39,Strongly Agree,Strongly Disagree,Band Club
Draw a picture or doodle,87,Hang out with others,Water,40,Agree,Agree,Band Club
Cook something from a new recipe,67,Hang out with others,Fire,44,Neutral,Strongly Agree,Band Club
Go for a walk,138,Hang out with others,Metal,39,Strongly Disagree,Neutral,Band Club
Go for a walk,119,Hang out with others,Wind,19,Strongly Disagree,Neutral,Hiking Club
Play an instrument,180,Keep to myself,Wind,42,Strongly Disagree,Neutral,Band Club
Go for a walk,46,Keep to myself,Earth,21,Agree,Strongly Agree,Band Club
Play an instrument,134,Hang out with others,Fire,55,Neutral,Disagree,Band Club
[science thing],42,Hang out with others,Fire,40,Neutral,Strongly Disagree,Band Club
Play an instrument,146,Keep to myself,Water,48,Disagree,Strongly Disagree,Band Club
Cook something from a new recipe,88,Hang out with others,Metal,28,Agree,Disagree,Band Club
Cook something from a new recipe,98,Hang out with others,Water,9,Strongly Agree,Disagree,Science and Technology Club
Draw a picture or doodle,130,Keep to myself,Metal,26,Disagree,Strongly Disagree,Band Club
Draw a picture or doodle,92,Hang out with others,Metal,49,Disagree,Neutral,Band Club
Draw a picture or doodle,66,Keep to myself,Water,10,Disagree,Agree,Band Club
Go for a walk,67,Keep to myself,Earth,15,Neutral,Strongly Disagree,Hiking Club
Draw a picture or doodle,29,Hang out with others,Water,15,Strongly Disagree,Disagree,Band Club
Go for a walk,155,Hang out with others,Metal,14,Agree,Agree,Band Club
[science thing],40,Keep to myself,Water,56,Strongly Disagree,Disagree,Band Club
Go for a walk,35,Hang out with others,Fire,20,Agree,Strongly Agree,Band Club
Play an instrument,115,Keep to myself,Earth,40,Disagree,Strongly Agree,Band Club
Go for a walk,124,Keep to myself,Metal,5,Neutral,Neutral,Band Club
Cook something from a new recipe,117,Hang out with others,Earth,33,Strongly Disagree,Strongly Disagree,Science and Technology Club
Play an instrument,113,Keep to myself,Water,20,Disagree,Strongly Disagree,Band Club
Draw a picture or doodle,88,Hang out with others,Metal,37,Disagree,Disagree,Band Club
Go for a walk,133,Hang out with others,Metal,15,Strongly Disagree,Strongly Agree,Band Club
Go for a walk,173,Hang out with others,Water,10,Disagree,Strongly Agree,Band Club
[science thing],62,Hang out with others,Water,57,Strongly Disagree,Disagree,Art Club
Go for a walk,168,Hang out with others,Fire,58,Agree,Agree,Band Club
[science thing],126,Hang out with others,Wind,9,Agree,Agree,Band Club
Play an instrument,108,Keep to myself,Wind,41,Strongly Disagree,Strongly Agree,Band Club
[science thing],29,Keep to myself,Water,30,Disagree,Neutral,Band Club
[science thing],131,Hang out with others,Wind,29,Disagree,Strongly Disagree,Band Club
Go for a walk,130,Keep to myself,Wind,22,Agree,Strongly Agree,Band Club
Cook something from a new recipe,79,Hang out with others,Water,24,Agree,Strongly Disagree,Band Club
Draw a picture or doodle,32,Hang out with others,Fire,51,Disagree,Strongly Agree,Band Club
Go for a walk,142,Keep to myself,Metal,36,Neutral,Neutral,Band Club
Draw a picture or doodle,138,Keep to myself,Wind,24,Disagree,Disagree,Band Club
Cook something from a new recipe,154,Hang out with others,Fire,42,Agree,Neutral,Band Club
Draw a picture or doodle,152,Keep to myself,Metal,40,Disagree,Agree,Band Club
Cook something from a new recipe,135,Keep to myself,Wind,16,Strongly Disagree,Neutral,Band Club
Draw a picture or doodle,35,Hang out with others,Fire,42,Agree,Strongly Disagree,Band Club
Cook something from a new recipe,40,Keep to myself,Earth,7,Strongly Disagree,Strongly Disagree,Band Club
Play an instrument,79,Keep to myself,Wind,49,Disagree,Neutral,Band Club
Play an instrument,125,Hang out with others,Water,41,Agree,Strongly Disagree,Band Club
Go for a walk,139,Hang out with others,Earth,40,Disagree,Strongly Disagree,Band Club
Go for a walk,61,Hang out with others,Metal,26,Agree,Agree,Band Club
[science thing],56,Hang out with others,Earth,6,Strongly Agree,Neutral,Band Club
Draw a picture or doodle,36,Keep to myself,Metal,9,Strongly Agree,Disagree,Band Club
Cook something from a new recipe,23,Keep to myself,Wind,52,Strongly Disagree,Disagree,Band Club
Play an instrument,110,Keep to myself,Fire,29,Strongly Agree,Strongly Disagree,Band Club
[science thing],42,Keep to myself,Metal,26,Strongly Agree,Strongly Disagree,Band Club
Go for a walk,135,Hang out with others,Fire,51,Strongly Agree,Strongly Disagree,Band Club
Go for a walk,131,Hang out with others,Earth,17,Strongly Agree,Strongly Disagree,World Cultures Club
Draw a picture or doodle,179,Hang out with others,Water,10,Agree,Neutral,Band Club
Cook something from a new recipe,126,Hang out with others,Wind,31,Agree,Agree,Science and Technology Club
Play an instrument,47,Hang out with others,Wind,10,Strongly Agree,Strongly Agree,Band Club
[science thing],158,Keep to myself,Earth,34,Agree,Strongly Disagree,Band Club
Go for a walk,75,Hang out with others,Metal,30,Strongly Agree,Agree,Band Club
[science thing],149,Hang out with others,Wind,34,Agree,Disagree,Band Club
[science thing],167,Keep to myself,Fire,36,Strongly Disagree,Strongly Agree,Band Club
Go for a walk,37,Hang out with others,Water,14,Strongly Agree,Neutral,Band Club
[science thing],80,Hang out with others,Wind,50,Neutral,Agree,Band Club
Go for a walk,174,Hang out with others,Earth,16,Neutral,Strongly Agree,Band Club
[science thing],84,Keep to myself,Earth,34,Disagree,Disagree,Band Club
Draw a picture or doodle,60,Keep to myself,Wind,25,Strongly Disagree,Neutral,Band Club
Play an instrument,161,Hang out with others,Water,43,Disagree,Agree,Science and Technology Club
Go for a walk,61,Hang out with others,Fire,59,Agree,Agree,Band Club
Draw a picture or doodle,40,Hang out with others,Fire,36,Neutral,Strongly Agree,Hiking Club
Play an instrument,109,Hang out with others,Wind,14,Strongly Disagree,Neutral,Band Club
Cook something from a new recipe,48,Hang out with others,Fire,17,Neutral,Strongly Agree,Band Club
Cook something from a new recipe,154,Hang out with others,Wind,43,Strongly Disagree,Strongly Disagree,Band Club
Go for a walk,47,Hang out with others,Earth,31,Disagree,Strongly Disagree,Band Club
Play an instrument,109,Hang out with others,Wind,31,Agree,Agree,Band Club
Draw a picture or doodle,114,Keep to myself,Earth,19,Neutral,Strongly Disagree,Science and Technology Club
[science thing],82,Keep to myself,Earth,45,Strongly Agree,Disagree,Band Club
Go for a walk,84,Keep to myself,Wind,58,Strongly Agree,Neutral,Band Club
Cook something from a new recipe,92,Keep to myself,Wind,10,Disagree,Agree,Hiking Club
Draw a picture or doodle,180,Keep to myself,Fire,52,Disagree,Agree,Band Club
Draw a picture or doodle,59,Hang out with others,Wind,34,Disagree,Strongly Disagree,Science and Technology Club
[science thing],119,Hang out with others,Water,58,Strongly Disagree,Disagree,World Cultures Club
Cook something from a new recipe,68,Keep to myself,Fire,40,Disagree,Strongly Agree,Band Club
Play an instrument,92,Keep to myself,Earth,38,Disagree,Disagree,Band Club
Cook something from a new recipe,151,Hang out with others,Metal,27,Agree,Neutral,Band Club
Play an instrument,149,Hang out with others,Fire,28,Neutral,Agree,Band Club
Draw a picture or doodle,26,Keep to myself,Water,56,Agree,Strongly Agree,Hiking Club
Draw a picture or doodle,49,Hang out with others,Metal,15,Neutral,Neutral,Band Club
Play an instrument,169,Hang out with others,Fire,49,Disagree,Agree,Band Club
[science thing],99,Hang out with others,Metal,23,Disagree,Agree,Band Club
Play an instrument,139,Hang out with others,Metal,43,Neutral,Disagree,Band Club
[science thing],144,Hang out with others,Metal,52,Neutral,Strongly Agree,Band Club
Cook something from a new recipe,102,Keep to myself,Fire,39,Strongly Disagree,Neutral,Band Club
[science thing],87,Keep to myself,Wind,45,Agree,Disagree,Band Club
Cook something from a new recipe,62,Keep to myself,Water,47,Agree,Strongly Disagree,World Cultures Club
Cook something from a new recipe,34,Hang out with others,Water,37,Neutral,Neutral,Band Club
[science thing],93,Hang out with others,Metal,29,Disagree,Agree,Band Club
Draw a picture or doodle,155,Hang out with others,Wind,51,Strongly Disagree,Agree,Band Club
Go for a walk,121,Keep to myself,Water,16,Strongly Disagree,Agree,Band Club
[science thing],143,Hang out with others,Fire,59,Strongly Agree,Agree,Band Club
[science thing],152,Hang out with others,Earth,52,Strongly Disagree,Neutral,Band Club
Cook something from a new recipe,113,Hang out with others,Water,55,Disagree,Strongly Agree,Band Club
Cook something from a new recipe,136,Keep to myself,Metal,45,Agree,Strongly Disagree,World Cultures Club
Draw a picture or doodle,131,Keep to myself,Wind,7,Neutral,Strongly Agree,Band Club
[science thing],164,Hang out with others,Earth,41,Strongly Disagree,Strongly Disagree,Band Club
Go for a walk,31,Hang out with others,Fire,37,Agree,Disagree,Band Club
[science thing],87,Hang out with others,Fire,5,Agree,Strongly Agree,Hiking Club
Cook something from a new recipe,132,Hang out with others,Metal,9,Strongly Agree,Strongly Disagree,Band Club
Play an instrument,177,Hang out with others,Wind,16,Neutral,Agree,Band Club
Play an instrument,90,Hang out with others,Water,57,Neutral,Neutral,Hiking Club
Play an instrument,157,Hang out with others,Earth,16,Disagree,Strongly Disagree,Band Club
Draw a picture or doodle,176,Hang out with others,Earth,32,Neutral,Disagree,Science and Technology Club
Cook something from a new recipe,155,Keep to myself,Wind,18,Disagree,Neutral,Band Club
Play an instrument,59,Hang out with others,Wind,48,Strongly Disagree,Neutral,Band Club
Draw a picture or doodle,73,Keep to myself,Earth,46,Agree,Strongly Disagree,World Cultures Club
Play an instrument,51,Hang out with others,Fire,26,Strongly Agree,Neutral,Band Club
Cook something from a new recipe,178,Hang out with others,Earth,19,Neutral,Strongly Disagree,Band Club
Cook something from a new recipe,86,Keep to myself,Water,26,Agree,Neutral,World Cultures Club
Go for a walk,133,Keep to myself,Metal,24,Neutral,Strongly Agree,Band Club
Go for a walk,46,Hang out with others,Fire,31,Neutral,Neutral,Band Club
Go for a walk,158,Hang out with others,Metal,29,Neutral,Strongly Agree,Band Club
[science thing],180,Keep to myself,Water,22,Disagree,Strongly Disagree,Band Club
Play an instrument,127,Hang out with others,Wind,28,Agree,Strongly Agree,Band Club
Cook something from a new recipe,94,Keep to myself,Wind,58,Agree,Strongly Disagree,Band Club
Draw a picture or doodle,93,Hang out with others,Earth,37,Neutral,Agree,Band Club
Draw a picture or doodle,65,Hang out with others,Water,18,Disagree,Strongly Disagree,Band Club
Draw a picture or doodle,102,Keep to myself,Metal,58,Neutral,Strongly Agree,Band Club
Cook something from a new recipe,137,Keep to myself,Metal,34,Strongly Disagree,Disagree,Band Club
Draw a picture or doodle,148,Hang out with others,Earth,50,Strongly Agree,Strongly Disagree,Band Club
Cook something from a new recipe,172,Keep to myself,Earth,10,Neutral,Disagree,Band Club
[science thing],116,Keep to myself,Fire,43,Neutral,Disagree,Science and Technology Club
Go for a walk,22,Hang out with others,Water,17,Neutral,Agree,Band Club
Draw a picture or doodle,59,Hang out with others,Metal,6,Agree,Neutral,Band Club
Cook something from a new recipe,122,Keep to myself,Water,34,Agree,Strongly Agree,Band Club
[science thing],123,Hang out with others,Wind,50,Neutral,Disagree,Band Club
Play an instrument,68,Keep to myself,Earth,19,Strongly Disagree,Disagree,Band Club
Draw a picture or doodle,56,Keep to myself,Earth,33,Neutral,Neutral,Science and Technology Club
Cook something from a new recipe,149,Keep to myself,Water,31,Neutral,Disagree,Band Club
Play an instrument,143,Keep to myself,Metal,34,Strongly Disagree,Agree,Band Club
Play an instrument,35,Keep to myself,Water,35,Agree,Strongly Agree,Art Club
Draw a picture or doodle,155,Hang out with others,Fire,8,Strongly Disagree,Strongly Agree,Band Club
Cook something from a new recipe,97,Keep to myself,Wind,7,Neutral,Neutral,Band Club
[science thing],74,Hang out with others,Fire,56,Strongly Disagree,Strongly Disagree,World Cultures Club
Play an instrument,107,Keep to myself,Water,47,Strongly Disagree,Disagree,Hiking Club
[science thing],171,Keep to myself,Earth,30,Strongly Disagree,Strongly Agree,Band Club
[science thing],73,Hang out with others,Fire,51,Neutral,Neutral,Band Club
[science thing],161,Hang out with others,Metal,31,Agree,Strongly Agree,Band Club
Cook something from a new recipe,124,Keep to myself,Metal,48,Agree,Strongly Disagree,Band Club
Go for a walk,105,Hang out with others,Fire,53,Strongly Agree,Neutral,Band Club
Draw a picture or doodle,138,Hang out with others,Wind,37,Disagree,Disagree,World Cultures Club
Draw a picture or doodle,29,Hang out with others,Metal,38,Strongly Agree,Disagree,Band Club
Cook something from a new recipe,144,Hang out with others,Water,18,Strongly Agree,Strongly Disagree,Band Club
Cook something from a new recipe,138,Hang out with others,Wind,11,Agree,Agree,Band Club
Cook something from a new recipe,90,Hang out with others,Metal,11,Agree,Agree,Band Club
Go for a walk,45,Hang out with others,Fire,24,Strongly Agree,Neutral,Band Club
Draw a picture or doodle,156,Hang out with others,Water,20,Disagree,Strongly Disagree,Art Club
Draw a picture or doodle,175,Hang out with others,Fire,12,Agree,Strongly Disagree,Band Club
Play an instrument,147,Keep to myself,Wind,14,Strongly Disagree,Neutral,Art Club
[science thing],29,Hang out with others,Wind,30,Strongly Disagree,Strongly Disagree,Band Club
Go for a walk,20,Keep to myself,Wind,56,Agree,Strongly Disagree,Band Club
Go for a walk,170,Hang out with others,Fire,31,Disagree,Agree,Band Club
Play an instrument,115,Keep to myself,Metal,57,Agree,Neutral,Band Club
[science thing],42,Keep to myself,Water,33,Disagree,Disagree,Band Club
Play an instrument,94,Keep to myself,Earth,42,Neutral,Disagree,Band Club
Go for a walk,142,Hang out with others,Metal,14,Neutral,Strongly Disagree,Art Club
Cook something from a new recipe,133,Hang out with others,Fire,46,Disagree,Strongly Disagree,Band Club
Go for a walk,107,Keep to myself,Fire,14,Agree,Strongly Disagree,World Cultures Club
Cook something from a new recipe,151,Keep to myself,Water,22,Agree,Strongly Disagree,Band Club
Play an instrument,148,Hang out with others,Metal,23,Strongly Agree,Neutral,Science and Technology Club
Draw a picture or doodle,126,Hang out with others,Metal,30,Disagree,Agree,Band Club
Go for a walk,64,Keep to myself,Wind,52,Agree,Strongly Agree,Band Club
Go for a walk,123,Hang out with others,Wind,17,Strongly Disagree,Strongly Disagree,Band Club
[science thing],41,Hang out with others,Metal,48,Disagree,Agree,Band Club
[science thing],23,Hang out with others,Earth,21,Agree,Disagree,Band Club
[science thing],47,Keep to myself,Fire,47,Strongly Disagree,Strongly Agree,Band Club
[science thing],153,Hang out with others,Metal,57,Agree,Neutral,Art Club
Cook something from a new recipe,22,Hang out with others,Metal,52,Strongly Agree,Agree,Band Club
Cook something from a new recipe,130,Hang out with others,Fire,35,Neutral,Strongly Agree,Band Club
Draw a picture or doodle,163,Hang out with others,Earth,32,Agree,Disagree,Band Club
Go for a walk,176,Keep to myself,Wind,30,Strongly Disagree,Neutral,Art Club
Draw a picture or doodle,36,Keep to myself,Metal,39,Strongly Agree,Agree,Band Club
Cook something from a new recipe,104,Hang out with others,Wind,23,Disagree,Agree,Band Club
Play an instrument,150,Keep to myself,Earth,49,Neutral,Strongly Agree,Band Club
[science thing],45,Keep to myself,Water,50,Agree,Neutral,Band Club
Draw a picture or doodle,180,Hang out with others,Wind,37,Neutral,Strongly Agree,Band Club
Play an instrument,119,Keep to myself,Earth,39,Neutral,Strongly Disagree,Hiking Club
Go for a walk,37,Hang out with others,Earth,11,Strongly Agree,Strongly Disagree,Band Club
Draw a picture or doodle,100,Keep to myself,Earth,40,Strongly Disagree,Agree,Band Club
Go for a walk,84,Keep to myself,Wind,50,Strongly Disagree,Strongly Disagree,Band Club
Go for a walk,136,Hang out with others,Water,10,Disagree,Disagree,Band Club
Play an instrument,165,Hang out with others,Wind,18,Strongly Disagree,Neutral,Band Club
Go for a walk,144,Hang out with others,Wind,52,Strongly Disagree,Agree,Hiking Club
Play an instrument,122,Keep to myself,Fire,40,Neutral,Agree,Band Club
[science thing],137,Keep to myself,Earth,10,Strongly Agree,Strongly Disagree,Band Club
Cook something from a new recipe,103,Hang out with others,Earth,34,Neutral,Disagree,Band Club
Go for a walk,67,Hang out with others,Earth,30,Agree,Strongly Agree,Band Club
[science thing],21,Keep to myself,Metal,24,Disagree,Disagree,Band Club
Cook something from a new recipe,163,Hang out with others,Metal,47,Strongly Agree,Neutral,Band Club
Play an instrument,154,Keep to myself,Water,49,Agree,Agree,Science and Technology Club
Cook something from a new recipe,179,Hang out with others,Wind,51,Strongly Agree,Strongly Agree,Band Club
Cook something from a new recipe,115,Keep to myself,Fire,14,Strongly Agree,Neutral,Band Club
Go for a walk,134,Keep to myself,Earth,47,Agree,Agree,Band Club
Draw a picture or doodle,26,Keep to myself,Metal,21,Disagree,Agree,Band Club
Go for a walk,156,Hang out with others,Metal,31,Strongly Agree,Disagree,Band Club
Go for a walk,163,Hang out with others,Metal,17,Neutral,Strongly Agree,Band Club
[science thing],72,Hang out with others,Wind,46,Agree,Neutral,Band Club
[science thing],53,Keep to myself,Water,15,Disagree,Disagree,Band Club
Draw a picture or doodle,35,Keep to myself,Metal,57,Agree,Strongly Disagree,Band Club
Cook something from a new recipe,44,Hang out with others,Wind,17,Disagree,Neutral,Band Club
Play an instrument,177,Hang out with others,Metal,5,Strongly Disagree,Agree,Band Club
Play an instrument,167,Hang out with others,Water,17,Strongly Agree,Agree,Band Club
Go for a walk,20,Keep to myself,Earth,48,Agree,Agree,Band Club
Go for a walk,21,Hang out with others,Metal,57,Agree,Agree,Band Club
Play an instrument,163,Hang out with others,Earth,49,Agree,Neutral,Band Club
Draw a picture or doodle,178,Keep to myself,Earth,59,Strongly Disagree,Strongly Agree,Band Club
Draw a picture or doodle,137,Hang out with others,Wind,32,Agree,Strongly Disagree,Band Club
Draw a picture or doodle,150,Keep to myself,Wind,16,Agree,Strongly Agree,Band Club
[science thing],71,Keep to myself,Metal,36,Agree,Strongly Disagree,Band Club
[science thing],56,Keep to myself,Water,33,Agree,Disagree,World Cultures Club
Draw a picture or doodle,50,Hang out with others,Fire,43,Strongly Disagree,Strongly Agree,Band Club
Go for a walk,178,Hang out with others,Wind,15,Neutral,Strongly Disagree,Band Club
Play an instrument,55,Keep to myself,Fire,55,Agree,Agree,Band Club
[science thing],128,Hang out with others,Wind,24,Strongly Disagree,Neutral,Band Club
Play an instrument,90,Keep to myself,Earth,19,Strongly Agree,Strongly Disagree,Band Club
Play an instrument,60,Keep to myself,Earth,22,Strongly Agree,Disagree,Art Club
Go for a walk,177,Keep to myself,Earth,22,Neutral,Neutral,Band Club
Cook something from a new recipe,125,Keep to myself,Metal,41,Neutral,Neutral,Band Club
Cook something from a new recipe,34,Hang out with others,Wind,24,Disagree,Strongly Disagree,Band Club
Cook something from a new recipe,98,Keep to myself,Metal,41,Disagree,Neutral,Band Club
Play an instrument,56,Keep to myself,Earth,56,Agree,Strongly Disagree,Art Club
Go for a walk,167,Keep to myself,Metal,20,Disagree,Neutral,Band Club
Draw a picture or doodle,62,Keep to myself,Metal,45,Neutral,Strongly Agree,Band Club
[science thing],91,Hang out with others,Fire,20,Strongly Disagree,Neutral,Band Club
Play an instrument,170,Hang out with others,Fire,46,Disagree,Strongly Agree,Band Club
Draw a picture or doodle,161,Keep to myself,Fire,7,Strongly Disagree,Strongly Disagree,World Cultures Club
Cook something from a new recipe,139,Keep to myself,Metal,34,Strongly Disagree,Strongly Agree,Band Club
[science thing],180,Keep to myself,Earth,7,Disagree,Strongly Disagree,Band Club
Draw a picture or doodle,50,Keep to myself,Metal,39,Neutral,Agree,Band Club
Cook something from a new recipe,138,Hang out with others,Fire,40,Disagree,Strongly Disagree,Band Club
Go for a walk,67,Hang out with others,Metal,44,Agree,Strongly Agree,Band Club
Play an instrument,99,Hang out with others,Water,39,Disagree,Disagree,Band Club
Play an instrument,102,Hang out with others,Metal,19,Neutral,Strongly Disagree,Band Club
Go for a walk,121,Hang out with others,Earth,42,Strongly Agree,Disagree,Band Club
Go for a walk,59,Keep to myself,Water,21,Neutral,Disagree,Science and Technology Club
Draw a picture or doodle,108,Keep to myself,Metal,55,Strongly Disagree,Agree,Band Club
Play an instrument,141,Hang out with others,Fire,40,Neutral,Neutral,Band Club
Go for a walk,158,Hang out with others,Metal,48,Disagree,Strongly Agree,Band Club
Cook something from a new recipe,157,Hang out with others,Metal,28,Disagree,Disagree,Band Club
[science thing],69,Keep to myself,Metal,9,Agree,Disagree,Band Club
Cook something from a new recipe,76,Keep to myself,Wind,26,Strongly Disagree,Neutral,Band Club
Play an instrument,35,Keep to myself,Fire,49,Agree,Disagree,Band Club
Play an instrument,150,Keep to myself,Earth,10,Disagree,Agree,Science and Technology Club
[science thing],148,Keep to myself,Water,15,Strongly Disagree,Strongly Agree,Band Club
Go for a walk,165,Hang out with others,Metal,15,Strongly Agree,Strongly Agree,Band Club
Go for a walk,49,Keep to myself,Fire,14,Neutral,Neutral,Band Club
Play an instrument,162,Keep to myself,Fire,56,Strongly Agree,Strongly Disagree,Band Club
Play an instrument,101,Keep to myself,Fire,20,Strongly Disagree,Disagree,Band Club
Draw a picture or doodle,171,Keep to myself,Wind,40,Agree,Strongly Agree,Science and Technology Club
Go for a walk,81,Keep to myself,Metal,5,Strongly Disagree,Neutral,Band Club
