jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
NEBRASKA,FALSE,2015,5133,FALSE,FALSE,1896190,5212,62,652,994,3283,42495,6422,32072,4001
NEVADA,FALSE,2015,13235,FALSE,FALSE,2890845,20118,178,1238,6287,11965,77137,22360,43426,11351
NEW HAMPSHIRE,FALSE,2015,2661,FALSE,FALSE,1330608,2652,14,461,468,1543,23229,3467,18871,891
NEW JERSEY,FALSE,2015,20294,FALSE,FALSE,8958013,22879,363,1019,9729,11414,145701,27960,105963,11778
NEW MEXICO,FALSE,2015,7104,FALSE,FALSE,2085109,13681,117,1215,2485,9407,77094,17085,51483,8526
NEW YORK,FALSE,2015,51485,FALSE,FALSE,10042802,34852,517,1939,8825,22826,276183,74841,187907,13435
NORTH CAROLINA,FALSE,2015,36888,FALSE,FALSE,756927,1812,21,276,148,1298,16020,2997,11440,1583
NORTH DAKOTA,FALSE,2015,1772,FALSE,FALSE,11613423,33898,500,4154,12554,15695,300525,69303,213993,17229
OHIO,FALSE,2015,52240,FALSE,FALSE,3911338,16506,234,1352,3005,11418,112878,28406,74022,10450
OKLAHOMA,FALSE,2015,27321,FALSE,FALSE,4028977,10468,99,1164,2146,6630,118719,18336,89836,10547
OREGON,FALSE,2015,14655,FALSE,FALSE,12802503,40339,658,3122,13003,22373,232085,39664,180287,12134
PENNSYLVANIA,FALSE,2015,48846,FALSE,FALSE,1056298,2562,29,338,556,1518,20043,3947,14707,1389
RHODE ISLAND,TRUE,2015,2982,FALSE,FALSE,4896146,24700,399,1707,3931,18073,161245,34551,113724,12970
SOUTH CAROLINA,FALSE,2015,20457,FALSE,FALSE,858469,3289,32,441,216,2546,16680,2960,12532,1188
SOUTH DAKOTA,FALSE,2015,3536,FALSE,FALSE,6600299,40400,406,1966,7474,29844,193796,43247,137679,12870
TENNESSEE,FALSE,2015,19800,FALSE,FALSE,27469114,113227,1316,8925,31934,67727,777739,153054,557200,67485
TEXAS,FALSE,2015,152492,FALSE,FALSE,2995919,7071,54,1098,1326,4046,89278,12468,68103,8707
UTAH,FALSE,2015,4831,FALSE,FALSE,626042,739,10,121,101,492,8806,1968,6660,178
VERMONT,TRUE,2015,1750,FALSE,FALSE,8382993,16399,383,1493,4441,9235,156470,21340,127019,8111
VIRGINIA,FALSE,2015,30430,FALSE,FALSE,7170351,20394,211,2193,5449,12029,248369,50993,170509,26867
WASHINGTON,FALSE,2015,17222,FALSE,FALSE,1844128,6231,70,420,760,4729,37251,9170,25842,2239
WEST VIRGINIA,FALSE,2015,5925,FALSE,FALSE,5771337,17647,240,1224,5232,10395,113924,19554,83385,10985
WISCONSIN,FALSE,2015,22914,FALSE,FALSE,586107,1302,16,125,59,1054,11151,1762,8797,592
WYOMING,FALSE,2015,2400,FALSE,FALSE,4860545,25878,407,,4687,18869,143259,34045,97498,11716
ALABAMA,FALSE,2016,23745,FALSE,FALSE,741522,5966,52,,850,4011,24876,4053,17766,3057
ALASKA,TRUE,2016,4378,FALSE,FALSE,6908642,32542,389,,7045,21804,207317,38216,150618,18483
ARIZONA,FALSE,2016,42248,FALSE,FALSE,2988231,16563,217,,2125,12007,98092,23814,67091,7187
ARKANSAS,FALSE,2016,15833,FALSE,FALSE,39296476,174796,1930,,54789,104375,1002070,188304,637010,176756
CALIFORNIA,FALSE,2016,129416,FALSE,FALSE,5530105,19030,189,,3525,11681,152146,23825,108680,19641
COLORADO,FALSE,2016,19486,FALSE,FALSE,3587685,8169,79,,2711,4588,64875,10107,47642,7126
CONNECTICUT,TRUE,2016,15040,FALSE,FALSE,952698,4859,58,,1359,3131,26370,5028,19812,1530
DELAWARE,TRUE,2016,6334,FALSE,FALSE,20656589,88700,1111,,20175,59816,553812,100325,410352,43135
FLORIDA,FALSE,2016,98010,FALSE,FALSE,10313620,40268,682,,12114,24091,307305,62715,218127,26463
GEORGIA,FALSE,2016,53433,FALSE,FALSE,1428683,3452,35,,985,1831,42353,5983,30871,5499
HAWAII,TRUE,2016,5182,FALSE,FALSE,1680026,3876,49,,213,2895,29357,6318,20962,2077
IDAHO,FALSE,2016,7221,FALSE,FALSE,12835726,56054,1061,,17829,32161,263256,48193,195196,19867
ILLINOIS,FALSE,2016,43616,FALSE,FALSE,6634007,26516,431,,7291,16345,168460,33567,120454,14439
INDIANA,FALSE,2016,25143,FALSE,FALSE,3130869,9170,73,,1150,6669,65888,15306,45580,5002
IOWA,FALSE,2016,9049,FALSE,FALSE,2907731,11665,132,,1757,8158,82293,14759,60119,7415
KANSAS,FALSE,2016,9653,FALSE,FALSE,4436113,10452,265,,3371,5068,97713,20932,66833,9948
KENTUCKY,FALSE,2016,11867,FALSE,FALSE,4686157,26477,555,,5575,18528,154511,34689,109492,10330
LOUISIANA,FALSE,2016,15059,FALSE,FALSE,1330232,1649,20,,268,948,21908,4001,17131,776
MAINE,FALSE,2016,2356,FALSE,FALSE,6024752,29019,536,,10815,15841,139716,24832,100995,13889
MARYLAND,FALSE,2016,20236,FALSE,FALSE,6823721,25975,135,,5365,18334,106430,19204,79155,8071
MASSACHUSETTS,FALSE,2016,9038,FALSE,FALSE,9933445,45782,612,,7123,30779,190249,39738,130249,20262
MICHIGAN,FALSE,2016,41122,FALSE,FALSE,5525050,13365,101,,3730,7185,117723,18582,90421,8720
MINNESOTA,FALSE,2016,9509,FALSE,FALSE,2985415,8411,237,,2433,4459,82521,23489,54725,4307
MISSISSIPPI,FALSE,2016,13720,FALSE,FALSE,6091176,31720,538,,6576,22049,170661,31716,120649,18296
MISSOURI,FALSE,2016,32427,FALSE,FALSE,1038656,3886,37,,268,2983,28156,3966,21427,2763
MONTANA,FALSE,2016,3199,FALSE,FALSE,1907603,5661,49,,946,3558,43197,6459,32009,4729
NEBRASKA,FALSE,2016,5167,FALSE,FALSE,2939254,19924,228,,6338,11629,75922,18816,43949,13157
NEVADA,FALSE,2016,13932,FALSE,FALSE,1335015,2668,19,,431,1609,20323,2989,16454,880
NEW HAMPSHIRE,FALSE,2016,2599,FALSE,FALSE,8978416,21861,378,,8940,11089,138012,25229,101459,11324
NEW JERSEY,FALSE,2016,19458,FALSE,FALSE,2085432,14585,139,,2737,10182,81930,17280,52907,11743
NEW MEXICO,FALSE,2016,6996,FALSE,FALSE,19836286,74315,629,,22310,45095,305224,39850,250990,14384
NEW YORK,FALSE,2016,50611,FALSE,FALSE,10156689,37767,678,,9336,24906,277765,72082,190377,15306
NORTH CAROLINA,FALSE,2016,35970,FALSE,FALSE,755548,1905,16,,181,1352,17451,3248,12249,1954
NORTH DAKOTA,FALSE,2016,1639,FALSE,FALSE,11622554,35759,683,,12574,16748,300945,67081,214102,19762
OHIO,FALSE,2016,52172,FALSE,FALSE,3921207,17855,247,,3174,12334,118010,29376,76358,12276
OKLAHOMA,FALSE,2016,26367,FALSE,FALSE,4085989,10983,116,,2307,6776,121716,16919,91507,13290
OREGON,FALSE,2016,14579,FALSE,FALSE,12787085,40389,674,,12314,22942,222394,35178,174147,13069
PENNSYLVANIA,FALSE,2016,48287,FALSE,FALSE,1057566,2529,29,,541,1514,18910,3650,14157,1103
RHODE ISLAND,TRUE,2016,2887,FALSE,FALSE,4959822,25137,358,,4071,18217,161534,33149,114455,13930
SOUTH CAROLINA,FALSE,2016,20376,FALSE,FALSE,861542,3636,28,,274,2808,17207,3002,12705,1500
SOUTH DAKOTA,FALSE,2016,3770,FALSE,FALSE,6649404,42459,495,,7829,31332,191199,40607,135353,15239
TENNESSEE,FALSE,2016,21539,FALSE,FALSE,27904862,121064,1478,,33298,72842,769892,148796,552106,68990
TEXAS,FALSE,2016,151276,FALSE,FALSE,3044321,7406,74,,1528,4244,90561,12938,68261,9362
UTAH,FALSE,2016,4502,FALSE,FALSE,623354,851,14,,78,589,9705,1884,7637,184
VERMONT,TRUE,2016,1735,FALSE,FALSE,8414380,18495,482,,4826,10357,157292,20159,127285,9848
VIRGINIA,FALSE,2016,29882,FALSE,FALSE,7280934,22101,195,,5649,13124,254994,49249,173423,32322
WASHINGTON,FALSE,2016,17228,FALSE,FALSE,1828637,6633,85,,720,5144,37282,9127,25657,2498
WEST VIRGINIA,FALSE,2016,5899,FALSE,FALSE,5772917,17716,232,,4707,10772,111911,19498,82455,9958
WISCONSIN,FALSE,2016,23163,FALSE,FALSE,584910,1431,20,,59,1146,11460,1771,8889,800
