Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
Agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,tried smoking,social drinker,Neutral,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Disagree,i am often early,only to avoid hurting someone,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,few hours a day,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Neutral,16,161,54,1,female,right handed,secondary school,no,village,house/bungalow
Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,never smoked,drink a lot,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,i am always on time,everytime it suits me,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,most of the day,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,23,188,90,0,male,right handed,college/bachelor degree,yes,city,block of flats
Agree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,current smoker,social drinker,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,i am often running late,sometimes,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,few hours a day,Disagree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Disagree,21,180,85,2,male,right handed,secondary school,no,city,block of flats
Strongly Agree,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,tried smoking,social drinker,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Neutral,i am always on time,sometimes,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,few hours a day,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,23,156,56,0,female,right handed,masters degree,yes,city,house/bungalow
Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,tried smoking,never,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,i am always on time,only to avoid hurting someone,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,few hours a day,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,20,172,80,0,female,left handed,secondary school,yes,village,house/bungalow
Strongly Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,never smoked,social drinker,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,i am often running late,sometimes,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,few hours a day,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,20,157,54,1,female,right handed,secondary school,no,city,block of flats
Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,tried smoking,social drinker,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,i am often early,only to avoid hurting someone,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,few hours a day,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,20,163,56,2,female,right handed,secondary school,no,village,house/bungalow
Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,tried smoking,social drinker,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,i am often running late,everytime it suits me,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,most of the day,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,19,177,64,1,female,right handed,primary school,no,city,block of flats
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,never smoked,never,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,i am always on time,only to avoid hurting someone,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,few hours a day,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,15,173,49,3,female,left handed,primary school,no,city,house/bungalow
Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,never smoked,social drinker,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Agree,i am often early,sometimes,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,less than an hour a day,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,20,178,75,1,female,right handed,secondary school,no,village,house/bungalow
Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,former smoker,social drinker,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,i am often early,sometimes,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,few hours a day,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,18,193,103,2,male,right handed,primary school,yes,village,house/bungalow
Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Agree,tried smoking,never,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,i am always on time,sometimes,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly Agree,most of the day,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,15,170,51,1,female,right handed,primary school,no,village,house/bungalow
Strongly Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,tried smoking,social drinker,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Neutral,i am always on time,never,Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,less than an hour a day,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,20,170,50,2,female,right handed,college/bachelor degree,no,city,house/bungalow
Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,former smoker,social drinker,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,i am always on time,only to avoid hurting someone,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,few hours a day,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,16,170,59,1,female,right handed,secondary school,yes,village,house/bungalow
