Year,Day,Month,AverageTemperature,AverageTemperatureUncertainty,Country
2003,1,1,-3.975,0.583,Åland
2003,1,2,-3.673,0.347,Åland
2003,1,3,1.039,0.34,Åland
2003,1,4,1.99,0.338,Åland
2003,1,5,7.992,0.398,Åland
2003,1,6,12.451,0.361,Åland
2003,1,7,18.674,0.442,Åland
2003,1,8,16.504,0.396,Åland
2003,1,9,12.889,0.273,Åland
2003,1,10,5.253,0.434,Åland
2003,1,11,4.65,0.276,Åland
2003,1,12,2.087,0.369,Åland
2004,1,1,-2.322,0.347,Åland
2004,1,2,-1.262,0.236,Åland
2004,1,3,0.101,0.325,Åland
2004,1,4,4.012,0.339,Åland
2004,1,5,7.833,0.254,Åland
2004,1,6,11.613,0.38,Åland
2004,1,7,15.44,0.39,Åland
2004,1,8,17.084,0.321,Åland
2004,1,9,12.82,0.243,Åland
2004,1,10,7.729,0.2,Åland
2004,1,11,2.924,0.215,Åland
2004,1,12,2.252,0.434,Åland
2005,1,1,1.379,0.422,Åland
2005,1,2,-1.899,0.361,Åland
2005,1,3,-3.197,0.45,Åland
2005,1,4,3.61,0.303,Åland
2005,1,5,7.593,0.276,Åland
2005,1,6,11.87,0.303,Åland
2005,1,7,17.572,0.279,Åland
2005,1,8,15.995,0.154,Åland
2005,1,9,12.978,0.215,Åland
2005,1,10,8.719,0.245,Åland
2005,1,11,5.364,0.336,Åland
2005,1,12,0.705,0.342,Åland
2006,1,1,-1.472,0.49,Åland
2006,1,2,-3.087,0.366,Åland
2006,1,3,-4.654,0.435,Åland
2006,1,4,2.654,0.245,Åland
2006,1,5,7.797,0.417,Åland
2006,1,6,13.315,0.357,Åland
2006,1,7,17.601,0.343,Åland
2006,1,8,18.367,0.411,Åland
2006,1,9,14.745,0.248,Åland
2006,1,10,9.554,0.146,Åland
2006,1,11,5.152,0.219,Åland
2006,1,12,5.235,0.509,Åland
2007,1,1,0.594,0.384,Åland
2007,1,2,-4.042,0.338,Åland
2007,1,3,2.443,0.237,Åland
2007,1,4,4.621,0.252,Åland
2007,1,5,8.411,0.288,Åland
2007,1,6,13.723,0.475,Åland
2007,1,7,15.749,0.367,Åland
2007,1,8,16.776,0.275,Åland
2007,1,9,11.785,0.345,Åland
2007,1,10,7.97,0.168,Åland
2007,1,11,3.331,0.18,Åland
2007,1,12,2.987,0.536,Åland
2008,1,1,2.315,0.478,Åland
2008,1,2,2.121,0.399,Åland
2008,1,3,0.783,0.314,Åland
2008,1,4,4.391,0.34,Åland
2008,1,5,8.826,0.354,Åland
2008,1,6,13.706,0.496,Åland
2008,1,7,16.623,0.458,Åland
2008,1,8,15.06,0.382,Åland
2008,1,9,11.082,0.244,Åland
2008,1,10,8.699,0.247,Åland
2008,1,11,4.125,0.169,Åland
2008,1,12,2.176,0.523,Åland
2009,1,1,-0.725,0.381,Åland
2009,1,2,-2.544,0.421,Åland
2009,1,3,-0.099,0.179,Åland
2009,1,4,4.469,0.569,Åland
2009,1,5,9.082,0.375,Åland
2009,1,6,11.67,0.251,Åland
2009,1,7,16.086,0.508,Åland
2009,1,8,16.423,0.245,Åland
2009,1,9,13.177,0.325,Åland
2009,1,10,5.614,0.3,Åland
2009,1,11,5.539,0.422,Åland
2009,1,12,-0.823,0.427,Åland
2010,1,1,-6.416,0.499,Åland
2010,1,2,-6.285,0.234,Åland
2010,1,3,-1.853,0.252,Åland
2010,1,4,2.812,0.325,Åland
2010,1,5,8.07,0.463,Åland
2010,1,6,12.212,0.5,Åland
2010,1,7,19.119,0.565,Åland
2010,1,8,16.512,0.426,Åland
2010,1,9,12.001,0.218,Åland
2010,1,10,6.698,0.259,Åland
2010,1,11,0.79,0.297,Åland
2010,1,12,-5.317,0.736,Åland
2011,1,1,-1.959,0.461,Åland
2011,1,2,-6.39,0.454,Åland
2011,1,3,-0.311,0.249,Åland
2011,1,4,4.804,0.716,Åland
2011,1,5,8.603,0.457,Åland
2011,1,6,14.473,0.327,Åland
2011,1,7,18.003,0.581,Åland
2011,1,8,16.819,0.199,Åland
2011,1,9,13.606,0.201,Åland
2011,1,10,8.583,0.247,Åland
2011,1,11,6.415,0.438,Åland
2011,1,12,3.403,0.7,Åland
2012,1,1,-0.943,0.345,Åland
2012,1,2,-3.454,0.246,Åland
2012,1,3,2.317,0.354,Åland
2012,1,4,2.935,0.399,Åland
2012,1,5,8.434,0.318,Åland
2012,1,6,10.645,0.589,Åland
2012,1,7,16.05,0.445,Åland
2012,1,8,15.605,0.269,Åland
2012,1,9,12.087,0.364,Åland
2012,1,10,7.03,0.495,Åland
2012,1,11,5.478,0.261,Åland
2012,1,12,-3.417,0.384,Åland
2013,1,1,-2.569,0.603,Åland
2013,1,2,-1.782,0.55,Åland
2013,1,3,-4.779,0.698,Åland
2013,1,4,1.701,0.543,Åland
2013,1,5,10.327,0.612,Åland
2013,1,6,14.068,0.423,Åland
2013,1,7,16.447,0.483,Åland
2013,1,8,16.425,0.378,Åland
1995,1,1,2.453,0.362,Afghanistan
1995,1,2,4.007,0.734,Afghanistan
1995,1,3,7.944,0.81,Afghanistan
1995,1,4,14.428,0.535,Afghanistan
1995,1,5,20.442,0.367,Afghanistan
1995,1,6,25.837,0.278,Afghanistan
1995,1,7,28.443,0.331,Afghanistan
1995,1,8,26.718,0.245,Afghanistan
1995,1,9,20.947,0.252,Afghanistan
1995,1,10,14.539,0.3,Afghanistan
1995,1,11,9.973,0.679,Afghanistan
1995,1,12,2.579,0.324,Afghanistan
1996,1,1,0.175,0.254,Afghanistan
1996,1,2,4.337,0.239,Afghanistan
1996,1,3,8.31,0.417,Afghanistan
1996,1,4,14.773,0.471,Afghanistan
1996,1,5,19.42,0.265,Afghanistan
1996,1,6,25.518,0.363,Afghanistan
1996,1,7,27.349,0.727,Afghanistan
1996,1,8,25.278,0.335,Afghanistan
1996,1,9,22.929,0.408,Afghanistan
1996,1,10,14.36,0.242,Afghanistan
1996,1,11,6.762,0.471,Afghanistan
1996,1,12,3.901,0.328,Afghanistan
1997,1,1,2.69,0.521,Afghanistan
1997,1,2,3.628,0.722,Afghanistan
1997,1,3,8.742,0.655,Afghanistan
1997,1,4,14.483,0.965,Afghanistan
1997,1,5,19.142,0.317,Afghanistan
1997,1,6,25.913,0.298,Afghanistan
1997,1,7,28.533,0.41,Afghanistan
1997,1,8,26.241,0.522,Afghanistan
1997,1,9,22.014,0.783,Afghanistan
1997,1,10,16.013,0.385,Afghanistan
1997,1,11,7.921,0.404,Afghanistan
1997,1,12,3.528,0.427,Afghanistan
1998,1,1,2.041,0.48,Afghanistan
1998,1,2,2.711,0.63,Afghanistan
1998,1,3,8.36,0.495,Afghanistan
1998,1,4,16.595,0.358,Afghanistan
1998,1,5,20.524,0.368,Afghanistan
1998,1,6,24.618,0.468,Afghanistan
1998,1,7,27.896,0.315,Afghanistan
1998,1,8,26.656,0.328,Afghanistan
1998,1,9,21.761,0.541,Afghanistan
1998,1,10,14.939,0.477,Afghanistan
1998,1,11,9.698,0.587,Afghanistan
1998,1,12,5.791,0.61,Afghanistan
1999,1,1,1.926,0.4,Afghanistan
1999,1,2,6.497,0.866,Afghanistan
1999,1,3,8.876,0.553,Afghanistan
1999,1,4,15.239,0.57,Afghanistan
1999,1,5,21.186,0.468,Afghanistan
1999,1,6,25.896,0.636,Afghanistan
1999,1,7,27.38,0.347,Afghanistan
1999,1,8,26.625,0.481,Afghanistan
1999,1,9,21.901,0.358,Afghanistan
1999,1,10,15.936,0.306,Afghanistan
1999,1,11,8.932,0.337,Afghanistan
1999,1,12,4.271,0.554,Afghanistan
2000,1,1,2.404,0.496,Afghanistan
2000,1,2,3.155,0.529,Afghanistan
2000,1,3,8.971,0.333,Afghanistan
2000,1,4,18.44,0.522,Afghanistan
2000,1,5,24.14,0.435,Afghanistan
2000,1,6,25.451,0.487,Afghanistan
2000,1,7,27.26,0.507,Afghanistan
2000,1,8,26.416,0.377,Afghanistan
2000,1,9,22.118,0.695,Afghanistan
2000,1,10,15.272,0.44,Afghanistan
2000,1,11,7.952,0.638,Afghanistan
2000,1,12,4.395,0.549,Afghanistan
2001,1,1,0.41,0.547,Afghanistan
2001,1,2,4.211,0.434,Afghanistan
2001,1,3,10.507,0.374,Afghanistan
2001,1,4,17.23,0.572,Afghanistan
2001,1,5,24.108,0.789,Afghanistan
2001,1,6,26.953,0.61,Afghanistan
2001,1,7,27.772,0.501,Afghanistan
2001,1,8,26.059,0.49,Afghanistan
2001,1,9,21.241,0.443,Afghanistan
2001,1,10,15.494,0.594,Afghanistan
2001,1,11,9.815,0.496,Afghanistan
2001,1,12,5.537,0.619,Afghanistan
2002,1,1,2.42,0.609,Afghanistan
2002,1,2,4.582,0.439,Afghanistan
2002,1,3,11.085,0.479,Afghanistan
2002,1,4,15.997,0.403,Afghanistan
2002,1,5,21.918,0.315,Afghanistan
2002,1,6,26.476,0.352,Afghanistan
2002,1,7,27.412,0.369,Afghanistan
2002,1,8,27.011,0.409,Afghanistan
2002,1,9,21.055,0.27,Afghanistan
2002,1,10,16.997,0.378,Afghanistan
2002,1,11,9.369,0.185,Afghanistan
2002,1,12,2.13,1.134,Afghanistan
2003,1,1,3.133,0.369,Afghanistan
2003,1,2,4.854,0.686,Afghanistan
2003,1,3,9.036,0.357,Afghanistan
2003,1,4,15.237,0.38,Afghanistan
2003,1,5,19.064,0.383,Afghanistan
2003,1,6,25.347,0.657,Afghanistan
2003,1,7,27.94,0.423,Afghanistan
2003,1,8,26.19,0.371,Afghanistan
2003,1,9,21.399,0.459,Afghanistan
2003,1,10,15.723,0.539,Afghanistan
2003,1,11,7.776,0.365,Afghanistan
2003,1,12,3.293,0.491,Afghanistan
2004,1,1,3.756,0.363,Afghanistan
2004,1,2,6.56,0.497,Afghanistan
2004,1,3,11.972,0.708,Afghanistan
2004,1,4,15.969,0.383,Afghanistan
2004,1,5,21.942,0.638,Afghanistan
2004,1,6,26.14,0.47,Afghanistan
2004,1,7,27.193,0.458,Afghanistan
2004,1,8,26.404,0.339,Afghanistan
2004,1,9,21.741,0.411,Afghanistan
2004,1,10,13.371,0.604,Afghanistan
2004,1,11,10.859,0.259,Afghanistan
2004,1,12,3.344,0.66,Afghanistan
2005,1,1,0.987,0.56,Afghanistan
2005,1,2,1.822,0.564,Afghanistan
2005,1,3,10.564,0.398,Afghanistan
2005,1,4,15.157,0.301,Afghanistan
2005,1,5,19.294,0.396,Afghanistan
2005,1,6,25.745,0.686,Afghanistan
2005,1,7,28.021,0.651,Afghanistan
2005,1,8,25.897,0.58,Afghanistan
2005,1,9,22.888,0.536,Afghanistan
2005,1,10,15.881,0.594,Afghanistan
2005,1,11,8.432,0.404,Afghanistan
2005,1,12,5.072,0.671,Afghanistan
2006,1,1,-0.166,0.436,Afghanistan
2006,1,2,7.231,0.587,Afghanistan
2006,1,3,10.38,0.463,Afghanistan
2006,1,4,15.446,0.422,Afghanistan
2006,1,5,24.482,0.385,Afghanistan
2006,1,6,26.104,0.373,Afghanistan
2006,1,7,28.161,0.631,Afghanistan
2006,1,8,26.174,0.279,Afghanistan
2006,1,9,20.977,0.608,Afghanistan
2006,1,10,17.814,0.676,Afghanistan
2006,1,11,9.408,0.333,Afghanistan
2006,1,12,1.136,0.666,Afghanistan
2007,1,1,1.215,0.755,Afghanistan
2007,1,2,4.983,0.296,Afghanistan
2007,1,3,8.8,0.377,Afghanistan
2007,1,4,18.114,0.443,Afghanistan
2007,1,5,21.952,0.402,Afghanistan
2007,1,6,26.219,0.263,Afghanistan
2007,1,7,27.365,0.365,Afghanistan
2007,1,8,25.812,0.213,Afghanistan
2007,1,9,21.217,0.333,Afghanistan
2007,1,10,12.843,0.447,Afghanistan
2007,1,11,10.312,0.284,Afghanistan
2007,1,12,2.442,0.575,Afghanistan
2008,1,1,-4.553,1.192,Afghanistan
2008,1,2,1.395,0.919,Afghanistan
2008,1,3,13.506,0.29,Afghanistan
2008,1,4,16.609,0.417,Afghanistan
2008,1,5,23.153,0.512,Afghanistan
2008,1,6,27.629,0.6,Afghanistan
2008,1,7,28.409,0.345,Afghanistan
2008,1,8,26.272,0.375,Afghanistan
2008,1,9,21.966,0.576,Afghanistan
2008,1,10,16.153,0.276,Afghanistan
2008,1,11,8.11,0.362,Afghanistan
2008,1,12,3.949,0.344,Afghanistan
2009,1,1,2.27,0.191,Afghanistan
2009,1,2,5.951,0.384,Afghanistan
2009,1,3,11.294,0.327,Afghanistan
2009,1,4,13.616,0.366,Afghanistan
2009,1,5,21.742,0.465,Afghanistan
2009,1,6,23.906,0.416,Afghanistan
2009,1,7,28.145,0.357,Afghanistan
2009,1,8,27.372,0.411,Afghanistan
2009,1,9,22.164,0.128,Afghanistan
2009,1,10,14.17,0.435,Afghanistan
2009,1,11,8.583,0.219,Afghanistan
2009,1,12,3.88,0.455,Afghanistan
2010,1,1,4.292,0.314,Afghanistan
2010,1,2,4.737,0.68,Afghanistan
2010,1,3,12.901,0.274,Afghanistan
2010,1,4,17.675,0.192,Afghanistan
2010,1,5,22.099,0.296,Afghanistan
2010,1,6,25.92,0.266,Afghanistan
2010,1,7,27.81,0.229,Afghanistan
2010,1,8,26.015,0.17,Afghanistan
2010,1,9,20.482,0.305,Afghanistan
2010,1,10,17.182,0.25,Afghanistan
2010,1,11,8.233,0.317,Afghanistan
2010,1,12,2.598,0.188,Afghanistan
2011,1,1,1.827,0.293,Afghanistan
2011,1,2,3.077,0.425,Afghanistan
2011,1,3,9.708,0.265,Afghanistan
2011,1,4,16.476,0.277,Afghanistan
2011,1,5,24.124,0.382,Afghanistan
2011,1,6,27.823,0.341,Afghanistan
2011,1,7,27.88,0.165,Afghanistan
2011,1,8,27.497,0.373,Afghanistan
2011,1,9,21.966,0.327,Afghanistan
2011,1,10,15.572,0.214,Afghanistan
2011,1,11,8.998,0.317,Afghanistan
2011,1,12,1.268,0.416,Afghanistan
2012,1,1,-0.231,0.432,Afghanistan
2012,1,2,0.235,0.378,Afghanistan
2012,1,3,8.696,0.329,Afghanistan
2012,1,4,16.32,0.385,Afghanistan
2012,1,5,21.179,0.314,Afghanistan
2012,1,6,25.267,0.429,Afghanistan
2012,1,7,28.193,0.434,Afghanistan
2012,1,8,26.549,0.328,Afghanistan
2012,1,9,20.933,0.231,Afghanistan
2012,1,10,15.031,0.36,Afghanistan
2012,1,11,8.7,0.389,Afghanistan
2012,1,12,2.907,0.377,Afghanistan
2013,1,1,2.241,0.516,Afghanistan
2013,1,2,4.253,0.955,Afghanistan
2013,1,3,8.46,1.186,Afghanistan
2013,1,4,14.845,0.398,Afghanistan
2013,1,5,21.355,0.428,Afghanistan
2013,1,6,26.879,0.43,Afghanistan
2013,1,7,28.205,0.303,Afghanistan
2013,1,8,26.031,0.347,Afghanistan
1995,1,1,20.981,0.15,Africa
1995,1,2,22.674,0.224,Africa
1995,1,3,24.59,0.16,Africa
1995,1,4,25.307,0.196,Africa
1995,1,5,26.43,0.17,Africa
1995,1,6,26.395,0.161,Africa
1995,1,7,25.946,0.177,Africa
1995,1,8,26.475,0.199,Africa
1995,1,9,26.653,0.17,Africa
1995,1,10,25.694,0.123,Africa
1995,1,11,23.598,0.177,Africa
1995,1,12,21.878,0.167,Africa
1996,1,1,22.022,0.204,Africa
1996,1,2,23.004,0.22,Africa
1996,1,3,24.539,0.171,Africa
1996,1,4,25.359,0.172,Africa
1996,1,5,26.439,0.191,Africa
1996,1,6,25.756,0.205,Africa
1996,1,7,25.429,0.187,Africa
1996,1,8,26.025,0.206,Africa
1996,1,9,26.336,0.219,Africa
1996,1,10,25.371,0.18,Africa
1996,1,11,23.364,0.147,Africa
1996,1,12,21.97,0.143,Africa
1997,1,1,21.859,0.201,Africa
1997,1,2,22.195,0.168,Africa
1997,1,3,24.208,0.162,Africa
1997,1,4,25.007,0.165,Africa
1997,1,5,25.932,0.185,Africa
1997,1,6,26.375,0.159,Africa
1997,1,7,26.034,0.207,Africa
1997,1,8,26.315,0.212,Africa
1997,1,9,26.828,0.184,Africa
1997,1,10,25.82,0.177,Africa
1997,1,11,24.051,0.152,Africa
1997,1,12,21.858,0.123,Africa
1998,1,1,21.549,0.214,Africa
1998,1,2,23.746,0.152,Africa
1998,1,3,24.571,0.163,Africa
1998,1,4,26.905,0.191,Africa
1998,1,5,26.849,0.207,Africa
1998,1,6,26.514,0.267,Africa
1998,1,7,26.254,0.167,Africa
1998,1,8,26.226,0.116,Africa
1998,1,9,26.517,0.163,Africa
1998,1,10,25.631,0.134,Africa
1998,1,11,23.84,0.118,Africa
1998,1,12,21.644,0.155,Africa
1999,1,1,21.5,0.174,Africa
1999,1,2,22.946,0.203,Africa
1999,1,3,24.686,0.156,Africa
1999,1,4,25.935,0.191,Africa
1999,1,5,26.689,0.243,Africa
1999,1,6,26.528,0.209,Africa
1999,1,7,25.817,0.224,Africa
1999,1,8,25.94,0.156,Africa
1999,1,9,26.121,0.159,Africa
1999,1,10,25.337,0.177,Africa
1999,1,11,23.81,0.127,Africa
1999,1,12,21.616,0.157,Africa
2000,1,1,21.193,0.227,Africa
2000,1,2,22.136,0.174,Africa
2000,1,3,24.382,0.195,Africa
2000,1,4,26.074,0.157,Africa
2000,1,5,26.562,0.176,Africa
2000,1,6,26.109,0.232,Africa
2000,1,7,25.728,0.194,Africa
2000,1,8,25.886,0.169,Africa
2000,1,9,26.272,0.16,Africa
2000,1,10,25.18,0.158,Africa
2000,1,11,23.827,0.215,Africa
2000,1,12,21.708,0.167,Africa
2001,1,1,21.266,0.224,Africa
2001,1,2,22.397,0.192,Africa
2001,1,3,25.27,0.165,Africa
2001,1,4,25.972,0.189,Africa
2001,1,5,26.578,0.225,Africa
2001,1,6,26.134,0.162,Africa
2001,1,7,25.821,0.134,Africa
2001,1,8,26.115,0.194,Africa
2001,1,9,26.49,0.142,Africa
2001,1,10,25.785,0.171,Africa
2001,1,11,23.878,0.195,Africa
2001,1,12,22.388,0.238,Africa
2002,1,1,21.039,0.259,Africa
2002,1,2,23.241,0.228,Africa
2002,1,3,25.111,0.127,Africa
2002,1,4,26,0.124,Africa
2002,1,5,26.752,0.231,Africa
2002,1,6,26.123,0.14,Africa
2002,1,7,26.638,0.184,Africa
2002,1,8,26.419,0.244,Africa
2002,1,9,26.721,0.17,Africa
2002,1,10,25.482,0.168,Africa
2002,1,11,23.894,0.171,Africa
2002,1,12,22.116,0.186,Africa
2003,1,1,21.897,0.231,Africa
2003,1,2,23.2,0.198,Africa
2003,1,3,24.732,0.128,Africa
2003,1,4,26.227,0.204,Africa
2003,1,5,26.792,0.293,Africa
2003,1,6,26.309,0.302,Africa
2003,1,7,26.019,0.352,Africa
2003,1,8,26.046,0.249,Africa
2003,1,9,26.551,0.258,Africa
2003,1,10,26.346,0.218,Africa
2003,1,11,24.341,0.272,Africa
2003,1,12,21.847,0.184,Africa
2004,1,1,21.836,0.245,Africa
2004,1,2,23.178,0.134,Africa
2004,1,3,24.841,0.14,Africa
2004,1,4,25.918,0.196,Africa
2004,1,5,26.377,0.275,Africa
2004,1,6,26.044,0.286,Africa
2004,1,7,25.65,0.211,Africa
2004,1,8,26.472,0.249,Africa
2004,1,9,26.134,0.126,Africa
2004,1,10,26.034,0.248,Africa
2004,1,11,24.091,0.161,Africa
2004,1,12,22.176,0.127,Africa
2005,1,1,21.166,0.181,Africa
2005,1,2,23.878,0.256,Africa
2005,1,3,25.477,0.155,Africa
2005,1,4,26.339,0.14,Africa
2005,1,5,26.843,0.123,Africa
2005,1,6,26.366,0.204,Africa
2005,1,7,26.092,0.201,Africa
2005,1,8,26.416,0.222,Africa
2005,1,9,26.575,0.168,Africa
2005,1,10,26.044,0.13,Africa
2005,1,11,24.209,0.172,Africa
2005,1,12,22.469,0.203,Africa
2006,1,1,21.962,0.205,Africa
2006,1,2,23.344,0.237,Africa
2006,1,3,24.831,0.145,Africa
2006,1,4,25.984,0.273,Africa
2006,1,5,26.094,0.281,Africa
2006,1,6,26.356,0.155,Africa
2006,1,7,26.11,0.228,Africa
2006,1,8,26.133,0.213,Africa
2006,1,9,26.251,0.186,Africa
2006,1,10,25.873,0.11,Africa
2006,1,11,23.526,0.13,Africa
2006,1,12,21.363,0.152,Africa
2007,1,1,21.34,0.142,Africa
2007,1,2,23.466,0.172,Africa
2007,1,3,24.955,0.211,Africa
2007,1,4,26.114,0.178,Africa
2007,1,5,26.706,0.175,Africa
2007,1,6,26.179,0.165,Africa
2007,1,7,25.749,0.243,Africa
2007,1,8,25.884,0.173,Africa
2007,1,9,26.455,0.174,Africa
2007,1,10,25.649,0.172,Africa
2007,1,11,24.057,0.127,Africa
2007,1,12,21.664,0.131,Africa
2008,1,1,20.876,0.142,Africa
2008,1,2,22.388,0.171,Africa
2008,1,3,24.944,0.207,Africa
2008,1,4,25.589,0.138,Africa
2008,1,5,26.587,0.155,Africa
2008,1,6,26.278,0.261,Africa
2008,1,7,25.842,0.178,Africa
2008,1,8,26.166,0.15,Africa
2008,1,9,26.58,0.152,Africa
2008,1,10,25.743,0.18,Africa
2008,1,11,23.992,0.11,Africa
2008,1,12,22.071,0.139,Africa
2009,1,1,21.868,0.162,Africa
2009,1,2,23.256,0.21,Africa
2009,1,3,24.797,0.157,Africa
2009,1,4,25.785,0.207,Africa
2009,1,5,26.363,0.188,Africa
2009,1,6,26.78,0.15,Africa
2009,1,7,26.039,0.222,Africa
2009,1,8,26.201,0.207,Africa
2009,1,9,26.696,0.144,Africa
2009,1,10,26.002,0.116,Africa
2009,1,11,23.793,0.111,Africa
2009,1,12,22.738,0.222,Africa
2010,1,1,22.653,0.167,Africa
2010,1,2,24.708,0.2,Africa
2010,1,3,25.673,0.15,Africa
2010,1,4,26.752,0.171,Africa
2010,1,5,27.126,0.17,Africa
2010,1,6,26.581,0.217,Africa
2010,1,7,26.087,0.216,Africa
2010,1,8,26.278,0.203,Africa
2010,1,9,26.65,0.129,Africa
2010,1,10,26.232,0.113,Africa
2010,1,11,24.576,0.152,Africa
2010,1,12,22.354,0.129,Africa
2011,1,1,21.389,0.226,Africa
2011,1,2,23.116,0.214,Africa
2011,1,3,25.025,0.176,Africa
2011,1,4,25.96,0.151,Africa
2011,1,5,26.551,0.208,Africa
2011,1,6,26.354,0.184,Africa
2011,1,7,26.004,0.185,Africa
2011,1,8,25.905,0.175,Africa
2011,1,9,26.528,0.15,Africa
2011,1,10,25.339,0.218,Africa
2011,1,11,23.674,0.209,Africa
2011,1,12,21.593,0.305,Africa
2012,1,1,21.151,0.266,Africa
2012,1,2,22.648,0.208,Africa
2012,1,3,24.357,0.159,Africa
2012,1,4,25.621,0.286,Africa
2012,1,5,26.627,0.256,Africa
2012,1,6,26.302,0.309,Africa
2012,1,7,25.513,0.353,Africa
2012,1,8,26.042,0.317,Africa
2012,1,9,26.147,0.255,Africa
2012,1,10,25.713,0.268,Africa
2012,1,11,24.607,0.177,Africa
2012,1,12,21.983,0.24,Africa
2013,1,1,22.138,0.277,Africa
2013,1,2,23.533,0.237,Africa
2013,1,3,25.717,0.202,Africa
2013,1,4,25.52,0.212,Africa
2013,1,5,26.671,0.301,Africa
2013,1,6,26.324,0.188,Africa
2013,1,7,25.856,0.238,Africa
2013,1,8,25.911,0.331,Africa
1995,1,1,3.395,0.447,Albania
1995,1,2,7.497,0.483,Albania
1995,1,3,7.122,0.153,Albania
1995,1,4,10.402,0.191,Albania
1995,1,5,15.561,0.286,Albania
1995,1,6,20.611,0.274,Albania
1995,1,7,23.477,0.327,Albania
1995,1,8,21.168,0.322,Albania
1995,1,9,17.303,0.209,Albania
1995,1,10,13.348,0.213,Albania
1995,1,11,6.419,0.348,Albania
1995,1,12,7.082,0.32,Albania
1996,1,1,4.485,0.599,Albania
1996,1,2,3.778,0.269,Albania
1996,1,3,5.084,0.245,Albania
1996,1,4,10.71,0.255,Albania
1996,1,5,17.303,0.247,Albania
1996,1,6,21.475,0.245,Albania
1996,1,7,22.54,0.279,Albania
1996,1,8,22.624,0.187,Albania
1996,1,9,16.091,0.264,Albania
1996,1,10,12.753,0.211,Albania
1996,1,11,10.202,0.168,Albania
