valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.476,1991,0.218,['Roger McGuinn'],0.532,327000,0.606,0,6AsD2fMWHOtUTx50qV4AKU,0,9,0.0994,-10.653,1,King Of The Hill,37,1991-01,0.0323,125.064
0.871,1991,0.747,['Patsy Cline'],0.46,149227,0.431,0,6Dk3EASTjfhDxY4ut3AitS,0,9,0.337,-10.208,1,Stop The World (And Let Me Off),31,9/30/91,0.0282,92.972
0.596,1991,0.000125,['Green Day'],0.376,179827,0.988,0,6Oxjqbh368cWsGJv7cNfUP,2.45E-06,3,0.317,-3.667,1,The One I Want,30,7/1/91,0.0899,90.246
0.186,1991,0.76,['Art Pepper'],0.265,332320,0.264,0,30KOPTzr6kkko2HdH1HjoI,0.0655,0,0.189,-11.639,0,Our Song - Remastered,34,1/1/91,0.0316,82.629
0.603,1991,0.123,"['Alphaville', 'Bernhard Lloyd']",0.65,267907,0.872,0,3ISKwLMuxKyp8mkxYpRzSa,0.000185,7,0.255,-8.534,1,Sounds Like a Melody,50,12/17/91,0.0414,97.436
0.536,1991,0.631,['Lucha Villa'],0.566,171503,0.239,0,3o848UXGY4NYduDBu4h6v3,0,3,0.16,-8.262,1,Juro Que Nunca Volveré,36,12/19/91,0.0398,75.193
0.652,1991,0.12,['Del The Funky Homosapien'],0.875,197093,0.825,0,47XnvRlqY7KCLtflGpGWXc,0,6,0.261,-8.671,0,The Wacky World of Rapid Transit,31,10/15/91,0.218,107.663
0.0898,1991,0.799,['The Legendary Pink Dots'],0.25,247800,0.0968,0,7ELpiKwEBL3tBoGFgqnZBw,0.00524,4,0.079,-26.649,1,Bella Donna,34,1991,0.0345,84.537
0.271,1992,0.272,['El Haragán y Compañía'],0.39,155852,0.972,0,0p9Bwi2HvvPNhvEdo4972S,0.00125,9,0.257,-7.922,0,Juan el Descuartizador,43,1992,0.133,113.117
0.182,1992,0.523,['Queen'],0.26,358867,0.989,0,5FalltA3wCyuQa9UQ3YQ76,0.574,7,0.938,-2.818,1,Crazy Little Thing Called Love - Live at Wembley '86,31,5/26/92,0.163,143.772
0.294,1992,0.84,['Pavement'],0.525,236133,0.4,0,5hljr4kXcgNXWNEO60duAd,0.0137,9,0.113,-6.699,1,Here,33,4/20/92,0.0349,92.51
0.89,1992,0.608,"['Chalino Sanchez', 'Los Amables Del Norte']",0.45,197718,0.51,0,01C2doISOihIBFKu51rl2n,0.000133,10,0.0666,-7.781,1,Ignacio Parra,33,5/14/92,0.0542,193.632
0.964,1992,0.0755,['Los Mier'],0.565,194027,0.579,0,1sUgVmN5NlfUTIulYaAW72,0,9,0.0494,-12.35,1,Si Se Hubiera Casado Conmigo,35,10/15/92,0.0501,182.758
0.279,1992,0.00547,['Stone Temple Pilots'],0.43,319693,0.849,0,4C4Xa4ChCQr7cfTFdd5abC,4.16E-05,9,0.0727,-8.992,0,Only Dying - Demo,33,9/29/92,0.0563,143.499
0.571,1992,0.576,['Céline Dion'],0.525,270067,0.607,0,4lGpGfDXuXmUfdqq46srPE,1.15E-06,10,0.0539,-10.471,1,Where Does My Heart Beat Now,39,4/9/92,0.0297,74.026
0.0394,1992,0.891,['Randy Edelman'],0.161,122907,0.0659,0,586dvOx61CsG5w079NCbjG,0.939,4,0.1,-26.49,1,The British Arrival,30,1/1/92,0.0438,109.446
0.432,1992,0.668,['Dimitris Mitropanos'],0.667,196560,0.368,0,64CDnJJmjRsMccthpSFuxH,0,11,0.344,-13.637,0,S' Anazito Sti Saloniki,46,4/6/92,0.0452,114.589
0.285,1992,0.115,['Opus III'],0.606,330533,0.955,0,67Hp634KZbo9B5WMsJOalE,0.0547,1,0.15,-9.857,0,It's a Fine Day,45,1992,0.0462,125.007
0.247,1992,0.00187,['Miles Davis'],0.803,236200,0.486,0,6WfytwIOVy3rdh2j7qFoEh,0.906,6,0.626,-13.225,0,Mystery,43,6/26/92,0.169,111.231
0.738,1992,0.564,['Industria del Amor'],0.633,193440,0.42,0,0eACCRWgxBGmjR72JCIMYU,4.26E-05,0,0.248,-13.605,1,Ayúdame,33,1/1/92,0.0374,75.157
0.571,1992,0.492,['Antonio Aguilar'],0.615,193434,0.434,0,2DMhbxU8aQ60zgn4Opv54j,0,2,0.131,-5.47,1,Caballo Alazán Lucero,42,5/13/92,0.0354,97.835
0.87,1992,0.0259,['Giggles'],0.744,223467,0.819,0,2dOb3DaZRbiGfruiDODvdd,0.00229,7,0.178,-10.303,1,What Goes Around Comes Around,30,8/6/92,0.0546,120.355
0.0435,1992,0.973,"['Claude Debussy', 'London Symphony Orchestra', 'Michael Tilson Thomas']",0.0703,428573,0.00541,0,2vqpvRc2fOowGpcMoauBY1,0.853,8,0.217,-36.585,1,"La boîte à joujoux, L. 128: III. La bergerie à vendre",37,7/30/92,0.0501,69.645
0.0386,1992,0.95,['Wojciech Kilar'],0.0842,250627,0.0196,0,4PmjolpLqJ9G14l2ORO06x,0.858,4,0.108,-32.994,0,Love Remembered,37,10/30/92,0.0415,170.187
0.178,1992,0.904,['Tony Bennett'],0.327,172133,0.149,0,6pNITw0qemtKXpKIELHD1P,7.12E-06,5,0.0953,-15.029,1,I've Got the World On a String,37,9/15/92,0.0345,185.723
0.0331,1992,0.554,"['Henryk Górecki', 'Dawn Upshaw', 'London Sinfonietta', 'David Zinman']",0.11,1607333,0.124,0,7Mx00Ye1ypcK1hToeKyrVl,0.773,4,0.197,-19.495,0,"Symphony No. 3, Op. 36: I. Lento - Sostenuto Tranquillo Ma Cantabile",37,3/9/92,0.0374,93.035
0.799,1992,0.0211,['Wu-Tang Clan'],0.826,278533,0.549,0,0GSMCJFLfr0puIVuPSAZXd,1.77E-06,8,0.791,-11.324,0,Protect Ya Neck - Radio Edit,32,12/14/92,0.368,102.008
0.743,1992,0.0633,['Gin Blossoms'],0.636,259933,0.762,0,0h2eP1Lv0WmWzNba6l9GnC,0.000796,7,0.0737,-7.799,1,29,30,1/1/92,0.0245,109.645
0.433,1992,0.635,['Vicente Fernández'],0.43,193747,0.215,0,2QnTw7AaKjRugHlrrDfHAj,0,5,0.116,-9.194,1,Lo Quiero Todo,36,1992,0.0431,86.358
0.578,1992,0.489,['Eric Clapton'],0.548,382040,0.53,0,7Ju1VkjdMB9QulZh2bPSqt,7.57E-05,1,0.46,-11.899,0,"My Father's Eyes - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; Take 1",42,8/25/92,0.068,98.615
0.939,1992,0.706,['Los Relampagos Del Norte'],0.771,163561,0.607,0,7dMuUJav5z8sWek9KmiTz0,0.000117,8,0.0581,-6.674,1,La Calandria,34,2/25/92,0.044,107.058
0.0787,1992,0.0905,['Medwyn Goodall'],0.485,343893,0.0802,0,0P7qfZtxh3swBWW0Sw1cnD,0.897,1,0.0849,-23.093,1,Medicine Woman,41,1/1/92,0.032,92.406
0.44,1992,0.502,['Najee'],0.414,301173,0.544,0,4voxLxVuG6nS3tzSULq4os,7.00E-06,1,0.279,-10.317,0,Just An Illusion,31,1/1/92,0.0478,85.371
0.657,1992,0.426,['SWV'],0.575,276600,0.577,0,0EtiqnHgVqLVFocrtbBKNu,1.62E-06,9,0.0692,-9.766,0,It's About Time,33,10/27/92,0.0324,159.076
0.443,1992,0.147,['Stone Temple Pilots'],0.377,297507,0.758,0,13vQkQKel55qR99YdkXP0m,6.23E-05,7,0.776,-7.44,1,"Big Empty - Live; MTV Unplugged, 11/17/93",35,9/29/92,0.0354,122.873
0.0528,1992,0.905,['Michael Bolton'],0.197,222027,0.151,0,3QmgCKiL2S6LIw34LdhU6K,0.000988,7,0.174,-15.011,1,White Christmas,41,8/31/92,0.0353,83.436
0.665,1992,0.176,['Randy Travis'],0.683,239307,0.693,0,4NJTkqdVgGmKJor8DPbd9z,0,9,0.188,-7.588,1,Jingle Bell Rock,34,10/20/92,0.0315,119.86
0.284,1992,0.578,['Blind Melon'],0.354,269093,0.592,0,5aEwkyMN1DUmpID2KzEZ6q,0.142,2,0.0962,-7.387,1,Sleepyhouse,33,1992,0.0286,76.712
0.363,1992,1.62E-05,['Screaming Trees'],0.214,191213,0.877,0,6V6tVj4fpdHyxUfjSXFwNW,0.000286,7,0.108,-5.089,1,More or Less,37,1992,0.0563,127.845
0.565,1992,0.731,['Paul Anka'],0.311,145467,0.314,0,6dAqyQn8GS2RYRqyP5eKTp,0,3,0.335,-12.81,1,It's Time To Cry,30,1/17/92,0.0325,109.983
0.719,1992,0.265,['Glenn Jones'],0.675,237733,0.403,0,0uzurgoEhQ9MT1LevKAYg4,0,1,0.081,-12.482,0,Show Me,30,7/29/92,0.0338,84.173
0.665,1992,0.395,['Mary Chapin Carpenter'],0.637,224600,0.727,0,10lBCXSf5SiwRmDPMUqmYQ,6.51E-05,0,0.108,-6.675,1,I Take My Chances,32,6/20/92,0.0371,134.476
0.188,1992,0.00215,['Sugar'],0.413,185653,0.98,0,2V6J6aswk9GVgtIkIAq41b,0.000297,7,0.367,-4.397,0,Helpless,31,1992,0.0613,124.661
0.248,1992,6.26E-05,['AC/DC'],0.317,360360,0.931,0,3aSUhKMYQkfEOjkdBwWcoC,0.653,2,0.878,-5.794,1,Hells Bells - Live - 1991,42,10/27/92,0.0576,113.007
0.282,1992,0.00108,['Sonic Youth'],0.446,149667,0.951,0,2QhMX5AQCAUQTX9Zu2rtz4,0.0179,7,0.386,-4.97,1,100%,37,1992,0.0723,116.824
0.656,1992,0.406,"['Andrew Lloyd Webber', 'Janet Metz', '""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast']",0.705,156827,0.509,0,4N7efSoBt0rvcnfxi2Cz3b,0,5,0.232,-15.415,1,"Poor, Poor Joseph",32,1/1/92,0.218,109.978
0.525,1992,0.562,['The 5 Heartbeats'],0.519,401040,0.528,0,6rCVGZwhOWpxRJOejAGVQp,0,1,0.158,-11.806,1,I Feel Like Going On,29,1/1/92,0.0599,135.897
0.0345,1992,0.924,['Randy Edelman'],0.059,300000,0.0321,0,3FLeBWnvQiVhAgBqteXMdn,0.944,7,0.097,-24.34,1,Pieces Of A Story,30,1/1/92,0.0449,62.838
0.284,1992,0.005,['Danzig'],0.333,263573,0.895,0,7j0eQhCrpbOwucAolLJ0t8,0.0102,8,0.0744,-6.292,1,Bodies,34,1/1/92,0.0821,138.897
0.807,1992,0.0543,['Ice Cube'],0.863,273867,0.907,1,6Uq5Vi8UmZGzGIicjkkz64,1.85E-06,7,0.181,-4.146,1,Dirty Mack,35,11/17/92,0.189,101.862
0.177,1992,0.379,['Vanessa Williams And Brian McKnight'],0.487,284960,0.361,0,7z8NZEvwZU6PzYAzkw3DWE,2.88E-05,1,0.12,-9.97,1,Love Is,34,3/31/92,0.0236,79.857
0.773,1992,0.0673,['Rage Against The Machine'],0.595,227200,0.939,1,0WmMjUF2HaR2xEpdLnt4au,0.000134,4,0.232,-3.493,1,Clear The Lane - Demo,36,1992,0.0611,106.732
0.252,1992,0.869,['Neil Diamond'],0.242,249547,0.465,0,2D4oftzkChj7EvNyaz9Zak,2.12E-06,3,0.108,-8.551,1,Candlelight Carol,33,9/22/92,0.0332,134.44
0.644,1992,0.5,['R.E.M.'],0.661,313733,0.79,0,2SW9TRJnosf3oD27rVtX5J,0.000206,7,0.221,-4.6,1,Man On The Moon,39,10/5/92,0.0269,118.617
0.542,1992,0.926,['Hank Williams'],0.585,162267,0.208,0,4ZlSEwKeoDrzpE7Fc5iw8Q,0.0262,2,0.108,-14.774,1,Lost Highway,32,1/1/92,0.0319,132.954
0.175,1992,0.989,"['Frédéric Chopin', 'Elisabeth Leonskaja']",0.36,254800,0.00556,0,5tmpcGNMG3vlSYOxcQ62qF,0.904,6,0.0689,-32.573,0,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",40,1992,0.0465,66.13
0.458,1992,0.372,['Rocío Dúrcal'],0.386,186827,0.288,0,63fRCBQjwg0qhK7pxYkGmG,0,0,0.108,-9.916,1,Cuando Yo Quiera Has de Volver,41,10/14/92,0.0305,79.811
0.578,1992,0.424,['Alabama'],0.694,197707,0.574,0,6FGpSVZxxkoSffB1pnQIgq,0,11,0.278,-9.493,1,Hometown Honeymoon,31,4/3/92,0.0333,78.911
0.357,1992,0.00582,['Lynch Mob'],0.55,280333,0.823,0,7hLpSi7tHQEFUZBxFgLBSZ,0.000242,11,0.172,-7.456,0,Tangled in the Web,34,4/14/92,0.0365,103.788
0.718,1992,0.0108,['Body Count'],0.801,172773,0.698,1,7zoRvhF7VcXzOu2liGnZ30,1.68E-06,6,0.742,-8.839,1,KKK B***h,39,3/10/92,0.176,121.846
0.685,1992,0.345,['Peter Cetera'],0.774,271400,0.491,0,14P3TuBacyUO3Pyjg7xOpw,0.00987,0,0.326,-11.6,0,Even a Fool Can See,40,6/12/92,0.0267,119.565
0.677,1992,0.026,['The Lemonheads'],0.548,199507,0.928,0,2afHIrkzrlFs7EmbMiv1kP,0,9,0.444,-7.407,1,Rudderless - Remastered,35,1992,0.0486,136.151
0.352,1992,0.381,['黑豹'],0.353,316160,0.686,0,3KIuCzckjdeeVuswPo20mC,0,11,0.0568,-9.103,1,DON'T BREAK MY HEART,35,12/22/92,0.0395,200.341
0.809,1992,0.293,['Go West'],0.59,266800,0.803,0,5zKAdA9tZ9hsxiL4nmFvJ3,1.49E-05,4,0.0691,-7.088,0,What You Won't Do for Love,41,11/14/92,0.0485,169.127
0.407,1992,0.000849,['Phish'],0.431,212400,0.952,0,6d7PjDfqOJzqDRmq46UFHh,0.522,2,0.0276,-8.956,1,Llama,31,1992,0.11,160.952
0.358,1992,0.0113,['Faith No More'],0.387,222440,0.971,0,1D5IUaypUrzUaqFIFgQ1KH,0.0287,2,0.0663,-5.192,1,Be Aggressive,40,6/8/92,0.19,121.572
0.965,1992,0.0203,['Erasure'],0.654,235707,0.808,0,4QQV3L7iSVJpYeFdeoatUF,0.0554,1,0.0425,-11.869,1,Breath of Life - Single Remix,30,11/24/92,0.0352,131.955
0.772,1992,0.184,['Lee Roy Parnell'],0.776,189133,0.784,0,6yOcULqOsegLKzPvBmqd2g,0,0,0.145,-10.281,1,Tender Moment,30,2/18/92,0.0446,130.577
0.624,1992,0.00473,['They Might Be Giants'],0.539,184067,0.722,0,2PsYgqUeSi4u6qZkuilZ96,0,7,0.103,-9.769,1,The Statue Got Me High,31,1992,0.0397,151.164
0.508,1992,0.687,['The McKameys'],0.426,267040,0.482,0,447mNGc4weBLvVwY01tJZB,0,7,0.564,-13.887,1,Do You Know How It Feels,30,1/1/92,0.231,101.899
0.405,1992,0.353,['Brian McKnight'],0.716,327560,0.369,0,5WDaDoR8x7GMA4dsbsynHX,0,5,0.173,-9.679,1,After The Love,34,6/23/92,0.0304,117.018
0.687,1992,0.00134,['The Offspring'],0.453,228827,0.871,0,2QWAiZS3QOAFPdGeZ8DKJD,0.000211,4,0.093,-5.127,0,Dirty Magic,40,10/16/92,0.0469,140.564
0.72,1992,0.69,['Beastie Boys'],0.743,65292,0.327,0,5GdtONCuJl9N5kkzioFFUY,0,7,0.11,-10.912,1,Mark On The Bus - Remastered 2009,32,4/21/92,0.363,76.528
0.325,1992,0.253,['Los Bukis'],0.562,261133,0.538,0,1DxJZmchWprUCG8Sp7RKY3,0.000334,4,0.116,-11.672,1,Buena Lección,35,1/1/92,0.0298,103.41
0.6,1992,0.815,['The Left Banke'],0.568,158240,0.409,0,1GFDoBrRlUTgj8McVHplQY,4.66E-06,8,0.125,-14.088,1,Pretty Ballerina,31,1/1/92,0.0328,115.939
0.776,1992,0.194,['Christopher Williams'],0.78,281293,0.79,0,1Z5eN1KGhK24kfB01tEbc0,0,6,0.224,-8.861,1,Dreamin',30,1/1/92,0.058,110.03
0.815,1992,0.86,"['Walter Bobbie', 'J.K. Simmons']",0.8,178227,0.299,0,28QGEA50pS11HFICqSAduV,3.42E-06,7,0.545,-15.592,0,Guys and Dolls,31,7/7/92,0.0888,122.196
0.937,1992,0.372,['Rey Ruiz'],0.774,287267,0.76,0,3Bg1xF0RPxbFN4eIen8PSG,8.81E-05,1,0.253,-6.443,1,Si Te Preguntan,36,1992,0.0343,93.218
0.372,1992,0.0363,['Skid Row'],0.354,199533,0.444,0,5LhueuoObf1mg18FDsLCqK,0.00545,7,0.0511,-7.757,1,Little Wing,43,5/12/92,0.0333,133.054
0.891,1992,0.688,['Walter Catlett'],0.813,100507,0.393,0,1eM1TAhv39wg4LY7XmtqoL,0,3,0.0658,-14.3,1,Hi-Diddle-Dee-Dee (An Actor's Life for Me),32,1/1/92,0.175,121.531
0.915,1992,0.769,['Mariachi Vargas De Tecalitlan'],0.39,158200,0.462,0,3Ar6aR0DwkuWHKLwlxS6Hc,0.861,0,0.114,-14.396,1,El Jarabe Tapatío,29,3/3/92,0.0447,166.543
0.637,1992,1.52E-05,['White Zombie'],0.646,302573,0.847,0,4TrX6zuhWXSDKOQczUC5um,0.404,1,0.266,-10.359,0,Starface,32,1/1/92,0.0409,120.609
0.54,1992,0.0637,['Hezekiah Walker & The Love Fellowship Crusade Choir'],0.457,139880,0.876,0,4pRGmkbXPqWaPaZJIgFBCx,3.12E-06,1,0.975,-8.842,1,Clean Inside,30,1992,0.166,170.164
0.967,1992,0.568,['Joan Sebastian'],0.696,147444,0.627,0,6DtV4HJ2KeRVOQTqx8y0zo,0.000241,5,0.283,-9.059,1,Negra Suerte,35,12/3/92,0.0348,99.16
0.343,1992,0.153,['Blind Melon'],0.287,332600,0.685,0,6tsh3LD5WiFHR48xWfmR4i,7.51E-06,7,0.0851,-5.753,1,I Wonder,34,1992,0.0369,161.091
0.708,1992,0.474,"['Donald Harrison', 'Dr. John']",0.654,378227,0.411,0,0558raZ6YhmEOf0szO4JGF,0.000305,3,0.218,-14.93,1,Hu-ta-Nay,34,1/1/92,0.0409,112.112
0.963,1992,0.091,['Lindsey Buckingham'],0.652,192627,0.656,0,1P0GFefD2Psov6nRnPsdzu,0.0631,8,0.0733,-10.781,1,Instrumental Introduction / Don't Look Down,32,6/12/92,0.0324,143.021
0.603,1992,0.249,['The 5 Heartbeats'],0.731,245333,0.553,0,1dYIQ33kbxUrNmBWB5B61j,0,8,0.0725,-10.065,1,Nights Like This,29,1/1/92,0.0294,97.165
0.281,1992,0.168,['Queen'],0.429,214200,0.952,0,3RviStcvq7swrmqZHjv5B7,0.0151,4,0.974,-4.326,1,I Want To Break Free - Live at Wembley '86,31,5/26/92,0.119,117.987
0.645,1992,0.242,['Deee-Lite'],0.755,32867,0.922,0,4Jy0SU5ldQTBVzPXJroxYV,0.947,0,0.312,-11.346,1,"Vote, Baby Vote",31,6/9/92,0.0496,120.889
0.901,1992,0.44,['Juan Luis Guerra 4.40'],0.663,250107,0.899,0,1CHwcGyYGffGjaaM6pAhvM,0,4,0.105,-6.442,1,El Costo de la Vida,43,1/1/92,0.121,131.836
0.173,1992,0.101,['Blind Melon'],0.324,374013,0.529,0,1Pb1xxWP3HxhIDaJjjtaBV,0.00107,4,0.172,-7.164,0,Mother - Sippin' Time Sessions,33,1992,0.0289,133.52
0.23,1992,0.0931,['Armando Manzanero'],0.266,155733,0.59,0,58Q3mAOtrZdSbwAu9i92j2,6.15E-05,0,0.39,-6.861,1,Somos Novios,29,4/28/92,0.0341,114.135
0.858,1992,0.0653,['No Doubt'],0.59,251960,0.868,0,7fF9yjIMasFI99ZbCA6r3x,0.0139,0,0.216,-8.883,0,Let's Get Back,34,1/1/92,0.0456,127.178
0.546,1992,0.909,['Pete Seeger'],0.474,581733,0.0287,0,7uT4NSPvmiwzvLQfwoU15f,1.88E-06,11,0.0728,-24.065,1,Abiyoyo,31,7/13/92,0.118,154.414
0.601,1992,0.0866,['Social Distortion'],0.565,248427,0.949,0,04UxhdQYMbNmrJ3Q7I9uFO,2.12E-05,3,0.303,-7.384,1,Born To Lose,33,2/11/92,0.044,118.187
0.236,1992,0.00422,['The Cure'],0.258,406827,0.751,0,2DEk9xGgueXdKPTb6P3eH6,0.115,5,0.699,-10.147,1,End,30,4/21/92,0.0412,172.289
0.431,1992,0.739,"['Andrew Lloyd Webber', 'Janet Metz', '""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast']",0.619,187867,0.223,0,3skrGrGjmbO71O3BHbXCGT,0,0,0.564,-19.438,1,Pharaoh Story,31,1/1/92,0.0399,123.898
0.32,1992,0.803,['Faith Prince'],0.578,220000,0.124,0,2IvclMRRfknwnR6wgk5uIn,2.05E-06,1,0.867,-19.085,1,Adelaide's Lament,31,7/7/92,0.382,91.749
0.931,1992,0.752,['Joan Sebastian'],0.76,173511,0.602,0,6LpTXWo8fDPl6QkhZQBW9M,4.07E-06,10,0.0729,-6.051,1,Vanessa,36,12/3/92,0.179,104.452
0.743,1992,0.0368,['Rhino Bucket'],0.626,255560,0.827,0,6pQAHgI79U7cECxbfpyb9p,0.00629,8,0.292,-6.863,1,Hey There,35,1992,0.0636,126.54
0.415,1992,0.974,['Hank Williams'],0.47,108000,0.235,0,0JbCrdGpDiUQlBxHdso905,0,3,0.176,-13.984,1,Angel Of Death,32,1/1/92,0.0353,127.612
0.231,1992,0.000576,['Madonna'],0.639,318573,0.676,0,18hiT7VEeP2XJrVWizpDMk,0.434,11,0.26,-11.168,0,Erotica,43,10/20/92,0.061,101.956
0.626,1992,0.00378,['Nick Cave & The Bad Seeds'],0.325,355520,0.781,1,2Ra17ZsMSILCk5PIyvlG1x,0,1,0.148,-7.062,1,"Papa Won't Leave You, Henry - 2010 Remastered Version",36,1992,0.0468,92.385
0.845,1992,0.000869,['The Trashmen'],0.587,143293,0.968,0,58LVNLjFvt50ERUG3cidjF,0.000606,11,0.329,-9.393,1,Surfin' Bird,36,7/21/92,0.0527,99.231
0.495,1992,0.747,['Joaquín Sabina'],0.676,295333,0.341,0,5ifVQVLUnIk46RRZ90WH7S,0,7,0.0987,-14.351,1,Peor para el Sol,53,4/10/92,0.059,105.405
0.7,1992,0.993,"['Wolfgang Amadeus Mozart', 'Mitsuko Uchida']",0.345,273000,0.0841,0,101XYpP7fpHCWR3NPNbTDi,0.93,0,0.0994,-24.834,1,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro",37,9/15/92,0.0396,129.612
0.189,1992,0.968,['Shai'],0.291,314640,0.129,0,3i5I73PdqEg4rIs7XWFtEX,7.27E-05,11,0.194,-15.997,1,Together Forever,30,1/1/92,0.0301,87.685
0.634,1992,0.0323,['They Might Be Giants'],0.787,228667,0.541,0,58zyBcEN73llRTLf0xNWvH,0.0677,2,0.284,-13.189,1,The Guitar,31,1992,0.0542,114.746
0.365,1992,0.375,['Death In June'],0.168,259987,0.451,0,2Td1ILDxeQAp8AMxJMSJzT,0,4,0.102,-12.423,0,Little Black Angel,39,8/25/92,0.0284,95.744
0.538,1992,0.0681,['Rage Against The Machine'],0.685,235813,0.836,0,39sUoX8oc4ZuzqZWCALBIg,3.47E-06,9,0.0668,-3.841,1,Mindset's A Threat - Demo,36,1992,0.077,143.604
0.44,1992,0.193,['Rage Against The Machine'],0.438,386760,0.901,1,3LpONSSvnLbXga9G5MhrSV,0,2,0.0545,-5.525,1,Killing In The Name - Demo,36,1992,0.137,90.974
0.847,1992,0.00398,['Morrissey'],0.537,148627,0.915,0,73SIQdJZbuki1k96nGvVUb,0.00664,6,0.0867,-5.09,1,We Hate It When Our Friends Become Successful - 2014 Remaster,29,1992,0.0305,143.454
0.965,1992,0.516,"['Jose Alberto ""El Canario""']",0.611,253267,0.428,0,211kE9JH4gEvvyaZAuz6wC,0.000227,7,0.27,-19.629,0,Sueño Contigo,30,1/1/92,0.0377,92.899
0.449,1992,0.000294,['White Zombie'],0.435,402627,0.716,0,2MA9Qh9M1gzoE4HgCVLmac,0.00367,9,0.441,-11.676,1,Warp Asylum,31,1/1/92,0.0544,107.545
0.864,1992,0.558,"['Chalino Sanchez', 'Los Amables Del Norte']",0.474,173563,0.454,0,2mUVGzwulHUHeZCaGnvdH6,3.52E-06,8,0.12,-9.185,1,Lolo Ramos,32,7/8/92,0.0729,195.564
0.141,1992,0.92,['Aretha Franklin'],0.253,213733,0.363,0,6lWpy2DqJdmdzQgGisUIwW,1.74E-05,2,0.314,-9.791,1,O Christmas Tree,34,10/20/92,0.0336,82.045
0.0368,1992,0.909,['Alan Silvestri'],0.0695,163360,0.0861,0,7pFzrCFu9rDXwpACjPM18q,0.933,3,0.111,-19.536,1,Theme From The Bodyguard,40,11/17/92,0.043,71.159
0.78,1992,0.161,['Paul Young'],0.515,172933,0.828,0,27q8nfRlMwoQT0o3xFnJkG,0,9,0.315,-7.667,1,What Christmas Means To Me,34,10/20/92,0.0506,178.129
