"State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Florida","19.1","20.4","5.5","26.4","86.1","1838864","7134644","2.9","510389","0.5","2.8","16.8","24.1","0.1","2.0","77.8","55.8","67.1","7158980","9144250","160200","2.61","30.1","46956","26236","16.3","84075","19.4","53624.76","27.4","83.7","1048329","25.9","51.1","1569406","18801310","19893297","5.8","350.6","419220","2216415","2623411","14353","0.5","3.2","9.0","22.4","0.1","2009589","28.9"
"Georgia","12.4","24.7","6.6","28.0","84.7","816360","3458050","2.0","217559","0.5","3.8","31.5","9.3","0.1","2.0","62.1","54.3","65.1","3518097","4151190","151300","2.71","20.5","49179","25182","18.2","39423","9.7","57513.49","13.3","83.6","1442807","27.0","51.2","690208","9687653","10097343","4.2","168.4","169762","1419623","1175169","12326","0.7","5.1","20.4","3.6","0.1","901105","30.9"
"Hawaii","16.1","21.7","6.4","30.1","90.4","98490","502530","2.1","31622","0.4","37.5","2.5","10.1","10.0","23.0","26.7","23.0","57.6","449771","530106","503100","2.96","38.1","67402","29305","11.2","3066","17.9","6422.63","25.4","84.9","87992","26.0","49.4","112625","1360301","1419561","4.4","211.8","80422","88946","176118","13793","1.3","47.2","0.9","3.6","9.5","120374","31.0"
"Idaho","14.3","26.4","7.0","25.1","88.8","115043","509986","3.3","43124","1.7","1.4","0.8","12.0","0.2","2.3","93.5","82.8","69.8","579797","685099","162100","2.68","14.9","46767","22568","15.5","8797","5.9","82643.12","10.4","82.8","180109","20.0","49.9","122955","1567582","1634464","4.3","19.0","24159","142867","205266","13691","0.9","0.8","0.2","2.6","0.0","151671","23.5"
"Illinois","13.9","23.2","6.1","31.4","87.3","928461","5209070","1.7","315364","0.6","5.3","14.7","16.7","0.1","1.8","77.5","62.3","67.5","4772723","5307222","182300","2.63","32.9","56797","29666","14.1","20579","13.8","55518.93","22.3","86.8","2577607","28.0","50.9","727919","12830632","12880580","0.4","231.1","254690","2310827","1654505","12947","0.5","5.3","9.5","5.0","0.1","1123817","30.5"
"Indiana","14.3","24.0","6.4","23.2","87.2","390233","2555979","1.7","143515","0.4","2.0","9.6","6.6","0.1","1.9","86.1","80.3","70.0","2481793","2829532","122800","2.55","18.5","48248","24635","15.4","17816","4.7","35826.11","8.2","84.9","2218778","23.2","50.7","455105","6483802","6596855","1.7","181.0","116697","676349","787455","12408","0.5","1.8","4.6","1.8","0.0","482847","26.8"
"Iowa","15.8","23.4","6.3","25.7","91.0","203763","1305216","0.9","80581","0.5","2.2","3.4","5.6","0.1","1.7","92.1","87.1","72.2","1226547","1362124","124300","2.42","18.4","51843","27027","12.4","10256","4.5","55857.13","7.2","84.8","975920","18.8","50.3","226175","3046355","3107126","2.0","54.5","47377","410683","392346","13172","0.2","1.1","0.8","0.9","0.1","259931","25.5"
"Kansas","14.3","24.9","6.9","30.3","89.8","190838","1150401","1.4","73816","1.2","2.8","6.3","11.4","0.1","2.8","86.8","76.8","67.5","1110440","1248813","128400","2.51","17.7","51332","26929","13.7","7459","6.7","81758.72","11.0","83.2","767518","19.0","50.2","211113","2853118","2904021","1.8","34.9","41923","458638","345383","12444","0.9","2.0","2.4","2.4","0.0","237040","27.5"
"Kentucky","14.8","22.9","6.3","21.5","83.0","274987","1507375","1.8","90675","0.3","1.4","8.2","3.4","0.1","1.8","88.3","85.4","68.4","1694996","1950382","120400","2.5","18.0","43036","23462","18.8","9536","3.3","39486.34","5.0","84.8","1191054","22.8","50.8","312365","4339367","4413457","1.7","109.9","63008","746807","504059","11843","0.3","1.6","3.1","1.1","0.0","337600","25.6"
"Louisiana","13.6","23.9","6.6","21.8","82.6","348367","1687956","2.7","104375","0.8","1.8","32.5","4.8","0.1","1.5","63.4","59.3","67.0","1707852","2010868","138900","2.6","18.3","44874","24442","19.1","15255","3.9","43203.9","8.7","85.8","2050547","24.9","51.1","304271","4533372","4649676","2.6","104.9","97298","514155","565432","12921","0.7","2.8","15.9","2.9","0.0","375808","27.4"
"Maine","18.3","19.5","4.9","27.9","91.1","109260","487313","0.1","40257","0.7","1.2","1.4","1.5","0.0","1.6","95.0","93.8","71.8","553823","727632","174500","2.33","19.2","48453","26824","13.6","3242","3.4","30842.92","6.8","86.4","163631","23.3","51.0","126842","1328361","1330089","0.1","43.1","25158","88237","204440","15520","0.5","0.7","0.5","0.7","0.0","150389","25.6"
"Maryland","13.8","22.6","6.2","36.8","88.7","456511","2182260","1.4","135421","0.6","6.4","30.3","9.3","0.1","2.6","60.1","52.6","67.6","2146240","2422194","292700","2.65","25.5","73538","36354","9.8","16331","14.0","9707.24","16.7","86.7","414560","32.0","51.5","427068","5773552","5976407","3.5","594.8","107584","512767","756641","13429","0.6","6.8","19.3","4.9","0.1","528112","32.6"
"Massachusetts","15.1","20.6","5.4","39.4","89.4","484147","3062689","0.9","172533","0.5","6.3","8.3","10.8","0.1","2.2","82.6","74.3","62.7","2530147","2828492","330100","2.51","41.7","66866","35763","11.4","14486","15.0","7800.06","21.9","86.7","864289","28.0","51.5","383087","6547629","6745408","3.0","839.4","149172","952756","880829","13553","0.4","4.5","3.4","3.3","0.0","596790","29.8"
"Michigan","15.4","22.4","5.8","25.9","88.9","687136","3535685","1.9","217494","0.7","2.9","14.2","4.8","0.0","2.3","79.9","75.8","72.1","3823280","4539871","121700","2.53","17.9","48411","25681","16.8","15933","6.1","56538.9","9.1","85.3","2344557","24.0","50.9","672213","9883640","9909877","0.3","174.8","145366","1071093","1091025","10855","0.7","2.6","8.9","1.3","0.1","816972","30.4"
"Minnesota","14.3","23.5","6.4","32.6","92.1","388900","2518268","1.5","146354","1.3","4.7","5.9","5.1","0.1","2.3","85.7","81.4","72.5","2107232","2385544","187900","2.47","21.6","59836","30913","11.5","16990","7.3","79626.74","10.7","85.6","1075630","22.9","50.3","366990","5303925","5457173","2.9","66.6","104236","828780","713841","13751","0.6","2.3","2.5","1.0","0.0","496657","26.8"
"Mississippi","14.3","24.4","6.5","20.1","81.5","201939","902638","0.8","58435","0.6","1.0","37.5","3.0","0.1","1.2","59.7","57.3","69.4","1088073","1294721","99900","2.65","13.9","39031","20618","22.7","6871","2.2","46923.27","3.9","85.8","598694","23.9","51.4","200748","2967297","2994079","0.9","63.2","70450","230035","337514","11552","0.3","1.8","18.0","0.8","0.0","225977","26.9"
"Missouri","15.4","23.0","6.2","26.2","87.6","393292","2355336","1.5","150290","0.5","1.9","11.8","4.0","0.1","2.1","83.5","80.1","68.4","2360131","2735742","137000","2.47","19.7","47380","25649","15.5","16003","3.9","68741.52","6.1","83.8","1109076","23.1","50.9","479828","5988927","6063589","1.2","87.1","110706","810329","765752","12957","0.6","1.9","4.9","1.2","0.1","501064","26.1"
"Montana","16.7","22.0","6.0","28.7","92.1","84251","350196","1.8","36529","6.6","0.8","0.6","3.5","0.1","2.6","89.4","86.7","68.3","405525","491531","184200","2.39","16.8","46230","25373","15.2","3884","2.0","145545.8","4.4","83.6","106381","18.0","49.8","94404","989415","1023579","3.5","6.8","20794","82027","146868","15343","2.0","0.6","0.2","1.0","0.0","114398","24.6"
"Nebraska","14.4","24.8","6.9","28.5","90.5","127427","830073","1.4","52585","1.4","2.2","4.9","10.2","0.1","2.0","89.4","80.5","67.0","725787","814970","128000","2.47","19.6","51672","26899","12.8","7605","6.3","76824.17","10.5","83.3","401579","18.1","50.2","142176","1826341","1881503","3.0","23.8","26855","240198","264866","14965","0.4","1.4","1.8","1.9","0.0","159665","25.7"
"Nevada","14.2","23.4","6.2","22.4","84.6","192044","1047657","3.3","60306","1.6","8.3","9.1","27.8","0.7","4.0","76.2","51.5","56.7","999016","1198907","169100","2.7","30.1","52800","26589","15.0","13016","19.1","109781.18","29.3","77.7","157357","23.8","49.7","226555","2700551","2839099","5.1","24.6","288155","192558","374339","14579","0.8","7.9","3.9","8.1","0.3","221260","28.6"
"New Hampshire","15.9","20.1","4.9","33.7","91.8","101795","551793","0.5","37185","0.3","2.5","1.5","3.3","0.0","1.6","94.0","91.3","71.4","518245","619856","239900","2.47","25.6","64916","33134","8.7","3403","5.4","8952.65","8.0","86.5","185924","26.3","50.6","112790","1316470","1326813","0.8","147.0","26309","145644","253538","19246","0.4","1.6","0.5","1.0","0.0","137815","25.8"
"New Jersey","14.7","22.5","6.0","35.8","88.1","629395","3492216","1.5","230281","0.6","9.4","14.8","19.3","0.1","2.1","73.0","56.8","65.6","3186418","3591588","327100","2.71","36.0","71629","36027","10.4","28155","21.2","7354.22","30.0","90.1","1166080","30.4","51.2","437652","8791894","8938175","1.7","1195.5","199936","2334130","1248135","14453","0.4","8.7","7.7","8.7","0.1","781622","27.3"
"New Mexico","15.3","24.1","6.6","25.8","83.6","119195","606002","0.5","43737","10.4","1.7","2.5","47.7","0.2","2.5","82.8","38.9","68.7","761938","912890","160000","2.66","14.8","44927","23763","20.4","4799","9.8","121298.15","36.1","85.3","171227","21.6","50.5","172717","2059179","2085572","1.3","17.0","37343","105892","244699","12429","5.3","2.1","1.2","23.6","0.1","157231","31.7"
"New York","14.7","21.4","6.0","33.2","85.2","1626367","7688492","1.7","532669","1.0","8.5","17.6","18.6","0.1","2.4","70.4","56.5","54.2","7234743","8191040","288200","2.61","50.6","58003","32382","15.3","36286","22.1","47126.4","29.9","88.8","1627201","31.6","51.5","912499","19378102","19746227","1.9","411.2","398134","3134619","2307180","11879","0.7","10.1","10.4","9.9","0.1","1956733","30.4"
"North Carolina","14.7","23.0","6.1","27.3","84.9","679725","3421195","2.1","218285","1.6","2.7","22.1","9.0","0.1","2.1","71.5","64.1","66.4","3715565","4452334","153600","2.53","17.2","46334","25284","17.5","49911","7.6","48617.91","10.9","84.7","2058672","23.6","51.3","724295","9535483","9943964","4.3","196.1","161269","887958","1145781","12641","1.0","2.5","10.5","2.7","0.1","798791","28.2"
"North Dakota","14.2","22.8","6.9","27.2","90.9","51879","342747","3.5","24088","5.4","1.3","2.1","3.2","0.1","2.0","89.1","86.6","66.1","287270","350560","132400","2.31","25.5","53741","29732","11.9","12178","2.7","69000.8","5.3","82.8","113497","16.9","48.7","53157","672591","739482","9.9","9.7","12142","130993","105273","16495","1.6","0.7","0.3","0.5","0.0","61546","24.8"
"Ohio","15.5","22.8","6.0","25.2","88.5","745540","4587136","0.9","250117","0.3","2.0","12.6","3.5","0.1","2.1","83.0","80.1","67.5","4557655","5146933","130800","2.47","22.9","48308","26046","15.8","19872","4.0","40860.69","6.6","85.5","2958908","23.0","51.1","864923","11536504","11594163","0.5","282.3","177799","1355752","1388160","12049","0.3","2.0","5.8","1.1","0.0","897939","27.7"
"Oklahoma","14.5","24.6","6.8","23.5","86.4","266444","1325927","1.6","91717","9.0","2.1","7.7","9.8","0.2","5.9","75.1","67.0","67.1","1444081","1699438","112800","2.55","15.2","45339","24208","16.9","14179","5.5","68594.92","9.4","82.5","606813","21.0","50.5","312492","3751351","3878051","3.4","54.7","51065","480746","430953","11931","6.3","2.0","3.1","2.3","0.0","333797","25.3"
"Oregon","16.0","21.6","5.8","29.7","89.4","260438","1396563","2.4","108527","1.8","4.3","2.0","12.5","0.4","3.6","87.9","77.0","62.0","1516456","1700549","238000","2.49","23.2","50229","26809","16.2","16645","9.8","95988.01","14.8","82.0","668806","22.5","50.5","323205","3831074","3970239","3.6","39.9","75557","519107","503709","13494","1.2","3.6","1.2","3.3","0.2","348154","29.8"
"Pennsylvania","16.7","21.1","5.6","27.5","88.7","778528","5180805","0.2","297692","0.3","3.3","11.6","6.6","0.1","1.8","82.9","77.9","69.8","4958427","5590373","164700","2.48","20.5","52548","28502","13.3","25059","6.0","44742.7","10.3","88.0","2348404","25.9","51.1","943417","12702379","12787209","0.7","283.9","196254","1428592","1668427","13323","0.3","3.2","4.6","2.3","0.0","981501","27.0"
"Rhode Island","15.7","20.2","5.2","31.3","85.2","73758","408489","1.4","28026","0.9","3.5","7.7","14.0","0.2","2.6","85.1","74.5","61.2","410058","462625","247400","2.46","40.3","56361","30469","13.6","952","13.1","1033.81","21.1","86.5","120615","23.6","51.5","70621","1052567","1055173","0.2","1018.1","21486","91827","122864","11646","0.4","2.1","3.3","6.0","0.0","96822","27.3"
"South Carolina","15.8","22.4","6.0","25.1","84.5","308746","1583213","2.2","101545","0.5","1.5","27.8","5.4","0.1","1.7","68.3","63.9","69.1","1780251","2188129","137400","2.55","17.9","44779","23943","18.1","27537","4.8","30060.7","6.8","84.7","939774","23.5","51.4","391660","4625364","4832482","4.5","153.9","83834","404980","542984","12273","0.5","1.8","12.1","1.7","0.1","360397","27.6"
"South Dakota","15.3","24.7","7.1","26.2","90.4","62414","340485","1.2","26021","8.9","1.3","1.9","3.6","0.1","2.2","85.7","83.0","68.0","323136","376319","132400","2.45","18.8","49495","25740","14.1","4722","2.8","75811.0","6.8","83.6","130511","16.9","49.7","67886","814180","853175","4.8","10.7","16227","114004","122662","15390","2.2","0.6","0.3","0.8","0.0","76997","22.2"
"Tennessee","15.1","22.8","6.1","23.8","84.4","470330","2394068","2.1","130819","0.4","1.7","17.1","5.0","0.1","1.7","78.9","74.6","67.8","2475195","2869323","139200","2.52","18.3","44298","24409","17.6","27632","4.6","41234.9","6.6","84.6","1404477","24.3","51.3","484901","6346105","6549352","3.2","153.9","106267","801165","775472","12563","0.5","2.0","8.4","1.6","0.1","545348","25.9"
"Texas","11.5","26.4","7.3","26.7","81.2","2039732","9663567","3.3","547190","1.0","4.5","12.5","38.6","0.1","1.8","80.0","43.5","63.3","8886471","10426080","128900","2.82","24.2","51900","26019","17.6","166982","16.3","261231.71","34.7","82.8","5935415","25.0","50.4","1583272","25145561","26956958","7.2","96.3","420545","4242381","3113347","13061","0.9","5.3","7.1","20.7","0.1","2164852","28.2"
"Utah","10.0","30.7","8.6","30.3","90.9","201838","1101557","2.9","71887","1.5","2.4","1.3","13.5","1.0","2.4","91.4","79.3","70.1","886770","1022537","212800","3.12","21.4","58821","23873","12.7","17510","8.2","82169.62","14.3","82.8","424316","21.4","49.7","143771","2763885","2942902","6.5","33.6","39805","254173","365742","13730","0.6","1.9","0.5","3.7","0.3","246393","24.9"
"Vermont","16.9","19.4","4.9","34.8","91.4","59446","262474","-1.1","21119","0.4","1.6","1.2","1.8","0.0","1.8","95.0","93.5","71.0","257004","325789","216800","2.34","23.0","54267","29167","11.8","1546","4.1","9216.66","5.2","86.6","107514","22.2","50.7","48456","625741","626562","0.1","67.9","13676","51216","93101","15005","0.5","0.8","0.0","0.6","0.0","78729","26.0"
"Virginia","13.8","22.4","6.2","35.2","87.5","536067","3131723","1.4","193907","0.5","6.3","19.7","8.9","0.1","2.8","70.5","63.1","67.3","3022739","3446471","244600","2.6","21.7","63907","33493","11.3","28682","11.3","39490.09","14.9","84.7","924177","27.7","50.8","726470","8001024","8326289","4.1","202.6","153404","605133","1056632","13687","0.5","7.0","9.9","4.5","0.1","638643","30.1"
"Washington","14.1","22.7","6.3","31.9","90.0","413446","2444098","3.5","176815","1.9","8.2","4.1","12.2","0.7","4.5","80.7","70.4","63.2","2629126","2963141","262100","2.54","25.6","59478","30742","13.4","33898","13.2","66455.52","18.5","82.7","1120532","25.7","50.0","582265","6724540","7061530","5.0","101.2","123894","767909","929685","14380","1.2","6.8","0.0","3.2","0.2","551340","28.7"
"West Virginia","17.8","20.5","5.5","18.3","83.9","88202","575987","-0.6","37573","0.2","0.8","3.6","1.5","0.0","1.6","93.7","92.5","73.4","741390","884605","98500","2.43","12.0","41043","22966","17.9","2677","1.4","24038.21","2.4","88.1","250805","25.5","50.6","159448","1852994","1850326","-0.1","77.1","25532","110364","205388","11340","0.0","1.3","0.0","0.7","0.0","120381","28.1"
"Wisconsin","15.2","22.6","5.9","26.8","90.4","335177","2401032","0.5","137983","1.1","2.6","6.6","6.5","0.0","1.8","87.8","82.2","68.1","2288332","2648317","167100","2.43","25.4","52413","27523","13.0","14622","4.7","54157.8","8.6","85.8","1635631","21.7","50.3","408870","5686986","5757564","1.2","105.0","92473","599962","722833","12904","0.6","1.6","2.6","1.3","0.0","433797","25.9"
"Wyoming","14.0","23.7","6.5","24.7","92.4","46297","212635","-0.7","20629","2.7","1.0","1.6","9.8","0.1","2.0","92.7","84.1","70.1","222846","268222","185900","2.5","16.0","57406","28902","11.5","1901","3.3","97093.14","6.8","81.8","88348","18.3","49.0","50852","563626","584153","3.6","5.8","14690","63528","89575","17114","0.8","0.7","0.2","2.8","0.0","61179","25.5"
