Month,DayofMonth,DayOfWeek,DepTime,TimeOfDay,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
May,2,Monday,1350,Afternoon,WN,AUS,HRL,273,N
April,27,Wednesday,557,Night,AA,LGA,ORD,733,N
November,29,Monday,610,Morning,AA,SLC,ORD,1249,N
January,24,Monday,1344,Afternoon,XE,IAH,JAN,351,N
June,25,Sunday,555,Night,OO,COD,SLC,298,N
October,22,Friday,1248,Afternoon,HA,HNL,SMF,2462,N
June,16,Wednesday,1345,Afternoon,WN,RNO,PDX,444,Y
October,18,Monday,1956,Evening,AA,ORD,EWR,719,N
March,12,Sunday,1250,Afternoon,MQ,BNA,ORD,409,Y
December,25,Sunday,1020,Morning,WN,TPA,ISP,1034,N
February,14,Monday,907,Morning,NW,DFW,DTW,987,N
October,27,Wednesday,1907,Evening,F9,DEN,DFW,641,N
January,28,Thursday,2135,Evening,WN,BNA,TPA,612,N
May,9,Sunday,758,Morning,AA,MIA,JFK,1090,N
December,16,Friday,955,Morning,OO,SLC,FCA,532,N
May,29,Sunday,1709,Afternoon,DL,ATL,PIT,526,N
March,13,Sunday,1510,Afternoon,OH,EVV,CVG,170,N
May,10,Tuesday,1514,Afternoon,XE,PNS,IAH,489,N
January,1,Friday,1100,Morning,WN,LAS,MDW,1521,N
July,21,Wednesday,1046,Morning,WN,SAN,SJC,417,Y
January,14,Friday,937,Morning,US,EWR,CLT,529,N
July,16,Friday,1003,Morning,AA,DFW,AUS,190,N
February,3,Thursday,1920,Evening,WN,LAX,PHX,370,Y
April,16,Sunday,1913,Evening,US,CLT,BUF,546,N
December,24,Friday,1819,Evening,CO,IAH,OKC,395,N
July,26,Tuesday,1152,Morning,WN,PHL,LAS,2176,N
February,19,Sunday,1011,Morning,UA,DEN,IAH,861,N
September,7,Wednesday,1922,Evening,AS,SEA,ANC,1449,Y
March,11,Thursday,1735,Afternoon,CO,BWI,IAH,1235,N
August,28,Sunday,831,Morning,FL,RSW,ATL,515,N
June,4,Sunday,2126,Evening,UA,DEN,LAX,862,N
December,13,Tuesday,1953,Evening,YV,JFK,IAD,228,Y
October,24,Monday,1557,Afternoon,DL,ATL,SAN,1891,N
March,22,Monday,605,Morning,AS,ANC,BET,399,N
May,8,Sunday,1004,Morning,AS,ONT,SEA,956,N
April,25,Monday,1806,Evening,AS,OAK,SEA,671,N
April,14,Thursday,952,Morning,US,CLT,FLL,631,N
December,13,Tuesday,1547,Afternoon,MQ,LAX,SBA,89,N
October,13,Wednesday,1752,Afternoon,OO,MCI,ORD,403,N
December,9,Friday,945,Morning,YV,PHX,GJT,438,N
December,15,Wednesday,1241,Afternoon,XE,CRP,IAH,201,Y
August,7,Sunday,1427,Afternoon,OO,SNA,LAX,36,N
September,13,Tuesday,1650,Afternoon,WN,AMA,DAL,324,N
March,10,Thursday,848,Morning,UA,MSP,DEN,680,N
March,30,Wednesday,2120,Evening,AA,LAX,MIA,2342,N
April,11,Monday,805,Morning,EV,STL,SLC,1156,N
December,23,Friday,604,Morning,UA,SFO,DEN,967,N
January,31,Monday,1431,Afternoon,OO,DEN,BZN,525,N
September,16,Thursday,843,Morning,AA,ORD,DEN,888,Y
May,23,Sunday,1540,Afternoon,OH,CID,CVG,419,N
November,26,Sunday,646,Morning,OO,ORD,FWA,157,N
August,7,Sunday,933,Morning,DL,RSW,ATL,515,N
August,17,Tuesday,1317,Afternoon,MQ,ORD,SYR,607,N
October,22,Sunday,1417,Afternoon,WN,BWI,BDL,283,N
October,14,Thursday,713,Morning,NW,DTW,MCO,957,N
December,28,Wednesday,1926,Evening,EV,ATL,CLE,554,N
September,4,Sunday,1733,Afternoon,AS,DCA,SEA,2329,N
March,17,Thursday,1657,Afternoon,CO,PHX,IAH,1009,Y
March,4,Friday,1725,Afternoon,AS,LGB,SEA,965,N
March,4,Thursday,645,Morning,MQ,SAN,LAX,109,N
May,26,Thursday,1636,Afternoon,UA,ORD,BDL,783,N
January,2,Sunday,1717,Afternoon,UA,DEN,BOI,649,N
February,24,Thursday,830,Morning,UA,ONT,DEN,819,N
January,22,Sunday,1954,Evening,DL,ATL,GSO,306,Y
June,10,Friday,1619,Afternoon,EV,GSP,CVG,317,Y
September,16,Thursday,902,Morning,UA,SNA,ORD,1726,N
June,26,Sunday,1440,Afternoon,WN,MAF,DAL,319,N
May,2,Sunday,1142,Morning,DL,ATL,GSP,153,N
October,6,Wednesday,1340,Afternoon,MQ,CRP,DFW,354,N
February,4,Thursday,1050,Morning,WN,LAS,OAK,407,N
June,1,Wednesday,1942,Evening,DL,ATL,IAD,533,Y
October,29,Sunday,912,Morning,NW,MSP,LAX,1536,N
September,11,Sunday,2010,Evening,UA,LAX,LAS,236,N
July,13,Tuesday,1335,Afternoon,CO,LAS,IAH,1222,Y
April,11,Monday,1851,Evening,OO,DEN,MEM,872,N
May,18,Tuesday,1217,Afternoon,NW,DTW,LAN,74,N
July,19,Tuesday,2105,Evening,TZ,MDW,DFW,797,N
August,26,Friday,1634,Afternoon,AA,MFE,DFW,468,N
August,22,Monday,553,Night,YV,BMI,ORD,116,N
July,25,Monday,1407,Afternoon,F9,MSP,DEN,680,N
June,24,Friday,626,Morning,MQ,SAN,SJC,417,N
April,27,Wednesday,2051,Evening,OO,ORD,FWA,157,N
October,13,Wednesday,1132,Morning,AA,MFE,DFW,468,N
October,1,Friday,1112,Morning,AS,PDX,LAS,762,N
November,18,Thursday,1423,Afternoon,OO,LAX,SJC,308,N
October,28,Thursday,1322,Afternoon,DL,ATL,STL,483,Y
June,1,Wednesday,650,Morning,NW,LAS,MSP,1300,N
April,26,Tuesday,1210,Afternoon,OO,IPL,YUM,58,N
August,30,Monday,1243,Afternoon,MQ,ORD,MKE,67,N
September,22,Wednesday,1554,Afternoon,UA,SFO,SAN,447,N
November,18,Thursday,1955,Evening,MQ,GRB,MQT,134,N
August,5,Thursday,1929,Evening,UA,LAX,SFO,337,N
December,1,Wednesday,1913,Evening,WN,SJC,ONT,333,N
November,13,Sunday,1528,Afternoon,OO,SLC,SJC,585,N
February,27,Sunday,1827,Evening,OO,DEN,ELP,563,N
April,18,Sunday,1117,Morning,DL,AUS,ATL,813,N
April,22,Friday,1438,Afternoon,OH,MCI,MCO,1072,N
April,28,Wednesday,2037,Evening,AS,SEA,LAX,954,N
June,6,Monday,1736,Afternoon,OO,FAR,ORD,557,N
April,11,Sunday,1127,Morning,HP,LAS,DEN,629,N
December,3,Friday,1625,Afternoon,XE,IAH,RDU,1043,N
July,19,Monday,1708,Afternoon,MQ,DFW,LBB,282,N
December,28,Wednesday,1753,Afternoon,WN,HOU,JAN,359,Y
June,11,Sunday,1829,Evening,OO,MTJ,DEN,197,N
November,11,Thursday,1509,Afternoon,NW,DTW,JAX,814,N
October,8,Friday,1056,Morning,US,CLT,PHL,448,N
June,29,Wednesday,2052,Evening,XE,DCA,EWR,199,N
June,16,Wednesday,1259,Afternoon,DL,SLC,CVG,1449,N
May,22,Sunday,834,Morning,DL,ATL,PBI,545,N
September,10,Friday,1802,Evening,NW,BOS,DTW,632,N
July,9,Sunday,2059,Evening,B6,JFK,SJU,1597,N
May,25,Wednesday,905,Morning,YV,DRO,DEN,251,N
May,29,Sunday,1132,Morning,US,RDU,PHL,336,N
July,9,Friday,815,Morning,DH,IAD,CHS,441,N
November,3,Wednesday,1210,Afternoon,WN,TPA,PVD,1137,N
September,5,Monday,835,Morning,AA,CLT,DFW,936,N
June,17,Friday,1235,Afternoon,YV,IAD,LGA,229,N
August,4,Wednesday,1204,Afternoon,NW,ONT,MSP,1494,N
March,7,Monday,1545,Afternoon,EV,MLU,ATL,448,N
September,2,Thursday,1202,Afternoon,DL,VPS,ATL,264,N
March,22,Tuesday,1412,Afternoon,UA,IAH,DEN,861,N
April,27,Wednesday,1825,Evening,WN,PHX,SAN,304,N
July,4,Monday,2042,Evening,US,LAS,PDX,762,N
May,24,Monday,1058,Morning,AA,MIA,LGA,1097,Y
July,31,Sunday,1647,Afternoon,AA,ATL,MIA,595,N
June,20,Sunday,920,Morning,WN,STL,OKC,462,Y
December,23,Thursday,724,Morning,CO,SEA,IAH,1874,N
May,17,Tuesday,1252,Afternoon,UA,SAN,IAD,2253,N
September,26,Sunday,2050,Evening,NW,MDW,MSP,349,Y
January,12,Tuesday,633,Morning,DL,BOS,ATL,946,Y
October,14,Friday,850,Morning,AA,TUL,DFW,237,Y
March,14,Sunday,1140,Morning,OH,CVG,ACY,542,N
January,8,Sunday,1454,Afternoon,EV,ATL,CAK,528,Y
August,7,Sunday,2037,Evening,AA,DFW,PDX,1616,Y
September,18,Sunday,1622,Afternoon,OO,SBA,SLC,615,N
February,10,Thursday,930,Morning,YV,PWM,IAD,494,N
May,17,Monday,615,Morning,WN,RNO,SJC,188,N
July,7,Wednesday,1124,Morning,OO,IDA,SLC,188,N
March,4,Friday,1127,Morning,NW,MCO,DTW,957,N
April,11,Monday,2141,Evening,OO,ORD,MEM,491,Y
April,8,Friday,725,Morning,OH,SAT,CVG,1024,Y
October,7,Friday,2112,Evening,DL,SLC,PDX,630,N
April,5,Monday,550,Night,WN,PHX,LAS,256,N
July,16,Sunday,1806,Evening,DL,ATL,PHL,665,N
March,27,Sunday,1125,Morning,WN,ONT,SMF,389,N
March,17,Thursday,1815,Evening,NW,PHX,MSP,1276,Y
February,27,Sunday,1915,Evening,B6,FLL,JFK,1069,N
April,27,Wednesday,750,Morning,OO,LAX,ABQ,677,N
May,13,Thursday,1329,Afternoon,DL,ATL,JAX,270,N
December,23,Thursday,1727,Afternoon,OO,ACV,SFO,250,Y
October,1,Sunday,1337,Afternoon,B6,JFK,PBI,1028,Y
April,11,Sunday,1618,Afternoon,DL,ATL,LAX,1946,N
April,29,Thursday,828,Morning,NW,CHS,DTW,668,N
July,27,Wednesday,1323,Afternoon,WN,PHL,MCO,861,Y
February,23,Tuesday,657,Morning,DL,STL,ATL,483,N
November,26,Friday,1024,Morning,NW,DTW,LAN,74,N
December,23,Thursday,555,Night,OH,BGM,CVG,506,N
March,11,Thursday,1747,Afternoon,UA,MSY,ORD,837,N
May,4,Wednesday,1820,Evening,UA,DEN,MSP,680,N
July,13,Tuesday,1229,Afternoon,EV,ATL,MSP,906,N
February,20,Sunday,1534,Afternoon,HA,OGG,KOA,84,N
September,10,Friday,1729,Afternoon,OH,JFK,STL,892,N
November,16,Tuesday,1407,Afternoon,AA,LGA,BNA,764,N
July,18,Monday,1856,Evening,UA,DEN,RNO,804,Y
April,13,Wednesday,926,Morning,MQ,LGA,RDU,431,N
September,28,Wednesday,1748,Afternoon,CO,SFO,IAH,1635,N
June,17,Thursday,1425,Afternoon,OH,DSM,CVG,505,N
April,17,Sunday,2029,Evening,XE,CLE,BNA,448,N
March,10,Thursday,802,Morning,OO,SLC,IDA,188,N
June,2,Thursday,1804,Evening,EV,ATL,EVV,350,Y
May,15,Sunday,726,Morning,CO,EWR,MCO,938,N
March,28,Monday,1656,Afternoon,UA,ORD,PIT,412,Y
June,2,Wednesday,1653,Afternoon,US,MCI,CLT,809,N
June,3,Thursday,2017,Evening,DL,MOB,ATL,302,Y
February,2,Wednesday,710,Morning,WN,BWI,MCO,787,N
June,24,Thursday,1002,Morning,FL,CAK,ATL,528,N
April,12,Tuesday,925,Morning,DL,ATL,SAT,874,N
March,6,Sunday,1712,Afternoon,NW,MSP,LAS,1300,N
May,21,Friday,1604,Afternoon,MQ,SAN,SJC,417,N
August,6,Sunday,1917,Evening,US,DCA,TPA,814,N
February,21,Sunday,1259,Afternoon,DL,SNA,SLC,588,N
May,6,Friday,1901,Evening,US,RSW,CLT,600,N
April,6,Tuesday,621,Morning,NW,DCA,DTW,405,N
April,8,Thursday,1046,Morning,MQ,LIT,DFW,304,N
January,17,Sunday,645,Morning,EV,FAY,ATL,331,N
September,18,Sunday,1641,Afternoon,EV,DSM,ATL,743,N
February,10,Thursday,1453,Afternoon,OO,DEN,ELP,563,N
April,7,Wednesday,1525,Afternoon,MQ,LIT,DFW,304,N
June,29,Wednesday,1606,Afternoon,XE,SHV,IAH,192,Y
February,1,Tuesday,1123,Morning,WN,TUS,SAN,367,N
December,31,Sunday,1503,Afternoon,WN,DEN,LAS,629,N
November,21,Monday,1311,Afternoon,NW,IND,DTW,231,N
May,31,Monday,959,Morning,UA,STL,ORD,258,N
December,15,Wednesday,1456,Afternoon,MQ,LAX,SAN,109,N
August,10,Tuesday,2255,Evening,EV,ATL,LEX,303,N
August,4,Thursday,1445,Afternoon,AQ,HNL,ITO,216,N
November,15,Monday,705,Morning,DH,CAE,IAD,401,N
December,3,Sunday,1507,Afternoon,OO,SLC,RNO,422,N
March,31,Thursday,1311,Afternoon,XE,PHL,CLE,363,N
December,3,Sunday,1220,Afternoon,OH,JFK,BUF,301,N
June,2,Wednesday,1710,Afternoon,WN,SLC,BOI,291,N
March,12,Friday,2022,Evening,OO,TUS,LAX,451,N
August,13,Sunday,1808,Evening,AA,MCO,DFW,984,Y
July,2,Friday,1334,Afternoon,NW,MSP,MCO,1310,N
September,5,Sunday,2233,Evening,OO,SFO,SBP,191,N
May,6,Friday,1401,Afternoon,WN,OAK,PDX,543,Y
September,23,Friday,1906,Evening,WN,PVD,TPA,1137,N
May,20,Friday,1209,Afternoon,AA,ONT,DFW,1189,N
February,27,Sunday,1908,Evening,OH,DCA,BOS,399,N
December,26,Sunday,758,Morning,AS,SEA,KTN,680,N
November,27,Sunday,831,Morning,OO,ORD,SGF,438,N
October,29,Sunday,1715,Afternoon,NW,ROC,DTW,296,N
April,7,Thursday,630,Morning,XE,CHS,IAH,925,N
July,10,Sunday,652,Morning,XE,CRP,IAH,201,N
August,22,Sunday,638,Morning,OO,MFR,SLC,575,N
December,5,Sunday,1640,Afternoon,WN,OAK,SAN,446,N
August,21,Sunday,733,Morning,DL,IAD,ATL,533,N
June,29,Wednesday,2055,Evening,AA,DFW,BNA,631,N
July,19,Monday,1838,Evening,NW,MSP,RDU,981,N
August,15,Monday,1700,Afternoon,EV,VLD,ATL,208,Y
February,5,Sunday,2040,Evening,US,PHL,SFO,2521,Y
December,25,Sunday,809,Morning,WN,PHL,HOU,1335,Y
October,21,Friday,1313,Afternoon,EV,MDW,ATL,590,N
December,19,Sunday,1455,Afternoon,OH,CVG,ALB,623,N
April,20,Tuesday,1725,Afternoon,NW,TPA,DTW,983,N
June,14,Monday,1442,Afternoon,DL,AUS,CVG,958,N
December,5,Sunday,1229,Afternoon,UA,DEN,LGA,1619,N
March,21,Monday,2125,Evening,WN,DAL,TUL,237,N
August,29,Sunday,1920,Evening,XE,CLE,ABE,339,N
June,16,Wednesday,1120,Morning,WN,OAK,SNA,371,Y
November,22,Tuesday,709,Morning,WN,ELP,AUS,528,N
September,21,Wednesday,1140,Morning,WN,SAT,DAL,248,N
December,11,Sunday,2352,Evening,UA,ORD,SFO,1846,Y
April,27,Tuesday,920,Morning,OH,RIC,CVG,413,N
May,21,Sunday,949,Morning,NW,DTW,PVD,614,N
December,29,Thursday,1500,Afternoon,NW,DTW,TPA,983,Y
January,19,Wednesday,2053,Evening,MQ,BOS,JFK,187,N
August,10,Wednesday,2115,Evening,MQ,DFW,AMA,313,Y
October,4,Tuesday,1152,Morning,CO,IAH,MCO,853,N
September,10,Friday,730,Morning,WN,OAK,SNA,371,N
August,24,Tuesday,1649,Afternoon,HP,BWI,PHX,1999,N
May,22,Sunday,1456,Afternoon,MQ,DFW,LIT,304,N
December,19,Sunday,727,Morning,XE,OKC,EWR,1325,N
August,20,Sunday,616,Morning,MQ,MKE,ORD,67,N
September,19,Monday,1228,Afternoon,US,TPA,PIT,873,N
October,6,Thursday,754,Morning,AS,SEA,ANC,1449,N
February,24,Thursday,1010,Morning,US,PHX,IND,1489,N
January,11,Monday,1055,Morning,OH,SGF,CVG,491,Y
August,30,Monday,1931,Evening,DL,ATL,DTW,594,N
December,19,Monday,1647,Afternoon,OO,TYS,ORD,475,N
February,10,Thursday,1557,Afternoon,CO,BWI,IAH,1235,N
August,28,Sunday,1142,Morning,US,PHL,RDU,336,N
August,31,Tuesday,1625,Afternoon,AA,ORD,SEA,1721,N
April,5,Monday,1459,Afternoon,OO,CLE,DEN,1201,N
December,27,Tuesday,1110,Morning,OH,CVG,ROA,282,N
January,19,Wednesday,1743,Afternoon,DL,ATL,LEX,303,N
September,19,Sunday,1430,Afternoon,OH,TPA,LEX,704,N
September,30,Thursday,1905,Evening,WN,MAF,AUS,294,N
August,14,Sunday,1603,Afternoon,AS,LAX,SEA,954,N
October,27,Thursday,2202,Evening,MQ,ORD,GSP,577,Y
January,20,Thursday,1927,Evening,US,CLT,ROC,573,N
July,4,Monday,1714,Afternoon,WN,LAS,ELP,584,N
October,27,Thursday,956,Morning,AA,SAN,DFW,1171,N
June,2,Wednesday,654,Morning,DL,STL,ATL,483,N
August,2,Tuesday,1034,Morning,AA,SAT,DFW,247,N
July,31,Sunday,45,Night,DL,LAX,ATL,1946,Y
July,17,Sunday,1047,Morning,WN,SMF,LAX,373,N
October,12,Tuesday,1724,Afternoon,UA,DEN,SMF,910,Y
March,10,Thursday,727,Morning,AA,ORF,DFW,1213,N
December,28,Tuesday,943,Morning,EV,ATL,SAV,215,Y
November,17,Wednesday,1900,Evening,EV,CVG,TOL,181,Y
February,22,Tuesday,600,Morning,WN,PDX,OAK,543,N
May,3,Tuesday,1150,Morning,OH,CHO,CVG,342,N
December,27,Monday,2224,Evening,WN,SJC,ONT,333,Y
December,22,Wednesday,1101,Morning,EV,SHV,ATL,552,N
April,3,Sunday,1644,Afternoon,UA,SFO,OGG,2338,N
May,24,Tuesday,1208,Afternoon,UA,SJC,DEN,948,Y
November,7,Monday,1418,Afternoon,DL,ATL,SAT,874,N
November,25,Thursday,2022,Evening,AS,ANC,SEA,1449,N
June,15,Tuesday,1500,Afternoon,AA,DFW,DTW,987,N
August,1,Monday,1413,Afternoon,DL,ATL,CHS,259,N
May,27,Thursday,1102,Morning,DL,DAB,ATL,366,N
April,4,Monday,1450,Afternoon,WN,CLE,LAS,1825,N
March,14,Sunday,810,Morning,UA,EGE,DEN,121,N
March,5,Friday,1149,Morning,OO,DEN,FAT,844,N
May,28,Sunday,1514,Afternoon,XE,EWR,MCI,1092,N
December,29,Wednesday,1941,Evening,AA,RSW,ORD,1120,N
May,27,Thursday,2045,Evening,XE,CLE,MSN,402,N
September,7,Tuesday,1608,Afternoon,AA,MCO,BOS,1121,N
August,27,Friday,2023,Evening,HP,SFO,LAS,414,N
September,11,Sunday,558,Night,AS,ANC,SEA,1449,N
February,20,Sunday,1652,Afternoon,XE,CLE,DFW,1021,N
April,20,Tuesday,2111,Evening,US,CLT,DCA,331,N
September,1,Wednesday,1827,Evening,OO,SLC,FCA,532,N
January,17,Sunday,1714,Afternoon,DL,RDU,ATL,356,N
October,5,Tuesday,659,Morning,AA,IAH,DFW,224,N
May,10,Tuesday,1003,Morning,UA,ORD,OAK,1835,N
February,24,Thursday,943,Morning,OO,BOI,SLC,291,N
August,16,Tuesday,558,Night,AS,SEA,SJC,697,N
July,23,Sunday,938,Morning,NW,PHL,DTW,453,N
May,19,Thursday,1451,Afternoon,OO,SAN,SLC,626,N
December,8,Thursday,724,Morning,US,IAD,PHX,1956,Y
October,22,Sunday,2326,Evening,B6,JFK,CMH,483,Y
April,15,Thursday,1146,Morning,DL,SNA,ATL,1919,N
August,23,Tuesday,1015,Morning,MQ,GSP,DFW,862,N
September,16,Friday,1741,Afternoon,MQ,TYS,ORD,475,N
May,20,Thursday,1156,Morning,NW,GRR,DTW,120,N
August,22,Monday,1114,Morning,XE,EWR,RDU,416,N
August,28,Sunday,1640,Afternoon,AA,MFE,DFW,468,N
January,16,Sunday,1953,Evening,US,PHL,PIT,267,N
July,14,Wednesday,643,Morning,HP,LAX,PHX,370,N
December,21,Tuesday,655,Morning,XE,MCI,EWR,1092,N
September,18,Sunday,1738,Afternoon,AA,BOS,DFW,1562,N
June,29,Wednesday,657,Morning,US,ELP,PHX,347,Y
September,8,Thursday,1916,Evening,XE,IAH,GRR,1042,N
November,11,Friday,1036,Morning,AA,DFW,BUR,1231,N
December,28,Tuesday,1907,Evening,DL,SLC,SEA,689,N
March,20,Sunday,1239,Afternoon,UA,LAS,ORD,1515,N
September,21,Wednesday,1302,Afternoon,HA,HNL,SFO,2398,N
October,10,Sunday,2205,Evening,DL,ATL,SAN,1891,Y
October,24,Sunday,1305,Afternoon,OO,BIS,DEN,517,N
January,25,Monday,1803,Evening,XE,JAN,IAH,351,N
September,23,Friday,1533,Afternoon,OH,CVG,AVL,275,Y
May,10,Tuesday,1031,Morning,MQ,SAN,SJC,417,N
January,7,Thursday,1333,Afternoon,NW,EWR,MSP,1008,N
October,15,Sunday,1446,Afternoon,OO,ORD,MKE,67,N
April,5,Monday,919,Morning,EV,CAK,CVG,214,N
February,10,Thursday,606,Morning,US,FLL,PHL,992,N
February,17,Thursday,1637,Afternoon,US,JAX,DCA,634,N
July,19,Tuesday,701,Morning,UA,GSO,ORD,590,N
August,31,Tuesday,1905,Evening,WN,DAL,LIT,296,Y
May,23,Sunday,2055,Evening,OH,DTW,CVG,229,Y
January,27,Wednesday,855,Morning,US,PIT,PBI,952,N
September,9,Friday,1115,Morning,OH,BUF,CVG,410,N
May,17,Monday,1702,Afternoon,B6,TPA,JFK,1005,Y
December,24,Friday,706,Morning,F9,DEN,DFW,641,N
November,18,Friday,1426,Afternoon,NW,MSO,MSP,1013,Y
March,16,Wednesday,2027,Evening,US,PIT,PHL,267,N
March,22,Monday,1131,Morning,AA,MSY,ORD,837,N
January,27,Thursday,700,Morning,MQ,BGR,BOS,201,N
February,15,Tuesday,1145,Morning,NW,BNA,MEM,200,N
May,20,Friday,1035,Morning,UA,LAX,MCO,2217,N
August,16,Monday,809,Morning,OO,SLC,RNO,422,N
May,12,Thursday,1030,Morning,EV,ATL,MLU,448,N
January,28,Friday,638,Morning,WN,OKC,PHX,833,N
August,19,Friday,1450,Afternoon,XE,IND,CLE,261,N
November,24,Wednesday,1427,Afternoon,NW,IND,DTW,231,N
August,15,Monday,1615,Afternoon,WN,PHL,BDL,196,N
November,2,Tuesday,1008,Morning,MQ,DFW,JAN,408,N
November,13,Sunday,746,Morning,FL,JAX,ATL,270,Y
November,9,Tuesday,1807,Evening,AA,DFW,ELP,551,N
July,27,Wednesday,1435,Afternoon,EV,OKC,SLC,866,N
January,9,Sunday,1119,Morning,OO,IDA,SLC,188,N
December,14,Tuesday,659,Morning,AA,LAX,FLL,2342,N
January,17,Monday,1246,Afternoon,US,SNA,PHX,338,N
January,25,Monday,626,Morning,MQ,OKC,ORD,693,N
