Category,Description,Ash,Beta Carotene,Carbohydrate,Cholesterol,Fiber,Kilocalories,Lutein and Zeaxanthin,Lycopene,Manganese,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat: Monosaturated Fat,Fat: Polysaturated Fat,Fat: Saturated Fat,Fat: Total Lipid,Major Minerals: Calcium,Major Minerals: Copper,Major Minerals: Iron,Major Minerals: Magnesium,Major Minerals: Phosphorus,Major Minerals: Potassium,Major Minerals: Sodium,Major Minerals: Zinc,Vitamins: Vitamin A - IU,Vitamins: Vitamin A - RAE,Vitamins: Vitamin B12,Vitamins: Vitamin B6,Vitamins: Vitamin C,Vitamins: Vitamin E,Vitamins: Vitamin K
Cheese,"Cheese,Colby",3.36,82,2.57,95,0,394,0,0,0.012,0.093,23.76,257,0.375,14.5,0.519999981,0.015,38.2,9.28,0.953,20.218,32.11,685,0.042,0.76,26,457,127,604,3.07,994,264,0.83,0.079,0,0.28,2.7
Cheese,"Cheese,Cottage,Crmd,Lrg Or Sml Curd",1.41,12,3.38,17,0,98,0,0,0.002,0.099,11.12,36,0.163,9.7,2.670000076,0.027,79.79,0.778,0.123,1.718,4.3,83,0.029,0.07,8,159,104,364,0.4,140,37,0.43,0.046,0,0.08,0
Cheese,"Cheese,Cottage,Crmd,W/Fruit",1.2,14,4.61,13,0.200000003,97,0,0,0.003,0.15,10.69,37,0.142,7.7,2.380000114,0.033,79.64,1.036,0.124,2.311,3.85,53,0.04,0.16,7,113,90,344,0.33,146,38,0.53,0.068,1.4,0.04,0.4
Cheese,"Cheese,Cottage,Nonfat,Uncrmd,Dry,Lrg Or Sml Curd",1.71,0,6.66,7,0,72,0,0,0.022,0.144,10.34,2,0.226,9.4,1.850000024,0.023,81.01,0.079,0.003,0.169,0.29,86,0.03,0.15,11,190,137,330,0.47,8,2,0.46,0.016,0,0.01,0
Cheese,"Cheese,Cottage,Lowfat,2% Milkfat",1.36,6,3.66,10,0,86,0,0,0.007,0.108,11.83,19,0.198,9.9,3.670000076,0.041,80.69,0.443,0.07,0.979,2.45,91,0.03,0.15,7,163,84,330,0.41,74,20,0.45,0.022,0,0.04,0
Cheese,"Cheese,Cottage,Lowfat,1% Milkfat",1.39,3,2.72,4,0,72,0,0,0.003,0.128,12.39,11,0.165,9,2.720000029,0.021,82.48,0.291,0.031,0.645,1.02,61,0.028,0.14,5,134,86,406,0.38,41,11,0.63,0.068,0,0.01,0.1
Cheese,"Cheese,Cream",1.32,41,4.07,110,0,342,0,0,0.011,0.145,5.93,359,0.125,2.4,3.210000038,0.02,54.44,8.62,1.437,19.292,34.24,98,0.019,0.38,9,106,138,321,0.51,1265,362,0.25,0.035,0,0.65,3.4
Cheese,"Cheese,Edam",4.22,11,1.43,89,0,357,0,0,0.011,0.082,24.99,242,0.389,14.5,1.429999948,0.037,41.56,8.125,0.665,17.572,27.8,731,0.036,0.44,30,536,188,965,3.75,825,243,1.54,0.076,0,0.24,2.3
Cheese,"Cheese,Feta",5.2,3,4.09,89,0,264,0,0,0.028,0.991,14.21,125,0.844,15,4.090000153,0.154,55.22,4.623,0.591,14.946,21.28,493,0.032,0.65,19,337,62,1116,2.88,422,125,1.69,0.424,0,0.18,1.8
Cheese,"Cheese,Fontina",3.79,32,1.55,116,0,389,0,0,0.014,0.15,25.6,258,0.204,14.5,1.549999952,0.021,37.92,8.687,1.654,19.196,31.14,550,0.025,0.23,14,346,64,800,3.5,913,261,1.68,0.083,0,0.27,2.6
Cheese,"Cheese,Gjetost",4.75,0,42.65,94,0,466,0,0,0.04,0.813,9.65,334,1.382,14.5,0,0.315,13.44,7.879,0.938,19.16,29.51,400,0.08,0.52,70,444,1409,600,1.14,1113,334,2.42,0.271,0,0,0
Cheese,"Cheese,Gouda",3.94,10,2.22,114,0,356,0,0,0.011,0.063,24.94,164,0.334,14.5,2.220000029,0.03,41.46,7.747,0.657,17.614,27.44,700,0.036,0.24,29,546,121,819,3.9,563,165,1.54,0.08,0,0.24,2.3
Cheese,"Cheese,Gruyere",4.3,33,0.36,110,0,413,0,0,0.017,0.106,29.81,268,0.279,14.5,0.360000014,0.06,33.19,10.043,1.733,18.913,32.34,1011,0.032,0.17,36,605,81,336,3.9,948,271,1.6,0.081,0,0.28,2.7
Cheese,"Cheese,Limburger",3.79,15,0.49,90,0,327,0,0,0.038,0.158,20.05,339,0.503,14.5,0.49000001,0.08,48.42,8.606,0.495,16.746,27.25,497,0.021,0.13,21,393,128,800,2.1,1155,340,1.04,0.086,0,0.23,2.3
Cheese,"Cheese,Monterey",3.55,78,0.68,89,0,373,0,0,0.011,0.093,24.48,192,0.39,14.5,0.5,0.015,41.01,8.751,0.899,19.066,30.28,746,0.032,0.72,27,444,81,536,3,769,198,0.83,0.079,0,0.26,2.5
Cheese,"Cheese,Mozzarella,Whl Milk",3.28,57,2.19,79,0,300,0,0,0.03,0.104,22.17,174,0.283,17,1.029999971,0.03,50.01,6.573,0.765,13.152,22.35,505,0.011,0.44,20,354,76,627,2.92,676,179,2.28,0.037,0,0.19,2.3
Cheese,"Cheese,Mozzarella,Whl Milk,Lo Moist",2.91,63,2.47,89,0,318,0,0,0.009,0.094,21.6,192,0.27,16.1,1.00999999,0.016,48.38,7.027,0.778,15.561,24.64,575,0.022,0.2,21,412,75,415,2.46,745,197,0.73,0.062,0,0.21,2.5
Cheese,"Cheese,Mozzarella,Part Skim Milk",3.27,41,2.77,64,0,254,0,0,0.01,0.105,24.26,124,0.303,14.4,1.129999995,0.018,53.78,4.51,0.472,10.114,15.92,782,0.025,0.22,23,463,84,619,2.76,481,127,0.82,0.07,0,0.14,1.6
Cheese,"Cheese,Mozzarella,Part Skim Milk,Lo Moist",3.72,44,3.83,54,0,302,0,0,0.011,0.119,25.96,133,0.329,16.3,0.600000024,0.101,46.46,5.73,0.626,12.67,20.03,731,0.027,0.25,26,524,95,528,3.13,517,137,2.31,0.079,0,0.37,1.3
Cheese,"Cheese,Muenster",3.66,13,1.12,96,0,368,0,0,0.008,0.103,23.41,297,0.32,14.5,1.120000005,0.013,41.77,8.711,0.661,19.113,30.04,717,0.031,0.41,27,468,134,628,2.81,1012,298,1.47,0.056,0,0.26,2.5
Cheese,"Cheese,Neufchatel",1.37,27,3.59,74,0,253,0,0,0.011,0.21,9.15,239,0.155,3,3.190000057,0.022,63.11,5.784,0.97,12.79,22.78,117,0.027,0.13,10,138,152,334,0.82,841,241,0.3,0.041,0,0.4,1.7
Cheese,"Cheese,Parmesan,Grated",8.03,31,4.06,88,0,431,0,0,0.085,0.114,38.46,117,0.486,17.7,0.899999976,0.029,20.84,8.375,1.173,17.301,28.61,1109,0.238,0.9,38,729,125,1529,3.87,442,120,2.26,0.049,0,0.26,1.9
Cheese,"Cheese,Parmesan,Hard",6.04,28,3.22,68,0,392,0,0,0.02,0.271,35.75,106,0.332,22.5,0.800000012,0.039,29.16,7.515,0.569,16.41,25.83,1184,0.032,0.82,44,694,92,1602,2.75,399,108,1.2,0.091,0,0.23,1.7
Cheese,"Cheese,Port De Salut",2,29,0.57,123,0,352,0,0,0.011,0.06,23.78,313,0.24,14.5,0.569999993,0.014,45.45,9.338,0.729,16.691,28.2,650,0.022,0.43,24,360,136,534,2.6,1092,315,1.5,0.053,0,0.24,2.4
Cheese,"Cheese,Provolone",4.71,68,2.14,69,0,351,0,0,0.01,0.156,25.58,230,0.321,14.5,0.560000002,0.019,40.95,7.393,0.769,17.078,26.62,756,0.026,0.52,28,496,138,876,3.23,880,236,1.46,0.073,0,0.23,2.2
Cheese,"Cheese,Ricotta,Whole Milk",1.02,33,3.04,51,0,174,0,0,0.006,0.104,11.26,117,0.195,14.5,0.270000011,0.013,71.7,3.627,0.385,8.295,12.98,207,0.021,0.38,11,158,105,84,1.16,445,120,0.34,0.043,0,0.11,1.1
Cheese,"Cheese,Ricotta,Part Skim Milk",1.15,20,5.14,31,0,138,0,0,0.01,0.078,11.39,105,0.185,16.7,0.310000002,0.021,74.41,2.314,0.26,4.927,7.91,272,0.034,0.44,15,183,125,125,1.34,384,107,0.29,0.02,0,0.07,0.7
Cheese,"Cheese,Romano",6.72,69,3.63,104,0,387,0,0,0.02,0.077,31.8,90,0.37,14.5,0.730000019,0.037,30.91,7.838,0.593,17.115,26.94,1064,0.03,0.77,41,760,86,1200,2.58,415,96,1.12,0.085,0,0.23,2.2
Cheese,"Cheese,Roquefort",6.44,0,2,90,0,369,0,0,0.03,0.734,21.54,290,0.586,14.5,0,0.04,39.38,8.474,1.32,19.263,30.64,662,0.034,0.56,30,392,91,1809,2.08,1047,294,0.64,0.124,0,0,0
Cheese,"Cheese,Swiss",2.77,70,5.38,92,0,380,0,0,0.005,0.092,26.93,214,0.296,18.2,1.320000052,0.063,37.12,7.274,0.972,17.779,27.8,791,0.043,0.2,38,567,77,192,4.36,830,220,3.34,0.083,0,0.38,2.5
Cheese,"Cheese,Tilsit",4.87,0,1.88,102,0,340,0,0,0.013,0.205,24.41,236,0.359,14.5,0,0.061,42.86,7.136,0.721,16.775,25.98,700,0.026,0.23,13,500,65,753,3.5,1045,249,2.1,0.065,0,0,0
Cheese,"Cheese,Past Process,American,W/Di Na Po4",5.84,82,1.6,94,0,375,0,0,0.008,0.069,22.15,247,0.353,14.4,0.50999999,0.027,39.16,8.951,0.99,19.694,31.25,552,0.016,0.19,27,513,169,1489,2.84,961,254,0.7,0.071,0,0.27,2.7
Cheese,"Cheese,Past Process,Pimento",5.84,151,1.73,94,0.100000001,375,20,0,0.016,0.078,22.13,235,0.354,14.5,0.629999995,0.027,39.08,8.937,0.988,19.663,31.2,614,0.033,0.42,22,744,162,1428,2.98,1045,248,0.7,0.071,2.3,0.29,2.9
Cheese,"Cheese,Past Process,Swiss,W/Di Na Po4",5.85,63,2.1,85,0,334,0,0,0.014,0.038,24.73,192,0.276,15.9,1.230000019,0.014,42.31,7.046,0.622,16.045,25.01,772,0.027,0.61,29,762,216,1370,3.61,746,198,1.23,0.036,0,0.34,2.2
Cheese Fd,"Cheese Fd,Cold Pk,American",4.44,0,8.32,64,0,331,0,0,0.01,0.074,19.66,148,0.446,16.2,0,0.03,43.12,7.165,0.719,15.355,24.46,497,0.03,0.84,30,400,363,966,3.01,705,159,1.28,0.141,0,0,0
Cheese Fd,"Cheese Fd,Past Process,American,Wo/Di Na Po4",5.38,65,7.83,80,0,330,0,0,0.073,0.17,18.4,196,0.517,16.1,7.429999828,0.068,43.21,7.214,1.108,14.895,25.18,570,0.085,0.57,31,439,291,1265,3.19,761,201,1.26,0.073,0,0.22,3.4
Cheese Fd,"Cheese Fd,Past Process,Swiss",5.77,0,4.5,82,0,323,0,0,0.01,0.104,21.92,233,0.4,16.1,0,0.014,43.67,6.801,0.6,15.487,24.14,723,0.03,0.6,28,526,284,1552,3.55,856,237,2.3,0.035,0,0,0
Cheese Sprd,"Cheese Sprd,Past Process,American,Wo/Di Na Po4",5.98,55,8.73,55,0,290,0,0,0.02,0.131,16.41,168,0.431,11.3,7.320000172,0.048,47.65,6.219,0.624,13.327,21.23,562,0.033,0.33,29,712,242,1345,2.59,653,173,0.4,0.117,0,0.19,1.8
Cream,"Cream,Fluid,Half And Half",0.67,22,4.3,37,0,130,0,0,0.001,0.078,2.96,95,0.149,1.8,0.159999996,0.035,80.57,3.321,0.427,7.158,11.5,105,0.01,0.07,10,95,130,41,0.51,354,97,0.33,0.039,0.9,0.33,1.3
Cream,"Cream,Fluid,Lt (Coffee Crm Or Table Crm)",0.58,37,3.66,66,0,195,0,0,0.001,0.057,2.7,178,0.148,0.6,0.140000001,0.032,73.75,5.577,0.717,12.02,19.31,96,0.008,0.04,9,80,122,40,0.27,656,181,0.22,0.032,0.8,0.55,1.7
Cream,"Cream,Fluid,Lt Whipping",0.46,60,2.96,111,0,292,0,0,0.001,0.042,2.17,274,0.125,0.5,0.109999999,0.024,63.5,9.093,0.884,19.337,30.91,69,0.007,0.03,7,61,97,34,0.25,1013,279,0.2,0.028,0.6,0.88,2.7
Cream,"Cream,Fluid,Hvy Whipping",0.45,72,2.79,137,0,345,0,0,0.001,0.039,2.05,405,0.11,0.5,0.109999999,0.022,57.71,10.686,1.374,23.032,37,65,0.006,0.03,7,62,75,38,0.23,1470,411,0.18,0.026,0.6,1.06,3.2
Cream,"Cream,Whipped,Crm Topping,Pressurized",0.76,43,12.49,76,0,257,0,0,0.001,0.07,3.2,184,0.065,1.4,8,0.037,61.33,6.418,0.825,13.831,22.22,101,0.01,0.05,11,89,147,130,0.37,685,188,0.29,0.041,0,0.64,1.9
Cream,"Cream,Sour,Red Fat,Cultured",0.66,23,4.26,39,0,135,0,0,0.003,0.067,2.94,100,0.149,2.1,0.159999996,0.035,80.14,3.466,0.446,7.47,12,104,0.016,0.07,10,95,129,41,0.5,372,102,0.3,0.016,0.9,0.34,0.6
Cream,"Cream,Sour,Cultured",0.85,26,2.88,52,0,193,0,0,0.011,0.109,2.07,160,0.172,2.6,3.5,0.036,74.46,5.068,0.84,11.507,19.73,110,0.019,0.17,10,115,141,80,0.38,576,162,0.28,0.057,0.9,0.44,1.8
No Category,Eggnog,0.8,6,13.54,59,0,135,54,0,0.005,0.105,3.81,45,0.19,4.2,8.409999847,0.034,74.37,2.233,0.339,4.443,7.48,130,0.013,0.2,19,109,165,54,0.46,161,46,0.45,0.05,1.5,0.2,0.2
Sour Drsng,"Sour Drsng,Non-Butterfat,Cultured,Filled Cream-Type",0.71,0,4.68,5,0,178,0,0,0.002,0.074,3.25,3,0.163,2.3,4.679999828,0.038,74.79,1.958,0.468,13.272,16.57,113,0.01,0.03,10,87,162,48,0.37,10,3,0.33,0.017,0.9,1.34,4.1
Milk,"Milk,Filled,Fluid,W/Blend Of Hydr Veg Oils",0.8,0,4.74,2,0,63,0,0,0.002,0.087,3.33,2,0.123,2,0,0.03,87.67,1.783,0.75,0.768,3.46,128,0.01,0.05,13,97,139,57,0.36,7,2,0.34,0.04,0.9,0,0
Milk,"Milk,Filled,Fluid,W/Lauric Acid Oil",0.8,0,4.74,2,0,63,0,0,0.002,0.087,3.33,2,0.123,2,4.739999771,0.03,87.73,0.1,0.01,3.101,3.4,128,0.01,0.05,13,97,139,57,0.36,7,2,0.34,0.04,0.9,0.13,0.8
Cream Sub,"Cream Sub,Liq,W/Hydr Veg Oil&Soy Prot",0.38,9,11.38,0,0,136,0,0,0,0,1,0,0,1.1,11.38000011,0,77.27,7.551,0.027,1.937,9.97,9,0,0.03,0,64,191,79,0.02,15,1,0,0,0,0.81,2.5
Cream Sub,"Cream Sub,Liq,W/Lauric Acid Oil&Na Caseinate",0.38,0,11.38,0,0,136,0,0,0.04,0,1,0,0,1.1,0,0,77.27,0.106,0.003,9.304,9.97,9,0.025,0.03,0,64,191,79,0.02,89,4,0,0,0,0,0
Cream Substitute,"Cream Substitute,Powdered",2.64,20,54.88,0,0,545,0,0,0.22,0,4.79,0,0.165,0.6,54.88000107,0,2.21,0.968,0.014,32.525,35.48,22,0.115,1.15,4,422,812,181,0.51,33,2,0,0,0,0.59,8.8
Dessert Topping,"Dessert Topping,Powdered",1.17,108,52.54,0,0,577,0,0,0.225,0,4.9,0,0,0.6,52.54000092,0,1.47,0.6,0.447,36.723,39.92,17,0.118,0.03,7,74,166,122,0.08,180,9,0,0,0,1.52,9.9
Dessert Topping,"Dessert Topping,Pdr,1.5 Oz Prep W/1/2 Cup Milk",0.81,32,16.53,10,0,188,0,0,0.005,0.06,3.6,21,0.117,4.8,16.53000069,0.027,66.65,0.843,0.201,10.684,12.41,90,0.012,0.04,10,86,151,66,0.27,122,23,0.26,0.03,0.7,0.44,2.7
Dessert Topping,"Dessert Topping,Pressurized",0.28,47,16.07,0,0,264,0,0,0.045,0,0.98,0,0,1.5,16.06999969,0,60.37,1.927,0.241,18.912,22.3,5,0.024,0.02,1,18,19,62,0.01,78,4,0,0,0,0.85,5.5
Dessert Topping,"Dessert Topping,Semi Solid,Frz",0.18,86,23.05,0,0,318,0,0,0.058,0,1.25,0,0,2.1,23.04999924,0,50.21,1.616,0.523,21.783,25.31,6,0.03,0.12,2,8,18,25,0.03,143,7,0,0,0,0.96,6.3
Sour Crm,"Sour Crm,Imitn,Cultured",0.3,0,6.63,0,0,208,0,0,0.11,0,2.4,0,0,2.5,6.630000114,0,71.15,0.588,0.056,17.791,19.52,3,0.058,0.39,6,45,161,102,1.18,0,0,0,0,0,0.74,4.8
Milk Substitutes,"Milk Substitutes,Fluid W/Hydr Veg Oils",0.5,0,6.16,0,0,61,0,0,0.097,0,1.75,0,0.088,1.9,6.159999847,0.012,88.18,1.998,0.488,0.767,3.41,33,0.051,0.39,6,74,114,78,1.18,0,0,0,0,0,0.28,0.8
Milk Substitutes,"Milk Substitutes,Fluid,W/Lauric Acid Oil",0.5,0,6.16,0,0,61,0,0,0.097,0,1.75,0,0.088,1.9,0,0.012,88.18,0.176,0.008,3.037,3.41,33,0.051,0.39,6,74,114,78,1.18,0,0,0,0,0,0,0
Milk,"Milk,Whl,3.25% Milkfat",0.69,5,4.52,10,0,60,0,0,0.003,0.107,3.22,28,0.183,3.7,5.260000229,0.044,88.32,0.812,0.195,1.865,3.25,113,0.011,0.03,10,91,143,40,0.4,102,28,0.44,0.036,0,0.06,0.2
Milk,"Milk,Producer,Fluid,3.7% Milkfat",0.72,0,4.65,14,0,64,0,0,0.004,0.084,3.28,31,0.161,2,0,0.038,87.69,1.057,0.136,2.278,3.66,119,0.01,0.05,13,93,151,49,0.38,138,33,0.36,0.042,1.5,0,0
Milk,"Milk,Red Fat,Fluid,2%Milkfat,W/Added Vit A",0.71,3,4.68,8,0,50,0,0,0.003,0.092,3.3,55,0.185,2.5,5.059999943,0.039,89.33,0.56,0.073,1.257,1.97,117,0.012,0.03,11,94,150,41,0.43,189,55,0.46,0.038,0.2,0.03,0.2
Milk,"Milk,Red Fat,Fluid,2% Milkfat,W/ Nonfat Milk Sol&Vit A",0.77,0,4.97,8,0,51,0,0,0.002,0.09,3.48,55,0.173,2.3,0,0.04,88.86,0.555,0.071,1.195,1.92,128,0.008,0.05,14,100,162,52,0.4,204,56,0.38,0.045,1,0,0
Milk,"Milk,Red Fat,Fluid,2% Milkfat,Prot Fort,W/ Vit A",0.87,3,5.49,8,0,56,0,0,0.002,0.101,3.95,0,0.194,2.6,5.260000229,0.045,87.71,0.572,0.074,1.232,1.98,143,0.008,0.06,16,112,182,59,0.45,5,0,0.43,0.051,1.1,0.04,0.1
Milk,"Milk,Lowfat,Fluid,1% Milkfat,W/ Vit A",0.75,2,4.99,5,0,42,0,0,0.003,0.093,3.37,58,0.185,3.3,5.199999809,0.02,89.92,0.277,0.035,0.633,0.97,119,0.01,0.03,11,95,150,44,0.42,196,58,0.44,0.037,0,0.01,0.1
Milk,"Milk,Lowfat,Fluid,1% Milkfat,W/ Nonfat Milk Sol&Vit A",0.77,0,4.97,4,0,43,0,0,0.002,0.09,3.48,58,0.173,2.3,0,0.04,89.81,0.28,0.036,0.604,0.97,128,0.01,0.05,14,100,162,52,0.4,204,59,0.38,0.045,1,0,0
Milk,"Milk,Lowfat,Fluid,1% Milkfat,Prot Fort,W/ Vit A",0.86,0,5.52,4,0,48,0,0,0.002,0.1,3.93,61,0.192,2.5,0,0.045,88.74,0.338,0.043,0.728,1.17,142,0.01,0.06,16,111,180,58,0.45,203,61,0.43,0.05,1.2,0,0
Milk,"Milk,Nonfat,Fluid,W/ Vit A (Fat Free Or Skim)",0.75,0,4.96,2,0,34,0,0,0.003,0.094,3.37,61,0.182,3.1,5.090000153,0.045,90.84,0.021,0.003,0.051,0.08,125,0.013,0.03,11,101,156,42,0.42,204,61,0.53,0.037,0,0.01,0
Milk,"Milk,Nonfat,Fluid,W/ Nonfat Milk Sol&Vit A (Fat Free/Skim)",0.78,0,5.02,2,0,37,0,0,0.002,0.091,3.57,61,0.175,2.2,5.019999981,0.041,90.38,0.065,0.009,0.162,0.25,129,0.011,0.05,15,104,171,53,0.41,203,61,0.39,0.046,1,0,0
Milk,"Milk,Nonfat,Fluid,Prot Fort,W/ Vit A (Fat Free/Skim)",0.87,0,5.56,2,0,41,0,0,0.002,0.101,3.96,61,0.194,2.4,0,0.045,89.36,0.065,0.009,0.162,0.25,143,0.011,0.06,16,112,182,59,0.45,203,61,0.43,0.05,1.1,0,0
Milk,"Milk,Bttrmlk,Fluid,Cultured,Lowfat",0.89,1,4.79,4,0,40,0,0,0.002,0.058,3.31,7,0.154,2,4.789999962,0.034,90.13,0.254,0.033,0.548,0.88,116,0.011,0.05,11,89,151,105,0.42,26,7,0.22,0.034,1,0.05,0.1
Milk,"Milk,Low Sodium,Fluid",0.78,6,4.46,14,0,61,0,0,0.004,0.043,3.1,28,0.105,2,4.460000038,0.02,88.2,0.999,0.128,2.154,3.46,101,0.01,0.05,5,86,253,3,0.38,103,28,0.36,0.034,0.9,0.06,0.2
Milk,"Milk,Dry,Whole",6.08,43,38.42,97,0,496,0,0,0.04,0.646,26.32,253,1.205,16.3,38.41999817,0.283,2.47,7.924,0.665,16.742,26.71,912,0.08,0.47,85,776,1330,371,3.34,915,257,3.25,0.302,8.6,0.48,1.8
Milk,"Milk,Dry,Nonfat,Reg,Wo/ Vit A",7.93,1,51.98,20,0,362,0,0,0.02,0.951,36.16,6,1.55,27.3,51.97999954,0.415,3.16,0.201,0.03,0.499,0.77,1257,0.041,0.32,110,968,1794,535,4.08,22,6,4.03,0.361,6.8,0,0.1
Milk,"Milk,Dry,Nonfat,Inst,W/ Vit A",8.03,1,52.19,18,0,358,0,0,0.02,0.891,35.1,709,1.744,27.3,52.18999863,0.413,3.96,0.187,0.028,0.467,0.72,1231,0.041,0.31,117,985,1705,549,4.41,2365,709,3.99,0.345,5.6,0.01,0
Milk,"Milk,Dry,Nonfat,Ca Red",7.6,0,51.8,2,0,354,0,0,0.008,0.665,35.5,1,1.642,27.3,0,0.163,4.9,0.058,0.007,0.124,0.2,280,0.016,0.32,60,1011,680,2280,4.03,8,2,3.98,0.298,6.7,0,0
Milk,"Milk,Buttermilk,Dried",7.95,9,49,69,0,387,0,0,0.023,0.876,34.3,48,1.579,20.3,49,0.392,2.97,1.669,0.215,3.598,5.78,1184,0.111,0.3,110,933,1592,517,4.02,175,49,3.82,0.338,5.7,0.1,0.4
Milk,"Milk,Cnd,Cond,Swtnd",1.83,14,54.4,34,0,321,0,0,0.006,0.21,7.91,73,0.416,14.8,54.40000153,0.09,27.16,2.427,0.337,5.486,8.7,284,0.015,0.19,26,253,371,127,0.94,267,74,0.44,0.051,2.6,0.16,0.6
Milk,"Milk,Cnd,Evap,Wo/ Vit A",1.55,12,10.04,29,0,134,0,0,0.006,0.194,6.81,64,0.316,2.3,10.03999996,0.047,74.04,2.335,0.245,4.591,7.56,261,0.016,0.19,24,203,303,106,0.77,233,65,0.16,0.05,1.9,0.14,0.5
Milk,"Milk,Cnd,Evap,Nonfat",1.5,0,11.35,4,0,78,0,0,0.006,0.174,7.55,118,0.309,2.5,11.35000038,0.045,79.4,0.062,0.006,0.121,0.2,290,0.016,0.29,27,195,332,115,0.9,394,118,0.24,0.055,1.2,0,0
Milk,"Milk,Choc,Fluid,Comm,",0.8,5,10.34,12,0.800000012,83,0,0,0.077,0.125,3.17,26,0.162,1.9,9.539999962,0.037,82.3,0.99,0.124,2.104,3.39,112,0.065,0.24,13,101,167,60,0.41,95,26,0.33,0.04,0.9,0.06,0.2
Milk,"Milk,Choc,Fluid,Comm,Red Fat",0.81,11,12.13,8,0.699999988,76,0,0,0.062,0.164,2.99,63,0.183,3.4,9.550000191,0.045,82.17,0.455,0.089,1.177,1.9,109,0.075,0.24,14,102,169,66,0.39,227,64,0.33,0.024,0,0.04,0.2
Milk,"Milk,Choc,Fluid,Comm,Lowfat",0.82,2,10.44,3,0.5,63,0,0,0.077,0.127,3.24,58,0.166,1.9,9.93999958,0.038,84.5,0.3,0.035,0.616,1,115,0.065,0.24,13,103,170,61,0.41,196,58,0.34,0.041,0.9,0.02,0.1
Milk,"Milk,Choc Bev,Hot Cocoa,Homemade",0.65,3,10.63,8,1,77,0,0,0.013,0.133,3.52,51,0.182,2.7,9.670000076,0.039,82.57,0.677,0.034,1.431,2.33,105,0.103,0.48,23,105,197,44,0.63,175,51,0.42,0.04,0.2,0.03,0.2
