framework,parent,category,type,description
csa2025,1.5,1.5.B,Learning Objective,Describe conditions when an integer expression evaluates to a value out of range.
csa2025,1.5,1.5.C,Learning Objective,Describe conditions that limit accuracy of expressions.
csa2025,1.6,1.6.A,Learning Objective,Develop code for assignment statements with compound assignment operators and determine the value that is stored in the variable as a result.
csa2025,1.7,1.7.A,Learning Objective,Identify the attributes and behaviors of a class found in the libraries contained in an API.
csa2025,1.8,1.8.A,Learning Objective,Describe the functionality and use of code through comments.
csa2025,1.9,1.9.A,Learning Objective,Identify the correct method to call based on documentation and method signatures.
csa2025,1.9,1.9.B,Learning Objective,Describe how to call methods.
csa2025,1.10,1.10.A,Learning Objective,Develop code to call class methods and determine the result of those calls.
csa2025,1.11,1.11.A,Learning Objective,Develop code to write expressions that incorporate calls to built-in mathematical libraries and determine the value that is produced as a result.
csa2025,1.12,1.12.A,Learning Objective,Explain the relationship between a class and an object.
csa2025,1.12,1.12.B,Learning Objective,Develop code to declare variables to store reference types.
csa2025,1.13,1.13.A,Learning Objective,"Identify, using its signature, the correct constructor being called."
csa2025,1.13,1.13.B,Learning Objective,Develop code to declare variables of the correct types to hold object references.
csa2025,1.13,1.13.C,Learning Objective,Develop code to create an object by calling a constructor.
csa2025,1.14,1.14.A,Learning Objective,Develop code to call instance methods and determine the result of these calls.
csa2025,1.15,1.15.A,Learning Objective,Develop code to create string objects and determine the result of creating and combining strings.
csa2025,1.15,1.15.B,Learning Objective,Develop code to call methods on string objects and determine the result of calling these methods.
csa2025,2.1,2.1.A,Learning Objective,Represent patterns and algorithms that involve selection and repetition found in everyday life using written language or diagrams.
csa2025,2.2,2.2.A,Learning Objective,Develop code to create Boolean expressions with relational operators and determine the result of these expressions.
csa2025,2.3,2.3.A,Learning Objective,Develop code to represent branching logical processes by using selection statements and determine the result of these processes.
csa2025,2.4,2.4.A,Learning Objective,Develop code to represent nested branching logical processes and determine the result of these processes.
csa2025,2.5,2.5.A,Learning Objective,Develop code to represent compound Boolean expressions and determine the result of these expressions.
csa2025,2.6,2.6.A,Learning Objective,Compare equivalent Boolean expressions.
csa2025,2.6,2.6.B,Learning Objective,Develop code to compare object references using Boolean expressions and determine the result of these expressions.
csa2025,2.7,2.7.A,Learning Objective,Identify when an iterative process is required to achieve a desired result.
csa2025,2.7,2.7.B,Learning Objective,Develop code to represent iterative processes using while loops and determine the result of these processes.
csa2025,2.8,2.8.A,Learning Objective,Develop code to represent iterative processes using for loops and determine the result of these processes.
csa2025,2.9,2.9.A,Learning Objective,Develop code for standard and original algorithms (without data structures) and determine the result of these algorithms.
csa2025,2.10,2.10.A,Learning Objective,Develop code for standard and original algorithms that involve strings and determine the result of these algorithms.
csa2025,2.11,2.11.A,Learning Objective,Develop code to represent nested iterative processes and determine the result of these processes.
csa2025,2.12,2.12.A,Learning Objective,Calculate statement execution counts and informal run-time comparison of iterative statements.
csa2025,3.1,3.1.A,Learning Objective,Represent the design of a program by creating diagrams that indicate the classes in the program and the data and procedural abstractions found in each class by including all attributes and behaviors.
csa2025,3.2,3.2.A,Learning Objective,Explain the social and ethical implications of computing systems.
csa2025,3.2,3.2.B,Learning Objective,Describe the consequences of using artificial intelligence to develop code.
csa2025,3.3,3.3.A,Learning Objective,"Develop code to designate access and visibility constraints to classes, data, constructors, and methods."
csa2025,3.4,3.4.A,Learning Objective,Develop code to declare instance variables for the attributes to be initialized in the body of the constructors of a class.
csa2025,3.5,3.5.A,Learning Objective,Develop code to define behaviors of an object through methods written in a class using primitive values and determine the result of calling these methods.
csa2025,3.6,3.6.A,Learning Objective,Develop code to define behaviors of an object through methods written in a class using object references and determine the result of calling these methods.
csa2025,3.7,3.7.A,Learning Objective,Develop code to define behaviors of a class through class methods.
csa2025,3.7,3.7.B,Learning Objective,Develop code to declare the class variables that belong to the class.
csa2025,3.8,3.8.A,Learning Objective,Explain where variables can be used in the code.
csa2025,3.9,3.9.A,Learning Objective,Develop code for expressions that are self-referencing and determine the result of these expressions.
csa2025,4.1,4.1.A,Learning Objective,Explain the risks to privacy from collecting and storing personal data on computer systems
csa2025,4.1,4.1.B,Learning Objective,Explain the importance of recognizing data quality and potential issues when using a data set.
csa2025,4.1,4.1.C,Learning Objective,Identify an appropriate data set to use in order to solve a problem or answer a specific question.
csa2025,4.2,4.2.A,Learning Objective,Represent patterns and algorithms that involve data sets found in everyday life using written language or diagrams.
csa2025,4.3,4.3.A,Learning Objective,Develop code used to represent collections of related data using one-dimensional (1D) array objects.
csa2025,4.4,4.4.A,Learning Objective,Develop code used to traverse the elements in a 1D array and determine the result of these traversals.
csa2025,4.5,4.5.A,Learning Objective,Develop code for standard and original algorithms for a particular context or specification that involve arrays and determine the result of these algorithms.
csa2025,4.6,4.6.A,Learning Objective,Develop code to read data from a text file.
csa2025,4.7,4.7.A,Learning Objective,Develop code to use Integer and Double objects from their primitive counterparts and determine the result of using these objects.
csa2025,4.8,4.8.A,Learning Objective,Develop code for collections of related objects using ArrayList objects and the result of calling methods on these objects.
csa2025,4.9,4.9.A,Learning Objective,Develop code used to traverse the elements of an ArrayList and determine the results of these traversals.
csa2025,4.10,4.10.A,Learning Objective,Develop code for standard and original algorithms for a particular context or specification that involve ArrayList objects and determine the result of these algorithms.
csa2025,4.11,4.11.A,Learning Objective,Develop code used to represent collections of related data using two-dimensional (2D) array objects.
csa2025,4.12,4.12.A,Learning Objective,Develop code used to traverse the elements in a 2D array and determine the result of these traversals.
csa2025,4.13,4.13.A,Learning Objective,Develop code for standard and original algorithms for a particular context or specification that involve 2D arrays and determine the result of these algorithms.
csa2025,4.14,4.14.A,Learning Objective,Develop code used for linear search algorithms to search for specific information in a collection and determine the results of executing a search.
csa2025,4.15,4.15.A,Learning Objective,Determine the result of executing each step of sorting algorithms to sort the elements of a collection.
csa2025,4.16,4.16.A,Learning Objective,Determine the result of calling recursive methods.
csa2025,4.17,4.17.A,Learning Objective,Determine the result of executing recursive algorithms that use strings or collections.
csa2025,4.17,4.17.B,Learning Objective,Determine the result of each iteration of a binary search algorithm used to search for information in a collection.
csa2025,4.17,4.17.C,Learning Objective,Determine the result of each iteration of the merge sort algorithm when used to sort a collection.
