framework,parent,category,type,description
csa,CON-1,CON-1.D,Learning Objective,Evaluate expressions that use the Math class methods.
csa,CON-1,CON-1.E,Learning Objective,Evaluate Boolean expressions that use relational operators in program code.
csa,CON-1,CON-1.F,Learning Objective,Evaluate compoudn Boolean expressions in program code.
csa,CON-1,CON-1.G,Learning Objective,Compare and contrast equivalent Boolean expressions.
csa,CON-1,CON-1.H,Learning Objective,Compare object references using Boolean expressions in program code.
csa,CON-2,CON-2.A,Learning Objective,Represent branching logical processes by using conditional statements.
csa,CON-2,CON-2.B,Learning Objective,Represent branching logical processes by using nested conditional statements.
csa,CON-2,CON-2.C,Learning Objective,Represent iterative processes using a whileloop.
csa,CON-2,CON-2.D,Learning Objective,For algorithms in the context of a particular specification that does not require the use of traversals: • Identify standard algorithms. • Modify standard algorithms. • Develop an algorithm.
csa,CON-2,CON-2.E,Learning Objective,Represent iterative processes using a for loop.
csa,CON-2,CON-2.F,Learning Objective,For algorithms in the context of a particular specification that involves String objects • Identify standard algorithms. • Modify standard algorithms. • Develop an algorithm.
csa,CON-2,CON-2.G,Learning Objective,Represent nested iterative processes
csa,CON-2,CON-2.H,Learning Objective,Compute statement execution counts and informal run-time comparison of iterative statements.
csa,CON-2,CON-2.I,Learning Objective,For algorithms in the context of a particular specification that requires the use of array traversals: • Identify standard algorithms. • Modify standard algorithms. • Develop an algorithm.
csa,CON-2,CON-2.J,Learning Objective,For algorithms in the context of a particular specification that requires the use of ArrayList traversals: • Identify standard algorithms. • Modify standard algorithms. • Develop an algorithm.
csa,CON-2,CON-2.K,Learning Objective,Apply sequential/linear search algorithms to search for specific information in array or ArrayList objects.
csa,CON-2,CON-2.L,Learning Objective,Apply selection sort and insertion sort algorithms to sort the elements of array or ArrayList objects.
csa,CON-2,CON-2.M,Learning Objective,Compute statement execution counts and informal run-time comparison of sorting algorithms.
csa,CON-2,CON-2.N,Learning Objective,For Algorithms in the context of a particular specification that requires the use of 2D array traversals: • Identify standard algorithms. • Modify standard algorithms. • Develop an algorithm.
csa,CON-2,CON-2.O,Learning Objective,Determine the result of executing recursive methods.
csa,CON-2,CON-2.P,Learning Objective,"Apply recursive search algorithms to information in String, 1D array, or ArrayList objects."
csa,CON-2,CON-2.Q,Learning Objective,Apply recursive algorithms to sort elements of array or ArrayList objects.
csa,IOC-1,IOC-1.A,Learning Objective,Explain the ethical and social implications of computing systems
csa,IOC-1,IOC-1.B,Learning Objective,Explain the risks to privacy from collecting and storing personal data on computer systems.
