category,gradeband,name,standard,description,framework
D2.Eco,K-2,Identify prices of products in a local market.,D2.Eco.5.K-2,Identify prices of products in a local market.,c3ss
D2.Eco,K-2,Describe examples of the goods and services that governments provide.,D2.Eco.12.K-2,Describe examples of the goods and services that governments provide.,c3ss
D2.Eco,K-2,Explain how people earn income.,D2.Eco.6.K-2,Explain how people earn income.,c3ss
D2.Eco,K-2,Describe examples of capital goods and human capital.,D2.Eco.13.K-2,Describe examples of capital goods and human capital.,c3ss
D2.Eco,K-2,Describe examples of costs of production.,D2.Eco.7.K-2,Describe examples of costs of production.,c3ss
D2.Eco,K-2,Describe the role of banks in an economy.,D2.Eco.9.K-2,Describe the role of banks in an economy.,c3ss
D2.Geo,K-2,"Construct maps, graphs, and other representations of familiar places.",D2.Geo.1.K-2,"Construct maps, graphs, and other representations of familiar places.",c3ss
D2.Geo,K-2,"Explain how weather, climate, and other environmental characteristics affect people’s lives in a place or region.",D2.Geo.4.K-2,"Explain how weather, climate, and other environmental characteristics affect people’s lives in a place or region.",c3ss
D2.Geo,K-2,"Explain why and how people, goods, and ideas move from place to place.",D2.Geo.7.K-2,"Explain why and how people, goods, and ideas move from place to place.",c3ss
D2.Geo,K-2,Describe changes in the physical and cultural characteristics of various world regions.,D2.Geo.10.K-2,Describe changes in the physical and cultural characteristics of various world regions.,c3ss
D2.Geo,K-2,"Use maps, graphs, photographs, and other representations to describe places and the relationships and interactions that shape them.",D2.Geo.2.K-2,"Use maps, graphs, photographs, and other representations to describe places and the relationships and interactions that shape them.",c3ss
D2.Geo,K-2,Describe how human activities affect the cultural and environmental characteristics of places or regions. ,D2.Geo.5.K-2,Describe how human activities affect the cultural and environmental characteristics of places or regions. ,c3ss
D2.Geo,K-2,Compare how people in different types of communities use local and distant environments to meet their daily needs.,D2.Geo.8.K-2,Compare how people in different types of communities use local and distant environments to meet their daily needs.,c3ss
D2.Geo,K-2,Explain how the consumption of products connects people to distant places. ,D2.Geo.11.K-2,Explain how the consumption of products connects people to distant places. ,c3ss
D2.Geo,K-2,"Use maps, globes, and other simple geographic models to identify cultural and environmental characteristics of places.",D2.Geo.3.K-2,"Use maps, globes, and other simple geographic models to identify cultural and environmental characteristics of places.",c3ss
D2.Geo,K-2,Identify some cultural and environmental characteristics of specific places.,D2.Geo.6.K-2,Identify some cultural and environmental characteristics of specific places.,c3ss
D2.Geo,K-2,Describe the connections between the physical environment of a place and the economic activities found there.,D2.Geo.9.K-2,Describe the connections between the physical environment of a place and the economic activities found there.,c3ss
D2.Geo,K-2,Identify ways that a catastrophic disaster may affect people living in a place.,D2.Geo.12.K-2,Identify ways that a catastrophic disaster may affect people living in a place.,c3ss
D2.His,K-2,Create a chronological sequence of multiple events.,D2.His.1.K-2,Create a chronological sequence of multiple events.,c3ss
D2.His,K-2,Compare perspectives of people in the past to those of people in the present.,D2.His.4.K-2,Compare perspectives of people in the past to those of people in the present.,c3ss
D2.His,K-2,Identify different kinds of historical sources.,D2.His.9.K-2,Identify different kinds of historical sources.,c3ss
D2.His,K-2,Generate possible reasons for an event or development in the past.,D2.His.14.K-2,Generate possible reasons for an event or development in the past.,c3ss
D2.His,K-2,Compare life in the past to life today.,D2.His.2.K-2,Compare life in the past to life today.,c3ss
D2.His,K-2,Explain how historical sources can be used to study the past.,D2.His.10.K-2,Explain how historical sources can be used to study the past.,c3ss
D2.His,K-2,Generate questions about individuals and groups who have shaped a significant historical change.,D2.His.3.K-2,Generate questions about individuals and groups who have shaped a significant historical change.,c3ss
D2.His,K-2,Compare different accounts of the same historical event.,D2.His.6.K-2,Compare different accounts of the same historical event.,c3ss
D2.His,K-2,"Identify the maker, date, and place of origin for a historical source from information within the source itself.",D2.His.11.K-2,"Identify the maker, date, and place of origin for a historical source from information within the source itself.",c3ss
D2.His,K-2,Select which reasons might be more likely than others to explain a historical event or development.,D2.His.16.K-2,Select which reasons might be more likely than others to explain a historical event or development.,c3ss
D2.His,K-2,Generate questions about a particular historical source as it relates to a particular historical event or development.,D2.His.12.K-2,Generate questions about a particular historical source as it relates to a particular historical event or development.,c3ss
D3.Sources,K-2,Gather relevant information from one or two sources while using the origin and structure to guide the selection.,D3.1.K-2,Gather relevant information from one or two sources while using the origin and structure to guide the selection.,c3ss
D3.Sources,K-2,Evaluate a source by distinguishing between fact and opinion.,D3.2.K-2,Evaluate a source by distinguishing between fact and opinion.,c3ss
D4.Conclusions,K-2,Construct an argument with reasons.,D4.1.K-2,Construct an argument with reasons.,c3ss
D4.Action,K-2,"Identify and explain a range of local, regional, and global problems, and some ways in which people are trying to address these problems.",D4.6.K-2,"Identify and explain a range of local, regional, and global problems, and some ways in which people are trying to address these problems.",c3ss
D4.Conclusions,K-2,Construct explanations using correct sequence and relevant information.,D4.2.K-2,Construct explanations using correct sequence and relevant information.,c3ss
D4.Action,K-2,"Identify ways to take action to help address local, regional, and global problems.",D4.7.K-2,"Identify ways to take action to help address local, regional, and global problems.",c3ss
D4.Conclusions,K-2,"Present a summary of an argument using print, oral, and digital technologies.",D4.3.K-2,"Present a summary of an argument using print, oral, and digital technologies.",c3ss
D4.Conclusions,K-2,"Use listening, consensus-building, and voting procedures to decide on and take action in their classrooms.",D4.8.K-2,"Use listening, consensus-building, and voting procedures to decide on and take action in their classrooms.",c3ss
D4.Conclusions,K-2,Ask and answer questions about arguments. ,D4.4.K-2,Ask and answer questions about arguments. ,c3ss
D4.Conclusions,K-2,Ask and answer questions about explanations.,D4.5.K-2,Ask and answer questions about explanations.,c3ss
D1,3-5,"Explain why compelling questions are important to others (e.g., peers, adults).",D1.1.3-5,"Explain why compelling questions are important to others (e.g., peers, adults).",c3ss
D1,3-5,Identify the disciplinary concepts and ideas associated with a supporting question that are open to interpretation.,D1.3.3-5,Identify the disciplinary concepts and ideas associated with a supporting question that are open to interpretation.,c3ss
D1,3-5,"Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration the different opinions people have about how to answer the questions.",D1.5.3-5,"Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration the different opinions people have about how to answer the questions.",c3ss
D1,3-5,Identify disciplinary concepts and ideas associated with a compelling question that are open to different interpretations.,D1.2.3-5,Identify disciplinary concepts and ideas associated with a compelling question that are open to different interpretations.,c3ss
D1,3-5,Explain how supporting questions help answer compelling questions in an inquiry.,D1.4.3-5,Explain how supporting questions help answer compelling questions in an inquiry.,c3ss
D2.Civ,3-5,Distinguish the responsibilities and powers of government officials at various levels and branches of government and in different times and places. ,D2.Civ.1.3-5,Distinguish the responsibilities and powers of government officials at various levels and branches of government and in different times and places. ,c3ss
D2.Civ,3-5,Apply civic virtues and democratic principles in school settings.,D2.Civ.7.3-5,Apply civic virtues and democratic principles in school settings.,c3ss
D2.Civ,3-5,"Compare procedures for making decisions in a variety of settings, including classroom, school, government, and/or society.",D2.Civ.11.3-5,"Compare procedures for making decisions in a variety of settings, including classroom, school, government, and/or society.",c3ss
D2.Civ,3-5,"Explain how a democracy relies on people’s responsible participation, and draw implications for how individuals should participate.",D2.Civ.2.3-5,"Explain how a democracy relies on people’s responsible participation, and draw implications for how individuals should participate.",c3ss
D2.Civ,3-5,"Identify core civic virtues and democratic principles that guide government, society, and communities.",D2.Civ.8.3-5,"Identify core civic virtues and democratic principles that guide government, society, and communities.",c3ss
D2.Civ,3-5,Explain how rules and laws change society and how people change rules and laws.,D2.Civ.12.3-,Explain how rules and laws change society and how people change rules and laws.,c3ss
D2.Civ,3-5,"Examine the origins and purposes of rules, laws, and key U.S. constitutional provisions.",D2.Civ.3.3-5,"Examine the origins and purposes of rules, laws, and key U.S. constitutional provisions.",c3ss
D2.Civ,3-5,Use deliberative processes when making decisions or reaching judgments as a group.,D2.Civ.9.3-5,Use deliberative processes when making decisions or reaching judgments as a group.,c3ss
D2.Civ,3-5,Explain how policies are developed to address public problems.,D2.Civ.13.3-5,Explain how policies are developed to address public problems.,c3ss
D2.Civ,3-5,Explain how groups of people make rules to create responsibilities and protect freedoms.,D2.Civ.4.3-5,Explain how groups of people make rules to create responsibilities and protect freedoms.,c3ss
D2.Civ,3-5,"Identify the beliefs, experiences, perspectives, and values that underlie their own and others’ points of view about civic issues.",D2.Civ.10.3-5,"Identify the beliefs, experiences, perspectives, and values that underlie their own and others’ points of view about civic issues.",c3ss
D2.Civ,3-5,Illustrate historical and contemporary means of changing society.,D2.Civ.14.3-5,Illustrate historical and contemporary means of changing society.,c3ss
D2.Civ,3-5,"Explain the origins, functions, and structure of different systems of government, including those created by the U.S. and state constitutions.",D2.Civ.5.3-5,"Explain the origins, functions, and structure of different systems of government, including those created by the U.S. and state constitutions.",c3ss
D2.Civ,3-5,"Describe ways in which people benefit from and are challenged by working together, including through government, workplaces, voluntary organizations, and families.",D2.Civ.6.3-5,"Describe ways in which people benefit from and are challenged by working together, including through government, workplaces, voluntary organizations, and families.",c3ss
D2.Eco,3-5,Compare the benefits and costs of individual choices.,D2.Eco.1.3-5,Compare the benefits and costs of individual choices.,c3ss
D2.Eco,3-5,"Identify examples of the variety of resources (human capital, physical capital, and natural resources) that are used to produce goods and services.",D2.Eco.3.3-5,"Identify examples of the variety of resources (human capital, physical capital, and natural resources) that are used to produce goods and services.",c3ss
D2.Eco,3-5,Explain what interest rates are.,D2.Eco.10.3-5,Explain what interest rates are.,c3ss
D2.Eco,3-5,Explain how trade leads to increasing economic interdependence among nations.,D2.Eco.14.3-5,Explain how trade leads to increasing economic interdependence among nations.,c3ss
D2.Eco,3-5,Identify positive and negative incentives that influence the decisions people make.,D2.Eco.2.3-5,Identify positive and negative incentives that influence the decisions people make.,c3ss
D2.Eco,3-5,Explain why individuals and businesses specialize and trade.,D2.Eco.4.3-5,Explain why individuals and businesses specialize and trade.,c3ss
D2.Eco,3-5,"Explain the meaning of inflation, deflation, and unemployment.",D2.Eco.11.3-5,"Explain the meaning of inflation, deflation, and unemployment.",c3ss
D2.Eco,3-5,Explain the effects of increasing economic interdependence on different groups within participating nations,D2.Eco.15.3-5,Explain the effects of increasing economic interdependence on different groups within participating nations,c3ss
D2.Eco,3-5,Explain the role of money in making exchange easier. ,D2.Eco.5.3-5,Explain the role of money in making exchange easier. ,c3ss
D2.Eco,3-5,Explain the ways in which the government pays for the goods and services it provides.,D2.Eco.12.3-5,Explain the ways in which the government pays for the goods and services it provides.,c3ss
D2.Eco,3-5,"Explain the relationship between investment in human capital, productivity, and future incomes.",D2.Eco.6.3-5,"Explain the relationship between investment in human capital, productivity, and future incomes.",c3ss
D2.Eco,3-5,Describe ways people can increase productivity by using improved capital goods and improving their human capital. ,D2.Eco.13.3-5,Describe ways people can increase productivity by using improved capital goods and improving their human capital. ,c3ss
D2.Eco,3-5,Explain how profits influence sellers in markets.,D2.Eco.7.3-5,Explain how profits influence sellers in markets.,c3ss
D2.Eco,3-5,Identify examples of external benefits and costs.,D2.Eco.8.3-5,Identify examples of external benefits and costs.,c3ss
D2.Eco,3-5,Describe the role of other financial institutions in an economy.,D2.Eco.9.3-5,Describe the role of other financial institutions in an economy.,c3ss
D2.Geo,3-5,Construct maps and other graphic representations of both familiar and unfamiliar places.,D2.Geo.1.3-5,Construct maps and other graphic representations of both familiar and unfamiliar places.,c3ss
D2.Geo,3-5,Explain how culture influences the way people modify and adapt to their environments.,D2.Geo.4.3-5,Explain how culture influences the way people modify and adapt to their environments.,c3ss
D2.Geo,3-5,"Explain how cultural and environmental characteristics affect the distribution and movement of people, goods, and ideas.",D2.Geo.7.3-5,"Explain how cultural and environmental characteristics affect the distribution and movement of people, goods, and ideas.",c3ss
D2.Geo,3-5,Explain why environmental characteristics vary among different world regions.,D2.Geo.10.3-5,Explain why environmental characteristics vary among different world regions.,c3ss
D2.Geo,3-5,"Use maps, satellite images, photographs, and other representations to explain relationships between the locations of places and regions and their environmental characteristics.",D2.Geo.2.3-5,"Use maps, satellite images, photographs, and other representations to explain relationships between the locations of places and regions and their environmental characteristics.",c3ss
D2.Geo,3-5,Explain how the cultural and environmental characteristics of places change over time.,D2.Geo.5.3-5,Explain how the cultural and environmental characteristics of places change over time.,c3ss
D2.Geo,3-5,Explain how human settlements and movements relate to the locations and use of various natural resources.,D2.Geo.8.3-5,Explain how human settlements and movements relate to the locations and use of various natural resources.,c3ss
D2.Geo,3-5,Describe how the spatial patterns of economic activities in a place change over time because of interactions with nearby and distant places.,D2.Geo.11.3-5,Describe how the spatial patterns of economic activities in a place change over time because of interactions with nearby and distant places.,c3ss
D2.Geo,3-5,Use maps of different scales to describe the locations of cultural and environmental characteristics.,D2.Geo.3.3-5,Use maps of different scales to describe the locations of cultural and environmental characteristics.,c3ss
D2.Geo,3-5,Describe how environmental and cultural characteristics influence population distribution in specific places or regions.,D2.Geo.6.3-5,Describe how environmental and cultural characteristics influence population distribution in specific places or regions.,c3ss
D2.Geo,3-5,Analyze the effects of catastrophic environmental and technological events on human settlements and migration.,D2.Geo.9.3-5,Analyze the effects of catastrophic environmental and technological events on human settlements and migration.,c3ss
D2.Geo,3-5,Explain how natural and human-made catastrophic events in one place affect people living in other places.,D2.Geo.12.3-5,Explain how natural and human-made catastrophic events in one place affect people living in other places.,c3ss
D2.His,3-5,Create and use a chronological sequence of related events to compare developments that happened at the same time.,D2.His.1.3-5,Create and use a chronological sequence of related events to compare developments that happened at the same time.,c3ss
D2.His,3-5,Explain why individuals and groups during the same historical period differed in their perspectives.,D2.His.4.3-5,Explain why individuals and groups during the same historical period differed in their perspectives.,c3ss
D2.His,3-5,Summarize how different kinds of historical sources are used to explain events in the past.,D2.His.9.3-5,Summarize how different kinds of historical sources are used to explain events in the past.,c3ss
D2.His,3-5,Explain probable causes and effects of events and developments.,D2.His.14.3-5,Explain probable causes and effects of events and developments.,c3ss
D2.His,3-5,Compare life in specific historical time periods to life today.,D2.His.2.3-5,Compare life in specific historical time periods to life today.,c3ss
D2.His,3-5,Explain connections among historical contexts and people’s perspectives at the time.,D2.His.5.3-5,Explain connections among historical contexts and people’s perspectives at the time.,c3ss
D2.His,3-5,Compare information provided by different historical sources about the past.,D2.His.10.3-5,Compare information provided by different historical sources about the past.,c3ss
D2.His,3-5,Generate questions about individuals and groups who have shaped significant historical changes and continuities.,D2.His.3.3-5,Generate questions about individuals and groups who have shaped significant historical changes and continuities.,c3ss
D2.His,3-5,Describe how people’s perspectives shaped the historical sources they created. ,D2.His.6.3-5,Describe how people’s perspectives shaped the historical sources they created. ,c3ss
D2.His,3-5,Infer the intended audience and purpose of a historical source from information within the source itself.,D2.His.11.3-5,Infer the intended audience and purpose of a historical source from information within the source itself.,c3ss
D2.His,3-5,Use evidence to develop a claim about the past.,D2.His.16.3-5,Use evidence to develop a claim about the past.,c3ss
D2.His,3-5,Generate questions about multiple historical sources and their relationships to particular historical events and developments.,D2.His.12.3-5,Generate questions about multiple historical sources and their relationships to particular historical events and developments.,c3ss
D2.His,3-5,Summarize the central claim in a secondary work of history.,D2.His.17.3-5,Summarize the central claim in a secondary work of history.,c3ss
D2.His,3-5,"Use information about a historical source, including the maker, date, place of origin, intended audience, and purpose to judge the extent to which the source is useful for studying a particular topic.",D2.His.13.3-5,"Use information about a historical source, including the maker, date, place of origin, intended audience, and purpose to judge the extent to which the source is useful for studying a particular topic.",c3ss
D3.Sources,3-5,"Gather relevant information from multiple sources while using the origin, structure, and context to guide the selection.",D3.1.3-5,"Gather relevant information from multiple sources while using the origin, structure, and context to guide the selection.",c3ss
D3.Sources,3-5,Use distinctions among fact and opinion to determine the credibility of multiple sources.,D3.2.3-5,Use distinctions among fact and opinion to determine the credibility of multiple sources.,c3ss
D3.Claims,3-5,Identify evidence that draws information from multiple sources in response to compelling questions.,D3.3.3-5,Identify evidence that draws information from multiple sources in response to compelling questions.,c3ss
D3.Claims,3-5,Use evidence to develop claims in response to compelling questions.,D3.4.3-5,Use evidence to develop claims in response to compelling questions.,c3ss
D4.Conclusions,3-5,Construct arguments using claims and evidence from multiple sources.,D4.1.3-5,Construct arguments using claims and evidence from multiple sources.,c3ss
D4.Conclusions,3-5,"Construct explanations using reasoning, correct sequence, examples, and details with relevant information and data.",D4.2.3-5,"Construct explanations using reasoning, correct sequence, examples, and details with relevant information and data.",c3ss
D4.Conclusions,3-5,"Present a summary of arguments and explanations to others outside the classroom using print and oral technologies (e.g., posters, essays, letters, debates, speeches, and reports) and digital technologies (e.g., Internet, social media, and digital documentary). ",D4.3.3-5,"Present a summary of arguments and explanations to others outside the classroom using print and oral technologies (e.g., posters, essays, letters, debates, speeches, and reports) and digital technologies (e.g., Internet, social media, and digital documentary). ",c3ss
D4.Conclusions,3-5,Critique arguments.,D4.4.3-5,Critique arguments.,c3ss
D4.Conclusions,3-5,Critique explanations.,D4.5.3-5,Critique explanations.,c3ss
D4.Action,3-5,"Draw on disciplinary concepts to explain the challenges people have faced and opportunities they have created, in addressing local, regional, and global problems at various times and places.",D4.6.3-5,"Draw on disciplinary concepts to explain the challenges people have faced and opportunities they have created, in addressing local, regional, and global problems at various times and places.",c3ss
D4.Action,3-5,"Explain different strategies and approaches students and others could take in working alone and together to address local, regional, and global problems, and predict possible results of their actions.",D4.7.3-5,"Explain different strategies and approaches students and others could take in working alone and together to address local, regional, and global problems, and predict possible results of their actions.",c3ss
D4.Action,3-5,Use a range of deliberative and democratic procedures to make decisions about and act on civic problems in their classrooms and schools.,D4.8.3-5,Use a range of deliberative and democratic procedures to make decisions about and act on civic problems in their classrooms and schools.,c3ss
D1,6-8,Explain how a question represents key ideas in the field,D1.1.6-8,Explain how a question represents key ideas in the field,c3ss
D1,6-8,Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.,D1.3.6-8,Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.,c3ss
D1,6-8,"Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration multiple points of views represented in the sources.",D1.5.6-8,"Determine the kinds of sources that will be helpful in answering compelling and supporting questions, taking into consideration multiple points of views represented in the sources.",c3ss
D1,6-8,Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.,D1.2.6-8,Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.,c3ss
D1,6-8,Explain how the relationship between supporting questions and compelling questions is mutually reinforcing.,D1.4.6-8,Explain how the relationship between supporting questions and compelling questions is mutually reinforcing.,c3ss
D2.Civ,6-8,"Distinguish the powers and responsibilities of citizens, political parties, interest groups, and the media in a variety of governmental and nongovernmental contexts.",D2.Civ.1.6-8,"Distinguish the powers and responsibilities of citizens, political parties, interest groups, and the media in a variety of governmental and nongovernmental contexts.",c3ss
D2.Civ,6-8,"Explain the relevance of personal interests and perspectives, civic virtues, and democratic principles when people address issues and problems in government and civil society",D2.Civ.10.6-8,"Explain the relevance of personal interests and perspectives, civic virtues, and democratic principles when people address issues and problems in government and civil society",c3ss
D2.Civ,6-8,"Differentiate among procedures for making decisions in the classroom, school, civil society, and local, state, and national government in terms of how civic purposes are intended",D2.Civ.11.6-8,"Differentiate among procedures for making decisions in the classroom, school, civil society, and local, state, and national government in terms of how civic purposes are intended",c3ss
D2.Civ,6-8,Assess specific rules and laws (both actual and proposed) as means of addressing public problems.,D2.Civ.12.6-8,Assess specific rules and laws (both actual and proposed) as means of addressing public problems.,c3ss
D2.Civ,6-8,"Analyze the purposes, implementation, and consequences of public policies in multiple settings",D2.Civ.13.6-8,"Analyze the purposes, implementation, and consequences of public policies in multiple settings",c3ss
D2.Civ,6-8,"Compare historical and contemporary means of changing societies, and promoting the common good.",D2.Civ.14.6-8,"Compare historical and contemporary means of changing societies, and promoting the common good.",c3ss
D2.Civ,6-8,"Explain specific roles played by citizens (such as voters, jurors, taxpayers, members of the armed forces, petitioners, protesters, and office-holders).",D2.Civ.2.6-8,"Explain specific roles played by citizens (such as voters, jurors, taxpayers, members of the armed forces, petitioners, protesters, and office-holders).",c3ss
D2.Civ,6-8,"Examine the origins, purposes, and impact of constitutions, laws, treaties, and international agreements.",D2.Civ.3.6-8,"Examine the origins, purposes, and impact of constitutions, laws, treaties, and international agreements.",c3ss
D2.Civ,6-8,"Explain the powers and limits of the three branches of government, public officials, and bureaucracies at different levels in the United States and in other countries.",D2.Civ.4.6-8,"Explain the powers and limits of the three branches of government, public officials, and bureaucracies at different levels in the United States and in other countries.",c3ss
D2.Civ,6-8,"Explain the origins, functions, and structure of government with reference to the U.S. Constitution, state constitutions, and selected other systems of government",D2.Civ.5.6-8,"Explain the origins, functions, and structure of government with reference to the U.S. Constitution, state constitutions, and selected other systems of government",c3ss
D2.Civ,6-8,"Describe the roles of political, civil, and economic organizations in shaping people’s lives.",D2.Civ.6.6-8,"Describe the roles of political, civil, and economic organizations in shaping people’s lives.",c3ss
D2.Civ,6-8,Apply civic virtues and democratic principles in school and community settings.,D2.Civ.7.6-8,Apply civic virtues and democratic principles in school and community settings.,c3ss
D2.Civ,6-8,"Analyze ideas and principles contained in the founding documents of the United States, and explain how they influence the social and political system.",D2.Civ.8.6-8,"Analyze ideas and principles contained in the founding documents of the United States, and explain how they influence the social and political system.",c3ss
D2.Civ,6-8,Compare deliberative processes used by a wide variety of groups in various settings,D2.Civ.9.6-8,Compare deliberative processes used by a wide variety of groups in various settings,c3ss
D2.Eco,6-8,"Explain how economic decisions affect the well-being of individuals, businesses, and society",D2.Eco.1.6-8,"Explain how economic decisions affect the well-being of individuals, businesses, and society",c3ss
D2.Eco,6-8, Explain the influence of changes in interest rates on borrowing and investing.,D2.Eco.10.6-8, Explain the influence of changes in interest rates on borrowing and investing.,c3ss
D2.Eco,6-8,"Use appropriate data to evaluate the state of employment, unemployment, inflation, total production, income, and economic growth in the economy.",D2.Eco.11.6-8,"Use appropriate data to evaluate the state of employment, unemployment, inflation, total production, income, and economic growth in the economy.",c3ss
D2.Eco,6-8,"Explain how inflation, deflation, and unemployment affect different groups.",D2.Eco.12.6-8,"Explain how inflation, deflation, and unemployment affect different groups.",c3ss
D2.Eco,6-8,Explain why standards of living increase as productivity improves.,D2.Eco.13.6-8,Explain why standards of living increase as productivity improves.,c3ss
D2.Eco,6-8,Explain barriers to trade and how those barriers influence trade among nations,D2.Eco.14.6-8,Explain barriers to trade and how those barriers influence trade among nations,c3ss
D2.Eco,6-8,"Explain the benefits and the costs of trade policies to individuals, businesses, and society.",D2.Eco.15.6-8,"Explain the benefits and the costs of trade policies to individuals, businesses, and society.",c3ss
D2.Eco,6-8,Evaluate alternative approaches or solutions to current economic issues in terms of benefits and costs for different groups and society as a whole.,D2.Eco.2.6-8,Evaluate alternative approaches or solutions to current economic issues in terms of benefits and costs for different groups and society as a whole.,c3ss
D2.Eco,6-8,"Explain the roles of buyers and sellers in product, labor, and financial markets.",D2.Eco.3.6-8,"Explain the roles of buyers and sellers in product, labor, and financial markets.",c3ss
D2.Eco,6-8,Describe the role of competition in the determination of prices and wages in a market economy,D2.Eco.4.6-8,Describe the role of competition in the determination of prices and wages in a market economy,c3ss
D2.Eco,6-8,Explain ways in which money facilitates exchange by reducing transactional costs,D2.Eco.5.6-8,Explain ways in which money facilitates exchange by reducing transactional costs,c3ss
D2.Eco,6-8,"Explain how changes in supply and demand cause changes in prices and quantities of goods and services, labor, credit, and foreign currencies.",D2.Eco.6.6-8,"Explain how changes in supply and demand cause changes in prices and quantities of goods and services, labor, credit, and foreign currencies.",c3ss
D2.Eco,6-8,Analyze the role of innovation and entrepreneurship in a market economy.,D2.Eco.7.6-8,Analyze the role of innovation and entrepreneurship in a market economy.,c3ss
D2.Eco,6-8,Explain how external benefits and costs influence market outcomes.,D2.Eco.8.6-8,Explain how external benefits and costs influence market outcomes.,c3ss
D2.Eco,6-8,"Describe the roles of institutions such as corporations, non-profits, and labor unions in a market economy",D2.Eco.9.6-8,"Describe the roles of institutions such as corporations, non-profits, and labor unions in a market economy",c3ss
D2.Geo,6-8,Construct maps to represent and explain the spatial patterns of cultural and environmental characteristics.,D2.Geo.1.6-8,Construct maps to represent and explain the spatial patterns of cultural and environmental characteristics.,c3ss
D2.Geo,6-8, Analyze the ways in which cultural and environmental characteristics vary among various regions of the world.,D2.Geo.10.6-8, Analyze the ways in which cultural and environmental characteristics vary among various regions of the world.,c3ss
