id	name	city	state	zip
101890	JASPER CITY	JASPER	AL	35501
101920	JEFFERSON COUNTY	BIRMINGHAM	AL	35209
101950	LAMAR COUNTY	VERNON	AL	35592
101980	LANETT CITY	LANETT	AL	36863
102010	LAUDERDALE COUNTY	FLORENCE	AL	35634
102040	LAWRENCE COUNTY	MOULTON	AL	35650
102070	LEE COUNTY	OPELIKA	AL	36804
102100	LIMESTONE COUNTY	ATHENS	AL	35611
102130	LINDEN CITY	LINDEN	AL	36748
102160	LOWNDES COUNTY	HAYNEVILLE	AL	36040
102190	MACON COUNTY	TUSKEGEE	AL	36083
102220	MADISON COUNTY	HUNTSVILLE	AL	35811
102250	MARENGO COUNTY	LINDEN	AL	36748
102310	MARION COUNTY	HAMILTON	AL	35570
102350	MIDFIELD CITY	MIDFIELD	AL	35228
102370	MOBILE COUNTY	MOBILE	AL	36618
102400	MONROE COUNTY	MONROEVILLE	AL	36460
102430	MONTGOMERY COUNTY	MONTGOMERY	AL	36104
102480	MORGAN COUNTY	DECATUR	AL	35601
102490	MOUNTAIN BROOK CITY	MOUNTAIN BROOK	AL	35213
102520	MUSCLE SHOALS CITY	MUSCLE SHOALS	AL	35661
102550	ONEONTA CITY	ONEONTA	AL	35121
102580	OPELIKA CITY	OPELIKA	AL	36801
102610	OPP CITY	OPP	AL	36467
102635	OXFORD CITY	OXFORD	AL	36203
102640	OZARK CITY	OZARK	AL	36360
102650	PELL CITY	PELL CITY	AL	35125
102670	PERRY COUNTY	MARION	AL	36756
102700	PHENIX CITY	PHENIX CITY	AL	36867
102730	PICKENS COUNTY	CARROLLTON	AL	35447
102760	PIEDMONT CITY	PIEDMONT	AL	36272
102790	PIKE COUNTY	TROY	AL	36081
102820	RANDOLPH COUNTY	WEDOWEE	AL	36278
102850	ROANOKE CITY	ROANOKE	AL	36274
102880	RUSSELL COUNTY	PHENIX CITY	AL	36867
102910	RUSSELLVILLE CITY	RUSSELLVILLE	AL	35653
102940	SCOTTSBORO CITY	SCOTTSBORO	AL	35768
102970	SELMA CITY	SELMA	AL	36701
103000	SHEFFIELD CITY	SHEFFIELD	AL	35660
103030	SHELBY COUNTY	COLUMBIANA	AL	35051
103062	ST CLAIR COUNTY	ASHVILLE	AL	35953
103090	SUMTER COUNTY	LIVINGSTON	AL	35470
103120	SYLACAUGA CITY	SYLACAUGA	AL	35150
103150	TALLADEGA CITY	TALLADEGA	AL	35160
103180	TALLADEGA COUNTY	TALLADEGA	AL	35160
103210	TALLAPOOSA COUNTY	DADEVILLE	AL	36853
103240	TALLASSEE CITY	TALLASSEE	AL	36078
103270	TARRANT CITY	TARRANT	AL	35217
103300	THOMASVILLE CITY	THOMASVILLE	AL	36784
103330	TROY CITY	TROY	AL	36079
103360	TUSCALOOSA CITY	TUSCALOOSA	AL	35401
103390	TUSCALOOSA COUNTY	TUSCALOOSA	AL	35401
103420	TUSCUMBIA CITY	TUSCUMBIA	AL	35674
103430	VESTAVIA HILLS CITY	BIRMINGHAM	AL	35216
103450	WALKER COUNTY	JASPER	AL	35501
103480	WASHINGTON COUNTY	CHATOM	AL	36518
103510	WILCOX COUNTY	CAMDEN	AL	36726
103540	WINFIELD CITY	WINFIELD	AL	35594
103580	WINSTON COUNTY	DOUBLE SPRINGS	AL	35553
200001	LOWER KUSKOKWIM SCHOOL DISTRICT	BETHEL	AK	99559
200003	LOWER YUKON SCHOOL DISTRICT	MOUNTAIN VILLAGE	AK	99632
200004	YUPIIT SCHOOL DISTRICT	AKIACHAK	AK	99551
200005	KASHUNAMIUT SCHOOL DISTRICT	CHEVAK	AK	99563
200006	MOUNT EDGECUMBE HIGH SCHOOL AGENCY	SITKA	AK	99835
200007	ALEUTIANS EAST BOROUGH SCHOOL DISTRICT	SAND POINT	AK	99661
200010	ALEUTIAN REGION SCHOOL DISTRICT	ANCHORAGE	AK	99518
200020	BERING STRAIT SCHOOL DISTRICT	UNALAKLEET	AK	99684
200030	BRISTOL BAY BOROUGH SCHOOL DISTRICT	NAKNEK	AK	99633
200050	ALASKA GATEWAY SCHOOL DISTRICT	TOK	AK	99780
200060	CORDOVA CITY SCHOOL DISTRICT	CORDOVA	AK	99574
200070	COPPER RIVER SCHOOL DISTRICT	GLENNALLEN	AK	99588
200090	CRAIG CITY SCHOOL DISTRICT	CRAIG	AK	99921
200100	DELTA-GREELY SCHOOL DISTRICT	DELTA JUNCTION	AK	99737
200120	DILLINGHAM CITY SCHOOL DISTRICT	DILLINGHAM	AK	99576
200130	GALENA CITY SCHOOL DISTRICT	GALENA	AK	99741
200150	KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT	KETCHIKAN	AK	99901
200180	ANCHORAGE SCHOOL DISTRICT	ANCHORAGE	AK	99504
200210	JUNEAU BOROUGH SCHOOL DISTRICT	JUNEAU	AK	99801
200240	SITKA SCHOOL DISTRICT	SITKA	AK	99835
200270	HAINES BOROUGH SCHOOL DISTRICT	HAINES	AK	99827
200300	HOONAH CITY SCHOOL DISTRICT	HOONAH	AK	99829
200330	HYDABURG CITY SCHOOL DISTRICT	HYDABURG	AK	99922
200360	KAKE CITY SCHOOL DISTRICT	KAKE	AK	99830
200390	KENAI PENINSULA BOROUGH SCHOOL DISTRICT	SOLDOTNA	AK	99669
200450	KLAWOCK CITY SCHOOL DISTRICT	KLAWOCK	AK	99925
200480	KODIAK ISLAND BOROUGH SCHOOL DISTRICT	KODIAK	AK	99615
200485	LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT	KING SALMON	AK	99613
200510	MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT	PALMER	AK	99645
200520	IDITAROD AREA SCHOOL DISTRICT	MCGRATH	AK	99627
200525	ANNETTE ISLAND SCHOOL DISTRICT	METLAKATLA	AK	99926
200540	NENANA CITY SCHOOL DISTRICT	NENANA	AK	99760
200570	NOME PUBLIC SCHOOLS	NOME	AK	99762
200600	FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT	FAIRBANKS	AK	99701
200610	NORTH SLOPE BOROUGH SCHOOL DISTRICT	BARROW	AK	99723
200625	NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT	KOTZEBUE	AK	99752
200630	PELICAN CITY SCHOOL DISTRICT	PELICAN	AK	99832
200660	PETERSBURG BOROUGH SCHOOL DISTRICT	PETERSBURG	AK	99833
200670	PRIBILOF SCHOOL DISTRICT	ST. PAUL ISLAND	AK	99660
200680	SAINT MARY'S SCHOOL DISTRICT	SAINT MARY'S	AK	99658
200690	SKAGWAY SCHOOL DISTRICT	SKAGWAY	AK	99840
200700	SOUTHEAST ISLAND SCHOOL DISTRICT	THORNE BAY	AK	99919
200710	SOUTHWEST REGION SCHOOL DISTRICT	DILLINGHAM	AK	99576
200715	TANANA CITY SCHOOL DISTRICT	TANANA	AK	99777
200720	UNALASKA CITY SCHOOL DISTRICT	UNALASKA	AK	99685
200730	CHATHAM SCHOOL DISTRICT	ANGOON	AK	99820
200760	KUSPUK SCHOOL DISTRICT	ANIAK	AK	99557
200770	DENALI BOROUGH SCHOOL DISTRICT	HEALY	AK	99743
200775	YUKON FLATS SCHOOL DISTRICT	FT. YUKON	AK	99740
200780	VALDEZ CITY SCHOOL DISTRICT	VALDEZ	AK	99686
200800	CHUGACH SCHOOL DISTRICT	ANCHORAGE	AK	99507
200810	WRANGELL PUBLIC SCHOOL DISTRICT	WRANGELL	AK	99929
200840	YAKUTAT SCHOOL DISTRICT	YAKUTAT	AK	99689
200862	YUKON-KOYUKUK SCHOOL DISTRICT	FAIRBANKS	AK	99709
400001	CAVE CREEK UNIFIED DISTRICT	SCOTTSDALE	AZ	85266
400003	CHINO VALLEY UNIFIED DISTRICT	CHINO VALLEY	AZ	86323
400004	CLARKDALE-JEROME ELEMENTARY DISTRICT	CLARKDALE	AZ	86324
400005	SALOME CONSOLIDATED ELEMENTARY DISTRICT	SALOME	AZ	85348
400016	CENTER FOR ACADEMIC SUCCESS  INC.	SIERRA VISTA	AZ	85635
400018	PINE FOREST EDUCATION ASSOCIATION  INC.	FLAGSTAFF	AZ	86001
400019	FLAGSTAFF ARTS AND LEADERSHIP ACADEMY	FLAGSTAFF	AZ	86001
400020	FLAGSTAFF MONTESSORI  L.L.C.	FLAGSTAFF	AZ	86001
400021	COLORADO CITY UNIFIED DISTRICT	COLORADO CITY	AZ	86021
400022	VERNON ELEMENTARY DISTRICT	VERNON	AZ	85940
400023	PINON UNIFIED DISTRICT	PINON	AZ	86510
400026	HEBER-OVERGAARD UNIFIED DISTRICT	HEBER	AZ	85928
400028	TRIUMPHANT LEARNING CENTER	SAFFORD	AZ	85546
400031	RIDGELINE ACADEMY  A CHALLENGE FOUNDATION ACADEMY	PHOENIX	AZ	85085
400033	BOYS & GIRLS CLUBS OF THE EAST VALLEY DBA MESA ARTS ACADEMY	MESA	AZ	85210
400034	REID TRADITIONAL SCHOOLS' VALLEY ACADEMY  INC.	PHOENIX	AZ	85023
400036	FOOTHILLS ACADEMY	SCOTTSDALE	AZ	85266
400037	TWENTY FIRST CENTURY CHARTER SCHOOL  INC. BENNETT ACADEMY	PHOENIX	AZ	85017
400038	CASY COUNTRY DAY SCHOOL	SCOTTSDALE	AZ	85260
400040	STEP UP SCHOOLS  INC.	MESA	AZ	85201
400041	MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT DBA GATEWAY EARLY	PHOENIX	AZ	85034
400043	NEW SCHOOL FOR THE ARTS	TEMPE	AZ	85281
400047	SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS	SCOTTSDALE	AZ	85256
400052	ESPIRITU COMMUNITY DEVELOPMENT CORP.	PHOENIX	AZ	85040
400053	HERITAGE ACADEMY  INC.	MESA	AZ	85210
400054	VILLA MONTESSORI CHARTER SCHOOL	PHOENIX	AZ	85016
400055	EDUPRENEURSHIP  INC.	PHOENIX	AZ	85051
400056	ARIZONA SCHOOL FOR THE ARTS	PHOENIX	AZ	85004
400057	ARIZONA CALL-A-TEEN YOUTH RESOURCES  INC.	PHOENIX	AZ	85003
400061	INTELLI-SCHOOL  INC.	PHOENIX	AZ	85021
400065	BENJAMIN FRANKLIN CHARTER SCHOOL	GILBERT	AZ	85296
400067	VICTORY HIGH SCHOOL  INC.	PHOENIX	AZ	85041
400068	MONTESSORI DAY PUBLIC SCHOOLS CHARTERED  INC.	PHOENIX	AZ	85021
400069	KHALSA MONTESSORI ELEMENTARY SCHOOLS	PHOENIX	AZ	85004
400070	TEMPE PREPARATORY ACADEMY	TEMPE	AZ	85282
400071	BRIGHT BEGINNINGS SCHOOL  INC.	CHANDLER	AZ	85224
400072	MONTESSORI EDUCATION CENTRE CHARTER SCHOOL	MESA	AZ	85204
400074	KINGMAN ACADEMY OF LEARNING	KINGMAN	AZ	86409
400075	YOUNG SCHOLARS ACADEMY CHARTER SCHOOL CORP.	BULLHEAD CITY	AZ	86426
400077	CAREER DEVELOPMENT  INC.	TAYLOR	AZ	85939
400078	EDGE SCHOOL  INC.  THE	TUCSON	AZ	85716
400079	TUCSON YOUTH DEVELOPMENT/ACE CHARTER HIGH SCHOOL	TUCSON	AZ	85705
400081	PRESIDIO SCHOOL	TUCSON	AZ	85719
400082	COLORADO RIVER UNION HIGH SCHOOL DISTRICT	FORT MOHAVE	AZ	86426
400083	PORTABLE PRACTICAL EDUCATIONAL PREPARATION  INC. (PPEP  INC.	TUCSON	AZ	85714
400085	TUCSON URBAN LEAGUE  INC.	TUCSON	AZ	85713
400088	MINGUS MOUNTAIN ESTATE RESIDENTIAL CENTER  INC.	PRESCOTT VALLEY	AZ	85040
400089	SEDONA CHARTER SCHOOL  INC.	SEDONA	AZ	86336
400090	MINGUS SPRINGS CHARTER SCHOOL	CHINO VALLEY	AZ	86323
400092	FRANKLIN PHONETIC PRIMARY SCHOOL  INC.	PRESCOTT VALLEY	AZ	86314
400093	SKYVIEW SCHOOL  INC.	PRESCOTT	AZ	86303
400094	AZ-TEC HIGH SCHOOL	YUMA	AZ	85364
400095	YUMA PRIVATE INDUSTRY COUNCIL  INC.	YUMA	AZ	85364
400096	MOUNTAIN SCHOOL  INC.	FLAGSTAFF	AZ	86001
400097	NORTHLAND PREPARATORY ACADEMY	FLAGSTAFF	AZ	86004
400098	FLAGSTAFF JUNIOR ACADEMY	FLAGSTAFF	AZ	86001
400099	LIBERTY HIGH SCHOOL	GLOBE	AZ	85501
400100	BALL CHARTER SCHOOLS (HEARN)	PHOENIX	AZ	85023
400101	OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.	GLENDALE	AZ	85305
400102	FRIENDLY HOUSE  INC.	PHOENIX	AZ	85003
400103	OMBUDSMAN EDUCATIONAL SERVICES  LTD. A SUBSIDIARY OF EDUCATI	PHOENIX	AZ	85018
400104	GLOBAL RENAISSANCE ACADEMY OF DISTINGUISHED EDUCATION	TEMPE	AZ	85283
400105	HILLCREST ACADEMY  INC.	MESA	AZ	85206
400106	ARIZONA AGRIBUSINESS & EQUINE CENTER  INC.	PHOENIX	AZ	85032
400107	INTERNATIONAL COMMERCE SECONDARY SCHOOLS  INC.	PHOENIX	AZ	85014
400108	HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STATES  INC.	PHOENIX	AZ	85014
400109	PHOENIX ADVANTAGE CHARTER SCHOOL  INC.	PHOENIX	AZ	85016
400111	ALLEN-COCHRAN ENTERPRISES  INC.	TEMPE	AZ	85284
400112	AMERICAN LEADERSHIP ACADEMY  INC.	CHANDLER	AZ	85286
400113	FOUNTAIN HILLS CHARTER SCHOOL	FOUNTAIN HILLS	AZ	85268
400115	HERMOSA MONTESSORI CHARTER SCHOOL	TUCSON	AZ	85749
400120	ARIZONA DEPARTMENT OF CORRECTIONS	PHOENIX	AZ	85007
400121	ACCELERATED LEARNING CENTER  INC.	PHOENIX	AZ	85028
400122	ACCLAIM CHARTER SCHOOL	PHOENIX	AZ	85033
400124	GENESIS PROGRAM  INC.	PHOENIX	AZ	85003
400125	LUZ ACADEMY OF TUCSON  INC	TUCSON	AZ	85745
400126	MONTESSORI SCHOOLHOUSE OF TUCSON  INC.	TUCSON	AZ	85719
400128	ACADEMY OF EXCELLENCE  INC.	PHOENIX	AZ	85008
400129	ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS	TUCSON	AZ	85745
400130	AMERICAN HERITAGE ACADEMY	COTTONWOOD	AZ	86326
400131	THE CHARTER FOUNDATION  INC.	PHOENIX	AZ	85018
400133	EMPLOY-ABILITY UNLIMITED  INC.	PEORIA	AZ	85345
400134	BASIS SCHOOL  INC.	SCOTTSDALE	AZ	85258
400135	CHALLENGE SCHOOL  INC.	GLENDALE	AZ	85308
400138	D.W. HIGGINS INSTITUTE	TEMPE	AZ	85282
400141	DISCOVERY PLUS ACADEMY	PIMA	AZ	85543
400144	FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.	PHOENIX	AZ	85013
400145	GEM CHARTER SCHOOL  INC.	MESA	AZ	85201
400147	HA:SAN EDUCATIONAL SERVICES	TUCSON	AZ	85719
400149	KAIZEN EDUCATION FOUNDATION DBA EL DORADO HIGH SCHOOL	PHOENIX	AZ	85020
400150	MEXICAYOTL ACADEMY  INC.	NOGALES	AZ	85621
400151	NEW HORIZON SCHOOL FOR THE PERFORMING ARTS	MESA	AZ	85204
400152	NEW WEST SCHOOL	TUCSON	AZ	85730
400153	PHOENIX SCHOOL OF ACADEMIC EXCELLENCE THE	PHOENIX	AZ	85014
400154	SHONTO GOVERNING BOARD OF EDUCATION  INC.	SHONTO	AZ	86054
400157	EDKEY  INC. - SEQUOIA CHOICE SCHOOLS	MESA	AZ	85204
400159	TUCSON PREPARATORY SCHOOL	TUCSON	AZ	85705
400160	VISION CHARTER SCHOOL  INC.	TUCSON	AZ	85709
400161	WESTWIND CHILDREN'S SERVICES	PHOENIX	AZ	85021
400163	COCONINO COUNTY ACCOMMODATION SCHOOL DISTRICT	FLAGSTAFF	AZ	86004
400164	ARIZONA ACADEMY OF SCIENCE AND TECHNOLOGY  INC.	PHOENIX	AZ	85004
400165	KEYSTONE MONTESSORI CHARTER SCHOOL  INC.	PHOENIX	AZ	85048
400178	GREENLEE ALTERNATIVE SCHOOL DISTRICT	CLIFTON	AZ	85533
400181	BENCHMARK SCHOOL  INC.	PHOENIX	AZ	85032
400182	CAMBRIDGE ACADEMY  EAST   INC	MESA	AZ	85207
400184	BALL CHARTER SCHOOLS (DOBSON)	CHANDLER	AZ	85224
400185	PHOENIX EDUCATION MANAGEMENT  LLC	PHOENIX	AZ	85040
400187	STEPPING STONES ACADEMY	PHOENIX	AZ	85086
400189	EAST VALLEY ACADEMY	MESA	AZ	85203
400190	LIBERTY TRADITIONAL CHARTER SCHOOL	PHOENIX	AZ	85031
400191	FIT KIDS  INC. DBA CHAMPION SCHOOLS	PHOENIX	AZ	85042
400192	SONORAN DESERT SCHOOL	GOLD CANYON	AZ	85118
400197	NORTHERN ARIZONA VOCATIONAL INSTITUTE OF TECHNOLOGY	SNOWFLAKE	AZ	85937
400201	PIMA COUNTY BOARD OF SUPERVISORS	TUCSON	AZ	85701
400202	ACADEMY OF TUCSON  INC.	TUCSON	AZ	85748
400204	MOUNTAIN ROSE ACADEMY  INC.	TUCSON	AZ	85741
400205	GREAT EXPECTATIONS ACADEMY	SAHUARITA	AZ	85629
400206	DESERT SPRINGS ACADEMY	TUCSON	AZ	85716
400207	VECHIJ HIMDAG ALTERNATIVE SCHOOL  INC.	SACATON	AZ	85247
400208	MOUNTAIN OAK CHARTER SCHOOL  INC.	PRESCOTT	AZ	86301
400209	PARK VIEW SCHOOL  INC.	PRESCOTT VALLEY	AZ	86314
400210	PAINTED PONY RANCH CHARTER SCHOOL	PRESCOTT	AZ	86301
400211	MARY ELLEN HALVORSON EDUCATIONAL FOUNDATION. DBA: TRI-CITY P	PRESCOTT	AZ	86301
400212	BENSON UNIFIED SCHOOL DISTRICT	BENSON	AZ	85602
400213	PAINTED DESERT DEMONSTRATION PROJECTS  INC.	FLAGSTAFF	AZ	86004
400214	THE SHELBY SCHOOL	PAYSON	AZ	85541
400216	PRECISION ACADEMY SYSTEMS  INC	PHOENIX	AZ	85040
400217	LITTLE LAMB COMMUNITY SCHOOL	SCOTTSDALE	AZ	85259
400218	AMERICAN BASIC SCHOOLS LLC	MESA	AZ	85204
400219	CAREER SUCCESS SCHOOLS	PHOENIX	AZ	85053
400221	KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE ELEMENTARY SCHO	PHOENIX	AZ	85020
400223	DAISY EDUCATION CORPORATION DBA SONORAN SCIENCE ACADEMY	TUCSON	AZ	85741
400225	HORIZON COMMUNITY LEARNING CENTER  INC.	PHOENIX	AZ	85048
400227	KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE JUNIOR HIGH SCH	PHOENIX	AZ	85042
400229	MILESTONES CHARTER SCHOOL	PHOENIX	AZ	85032
400230	PATHFINDER CHARTER SCHOOL FOUNDATION	PHOENIX	AZ	85053
400231	JAMES MADISON PREPARATORY SCHOOL	TEMPE	AZ	85283
400232	SELF DEVELOPMENT CHARTER SCHOOL	MESA	AZ	85205
400234	ACADEMY OF ARIZONA	OAK PARK	MI	48237
400235	EXCALIBUR CHARTER SCHOOLS  INC.	APACHE JUNCTION	AZ	85120
400236	MISSION CHARTER SCHOOL  INC.	PHOENIX	AZ	85027
400237	PARAMOUNT EDUCATION STUDIES INC	PEORIA	AZ	85345
400238	METROPOLITAN ARTS INSTITUTE  INC.	PHOENIX	AZ	85007
400239	P.L.C. CHARTER SCHOOLS	TOLLESON	AZ	85353
400241	PARAGON MANAGEMENT  INC.	SURPRISE	AZ	85374
400243	SKYLINE SCHOOLS  INC.	PHOENIX	AZ	85042
400244	EDKEY  INC. - SEQUOIA CHARTER SCHOOL	MESA	AZ	85204
400245	EDKEY  INC.	MESA	AZ	85204
400246	EDKEY  INC. - SEQUOIA VILLAGE SCHOOL	SHOW LOW	AZ	85901
400248	TELESIS CENTER FOR LEARNING  INC.	LAKE HAVASU CITY	AZ	86403
400249	E.A.G.L.E. ACADEMY  INC.	GOLDEN VALLEY	AZ	86413
400252	LITTLE SINGER COMMUNITY SCHOOL BOARD INC.	BIRDSPRING	AZ	86047
400254	SOUTHERN ARIZONA COMMUNITY ACADEMY  INC.	TUCSON	AZ	85716
400255	TUCSON COUNTRY DAY SCHOOL  INC.	TUCSON	AZ	85715
400256	MULTIDIMENSIONAL LITERACY CORP.	TUCSON	AZ	85735
400257	CHILDREN'S SUCCESS ACADEMY  INC.	TUCSON	AZ	85706
400258	CARDEN OF TUCSON  INC.	TUCSON	AZ	85705
400259	SOUTHGATE ACADEMY  INC.	TUCSON	AZ	85706
